phyname	dN	dNse	dS	dSse	dNdS	genea1	genea1mvld
Mvsl_MvDv_A1pair_1077.results.txt	1.17303	0.42623	0.87138	0.64932	1.34618	MvSl-1064-A1-R4_A1g01468	MvSlatifolia-1318-D-TG7-PbcR_C14g09478
Mvsl_MvDv_A1pair_1078.results.txt	0.57806	0.28263	3.65253	6.41852	0.158263	MvSl-1064-A1-R4_A1g01470	MvSlatifolia-1318-D-TG7-PbcR_C14g09481
Mvsl_MvDv_A1pair_1079.results.txt	3.78633	10.54347	8.35127	34.61122	0.453384	MvSl-1064-A1-R4_A1g01471	MvSlatifolia-1318-D-TG7-PbcR_C14g09482
Mvsl_MvDv_A1pair_1080.results.txt	1.44159	3.15044	7.66360	89.73953	0.188109	MvSl-1064-A1-R4_A1g01472	MvSlatifolia-1318-D-TG7-PbcR_C14g09483
Mvsl_MvDv_A1pair_1084.results.txt	1.38297	0.62618	0.94426	0.52645	1.46461	MvSl-1064-A1-R4_A1g01476	MvSlatifolia-1318-D-TG7-PbcR_C14g09487
Mvsl_MvDv_A1pair_1085.results.txt	17.04238	47.02345	0.17215	0.87698	98.9973	MvSl-1064-A1-R4_A1g01477	MvSlatifolia-1318-D-TG7-PbcR_C14g09488
Mvsl_MvDv_A1pair_1087.results.txt	0.02468	0.02531	0.00025	0.00269	98.7196	MvSl-1064-A1-R4_A1g01480	MvSlatifolia-1318-D-TG7-PbcR_C14g09493
Mvsl_MvDv_A1pair_1088.results.txt	2.22387	3.62684	3.90476	7.99057	0.569528	MvSl-1064-A1-R4_A1g01485	MvSlatifolia-1318-D-TG7-PbcR_C14g09497
Mvsl_MvDv_A1pair_1089.results.txt	0.62777	0.24678	61.66562	207.49111	0.0101802	MvSl-1064-A1-R4_A1g01486	MvSlatifolia-1318-D-TG7-PbcR_C14g09498
Mvsl_MvDv_A1pair_1090.results.txt	0.56502	0.24494	41.29812	38.15953	0.0136815	MvSl-1064-A1-R4_A1g01487	MvSlatifolia-1318-D-TG7-PbcR_C14g09499
Mvsl_MvDv_A1pair_1091.results.txt	0.00000	0.00000	0.00002	0.00000	0	MvSl-1064-A1-R4_A1g01488	MvSlatifolia-1318-D-TG7-PbcR_C14g09500
Mvsl_MvDv_A1pair_1096.results.txt	22.20458	43.25951	5.15613	7.18470	4.30644	MvSl-1064-A1-R4_A1g01493	MvSlatifolia-1318-D-TG7-PbcR_C14g09505
Mvsl_MvDv_A1pair_1097.results.txt	6.30041	40.58249	47.30917	708.62054	0.133175	MvSl-1064-A1-R4_A1g01494	MvSlatifolia-1318-D-TG7-PbcR_C14g09506
Mvsl_MvDv_A1pair_1100.results.txt	19.37766	74.38921	11.53257	42.84889	1.68026	MvSl-1064-A1-R4_A1g01499	MvSlatifolia-1318-D-TG7-PbcR_C14g09510
Mvsl_MvDv_A1pair_1101.results.txt	5.86857	3.78201	0.05928	0.20310	98.9975	MvSl-1064-A1-R4_A1g01500	MvSlatifolia-1318-D-TG7-PbcR_C14g09511
Mvsl_MvDv_A1pair_1102.results.txt	2.86771	2.54736	0.48210	0.82580	5.94837	MvSl-1064-A1-R4_A1g01501	MvSlatifolia-1318-D-TG7-PbcR_C14g09512
Mvsl_MvDv_A1pair_1103.results.txt	0.00000	0.00008	0.00001	0.00000	0	MvSl-1064-A1-R4_A1g01502	MvSlatifolia-1318-D-TG7-PbcR_C14g09513
Mvsl_MvDv_A1pair_1108.results.txt	2.73312	2.64973	39.37866	187.63838	0.0694061	MvSl-1064-A1-R4_A1g01508	MvSlatifolia-1318-D-TG7-PbcR_C14g09520
Mvsl_MvDv_A1pair_1109.results.txt	2.28512	1.02903	0.04648	0.05295	49.1635	MvSl-1064-A1-R4_A1g01509	MvSlatifolia-1318-D-TG7-PbcR_C14g09521
Mvsl_MvDv_A1pair_111.results.txt	0.00000	0.00009	0.00001	0.00000	0	MvSl-1064-A1-R4_A1g00144	MvSlatifolia-1318-D-TG7-PbcR_C03g03177
Mvsl_MvDv_A1pair_1110.results.txt	0.00000	0.00042	0.00002	0.00179	0	MvSl-1064-A1-R4_A1g01514	MvSlatifolia-1318-D-TG7-PbcR_C03g03326
Mvsl_MvDv_A1pair_1112.results.txt	0.56795	0.28335	2.38878	1.75494	0.237757	MvSl-1064-A1-R4_MC01-1g01697	MvSlatifolia-1318-D-TG7-PbcR_C01g00001
Mvsl_MvDv_A1pair_1114.results.txt	0.00000	0.01785	0.00001	0.05329	0	MvSl-1064-A1-R4_MC01-1g01700	MvSlatifolia-1318-D-TG7-PbcR_C01g00004
Mvsl_MvDv_A1pair_1115.results.txt	1.02370	0.37299	51.71785	174.22408	0.0197939	MvSl-1064-A1-R4_MC01-1g01701	MvSlatifolia-1318-D-TG7-PbcR_C01g00005
Mvsl_MvDv_A1pair_1117.results.txt	0.36705	0.15665	79.47254	291.40756	0.00461858	MvSl-1064-A1-R4_MC01-1g01703	MvSlatifolia-1318-D-TG7-PbcR_C01g00007
Mvsl_MvDv_A1pair_1118.results.txt	0.63475	0.29296	1.73883	1.09637	0.365044	MvSl-1064-A1-R4_MC01-1g01705	MvSlatifolia-1318-D-TG7-PbcR_C01g00009
Mvsl_MvDv_A1pair_1121.results.txt	7.72282	30.77311	9.53003	93.78803	0.810367	MvSl-1064-A1-R4_MC01-1g01708	MvSlatifolia-1318-D-TG7-PbcR_C01g00013
Mvsl_MvDv_A1pair_1124.results.txt	0.68775	0.30942	43.78996	54.67913	0.0157057	MvSl-1064-A1-R4_MC01-1g01711	MvSlatifolia-1318-D-TG7-PbcR_C01g00016
Mvsl_MvDv_A1pair_1126.results.txt	0.02337	0.02351	0.00024	0.00230	97.3746	MvSl-1064-A1-R4_MC01-1g01713	MvSlatifolia-1318-D-TG7-PbcR_C01g00018
Mvsl_MvDv_A1pair_1127.results.txt	0.00000	0.00000	0.00001	0.00000	0	MvSl-1064-A1-R4_MC01-1g01714	MvSlatifolia-1318-D-TG7-PbcR_C01g00019
Mvsl_MvDv_A1pair_1130.results.txt	0.77894	0.40193	15.28022	43.90084	0.050977	MvSl-1064-A1-R4_MC01-1g01719	MvSlatifolia-1318-D-TG7-PbcR_C01g00024
