gene	chr	chrom	DE	expmean	dN	dNse	dS	dSse	dnds	haploid
MvSl-1064-A1-R4_A1g00644	faBlack	NRR	Up	5.55818	0.00197	0.00114	0.00002	0.00003	98.01	A1
MvSl-1064-A1-R4_A1g00645	faBlack	NRR	NON	6.09457	0	0	0.00225	0	0	A1
MvSl-1064-A1-R4_A1g00646	faBlack	NRR	Up	8.56593	0.0009	0.00089	0.00503	0.00356	0.178923	A1
MvSl-1064-A1-R4_A1g00648	faBlack	NRR	Down	6.10116	0.00115	0.00115	0.00331	0.00334	0.347422	A1
MvSl-1064-A1-R4_A1g00668	eOrange	NRR	Up	7.30375	0.002	0.002	0.00002	0.0001	99.5025	A1
MvSl-1064-A1-R4_A1g00669	eOrange	NRR	NON	6.01191	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g00694	faBlack	NRR	NON	7.19115	0	0.00007	0.00002	0	0	A1
MvSl-1064-A1-R4_A1g00732	faBlack	NRR	NON	6.55024	0.00139	0.00139	0.00001	0	137.624	A1
MvSl-1064-A1-R4_A1g00749	faBlack	NRR	NON	7.67663	0.00496	0.00221	0.00414	0.0029	1.19804	A1
MvSl-1064-A1-R4_A1g00750	faBlack	NRR	NON	6.03858	0.00175	0.00175	0.00002	0	87.0647	A1
MvSl-1064-A1-R4_A1g00751	faBlack	NRR	NON	8.22365	0.00134	0.00135	0.00328	0.0033	0.408524	A1
MvSl-1064-A1-R4_A1g00757	faBlack	NRR	NON	1.88795	0.00312	0.00312	0.00003	0.00011	103.654	A1
MvSl-1064-A1-R4_A1g00772	fBlue	NRR	NON	4.27738	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g00778	faBlack	NRR	NON	4.58693	0.00001	0	0.00834	0	0.00119903	A1
MvSl-1064-A1-R4_A1g00779	faBlack	NRR	NON	7.67674	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g00801	fBlue	NRR	NON	3.65382	0	0.00427	0.00001	0.01071	0	A1
MvSl-1064-A1-R4_A1g00832	faBlack	NRR	NON	7.36923	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g00840	faBlack	NRR	NON	6.58748	0.00089	0.00063	0.00188	0.00133	0.473379	A1
MvSl-1064-A1-R4_A1g00842	faBlack	NRR	NON	7.59865	0.45293	0.07236	0.78733	0.20105	0.575273	A1
MvSl-1064-A1-R4_A1g00843	faBlack	NRR	NON	4.212	0	0.02991	0.00001	0.05926	0	A1
MvSl-1064-A1-R4_A1g00845	faBlack	NRR	NON	6.68877	0	0	0.0028	0.00009	0	A1
MvSl-1064-A1-R4_A1g00853	gPurple	NRR	Up	8.02149	0.02033	0.00825	0.01141	0.00462	1.78175	A1
MvSl-1064-A1-R4_A1g00854	gPurple	NRR	Down	7.50358	0	0	0	0	0	A1
MvSl-1064-A1-R4_A1g00869	faBlack	NRR	NON	9.56132	0.00457	0.00324	0.00005	0.00003	91.2176	A1
MvSl-1064-A1-R4_A1g00886	faBlack	NRR	NON	4.27201	0	0	0.00191	0.00191	0	A1
MvSl-1064-A1-R4_A1g00912	faBlack	NRR	NON	5.54275	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_A1g00920	faBlack	NRR	Up	6.16843	0.00073	0.00052	0.00129	0.00091	0.565848	A1
MvSl-1064-A1-R4_A1g00921	faBlack	NRR	NON	7.34827	0	0.00658	0.00001	0.0149	0	A1
MvSl-1064-A1-R4_A1g00922	faBlack	NRR	NON	6.42017	0.00207	0.00105	0.00829	0.00398	0.249695	A1
MvSl-1064-A1-R4_A1g00929	faBlack	NRR	Down	-1.63218	0.01476	0.00862	0.0318	0.0188	0.464149	A1
MvSl-1064-A1-R4_A1g00956	faBlack	NRR	Down	5.00345	0.00073	0.00073	0.00001	0.00002	72.2772	A1
MvSl-1064-A1-R4_A1g00957	faBlack	NRR	NON	4.90728	0	0.00005	0.00001	0.00862	0	A1
