gene	chr	chrom	DE	expmean	dN	dNse	dS	dSse	dnds	haploid
MvSl-1064-A1-R4_MC01-1g02527	aAutosome	aAutosome	NON	5.70946	0.00002	0	0.01533	0	0.00130462	A1
MvSl-1064-A1-R4_MC01-1g02528	aAutosome	aAutosome	NON	7.39187	0.00001	0	0.01317	0	0.000759296	A1
MvSl-1064-A1-R4_MC01-1g02529	aAutosome	aAutosome	NON	4.72414	0.00595	0.00597	0.00006	0.00006	99.0017	A1
MvSl-1064-A1-R4_MC01-1g02530	aAutosome	aAutosome	NON	7.37218	0.00137	0.00069	0.00639	0.00226	0.214394	A1
MvSl-1064-A1-R4_MC01-1g02531	aAutosome	aAutosome	NON	5.44446	0.0022	0.0011	0.00603	0.0027	0.364836	A1
MvSl-1064-A1-R4_MC01-1g02532	aAutosome	aAutosome	NON	6.84745	0	0.00132	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02533	aAutosome	aAutosome	NON	5.43161	0	0.00038	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02534	aAutosome	aAutosome	NON	0.846881	0.00545	0.00244	0.00451	0.00453	1.2084	A1
MvSl-1064-A1-R4_MC01-1g02535	aAutosome	aAutosome	NON	6.88929	0.02914	0.00785	0.02319	0.00645	1.25657	A1
MvSl-1064-A1-R4_MC01-1g02536	aAutosome	aAutosome	NON	4.34915	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02537	aAutosome	aAutosome	NON	5.45835	0	0.00005	0.00001	0.00445	0	A1
MvSl-1064-A1-R4_MC01-1g02538	aAutosome	aAutosome	NON	8.07332	0.00137	0.00097	0.00001	0.00004	135.644	A1
MvSl-1064-A1-R4_MC01-1g02539	aAutosome	aAutosome	NON	6.73949	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02540	aAutosome	aAutosome	NON	3.47222	0.01144	0.00502	0.01073	0.00723	1.06616	A1
MvSl-1064-A1-R4_MC01-1g02541	aAutosome	aAutosome	NON	7.01908	0.00105	0.00105	0.00001	0	103.96	A1
MvSl-1064-A1-R4_MC01-1g02542	aAutosome	aAutosome	NON	5.9415	0.00179	0.00179	0.00002	0	89.0547	A1
MvSl-1064-A1-R4_MC01-1g02543	aAutosome	aAutosome	NON	4.30664	0.00866	0.00331	0.00476	0	1.81929	A1
MvSl-1064-A1-R4_MC01-1g02544	aAutosome	aAutosome	NON	6.49036	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02545	aAutosome	aAutosome	Down	4.91521	0.00001	0.00019	0.00785	0.00754	0.00127387	A1
MvSl-1064-A1-R4_MC01-1g02546	aAutosome	aAutosome	NON	9.405	0.00001	0	0.00553	0	0.00180829	A1
MvSl-1064-A1-R4_MC01-1g02554	aAutosome	aAutosome	NON	7.34941	0.0008	0.0008	0.00001	0.00003	79.2079	A1
MvSl-1064-A1-R4_MC01-1g02556	aAutosome	aAutosome	NON	5.84381	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02557	aAutosome	aAutosome	NON	6.45855	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02558	aAutosome	aAutosome	NON	7.73806	0.00002	0	0.02493	0.00225	0.000802243	A1
MvSl-1064-A1-R4_MC01-1g02559	aAutosome	aAutosome	NON	7.81898	0.0044	0.00187	0.00593	0.00278	0.741977	A1
MvSl-1064-A1-R4_MC01-1g02560	aAutosome	aAutosome	NON	4.48801	0.00693	0.00701	0.03165	0.03226	0.218957	A1
MvSl-1064-A1-R4_MC01-1g02561	aAutosome	aAutosome	NON	5.26913	0.00199	0.00141	0.00525	0.00304	0.37904	A1
MvSl-1064-A1-R4_MC01-1g02563	aAutosome	aAutosome	NON	6.84423	0.00167	0.00168	0.00002	0.00003	83.0846	A1
MvSl-1064-A1-R4_MC01-1g02565	aAutosome	aAutosome	NON	2.99804	0.00673	0.00388	0.00521	0.00512	1.29172	A1
MvSl-1064-A1-R4_MC01-1g02567	aAutosome	aAutosome	NON	3.44343	0.19457	0.04223	0.31927	0.10374	0.609421	A1
MvSl-1064-A1-R4_MC01-1g02568	aAutosome	aAutosome	NON	7.38879	0	0.00701	0.00001	0.01416	0	A1
MvSl-1064-A1-R4_MC01-1g02569	aAutosome	aAutosome	NON	6.89645	0.00516	0.00365	0.01374	0.00976	0.375543	A1
MvSl-1064-A1-R4_MC01-1g02570	aAutosome	aAutosome	NON	5.0271	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02572	aAutosome	aAutosome	NON	4.74579	0	0	0	0	0	A1
MvSl-1064-A1-R4_MC01-1g02573	aAutosome	aAutosome	NON	6.96378	0.00728	0.00729	0.00007	0.00044	103.852	A1
MvSl-1064-A1-R4_MC01-1g02574	aAutosome	aAutosome	NON	5.94352	0	0.00123	0	0.00174	0	A1
MvSl-1064-A1-R4_MC01-1g02576	aAutosome	aAutosome	NON	5.95261	0.71503	0.10386	1.869	0.97832	0.382574	A1
MvSl-1064-A1-R4_MC01-1g02577	aAutosome	aAutosome	NON	4.38298	0.0057	0.00403	0.00006	0.00005	94.8419	A1
MvSl-1064-A1-R4_MC01-1g02578	aAutosome	aAutosome	NON	7.74639	0.00079	0.0008	0.00735	0.00428	0.107482	A1
MvSl-1064-A1-R4_MC01-1g02579	aAutosome	aAutosome	NON	7.32041	0.00739	0.00523	0.00007	0.00028	105.421	A1
MvSl-1064-A1-R4_MC01-1g02580	aAutosome	aAutosome	NON	9.09812	0	0.00007	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02583	aAutosome	aAutosome	NON	5.19883	0.00277	0.00288	0.01657	0.01228	0.167169	A1
MvSl-1064-A1-R4_MC01-1g02584	aAutosome	aAutosome	NON	0.195839	0	0	0.00288	0	0	A1
MvSl-1064-A1-R4_MC01-1g02585	aAutosome	aAutosome	NON	3.11336	0.00001	0	0	0	100	A1
MvSl-1064-A1-R4_MC01-1g02590	aAutosome	aAutosome	NON	5.86638	0.00796	0.00564	0.00008	0	99.3758	A1
MvSl-1064-A1-R4_MC01-1g02591	aAutosome	aAutosome	NON	5.46795	0.00001	0	0.0093	0.00204	0.00107526	A1
MvSl-1064-A1-R4_MC01-1g02592	aAutosome	aAutosome	NON	5.70576	0.00411	0.00412	0.00004	0	102.494	A1
MvSl-1064-A1-R4_MC01-1g02593	aAutosome	aAutosome	NON	9.70463	0	0.03984	0.00001	0.09392	0	A1
MvSl-1064-A1-R4_MC01-1g02599	aAutosome	aAutosome	NON	7.10901	0.0057	0.00545	0.01243	0.01256	0.458564	A1
MvSl-1064-A1-R4_MC01-1g02601	aAutosome	aAutosome	NON	1.72328	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02602	aAutosome	aAutosome	NON	6.62676	0	0	0	0	0	A1
MvSl-1064-A1-R4_MC01-1g02604	aAutosome	aAutosome	NON	2.22651	0.00731	0.00366	0.00569	0.0057	1.28469	A1
MvSl-1064-A1-R4_MC01-1g02606	aAutosome	aAutosome	NON	7.06584	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02607	aAutosome	aAutosome	NON	5.39888	0.00001	0	0.00698	0	0.00143264	A1
MvSl-1064-A1-R4_MC01-1g02608	aAutosome	aAutosome	NON	8.24133	0.25192	0.0274	0.59382	0.09113	0.424236	A1
MvSl-1064-A1-R4_MC01-1g02609	aAutosome	aAutosome	NON	5.7872	0.00205	0.00119	0.00895	0.00404	0.229048	A1
MvSl-1064-A1-R4_MC01-1g02610	aAutosome	aAutosome	NON	1.97677	0	0.00003	0.00001	0.00579	0	A1
MvSl-1064-A1-R4_MC01-1g02614	aAutosome	aAutosome	NON	6.6012	0.00545	0.00174	0.00356	0.00128	1.53086	A1
MvSl-1064-A1-R4_MC01-1g02615	aAutosome	aAutosome	NON	5.85856	0.00333	0.00335	0.0097	0.0098	0.343295	A1
MvSl-1064-A1-R4_MC01-1g02616	aAutosome	aAutosome	NON	7.78851	0.00382	0.00199	0.00749	0.00449	0.510007	A1
MvSl-1064-A1-R4_MC01-1g02617	aAutosome	aAutosome	NON	7.43529	0.00246	0	0.00864	0	0.284719	A1
MvSl-1064-A1-R4_MC01-1g02618	aAutosome	aAutosome	NON	7.60117	0.00282	0.00126	0.01177	0.00525	0.23959	A1
MvSl-1064-A1-R4_MC01-1g02621	aAutosome	aAutosome	NON	5.32456	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02622	aAutosome	aAutosome	NON	6.32098	0	0.00004	0.00002	0.00656	0	A1
MvSl-1064-A1-R4_MC01-1g02623	aAutosome	aAutosome	NON	7.94064	0.00067	0.00067	0.00133	0.00133	0.503722	A1
MvSl-1064-A1-R4_MC01-1g02624	aAutosome	aAutosome	NON	5.57289	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02625	aAutosome	aAutosome	NON	4.09833	0	0	0.0021	0	0	A1
MvSl-1064-A1-R4_MC01-1g02627	aAutosome	aAutosome	NON	5.77115	0.00234	0.00234	0.00002	0	116.418	A1
MvSl-1064-A1-R4_MC01-1g02630	aAutosome	aAutosome	NON	6.37944	0.00716	0.00507	0.00007	0.00029	102.14	A1
MvSl-1064-A1-R4_MC01-1g02631	aAutosome	aAutosome	NON	5.79276	0.00854	0.0038	0.00368	0.00357	2.32059	A1
MvSl-1064-A1-R4_MC01-1g02632	aAutosome	aAutosome	NON	2.6413	0.00922	0.00535	0.00837	0.00845	1.10154	A1
MvSl-1064-A1-R4_MC01-1g02634	aAutosome	aAutosome	NON	1.59315	0.02582	0.01062	0.00026	0.00119	99.2695	A1
MvSl-1064-A1-R4_MC01-1g02635	aAutosome	aAutosome	NON	2.20087	0.60657	0.06035	1.63852	0.43168	0.370194	A1
MvSl-1064-A1-R4_MC01-1g02636	aAutosome	aAutosome	NON	6.76953	0.00002	0	0.01637	0	0.00122174	A1
MvSl-1064-A1-R4_MC01-1g02638	aAutosome	aAutosome	NON	4.94549	0.16337	0.02562	0.2569	0.06746	0.635928	A1
MvSl-1064-A1-R4_MC01-1g02640	aAutosome	aAutosome	NON	3.63822	0	0	0.00337	0.00238	0	A1
MvSl-1064-A1-R4_MC01-1g02641	aAutosome	aAutosome	NON	6.7261	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02642	aAutosome	aAutosome	NON	8.73798	0.00164	0.00093	0.00178	0.00122	0.921297	A1
MvSl-1064-A1-R4_MC01-1g02643	aAutosome	aAutosome	NON	6.31163	0.00424	0.003	0.00004	0	105.736	A1
MvSl-1064-A1-R4_MC01-1g02644	aAutosome	aAutosome	NON	6.40799	0.00001	0	0.00795	0.00027	0.00125785	A1
MvSl-1064-A1-R4_MC01-1g02645	aAutosome	aAutosome	NON	5.95586	0	0	0.00002	0	0	A1
MvSl-1064-A1-R4_MC01-1g02648	aAutosome	aAutosome	NON	10.2262	0.00458	0.00265	0.00346	0.00348	1.32366	A1
MvSl-1064-A1-R4_MC01-1g02650	aAutosome	aAutosome	NON	3.39147	0.00149	0.00146	0.00453	0.00445	0.328911	A1
MvSl-1064-A1-R4_MC01-1g02653	aAutosome	aAutosome	NON	2.96808	0.93795	0.18225	1.45522	0.69159	0.644542	A1
MvSl-1064-A1-R4_MC01-1g02655	aAutosome	aAutosome	NON	6.20469	0.00706	0.00265	0.00483	0.00246	1.46167	A1
MvSl-1064-A1-R4_MC01-1g02656	aAutosome	aAutosome	NON	3.92996	0.87885	0.1302	1.63319	0.54689	0.538119	A1
MvSl-1064-A1-R4_MC01-1g02657	aAutosome	aAutosome	NON	8.44839	0.00244	0.00246	0.01049	0.01062	0.2326	A1
MvSl-1064-A1-R4_MC01-1g02658	aAutosome	aAutosome	NON	2.83126	0.00337	0.0033	0.00548	0.00537	0.614952	A1
MvSl-1064-A1-R4_MC01-1g02659	aAutosome	aAutosome	NON	4.69791	0.00211	0.00211	0.00002	0	104.975	A1
MvSl-1064-A1-R4_MC01-1g02660	aAutosome	aAutosome	NON	5.2873	0.00942	0.00312	0.01497	0.00496	0.629254	A1
MvSl-1064-A1-R4_MC01-1g02661	aAutosome	aAutosome	NON	7.15509	0.0028	0.00126	0.00787	0.00356	0.355777	A1
MvSl-1064-A1-R4_MC01-1g02662	aAutosome	aAutosome	NON	5.39316	0.00001	0	0.0137	0	0.000729922	A1
MvSl-1064-A1-R4_MC01-1g02663	aAutosome	aAutosome	NON	3.97634	0	0.00124	0.00001	0.00245	0	A1
MvSl-1064-A1-R4_MC01-1g02665	aAutosome	aAutosome	NON	8.5748	0.00299	0.00209	0.00447	0.00435	0.668889	A1
MvSl-1064-A1-R4_MC01-1g02667	aAutosome	aAutosome	NON	6.33682	0.01419	0.0057	0.04724	0.02019	0.30038	A1
MvSl-1064-A1-R4_MC01-1g02668	aAutosome	aAutosome	NON	-0.284247	0.00001	0	0.00688	0.00021	0.00145347	A1
MvSl-1064-A1-R4_MC01-1g02670	aAutosome	aAutosome	NON	1.18135	0.00191	0.00179	0.00455	0.00429	0.419771	A1
MvSl-1064-A1-R4_MC01-1g02671	aAutosome	aAutosome	NON	5.10485	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02673	aAutosome	aAutosome	NON	6.30068	0.00001	0	0.0058	0	0.00172411	A1
MvSl-1064-A1-R4_MC01-1g02674	aAutosome	aAutosome	NON	6.7936	0.00151	0.0015	0.00249	0.00249	0.606401	A1
MvSl-1064-A1-R4_MC01-1g02675	aAutosome	aAutosome	NON	6.88254	0	0.00003	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02678	aAutosome	aAutosome	NON	6.20823	0.00076	0.00076	0.00166	0.00166	0.457804	A1
MvSl-1064-A1-R4_MC01-1g02681	aAutosome	aAutosome	NON	5.81075	0.00058	0.00059	0.00212	0.00214	0.273572	A1
MvSl-1064-A1-R4_MC01-1g02682	aAutosome	aAutosome	NON	7.75788	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02686	aAutosome	aAutosome	NON	2.39908	0	0.01595	0.00001	0.04158	0	A1
MvSl-1064-A1-R4_MC01-1g02688	aAutosome	aAutosome	NON	6.13063	0.00368	0.00213	0.00874	0.00439	0.421048	A1
MvSl-1064-A1-R4_MC01-1g02689	aAutosome	aAutosome	NON	5.56412	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02690	aAutosome	aAutosome	NON	8.28927	0.00089	0.00089	0.00168	0.00167	0.52973	A1
MvSl-1064-A1-R4_MC01-1g02691	aAutosome	aAutosome	NON	7.5499	0.00407	0.00289	0.00478	0.00481	0.851447	A1
MvSl-1064-A1-R4_MC01-1g02693	aAutosome	aAutosome	NON	6.70052	0.00508	0.00509	0.00005	0.00005	101.397	A1
MvSl-1064-A1-R4_MC01-1g02694	aAutosome	aAutosome	NON	6.91434	0.02552	0.01133	0.05125	0.02511	0.49795	A1
MvSl-1064-A1-R4_MC01-1g02695	aAutosome	aAutosome	NON	7.9766	0.00077	0.00077	0.00702	0.00407	0.109685	A1
MvSl-1064-A1-R4_MC01-1g02696	aAutosome	aAutosome	NON	5.0985	0.00442	0.00443	0.01142	0.01154	0.387037	A1
MvSl-1064-A1-R4_MC01-1g02697	aAutosome	aAutosome	NON	3.12823	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02698	aAutosome	aAutosome	NON	2.09961	0.00412	0.00412	0.00902	0.00904	0.456758	A1
MvSl-1064-A1-R4_MC01-1g02699	aAutosome	aAutosome	NON	6.13749	0.00297	0.00134	0.00317	0.0023	0.936879	A1
MvSl-1064-A1-R4_MC01-1g02700	aAutosome	aAutosome	NON	5.07897	0.00163	0.00094	0.00172	0.00099	0.947619	A1
MvSl-1064-A1-R4_MC01-1g02702	aAutosome	aAutosome	NON	6.51145	0.00166	0.00165	0.00692	0.0049	0.239881	A1
MvSl-1064-A1-R4_MC01-1g02703	aAutosome	aAutosome	NON	5.44296	0.00183	0.00186	0.00378	0.00385	0.484114	A1
MvSl-1064-A1-R4_MC01-1g02704	aAutosome	aAutosome	NON	5.96863	0.00157	0.00157	0.00002	0.00005	78.1095	A1
MvSl-1064-A1-R4_MC01-1g02705	aAutosome	aAutosome	NON	7.33948	0.00346	0.00251	0.00445	0.0035	0.777511	A1
MvSl-1064-A1-R4_MC01-1g02706	aAutosome	aAutosome	NON	5.21611	0.08743	0.02749	0.15276	0.05306	0.572335	A1
MvSl-1064-A1-R4_MC01-1g02709	aAutosome	aAutosome	NON	6.79969	0	0.00007	0.00001	0.00465	0	A1
MvSl-1064-A1-R4_MC01-1g02710	aAutosome	aAutosome	NON	8.04138	0.00209	0.00198	0.00754	0.00708	0.277185	A1
MvSl-1064-A1-R4_MC01-1g02712	aAutosome	aAutosome	NON	7.00916	0.00628	0.00364	0.00006	0.00022	104.493	A1
MvSl-1064-A1-R4_MC01-1g02713	aAutosome	aAutosome	NON	6.66667	0.00152	0.00147	0.01046	0.00751	0.145314	A1
MvSl-1064-A1-R4_MC01-1g02714	aAutosome	aAutosome	NON	7.39668	0.00002	0	0.02322	0.00168	0.000861323	A1
MvSl-1064-A1-R4_MC01-1g02715	aAutosome	aAutosome	NON	3.93908	0.00638	0.00315	0.0055	0.00523	1.15998	A1
MvSl-1064-A1-R4_MC01-1g02716	aAutosome	aAutosome	NON	-0.166022	0	0.00003	0.00002	0.00322	0	A1
MvSl-1064-A1-R4_MC01-1g02717	aAutosome	aAutosome	NON	3.00551	0	0.00006	0.00002	0.00433	0	A1
MvSl-1064-A1-R4_MC01-1g02718	aAutosome	aAutosome	NON	5.11816	0.00657	0.00466	0.00007	0.00015	93.7233	A1
MvSl-1064-A1-R4_MC01-1g02719	aAutosome	aAutosome	NON	6.42136	0.00283	0.00201	0.00003	0	94.0199	A1
MvSl-1064-A1-R4_MC01-1g02721	aAutosome	aAutosome	NON	7.08317	0	0	0.00001	0.00432	0	A1
MvSl-1064-A1-R4_MC01-1g02722	aAutosome	aAutosome	NON	8.06384	0.26467	0.03743	0.56581	0.12851	0.467772	A1
MvSl-1064-A1-R4_MC01-1g02725	aAutosome	aAutosome	Down	3.84516	0.00778	0.00422	0.00554	0.00709	1.40431	A1
MvSl-1064-A1-R4_MC01-1g02727	aAutosome	aAutosome	NON	2.37914	0.00002	0	0.02327	0.00593	0.000859472	A1
MvSl-1064-A1-R4_MC01-1g02730	aAutosome	aAutosome	NON	5.23994	0.00457	0.0046	0.02352	0.01678	0.194302	A1
MvSl-1064-A1-R4_MC01-1g02731	aAutosome	aAutosome	NON	7.03021	0.00164	0.00164	0.00482	0.00483	0.340242	A1
MvSl-1064-A1-R4_MC01-1g02732	aAutosome	aAutosome	NON	4.42256	0.15371	0.03011	0.34985	0.08397	0.43936	A1
MvSl-1064-A1-R4_MC01-1g02734	aAutosome	aAutosome	Down	2.79002	0.00003	0	0.02599	0	0.00115429	A1
MvSl-1064-A1-R4_MC01-1g02737	aAutosome	aAutosome	NON	2.34752	0.00001	0	0.01304	0.00073	0.000766865	A1
MvSl-1064-A1-R4_MC01-1g02740	aAutosome	aAutosome	NON	6.282	0.00167	0.00097	0.00638	0.00286	0.261751	A1
MvSl-1064-A1-R4_MC01-1g02741	aAutosome	aAutosome	NON	7.94574	0	0.00003	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02750	aAutosome	aAutosome	NON	4.66162	0.00001	0	0.00604	0.00069	0.0016556	A1
MvSl-1064-A1-R4_MC01-1g02751	aAutosome	aAutosome	NON	2.69019	0.00649	0.00447	0.02348	0.01339	0.276404	A1
MvSl-1064-A1-R4_MC01-1g02752	aAutosome	aAutosome	NON	6.20357	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02761	aAutosome	aAutosome	NON	3.21393	0.00761	0.0044	0.00008	0.00023	95.0062	A1
MvSl-1064-A1-R4_MC01-1g02762	aAutosome	aAutosome	NON	7.1462	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02764	aAutosome	aAutosome	Down	7.55118	0.00001	0.00008	0.01024	0.01016	0.000976553	A1
MvSl-1064-A1-R4_MC01-1g02765	aAutosome	aAutosome	NON	5.44648	0	0.00007	0.00002	0.00436	0	A1
MvSl-1064-A1-R4_MC01-1g02766	aAutosome	aAutosome	NON	6.97421	0	0.00273	0.00001	0.00505	0	A1
MvSl-1064-A1-R4_MC01-1g02767	aAutosome	aAutosome	NON	8.15305	0.00239	0.00138	0.00002	0.00008	118.905	A1
MvSl-1064-A1-R4_MC01-1g02768	aAutosome	aAutosome	NON	5.85861	0.0093	0.00663	0.00009	0.00049	103.219	A1
MvSl-1064-A1-R4_MC01-1g02769	aAutosome	aAutosome	Down	3.39906	0.00521	0.00369	0.00623	0.00623	0.836263	A1
MvSl-1064-A1-R4_MC01-1g02770	aAutosome	aAutosome	NON	5.50469	0.00687	0.00316	0.01867	0.00913	0.367968	A1
MvSl-1064-A1-R4_MC01-1g02771	aAutosome	aAutosome	NON	5.18328	0.00363	0.00258	0.01336	0.00954	0.271705	A1
MvSl-1064-A1-R4_MC01-1g02776	aAutosome	aAutosome	NON	6.91418	0.00085	0.0006	0.00001	0.00001	84.1584	A1
MvSl-1064-A1-R4_MC01-1g02777	aAutosome	aAutosome	NON	1.79184	0.0215	0.00877	0.03878	0.02163	0.554408	A1
MvSl-1064-A1-R4_MC01-1g02780	aAutosome	aAutosome	NON	3.39477	0.80944	0.13151	2.07645	0.83984	0.389819	A1
MvSl-1064-A1-R4_MC01-1g02782	aAutosome	aAutosome	NON	6.10797	0	0.00004	0.00002	0.00475	0	A1
MvSl-1064-A1-R4_MC01-1g02783	aAutosome	aAutosome	NON	4.85436	0	0.00003	0.00002	0	0	A1
MvSl-1064-A1-R4_MC01-1g02786	aAutosome	aAutosome	NON	5.53716	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02788	aAutosome	aAutosome	NON	6.12792	0.00429	0.00104	0.00661	0.00167	0.649007	A1
MvSl-1064-A1-R4_MC01-1g02791	aAutosome	aAutosome	NON	5.41273	0.00426	0.00301	0.00574	0.00573	0.742147	A1
MvSl-1064-A1-R4_MC01-1g02792	aAutosome	aAutosome	NON	8.45011	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02793	aAutosome	aAutosome	NON	8.26103	0.0017	0.00171	0.01244	0.00722	0.136655	A1
MvSl-1064-A1-R4_MC01-1g02794	aAutosome	aAutosome	NON	6.80287	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02795	aAutosome	aAutosome	NON	6.32352	0	0.00004	0.00001	0.0058	0	A1
MvSl-1064-A1-R4_MC01-1g02798	aAutosome	aAutosome	NON	2.16475	0.03361	0.01185	0.17241	0.05836	0.194942	A1
MvSl-1064-A1-R4_MC01-1g02799	aAutosome	aAutosome	NON	7.36373	0	0	0	0	0	A1
MvSl-1064-A1-R4_MC01-1g02800	aAutosome	aAutosome	NON	7.51676	0.00073	0.00073	0.00299	0.00211	0.244139	A1
MvSl-1064-A1-R4_MC01-1g02801	aAutosome	aAutosome	NON	4.17836	0.00216	0.00216	0.00561	0.00562	0.38502	A1
MvSl-1064-A1-R4_MC01-1g02802	aAutosome	aAutosome	NON	6.87699	0.00001	0	0.00813	0.00016	0.00123	A1
MvSl-1064-A1-R4_MC01-1g02803	aAutosome	aAutosome	NON	7.97006	0.00504	0.00357	0.00005	0.00031	100.599	A1
MvSl-1064-A1-R4_MC01-1g02805	aAutosome	aAutosome	Down	0.055489	0.00278	0.0014	0.00312	0.00222	0.890997	A1
MvSl-1064-A1-R4_MC01-1g02809	aAutosome	aAutosome	NON	3.952	0.00001	0	0.00733	0.00103	0.00136424	A1
MvSl-1064-A1-R4_MC01-1g02810	aAutosome	aAutosome	NON	7.26713	0	0.00551	0.00001	0.0108	0	A1
MvSl-1064-A1-R4_MC01-1g02811	aAutosome	aAutosome	NON	9.51541	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02812	aAutosome	aAutosome	NON	5.39598	0.0009	0.0009	0.00001	0	89.1089	A1
MvSl-1064-A1-R4_MC01-1g02815	aAutosome	aAutosome	NON	7.37681	0	0	0.00001	0	0	A1
MvSl-1064-A1-R4_MC01-1g02817	aAutosome	aAutosome	NON	7.1579	0	0	0.00182	0	0	A1
MvSl-1064-A1-R4_MC01-1g02818	aAutosome	aAutosome	NON	7.09957	0.00459	0.00205	0.00604	0.0027	0.759921	A1
MvSl-1064-A1-R4_MC01-1g02820	aAutosome	aAutosome	NON	6.00513	0.00001	0	0.01339	0.00073	0.00074682	A1
MvSl-1064-A1-R4_MC01-1g02821	aAutosome	aAutosome	NON	5.90073	0.00339	0.0034	0.00003	0.00003	112.625	A1
MvSl-1064-A1-R4_MC01-1g02822	aAutosome	aAutosome	NON	7.09037	0.00504	0.00506	0.02697	0.02733	0.186874	A1
MvSl-1064-A1-R4_MC01-1g02823	aAutosome	aAutosome	NON	8.03437	0	0.02975	0	0.0003	0	A1
MvSl-1064-A1-R4_MC01-1g02825	aAutosome	aAutosome	NON	7.70931	0.0037	0.00213	0.00504	0.00356	0.734112	A1
MvSl-1064-A1-R4_MC01-1g02831	aAutosome	aAutosome	NON	3.85879	0.01202	0.00429	0.02051	0.00848	0.586053	A1
MvSl-1064-A1-R4_MC01-1g02832	aAutosome	aAutosome	NON	3.71032	0.00002	0	0.02057	0	0.000972285	A1
MvSl-1064-A1-R4_MC01-1g02834	aAutosome	aAutosome	NON	9.72542	0.00001	0	0.01207	0.00118	0.000828494	A1
MvSl-1064-A1-R4_MC01-1g02835	aAutosome	aAutosome	NON	7.08877	0	0.00004	0.00002	0.005	0	A1
MvSl-1064-A1-R4_MC01-1g02838	aAutosome	aAutosome	NON	5.35234	0.00438	0.00253	0.00747	0.00529	0.586338	A1
MvSl-1064-A1-R4_MC01-1g02839	aAutosome	aAutosome	NON	3.3906	0.01242	0.00273	0.01782	0.00263	0.696966	A1
MvSl-1064-A1-R4_MC01-1g02841	aAutosome	aAutosome	NON	5.06003	0.01142	0.00308	0.01166	0.00446	0.979408	A1
MvSl-1064-A1-R4_MC01-1g02845	aAutosome	aAutosome	NON	3.40934	0.01311	0.00354	0.02227	0.00681	0.588682	A1
MvSl-1064-A1-R4_MC01-1g02846	aAutosome	aAutosome	NON	2.10909	0.01394	0.00699	0.00595	0.00584	2.34282	A1
MvSl-1064-A1-R4_MC01-1g02860	aAutosome	aAutosome	NON	-0.550175	0.02384	0.0099	0.08026	0.03152	0.297034	A1
MvSl-1064-A1-R4_MC01-1g02861	aAutosome	aAutosome	NON	4.20378	0.00448	0.00259	0.00005	0.00012	89.4212	A1
MvSl-1064-A1-R4_MC01-1g02862	aAutosome	aAutosome	NON	0.225342	0.00835	0.00485	0.00008	0.0003	104.245	A1
MvSl-1064-A1-R4_MC01-1g02863	aAutosome	aAutosome	NON	5.62394	0.00279	0.0028	0.00521	0.00524	0.535498	A1
MvSl-1064-A1-R4_MC01-1g02864	aAutosome	aAutosome	NON	6.21003	0.00262	0.00261	0.01183	0.00838	0.221469	A1
MvSl-1064-A1-R4_MC01-1g02870	aAutosome	aAutosome	Up	1.1796	0.0167	0.00841	0.00017	0.00065	98.1775	A1
MvSl-1064-A1-R4_MC01-1g02923	aAutosome	aAutosome	NON	0.310394	0.02935	0.00331	0.30907	0.02257	0.0949623	A1
MvSl-1064-A1-R4_MC01-2g02961	aAutosome	aAutosome	NON	3.97765	0.01407	0.00718	0.03217	0.0191	0.437363	A1
MvSl-1064-A1-R4_MC01-2g02965	aAutosome	aAutosome	NON	5.55092	0.0045	0.00252	0.00298	0.00167	1.51002	A1
MvSl-1064-A1-R4_MC01-2g02967	aAutosome	aAutosome	NON	4.92025	0	0.00007	0.00001	0.00858	0	A1
