gene	rich1	rich2
MvSl-1064-A1-R4_A1g00162	9.1395	0
MvSl-1064-A1-R4_A1g00163	4.48591	3.25787
MvSl-1064-A1-R4_A1g00164	7.25104	2.15924
MvSl-1064-A1-R4_A1g00165	3607	4063
MvSl-1064-A1-R4_A1g00166	1314.52	1879.55
MvSl-1064-A1-R4_A1g00167	54.3625	35.0699
MvSl-1064-A1-R4_A1g00168	854.763	761.91
MvSl-1064-A1-R4_A1g00169	239.491	420.408
MvSl-1064-A1-R4_A1g00170	207.831	231.496
MvSl-1064-A1-R4_A1g00171	5.16293	10.5156
MvSl-1064-A1-R4_A1g00172	155.873	137.52
MvSl-1064-A1-R4_A1g00173	467	215
MvSl-1064-A1-R4_A1g00174	27615.3	16756.3
MvSl-1064-A1-R4_A1g00175	3168	3953
MvSl-1064-A1-R4_A1g00176	188.694	301.098
MvSl-1064-A1-R4_A1g00177	6	8
MvSl-1064-A1-R4_A1g00178	3298.3	3037.05
MvSl-1064-A1-R4_A1g00179	820.658	877.919
MvSl-1064-A1-R4_A1g00180	570.489	557.597
MvSl-1064-A1-R4_A1g00181	113.319	81.6714
MvSl-1064-A1-R4_A1g00182	146.759	256.479
MvSl-1064-A1-R4_A1g00183	365.991	453.494
MvSl-1064-A1-R4_A1g00184	1275	2016
MvSl-1064-A1-R4_A1g00185	5517	8309
MvSl-1064-A1-R4_A1g00186	8141	10919
MvSl-1064-A1-R4_A1g00187	171.507	225.895
MvSl-1064-A1-R4_A1g00188	1.95647	2.89067
MvSl-1064-A1-R4_A1g00189	12377	13112.8
MvSl-1064-A1-R4_A1g00190	105	105
MvSl-1064-A1-R4_A1g00191	2546.3	4912.64
MvSl-1064-A1-R4_A1g00192	767.49	652.623
MvSl-1064-A1-R4_A1g00193	6868.03	9922.12
MvSl-1064-A1-R4_A1g00194	289.532	311.794
MvSl-1064-A1-R4_A1g00195	34.9741	29.853
MvSl-1064-A1-R4_A1g00196	6.64967	3.99145
MvSl-1064-A1-R4_A1g00197	256.97	186.034
MvSl-1064-A1-R4_A1g00198	84.5116	86.13
MvSl-1064-A1-R4_A1g00199	1	0
MvSl-1064-A1-R4_A1g00200	23.6751	34.999
MvSl-1064-A1-R4_A1g00201	665.513	979.106
MvSl-1064-A1-R4_A1g00202	3	4
MvSl-1064-A1-R4_A1g00203	0.00969352	17.899
MvSl-1064-A1-R4_A1g00204	1.84428	0
MvSl-1064-A1-R4_A1g00205	40.0914	23.0778
MvSl-1064-A1-R4_A1g00206	1.2383	3.0077
MvSl-1064-A1-R4_A1g00207	0	2
MvSl-1064-A1-R4_A1g00208	252.153	234.196
MvSl-1064-A1-R4_A1g00209	1166.12	1248.41
MvSl-1064-A1-R4_A1g00210	1420	2117
MvSl-1064-A1-R4_A1g00211	4315	4643
MvSl-1064-A1-R4_A1g00212	29.8696	26.808
MvSl-1064-A1-R4_A1g00213	7.97754	4.62905
MvSl-1064-A1-R4_A1g00214	0	0
