gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A2-R4_A2g00153	1042	939	1995	2382	1106	1133
MvSl-1064-A2-R4_A2g00154	2159	2348	1917	2028	2069	2091
MvSl-1064-A2-R4_A2g00155	19209.3	17937.6	1003.34	1220.82	3280.33	3191.62
MvSl-1064-A2-R4_A2g00156	330.778	384.615	20.8395	105.712	57.9129	59.8362
MvSl-1064-A2-R4_A2g00157	360.026	378.132	29.8819	164.428	46.0374	56.6208
MvSl-1064-A2-R4_A2g00158	515.869	786.566	1518.66	1581.46	146.415	188.175
MvSl-1064-A2-R4_A2g00159	17.7528	35.1132	157.65	211.728	5	9
MvSl-1064-A2-R4_A2g00160	690.415	718.595	708.231	682.572	488.326	644.249
MvSl-1064-A2-R4_A2g00161	1794.08	1629.59	1243.56	1371.01	1404.08	1538.66
MvSl-1064-A2-R4_A2g00162	248.727	344.447	246.931	308.727	245.295	190.361
MvSl-1064-A2-R4_A2g00163	3216	2561	5833	6187	3516	2741
MvSl-1064-A2-R4_A2g00164	1409.61	1589.72	805.772	815.761	1007.75	831.908
MvSl-1064-A2-R4_A2g00165	61.2188	86.4033	132.691	127.692	53.4353	58.3067
MvSl-1064-A2-R4_A2g00166	34.8934	51.4433	106.789	153.856	105.214	93.7868
MvSl-1064-A2-R4_A2g00167	71.4083	119.919	11.4391	8.38116	23.0052	19.5925
MvSl-1064-A2-R4_A2g00168	448.473	363.223	114.62	98.0238	145.989	279.684
MvSl-1064-A2-R4_A2g00169	3210	3749	6655	9773	3289	2818
MvSl-1064-A2-R4_A2g00170	491.733	502.962	304.626	328.505	290.705	247.129
MvSl-1064-A2-R4_A2g00171	15636	15774.6	7208.84	9199.77	7674.33	8668.02
MvSl-1064-A2-R4_A2g00172	989.635	1200.93	2786.76	2438.14	857.504	1024.94
MvSl-1064-A2-R4_A2g00173	475.845	522.483	296.561	282.431	165.994	161.267
MvSl-1064-A2-R4_A2g00174	2517.68	2373.49	899.769	935.923	499.705	604
MvSl-1064-A2-R4_A2g00175	62.4514	45.8419	2.43799	2.57911	11.1316	5.17546
MvSl-1064-A2-R4_A2g00176	11419.1	13206.1	370.157	472.398	1702.25	2232.39
MvSl-1064-A2-R4_A2g00177	198.653	158.113	42.3124	48.2813	63.0391	140.85
MvSl-1064-A2-R4_A2g00178	1304	1064	420	454	727.78	580.09
MvSl-1064-A2-R4_A2g00179	400	265	1508	1718	486	455
MvSl-1064-A2-R4_A2g00180	1.04238	1.08572	1.03292	5.20154	0	0
MvSl-1064-A2-R4_A2g00181	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00182	43.7933	40.9486	628.737	580.361	28.1485	43.9819
MvSl-1064-A2-R4_A2g00183	954.681	976.89	889.374	968.478	869.812	980.532
MvSl-1064-A2-R4_A2g00184	563.047	577.985	361.859	344.88	251.76	289.507
MvSl-1064-A2-R4_A2g00185	2204	1733	1586	1627	1707	1981
MvSl-1064-A2-R4_A2g00186	1202	962	3343	4039	1105	886
MvSl-1064-A2-R4_A2g00187	1057.78	1050.68	200.735	240.94	337.684	525.277
MvSl-1064-A2-R4_A2g00188	48	46.7886	5	10	20	27
MvSl-1064-A2-R4_A2g00189	3884.53	3095.34	613.827	886.061	1004.78	1723.5
MvSl-1064-A2-R4_A2g00190	202.993	115	33	33.3508	56.3743	46.2074
MvSl-1064-A2-R4_A2g00191	353.479	239.401	253.033	758.41	366.584	641.383
MvSl-1064-A2-R4_A2g00192	4737.92	2239.95	3816.05	13913.8	2043.63	1221.82
MvSl-1064-A2-R4_A2g00193	674.528	1032.32	186.793	139.186	196.809	241.504
MvSl-1064-A2-R4_A2g00194	143.82	237.663	15.063	8.71789	56.4667	61.0475
MvSl-1064-A2-R4_A2g00195	3184	3120	3854	3416	2664	2759
MvSl-1064-A2-R4_A2g00196	1754	1315	4332	3361	2665	2895
MvSl-1064-A2-R4_A2g00197	23.4101	27.5202	6.55504	8.69423	50.3648	52.8527
MvSl-1064-A2-R4_A2g00198	35.6128	42.6755	17	10.1375	15.4402	10.7692
MvSl-1064-A2-R4_A2g00199	797.955	872.472	893.876	836.454	289.1	185.695
MvSl-1064-A2-R4_A2g00200	677.392	672.462	668.526	680.262	369.647	449.054
MvSl-1064-A2-R4_A2g00201	1962.98	1828.67	1052.79	1005.86	977.11	973.24
MvSl-1064-A2-R4_A2g00202	179.09	185.632	10.3518	3.77095	92.8707	75.2868
MvSl-1064-A2-R4_A2g00203	1793.51	1730.38	2541.3	2640.21	1862.26	1868.24
MvSl-1064-A2-R4_A2g00204	319	228	684	704	283	345
MvSl-1064-A2-R4_A2g00205	17	22	54	69	1913	2216
MvSl-1064-A2-R4_A2g00206	28	28	47	33	47	59
MvSl-1064-A2-R4_A2g00207	1	2	0	0	18	9
MvSl-1064-A2-R4_A2g00208	23	45	2	3	6348	4510
MvSl-1064-A2-R4_A2g00209	213	364	5	6	7196	5302
MvSl-1064-A2-R4_A2g00210	5533	6240	6570	7000	6348	5562
MvSl-1064-A2-R4_A2g00211	0	2.18782	1.08634	1.02893	0	1.04128
MvSl-1064-A2-R4_A2g00212	186.916	207.333	291.027	317.56	181.585	123.953
MvSl-1064-A2-R4_A2g00213	297.372	300.173	368.019	326.391	252.501	190.461
MvSl-1064-A2-R4_A2g00214	131.135	95.9612	96.6797	94.8761	235.728	311.121
MvSl-1064-A2-R4_A2g00215	3533.91	4277.03	378.559	298.645	904.726	982.137
MvSl-1064-A2-R4_A2g00216	9567.62	9879.89	6024.99	3911.97	15418.3	16778.9
MvSl-1064-A2-R4_A2g00217	8.69288	25.635	9.73815	19.2034	2.1594	11.976
MvSl-1064-A2-R4_A2g00218	89.494	124.413	56.6798	22.6287	71.1416	114.11
MvSl-1064-A2-R4_A2g00219	110.158	204.304	25.9996	9.41355	74.7954	66.1615
MvSl-1064-A2-R4_A2g00220	0	31.6914	69.0527	37.8544	54.7347	47.1153
MvSl-1064-A2-R4_A2g00221	9.65796	8.36555	8.3227	6.34664	3.18311	4.14054
MvSl-1064-A2-R4_A2g00222	59.5439	64.2184	16.8734	14.4537	26.9656	20.131
MvSl-1064-A2-R4_A2g00223	9.12096	20.2362	1.33219	3.03721	3.79714	5.08217
MvSl-1064-A2-R4_A2g00224	45.3561	30.1535	41.5094	32.4419	70.6338	39.7527
MvSl-1064-A2-R4_A2g00225	55	58	42	46	80.2093	91.1834
MvSl-1064-A2-R4_A2g00226	2107.17	2408.36	404.573	283.455	1344.52	1001.35
MvSl-1064-A2-R4_A2g00227	121.829	162.747	17.3067	12.2943	61.3026	26.9337
MvSl-1064-A2-R4_A2g00228	5	2	1	0	7.80565	7.23596
MvSl-1064-A2-R4_A2g00229	360.233	420.7	434.212	398.462	311.174	252.083
MvSl-1064-A2-R4_A2g00230	199	166	404	455	201	167
MvSl-1064-A2-R4_A2g00231	64.575	76.7882	60.9065	54.9595	417.759	451.965
MvSl-1064-A2-R4_A2g00232	16.0711	12.2728	3.20471	4	5.2035	7.21686
MvSl-1064-A2-R4_A2g00233	0	5	5	5	122	167
MvSl-1064-A2-R4_A2g00234	0	0	1.0228	3.04288	1.00412	0
MvSl-1064-A2-R4_A2g00235	7639.58	7267.42	2016.74	2091.94	4524.29	5223.16
MvSl-1064-A2-R4_A2g00236	1837	2349.33	559.611	551.956	1097.31	934.036
MvSl-1064-A2-R4_A2g00237	676.43	634.517	228.176	155.888	499.692	327.321
MvSl-1064-A2-R4_A2g00238	3.5	8	2.4	0	156.761	213.925
MvSl-1064-A2-R4_A2g00239	3704	3419	7162	6499	3383	3672
MvSl-1064-A2-R4_A2g00240	921.17	1045	401.031	444.986	517.62	449.061
MvSl-1064-A2-R4_A2g00241	2256.23	2353.79	2642.07	2645.28	2224.74	1992.74
MvSl-1064-A2-R4_A2g00242	229.279	182.288	211.832	264.316	94.9509	100.59
MvSl-1064-A2-R4_A2g00243	34.9618	18.4683	34.6293	40.3105	18.0549	12.8089
MvSl-1064-A2-R4_A2g00244	88.65	76.8838	70.3573	60.2146	31.8264	58.5741
MvSl-1064-A2-R4_A2g00245	40.5	42.5	26.5	38	21.5	21
MvSl-1064-A2-R4_A2g00246	2503.5	2396.71	1529.72	1905.6	1010.72	1462.99
MvSl-1064-A2-R4_A2g00247	1.22964	6.54601	15.3981	15.2371	3.00606	2.71204
MvSl-1064-A2-R4_A2g00248	14.5984	13.712	11.6634	19.4684	32.2306	29.5856
MvSl-1064-A2-R4_A2g00249	0	0	3.26778	0.565013	0	0
MvSl-1064-A2-R4_A2g00250	129.525	170.924	283.513	204.909	135.282	141.66
MvSl-1064-A2-R4_A2g00251	82.6714	147.526	27.3136	30.902	45.1436	102.688
MvSl-1064-A2-R4_A2g00252	30.1186	34.2593	9.11022	3.03385	6.05222	7.05647
MvSl-1064-A2-R4_A2g00253	139.589	231.376	64.0436	69.8687	155.949	295.102
MvSl-1064-A2-R4_A2g00254	5414.95	3700.92	7929.99	7714.99	4261.61	4117.08
MvSl-1064-A2-R4_A2g00255	1.28495	1.24792	0	0	0	3.92117
MvSl-1064-A2-R4_A2g00256	42.5175	33.1445	13.3734	23.5168	18.6982	22.117
MvSl-1064-A2-R4_A2g00257	0	1.06569	1.10916	0	0	0
MvSl-1064-A2-R4_A2g00258	147.918	157.76	550.37	350.342	191.915	243.542
MvSl-1064-A2-R4_A2g00259	1.23442	0	0	0	0	0
MvSl-1064-A2-R4_A2g00260	1.02665	0	1.0539	2.01257	3.55804	1.20611
MvSl-1064-A2-R4_A2g00261	3.72202	4.67375	3.8491	10.9174	5.48047	6.44561
MvSl-1064-A2-R4_A2g00262	0	0	0	0	1.11614	0
MvSl-1064-A2-R4_A2g00263	35.0071	47.1974	7.02515	16.21	12.4271	11.0523
MvSl-1064-A2-R4_A2g00264	301.113	403.334	211.904	219.117	226.43	255.024
MvSl-1064-A2-R4_A2g00265	25.7329	27.3255	4.97251	3.81879	14.0251	17.0442
MvSl-1064-A2-R4_A2g00266	1317.33	2098.2	403.457	288.258	1008.04	1665.51
MvSl-1064-A2-R4_A2g00267	5	5	1	3	2	7
MvSl-1064-A2-R4_A2g00268	2	1.00069	0	0	1	0
MvSl-1064-A2-R4_A2g00269	41.0954	92.9664	23.7672	12.7166	21.0178	12.036
MvSl-1064-A2-R4_A2g00270	0	0	0	0	0	1
MvSl-1064-A2-R4_A2g00271	22.5041	67.2811	6.91175	19.1933	50.9742	88.3186
MvSl-1064-A2-R4_A2g00272	63.6278	106.014	39.1083	35.2487	67.7005	73.6236
MvSl-1064-A2-R4_A2g00273	289.237	327.643	150.03	128.155	181.199	171.582
MvSl-1064-A2-R4_A2g00274	0	0	1	1	2	1
MvSl-1064-A2-R4_A2g00275	0	3.75778	0	0	0	0
MvSl-1064-A2-R4_A2g00276	3	3.00485	0	1.00514	1.00384	0
MvSl-1064-A2-R4_A2g00277	15.8599	45.2694	4.58632	18.3247	18.2475	7.97873
MvSl-1064-A2-R4_A2g00278	60	85	23	33	13	19
MvSl-1064-A2-R4_A2g00279	7	14	5	11	6	10
MvSl-1064-A2-R4_A2g00280	22.5973	32.5272	4.30599	11.4173	16.4365	23.8532
MvSl-1064-A2-R4_A2g00281	1.36348	8.25855	0	0	22.0066	49.6164
MvSl-1064-A2-R4_A2g00282	291.43	316.333	13.2331	10.353	77.9573	140.956
MvSl-1064-A2-R4_A2g00283	1240.72	775.68	197.975	324.265	382.321	360.132
MvSl-1064-A2-R4_A2g00284	33.2557	32.9055	3.74129	11.0457	8.80823	15.7218
MvSl-1064-A2-R4_A2g00285	0	0	1.03669	0	125.122	161.937
MvSl-1064-A2-R4_A2g00286	53.3962	76.2607	32.251	19.6914	18.4256	23.4016
MvSl-1064-A2-R4_A2g00287	0	1	3	8	0	0
MvSl-1064-A2-R4_A2g00288	34.0689	80.6824	164.791	120.398	17.0103	20.0444
MvSl-1064-A2-R4_A2g00289	1	1	7	3	2.02814	5.09659
MvSl-1064-A2-R4_A2g00290	3270	3329	4121	3991	4720	4448
MvSl-1064-A2-R4_A2g00291	472	622	433	525.761	355	477
MvSl-1064-A2-R4_A2g00292	28.8654	54.9497	2.14256	3.42582	99.274	121.318
MvSl-1064-A2-R4_A2g00293	19.0898	17.3362	8.53797	8.53481	5.05792	10.2048
MvSl-1064-A2-R4_A2g00294	198.454	271.623	126.471	140.609	313.955	310.775
MvSl-1064-A2-R4_A2g00295	198.302	186.246	266.22	261.167	138.09	136.583
MvSl-1064-A2-R4_A2g00296	334.94	479.723	581.436	544.42	342.843	279.825
MvSl-1064-A2-R4_A2g00297	3429.32	4160.12	1731.81	1818.48	1438.73	1771.49
MvSl-1064-A2-R4_A2g00298	1287	919	3331	3062	1786	1189
MvSl-1064-A2-R4_A2g00299	3524.07	3549.65	2170.03	2019.33	2038.29	2929.87
MvSl-1064-A2-R4_A2g00300	207	291	2816	3636	1097	1006
MvSl-1064-A2-R4_A2g00301	9157	6461	63306	58436	10622	8912
MvSl-1064-A2-R4_A2g00302	5	7	55	52	7	2
MvSl-1064-A2-R4_A2g00303	1684	2114	4356	3506	2662	2436
MvSl-1064-A2-R4_A2g00304	5827	5245	4448	3717	4918	4969
MvSl-1064-A2-R4_A2g00305	0	0	0	0	0	0
MvSl-1064-A2-R4_A2g00306	833.457	808.277	497.131	476.003	548.369	506.31
MvSl-1064-A2-R4_A2g00307	78.1537	111.153	140.953	185.437	62.0416	47.7351
MvSl-1064-A2-R4_A2g00308	713.719	690.908	921.167	1027.97	418.447	424.262
MvSl-1064-A2-R4_A2g00309	5.19321	5.2481	2.34918	0	1.02506	2.04739
MvSl-1064-A2-R4_A2g00310	9.41674	8.61558	17.8034	6.26682	40.8133	84.5822
MvSl-1064-A2-R4_A2g00311	510.492	511.909	454.822	466.849	335.114	322.197
MvSl-1064-A2-R4_A2g00312	504.408	495.869	317.788	343.606	259.333	283.28
MvSl-1064-A2-R4_A2g00313	363.133	548.375	483.33	474.131	383.309	469.844
MvSl-1064-A2-R4_A2g00314	2318	2372	2170	2488	1719	1518
MvSl-1064-A2-R4_A2g00315	6955	5854	8131	8454	4645	7661
MvSl-1064-A2-R4_A2g00316	1941.71	1820.53	810.809	765.362	876.731	1121.98
MvSl-1064-A2-R4_A2g00317	1	2	2	2	72.2807	68.7302
MvSl-1064-A2-R4_A2g00318	8	34	21	15	157.313	175.917
MvSl-1064-A2-R4_A2g00319	251.596	525.956	94.2941	97.3721	103.332	130.695
MvSl-1064-A2-R4_A2g00320	3.34904	5.51489	1.14509	2.33346	1.14489	0
MvSl-1064-A2-R4_A2g00321	177.744	117.826	87.9089	253.541	167.537	84.3216
MvSl-1064-A2-R4_A2g00322	14.1981	56.103	28.1569	11.9025	185.192	213.28
MvSl-1064-A2-R4_A2g00323	3687.06	4111.97	1807.9	1762.03	3433.57	3759.16
MvSl-1064-A2-R4_A2g00324	8163	7052.15	2041.2	2234.09	4371.99	4957.29
MvSl-1064-A2-R4_A2g00325	3520.61	3318.09	272.511	263.507	1461.73	1242.7
MvSl-1064-A2-R4_A2g00326	375.622	546.677	339.816	286.798	222.116	177.11
MvSl-1064-A2-R4_A2g00327	841.457	754.817	663.38	512.719	581.166	578.65
MvSl-1064-A2-R4_A2g00328	710	693	1639	2091	1292	982
MvSl-1064-A2-R4_A2g00329	6722	7383	5716	5300	7967	6591
MvSl-1064-A2-R4_A2g00330	1356.45	2200.03	279.54	332.593	667.465	1012.12
MvSl-1064-A2-R4_A2g00331	609.549	1143.97	187.152	152.15	384.938	626.335
MvSl-1064-A2-R4_A2g00332	30.0236	51.4845	21.9386	26.6936	24.1136	20.6541
MvSl-1064-A2-R4_A2g00333	76	83	66	53	60	45
MvSl-1064-A2-R4_A2g00334	130	166	66	86	109.292	91.095
MvSl-1064-A2-R4_A2g00335	30	44.0017	7	7	15.4001	13.4807
MvSl-1064-A2-R4_A2g00336	346.643	637.898	44.1723	45.1818	287.344	370.393
