gid	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00911	1867	2526	1785	2459
MvSl-1064-A1-R4_A1g00794	708	774	806	922
MvSl-1064-A1-R4_A1g00328	121	192	128	207
MvSl-1064-A1-R4_A1g00448	2866	3779	903	748
MvSl-1064-A1-R4_A1g00478	2533.7	2752.33	2460.42	2879.4
MvSl-1064-A1-R4_A1g00532	669	698	662	717
MvSl-1064-A1-R4_A1g00929	21.3948	16.1674	101.263	53.0506
MvSl-1064-A1-R4_A1g00118	359.325	380.069	1146.22	1084.63
MvSl-1064-A1-R4_A1g00530	2236	2268	2653	2478
MvSl-1064-A1-R4_A1g00528	101	141	215	228
MvSl-1064-A1-R4_A1g00495	2613	2549	746	781
MvSl-1064-A1-R4_A1g00840	1677	1837	2279	2570
MvSl-1064-A1-R4_A1g00832	3099	3121	3781	3818
MvSl-1064-A1-R4_A1g01440	2414	2190	2684	2763
MvSl-1064-A1-R4_A1g01441	1444	1443	1599	1629
MvSl-1064-A1-R4_A1g01444	40604	47915	51876	54036
MvSl-1064-A1-R4_A1g01445	3574	3015	4054	3702
MvSl-1064-A1-R4_A1g01446	696	592	986	866
MvSl-1064-A1-R4_A1g01447	1199	1215	1720	1347
MvSl-1064-A1-R4_A1g01450	532	469	746	520
MvSl-1064-A1-R4_A1g01451	708	892	853	973
MvSl-1064-A1-R4_A1g01453	3661	4213	5942	6686
MvSl-1064-A1-R4_A1g01458	2081	2131	2272	2236
MvSl-1064-A1-R4_A1g01459	0	2	59.5148	55.076
MvSl-1064-A1-R4_A1g01460	2088	2465	2648	2974
MvSl-1064-A1-R4_A1g01461	1375	1571	1708	1652
MvSl-1064-A1-R4_A1g01462	3474	3856	3243	3759
MvSl-1064-A1-R4_A1g01463	3	0	2	1
MvSl-1064-A1-R4_A1g01464	1	0	1	1
MvSl-1064-A1-R4_A1g01465	217	139	174	109
MvSl-1064-A1-R4_A1g01467	976	849	1069	1116
MvSl-1064-A1-R4_A1g01468	961	837	1252	1160
MvSl-1064-A1-R4_A1g01469	20	14	28	25
MvSl-1064-A1-R4_A1g01470	782	1251	857	1181
MvSl-1064-A1-R4_A1g01471	1910	2061	2224	2284
MvSl-1064-A1-R4_A1g01472	965	1232	1120	1258
MvSl-1064-A1-R4_A1g01473	3589	5367	4732	5982
MvSl-1064-A1-R4_A1g01474	30	37	53	35
MvSl-1064-A1-R4_A1g01475	16	13	35	27
MvSl-1064-A1-R4_A1g01476	410	370	538	463
MvSl-1064-A1-R4_A1g01477	2555	2763	2668	3060
MvSl-1064-A1-R4_A1g01478	27	23	19	18
MvSl-1064-A1-R4_A1g01481	185.449	180	111	107
MvSl-1064-A1-R4_A1g01482	63	55	71.4852	76.924
MvSl-1064-A1-R4_A1g01484	68	74	39	35
MvSl-1064-A1-R4_A1g01485	2012	2726	2228	2490
MvSl-1064-A1-R4_A1g01486	1347	1099	1909	1507
MvSl-1064-A1-R4_A1g01487	11861	18454	10316	13418
MvSl-1064-A1-R4_A1g01488	11514	12177	19686	19715
MvSl-1064-A1-R4_A1g01489	1101	1423	1379	1616
MvSl-1064-A1-R4_A1g01490	0	0	0	0
MvSl-1064-A1-R4_A1g01491	1	0	0	1
MvSl-1064-A1-R4_A1g01492	0	0	0	0
MvSl-1064-A1-R4_A1g01493	39	29	9	1
MvSl-1064-A1-R4_A1g01494	4468	3246	2698	1967
MvSl-1064-A1-R4_A1g01495	815.907	679.172	1214.81	827.944
MvSl-1064-A1-R4_A1g01496	87	53	142	101
MvSl-1064-A1-R4_A1g01497	689	711	914	948
MvSl-1064-A1-R4_A1g01498	579	616	668	773
MvSl-1064-A1-R4_A1g01500	4879	4515	5359	4941
MvSl-1064-A1-R4_A1g01501	1296	1628	1590	1806
MvSl-1064-A1-R4_A1g01502	2555	2131	2696	2321
MvSl-1064-A1-R4_A1g01505	172.692	128.451	167.596	145.919
MvSl-1064-A1-R4_A1g01507	0	3	0	3
MvSl-1064-A1-R4_A1g01508	4035	4812	3798	3807
MvSl-1064-A1-R4_A1g01509	1619	1024	1436	1353
