gene	water1	water2	rich1	rich2	di1	di2
MvSl-1064-A1-R4_A1g00629	132	174	169	324	80	104
MvSl-1064-A1-R4_A1g00630	784	719	1805	3955	440	461
MvSl-1064-A1-R4_A1g00631	528	482	3667	8248	349	337
MvSl-1064-A1-R4_A1g00632	163	180	296	513	120	117
MvSl-1064-A1-R4_A1g00633	1184	1142	1988	3763	758	796
MvSl-1064-A1-R4_A1g00634	498	329	613	1286	213	350
MvSl-1064-A1-R4_A1g00636	1192.85	2268.35	292.363	463.321	381.123	660.788
MvSl-1064-A1-R4_A1g00638	19.1645	24.1063	0	1.06934	25.0953	30.0447
MvSl-1064-A1-R4_A1g00639	185	229	96	141	81	103
MvSl-1064-A1-R4_A1g00640	838	1125	496	897	722	779.92
MvSl-1064-A1-R4_A1g00643	38.8333	19.4019	9.41391	27.3913	9.90286	8.6153
MvSl-1064-A1-R4_A1g00655	0	0	0	0	0	14.847
MvSl-1064-A1-R4_A1g00658	88	151	52	29	12	47
MvSl-1064-A1-R4_A1g00659	85	67	13	24	313	261
MvSl-1064-A1-R4_A1g00664	4	7.29763	1.02628	2.14958	3.19037	6.68143
MvSl-1064-A1-R4_A1g00665	5.76976	1.51289	1.67161	0	8.29903	7.67862
MvSl-1064-A1-R4_A1g00666	7.38067	6.09089	14.0206	2.00698	7.42664	25.3355
MvSl-1064-A1-R4_A1g00673	92.2599	97.0549	3.57136	4.67723	71.4049	37.261
MvSl-1064-A1-R4_A1g00676	2005.39	3293.89	580.314	770.692	621.626	998.605
MvSl-1064-A1-R4_A1g00685	83.9595	57.183	122.021	123.876	52.9306	41.5657
MvSl-1064-A1-R4_A1g00686	43.7185	37.5122	8.52498	7.59758	66.4448	88.8671
MvSl-1064-A1-R4_A1g00687	0	0	0	1	0.504576	0
MvSl-1064-A1-R4_A1g00688	32.5056	34.7545	4.10904	5	15.3776	16.579
MvSl-1064-A1-R4_A1g00689	1749.86	1883.94	366.167	313.989	1089.53	1331.64
MvSl-1064-A1-R4_A1g00690	1558.2	1615.34	393.469	387.841	898.618	1043.92
MvSl-1064-A1-R4_A1g00697	940.429	1108.8	1582.35	2770.38	1210.94	1412.82
MvSl-1064-A1-R4_A1g00698	568.905	660.267	1781.9	2653.88	389.152	461.317
MvSl-1064-A1-R4_A1g00701	0	0	0	0	39.3413	62
MvSl-1064-A1-R4_A1g00704	1	0	0	2	2.10181	1.0412
MvSl-1064-A1-R4_A1g00705	442.751	558.706	653.468	905.79	270.027	327.439
MvSl-1064-A1-R4_A1g00707	2305.07	2846	984	1848	1063.68	2480.11
MvSl-1064-A1-R4_A1g00716	93.1825	87.5435	329.97	503.642	296.99	353.656
MvSl-1064-A1-R4_A1g00717	155.955	218.896	895.503	1571.28	1146.19	1501.75
