gene	M1	M2	M3
Minter-1389-PBcR_C01g00335	1343	1843	696
Minter-1389-PBcR_C01g00339	2170	3065	1008
Minter-1389-PBcR_C01g00340	2153	2570	795
Minter-1389-PBcR_C01g00341	1267	1529	643
Minter-1389-PBcR_C01g00342	3100	3915	1931
Minter-1389-PBcR_C01g00347	522	655	191
Minter-1389-PBcR_C01g00348	2640	3373	1910
Minter-1389-PBcR_C01g00354	1463	2201	991
Minter-1389-PBcR_C01g00360	262	324	292
Minter-1389-PBcR_C01g00361	6384	6722	3437
Minter-1389-PBcR_C01g00362	511	604	291
Minter-1389-PBcR_C01g00363	1113	1249	679
Minter-1389-PBcR_C01g00364	4229	4253	2481
Minter-1389-PBcR_C01g00365	4055	4815	2698
Minter-1389-PBcR_C01g00367	2439	2858	1507
Minter-1389-PBcR_C01g00369	4599	5685	3386
Minter-1389-PBcR_C01g00370	10315	11232	5642
Minter-1389-PBcR_C01g00371	1760	2478	766
Minter-1389-PBcR_C01g00372	1198	1219	628
Minter-1389-PBcR_C01g00375	5102	5262	3783
Minter-1389-PBcR_C01g00376	21473	22806	14915
Minter-1389-PBcR_C01g00377	493	743	184
Minter-1389-PBcR_C01g00378	4555	5039	2554
Minter-1389-PBcR_C01g00379	3714	2650	1378
Minter-1389-PBcR_C01g00380	1826	2044	1196
Minter-1389-PBcR_C01g00381	4285	5021	1399
Minter-1389-PBcR_C01g00382	569	693	301
Minter-1389-PBcR_C01g00383	1913	2284	799
Minter-1389-PBcR_C01g00384	10231	11804	4808
Minter-1389-PBcR_C01g00387	1459	2148	929
Minter-1389-PBcR_C01g00388	106	135	75
Minter-1389-PBcR_C01g00389	2853	2834	1943
Minter-1389-PBcR_C01g00390	5689	5526	3987
Minter-1389-PBcR_C01g00391	1289	1226	881
Minter-1389-PBcR_C01g00392	3406	3878	2661
Minter-1389-PBcR_C01g00393	190	281	131
Minter-1389-PBcR_C01g00394	1618	2018	1131
Minter-1389-PBcR_C01g00395	2348	2687	1529
Minter-1389-PBcR_C01g00396	1890	2274	1415
Minter-1389-PBcR_C01g00397	952	1126	744
Minter-1389-PBcR_C01g00399	5454	6850	2916
Minter-1389-PBcR_C01g00400	318	394	252
Minter-1389-PBcR_C01g00401	563	835	417
Minter-1389-PBcR_C01g00403	1373	1711	1045
Minter-1389-PBcR_C01g00404	1011	1383	624
Minter-1389-PBcR_C01g00406	2112	2954	1289
Minter-1389-PBcR_C01g00407	1917	2079	1120
Minter-1389-PBcR_C01g00408	1360	1918	896
Minter-1389-PBcR_C01g00409	1162	986	722
Minter-1389-PBcR_C01g00410	1662	1827	1120
Minter-1389-PBcR_C01g00412	12437	12163	6573
