gene A1 A2 ave_count
MvSl-1064-A1-R4_A1g00759 709.126 674.833 691.979
MvSl-1064-A1-R4_A1g00765 44 23 33.5
MvSl-1064-A1-R4_A1g00771 19.1887 15.0879 17.1383
MvSl-1064-A1-R4_A1g00780 116.436 108.117 112.276
MvSl-1064-A1-R4_A1g00787 31.1807 41.2464 36.2135
MvSl-1064-A1-R4_A1g00810 153.527 174.531 164.029
MvSl-1064-A1-R4_A1g00811 67 63 65
MvSl-1064-A1-R4_A1g00814 58.5855 75.3829 66.9842
MvSl-1064-A1-R4_A1g00815 68.614 63.5991 66.1065
MvSl-1064-A1-R4_A1g00816 87.2091 126.456 106.833
MvSl-1064-A1-R4_A1g00824 1620.44 2525.87 2073.15
MvSl-1064-A1-R4_A1g00827 44.3062 223 133.653
MvSl-1064-A1-R4_A1g00833 151.149 150.263 150.706
MvSl-1064-A1-R4_A1g00839 5176 5230 5203
MvSl-1064-A1-R4_A1g00841 127 80 103.5
MvSl-1064-A1-R4_A1g00851 33.1731 33.1943 33.1837
MvSl-1064-A1-R4_A1g00852 94.0888 66.5531 80.321
MvSl-1064-A1-R4_A1g00857 91.6275 124.28 107.954
MvSl-1064-A1-R4_A1g00859 111.104 111.186 111.145
MvSl-1064-A1-R4_A1g00861 46.4827 36 41.2413
MvSl-1064-A1-R4_A1g00863 275.989 194.694 235.341
MvSl-1064-A1-R4_A1g00865 194.326 151.013 172.669
MvSl-1064-A1-R4_A1g00872 5.57023 6.13629 5.85326
MvSl-1064-A1-R4_A1g00877 237.314 195.158 216.236
MvSl-1064-A1-R4_A1g00882 1081.33 987.524 1034.43
MvSl-1064-A1-R4_A1g00884 2523.8 3275.18 2899.49
MvSl-1064-A1-R4_A1g00889 124.955 131.991 128.473
MvSl-1064-A1-R4_A1g00891 375.149 279.964 327.557
MvSl-1064-A1-R4_A1g00909 141.958 176.702 159.33
MvSl-1064-A1-R4_A1g00914 10092.6 17567.9 13830.2
MvSl-1064-A1-R4_A1g00919 33.8509 71.6463 52.7486
MvSl-1064-A1-R4_A1g00925 118.698 104.185 111.441
MvSl-1064-A1-R4_A1g00931 155 120 137.5
MvSl-1064-A1-R4_A1g00932 5 5.00298 5.00149
MvSl-1064-A1-R4_A1g00939 8 5 6.5
MvSl-1064-A1-R4_A1g00945 25 23.0835 24.0418
MvSl-1064-A1-R4_A1g00947 62.2874 68.4135 65.3504
MvSl-1064-A1-R4_A1g00951 254.044 236.618 245.331
MvSl-1064-A1-R4_A1g00967 536.708 521.397 529.053
MvSl-1064-A1-R4_A1g00976 143.575 81.84 112.707
MvSl-1064-A1-R4_A1g00980 316.647 533.079 424.863
MvSl-1064-A1-R4_A1g00994 68.711 21.1996 44.9553
MvSl-1064-A1-R4_A1g00996 2370 2083 2226.5
MvSl-1064-A1-R4_A1g01000 251.657 244.3 247.978
MvSl-1064-A1-R4_A1g01001 44.4561 45.0191 44.7376
MvSl-1064-A1-R4_A1g01011 1216.54 1618.43 1417.49
MvSl-1064-A1-R4_A1g01013 69.2415 120.288 94.7647
MvSl-1064-A1-R4_A1g01019 834.934 841.5 838.217
MvSl-1064-A1-R4_A1g01032 27.9785 28.2485 28.1135
MvSl-1064-A1-R4_A1g01033 257.064 208.763 232.913
MvSl-1064-A1-R4_A1g01034 2631.57 3561.18 3096.38
MvSl-1064-A1-R4_A1g01040 81.5853 53.7467 67.666
MvSl-1064-A1-R4_A1g01043 6 5 5.5
MvSl-1064-A1-R4_A1g01044 8.28403 8.28899 8.28651
