gid	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00589	2	1	3	5
MvSl-1064-A1-R4_A1g00591	41	20	390	640
MvSl-1064-A1-R4_A1g00593	6244	5535	4696	5339
MvSl-1064-A1-R4_A1g00608	145.703	169.75	44.1958	38
MvSl-1064-A1-R4_A1g00641	252	221	715	482
MvSl-1064-A1-R4_A1g00726	3283	3592	4244	3285
MvSl-1064-A1-R4_A1g00120	343.414	264.121	167.757	160.749
MvSl-1064-A1-R4_A1g00246	3525	3450	1070	1098
MvSl-1064-A1-R4_A1g00215	504	474	562	472
MvSl-1064-A1-R4_A1g00233	1.03155	2.08994	31.3977	24.7276
MvSl-1064-A1-R4_A1g00165	2420	2568	3795	3794
MvSl-1064-A1-R4_A1g00481	272.587	253.208	70.7679	98.9624
MvSl-1064-A1-R4_A1g00718	919	1287	532	405
MvSl-1064-A1-R4_A1g00254	289	203	735	900
MvSl-1064-A1-R4_A1g00359	6550	9276	8885	7526
MvSl-1064-A1-R4_A1g00281	1789	1315	1156	1398
MvSl-1064-A1-R4_A1g00280	5249	5828	4262	4003
MvSl-1064-A1-R4_A1g00168	176.92	99.5743	258.961	386.58
MvSl-1064-A1-R4_A1g00648	2330	2265	1277	1286
MvSl-1064-A1-R4_A1g00647	3419	3977	4169	2606
MvSl-1064-A1-R4_A1g00492	1644.27	833.696	205.085	243.707
MvSl-1064-A1-R4_A1g00778	694	712	373	561
MvSl-1064-A1-R4_A1g00779	5988	5798	3251	3183
MvSl-1064-A1-R4_A1g01282	102.012	109.473	49.5237	77.2084
MvSl-1064-A1-R4_A1g00869	8826	11372	19059	11359
MvSl-1064-A1-R4_A1g00405	443	477	729	453
MvSl-1064-A1-R4_A1g00404	206	208	135	145
MvSl-1064-A1-R4_A1g00403	1871	2006	2503	2207
MvSl-1064-A1-R4_A1g00402	2119	1459	1562	1876
MvSl-1064-A1-R4_A1g00401	2297	4021	4599	2470
MvSl-1064-A1-R4_A1g00400	468	281	633	749
MvSl-1064-A1-R4_A1g00399	4278	6949	5936	3696
MvSl-1064-A1-R4_A1g00398	5099	5891	5722	4919
MvSl-1064-A1-R4_A1g00397	10545	13421	13503	9259
MvSl-1064-A1-R4_A1g00396	3588	4209	4234	3433
MvSl-1064-A1-R4_A1g00395	5774	5745	5924	6198
MvSl-1064-A1-R4_A1g00394	1448	1903	1763	1186
MvSl-1064-A1-R4_A1g00393	3	2	1	2
MvSl-1064-A1-R4_A1g00392	3	2	0	1
MvSl-1064-A1-R4_A1g00391	2080	1963	1597	1763
MvSl-1064-A1-R4_A1g00390	745	722	623	677
MvSl-1064-A1-R4_A1g00389	536	501	496	546
MvSl-1064-A1-R4_A1g00384	15	8	1	1
MvSl-1064-A1-R4_A1g00383	311	208	39	77
MvSl-1064-A1-R4_A1g00380	1366	1255	1735	1589
MvSl-1064-A1-R4_A1g00379	63	48	80	93
MvSl-1064-A1-R4_A1g01189	3570	3521	1901	2418
MvSl-1064-A1-R4_A1g01375	801	821	448	341
MvSl-1064-A1-R4_A1g01376	1203	990	513	616
MvSl-1064-A1-R4_A1g01378	315.611	172.336	167	178
MvSl-1064-A1-R4_A1g00624	1795	1801	2728	2410
MvSl-1064-A1-R4_A1g00185	8790	8333	5798	5413
MvSl-1064-A1-R4_A1g00186	3745	4279	3399	3344
MvSl-1064-A1-R4_A1g01038	8302	11808	2126	1103
MvSl-1064-A1-R4_A1g01383	1967.54	1563.19	418.621	397.143
MvSl-1064-A1-R4_A1g00230	1209	1090	337	421
MvSl-1064-A1-R4_A1g00824	0	0	25	12
MvSl-1064-A1-R4_A1g00568	987	771	582	665
MvSl-1064-A1-R4_A1g00575	1687	1618	1773	2077
MvSl-1064-A1-R4_A1g00576	350	257	236	353
MvSl-1064-A1-R4_A1g00757	67	44	66	33.9299
MvSl-1064-A1-R4_A1g00756	36	28.4845	23	26
MvSl-1064-A1-R4_A1g00752	12	6	463	399
MvSl-1064-A1-R4_A1g00751	5516	4972	5636	5850
MvSl-1064-A1-R4_A1g00750	1522	1390	1162	1353
MvSl-1064-A1-R4_A1g00594	361	258	1038	895
MvSl-1064-A1-R4_A1g00749	2438	1058	1536	2571
MvSl-1064-A1-R4_A1g00745	2059	1762	425	488
MvSl-1064-A1-R4_A1g01135	1472	1502	745	632
MvSl-1064-A1-R4_A1g00245	282	515	725	482
MvSl-1064-A1-R4_A1g00635	318	146	487	591
MvSl-1064-A1-R4_A1g00241	3471	3971	2219	2160
MvSl-1064-A1-R4_A1g00242	1624	1685	856	961
MvSl-1064-A1-R4_A1g00270	654	516	1171	1127
MvSl-1064-A1-R4_A1g00269	215	135	2946	2744
MvSl-1064-A1-R4_A1g00098	0	1.06449	0	0
MvSl-1064-A1-R4_A1g00763	6	1	36	67
MvSl-1064-A1-R4_A1g00211	12813	11473	9463	9195
MvSl-1064-A1-R4_A1g00210	762	861	787	740
MvSl-1064-A1-R4_A1g01418	524.281	452.455	27.4415	55.5734
MvSl-1064-A1-R4_A1g00292	1563	1928	3171	2554
MvSl-1064-A1-R4_A1g00406	1118	1122	910	740
MvSl-1064-A1-R4_A1g00441	809	908	1051	680
MvSl-1064-A1-R4_A1g00144	1399	1646	2081	1468
MvSl-1064-A1-R4_A1g01369	11547	15379	7831	7060
MvSl-1064-A1-R4_A1g01368	1408	1083	980	1466
MvSl-1064-A1-R4_A1g01367	353	343	231	282
MvSl-1064-A1-R4_A1g01366	1686	1768	1576	1589
MvSl-1064-A1-R4_A1g00194	120.779	108.967	126.954	134.358
MvSl-1064-A1-R4_A1g01290	1541	1418	510	438
MvSl-1064-A1-R4_A1g01288	1366	1741	713	523
MvSl-1064-A1-R4_A1g00327	350	369	337	330
MvSl-1064-A1-R4_A1g00326	616	516	0	0
MvSl-1064-A1-R4_A1g01404	5	6	219	231
MvSl-1064-A1-R4_A1g01405	547	565	551	444
MvSl-1064-A1-R4_A1g01137	1265	1195	1640	1599
MvSl-1064-A1-R4_A1g01136	35	34	354	577
MvSl-1064-A1-R4_A1g00475	33.8024	34.845	93.7579	56.1072
MvSl-1064-A1-R4_A1g01154	3096	3627	3256	2910
MvSl-1064-A1-R4_A1g01159	2982	3347	2308	2009
MvSl-1064-A1-R4_A1g01160	3429	3653	2462	2562
MvSl-1064-A1-R4_A1g01161	1025	1167	1117	1131
MvSl-1064-A1-R4_A1g01162	170	243	2	5
MvSl-1064-A1-R4_A1g01163	644	596	42	46
MvSl-1064-A1-R4_A1g01212	108	119	244	501
MvSl-1064-A1-R4_A1g01049	1502	1387	579.519	682.061
MvSl-1064-A1-R4_A1g00533	1317	1311	1299	1183
MvSl-1064-A1-R4_A1g00534	3514	3882	4177	4027
MvSl-1064-A1-R4_A1g00541	1549	1226	1000	1593
MvSl-1064-A1-R4_A1g00542	1614	1556	613	646
MvSl-1064-A1-R4_A1g00543	3167	2792	2165	2837
MvSl-1064-A1-R4_A1g00544	1098	1200	1038	864
MvSl-1064-A1-R4_A1g00527	783	540	508	700
MvSl-1064-A1-R4_A1g00525	2992	2883	3430	3461
MvSl-1064-A1-R4_A1g00524	0	0	3	6
MvSl-1064-A1-R4_A1g00523	0	0	10	6
MvSl-1064-A1-R4_A1g00522	1	7	101	81
MvSl-1064-A1-R4_A1g01007	1981.1	1562.52	152.098	207.632
MvSl-1064-A1-R4_A1g00669	873	903	820	747
MvSl-1064-A1-R4_A1g00668	41	69	2630	2419
MvSl-1064-A1-R4_A1g00312	1243	1075	14737	9920
MvSl-1064-A1-R4_A1g00311	5989	5396	4602	4973
MvSl-1064-A1-R4_A1g00842	1444	1952	2055	1653
MvSl-1064-A1-R4_A1g00843	190	189	251	231
MvSl-1064-A1-R4_A1g00844	1	5	22	17
MvSl-1064-A1-R4_A1g01021	64	37	3	1
MvSl-1064-A1-R4_A1g01317	3154	3485	2996	2542
MvSl-1064-A1-R4_A1g01022	1	0	0	0
MvSl-1064-A1-R4_A1g00352	791	1000	807	614
MvSl-1064-A1-R4_A1g00351	2481	1616	1366	1746
MvSl-1064-A1-R4_A1g00350	579	824	350	306
MvSl-1064-A1-R4_A1g00694	3532.42	3823.32	2889.42	2715
MvSl-1064-A1-R4_A1g00693	3415	3195	2918	2907
MvSl-1064-A1-R4_A1g00642	3194.42	2873.91	77	76.5122
MvSl-1064-A1-R4_A1g00193	5890	6396	9108	8198
MvSl-1064-A1-R4_A1g00433	831	713	808	904
MvSl-1064-A1-R4_A1g00432	2396	2821	2675	2373
MvSl-1064-A1-R4_A1g00349	78778	57733	9721	12086
MvSl-1064-A1-R4_A1g00644	453	369	981	798
MvSl-1064-A1-R4_MC03g04896	2840.45	1752.4	2077.5	3083.96
MvSl-1064-A1-R4_A1g01129	2000	1971	2229	2247
MvSl-1064-A1-R4_A1g00835	0	0	0	0
MvSl-1064-A1-R4_A1g00845	1494	1218	1070	1228
MvSl-1064-A1-R4_A1g00163	57.6946	57.7224	170.383	198.653
MvSl-1064-A1-R4_A1g00546	498.326	568.409	275.551	341.7
MvSl-1064-A1-R4_A1g00407	1584	1068	1944	1628
MvSl-1064-A1-R4_A1g01346	2622	4024	4250	2870
MvSl-1064-A1-R4_A1g01358	242	240	48	47
MvSl-1064-A1-R4_A1g01359	2117	1941	1046	1388
MvSl-1064-A1-R4_A1g00854	4075	4148	1886	2371
MvSl-1064-A1-R4_A1g00853	1397	1436	3589	3351
MvSl-1064-A1-R4_A1g01385	507	653	533	396
MvSl-1064-A1-R4_A1g01384	2354	2746	4586	4013
MvSl-1064-A1-R4_A1g00628	398.473	484.047	3677.6	2583.33
MvSl-1064-A1-R4_A1g01431	1734	1664	1268	1353
MvSl-1064-A1-R4_A1g01432	777	890	251	382
MvSl-1064-A1-R4_A1g00997	222	195	2189	1964
MvSl-1064-A1-R4_A1g00998	530	705	470	363
MvSl-1064-A1-R4_A1g00956	1335	1229	482	379
MvSl-1064-A1-R4_A1g00957	749	890	561	531
MvSl-1064-A1-R4_A1g00958	1903	2153	2801	2430
MvSl-1064-A1-R4_A1g00959	855	1000	174	138
MvSl-1064-A1-R4_A1g00960	4268	3011	3029	4073
MvSl-1064-A1-R4_A1g01045	1230.25	744.818	382.807	330.751
MvSl-1064-A1-R4_A1g00968	1116	1113	737	876
MvSl-1064-A1-R4_A1g00184	1520	1869	1359	1283
MvSl-1064-A1-R4_A1g00316	188.109	162.902	138.036	176.799
MvSl-1064-A1-R4_A1g00515	656	613	962	768
MvSl-1064-A1-R4_A1g00514	3889	2264	2319	3588
MvSl-1064-A1-R4_A1g00307	1550	1816	2291	1932
MvSl-1064-A1-R4_A1g00503	2240	2370	1822	1425
MvSl-1064-A1-R4_A1g00504	255	270	252	219
MvSl-1064-A1-R4_A1g00505	988	503	509	924
MvSl-1064-A1-R4_A1g00506	634	695	578	595
MvSl-1064-A1-R4_A1g00507	1376	1158	911	1272
MvSl-1064-A1-R4_A1g00510	1166	1265	1070	1047
MvSl-1064-A1-R4_A1g00511	2276	2375	2178	2168
MvSl-1064-A1-R4_A1g00512	728	790	642	641
MvSl-1064-A1-R4_A1g00513	1111	1167	1057	984
MvSl-1064-A1-R4_A1g01017	2645	2198	2665	2457
MvSl-1064-A1-R4_A1g00969	135	114	66	58
MvSl-1064-A1-R4_A1g00970	3156	3110	1695	1295
MvSl-1064-A1-R4_A1g00971	776	998	1371	893
MvSl-1064-A1-R4_A1g00972	715	727	2463	1739
MvSl-1064-A1-R4_A1g01184	4057	4285	2818	2385
MvSl-1064-A1-R4_A1g00804	218.819	148.64	715.052	428.17
MvSl-1064-A1-R4_A1g00252	11.429	12.3385	96.5202	83.0383
MvSl-1064-A1-R4_A1g00253	299.989	232.729	212.148	185
MvSl-1064-A1-R4_A1g00732	1402	1681	2021	1585
MvSl-1064-A1-R4_A1g01407	1950	1930	2124	2169
MvSl-1064-A1-R4_A1g01406	36150	34758	62991	48635
MvSl-1064-A1-R4_A1g01219	19161	32595	45820	34650
MvSl-1064-A1-R4_A1g01220	6679	7014	597	539
MvSl-1064-A1-R4_A1g01174	795	767	1945	1524
MvSl-1064-A1-R4_A1g01173	603	545	697	749
MvSl-1064-A1-R4_A1g01271	3163	4419	5806	3725
MvSl-1064-A1-R4_A1g01272	11312	16446	13172	9036
MvSl-1064-A1-R4_A1g01261	5189	3149	17305	15924
MvSl-1064-A1-R4_A1g00153	3372	2490	2888	3279
MvSl-1064-A1-R4_A1g00154	516	564	957	817
MvSl-1064-A1-R4_A1g00155	1934.54	2047.95	1469.88	1122.81
MvSl-1064-A1-R4_A1g00626	106.815	97.5269	231.423	197.062
MvSl-1064-A1-R4_A1g00175	1912	1544	1408	1224
MvSl-1064-A1-R4_A1g00283	828.369	731.543	22.9285	39.3155
MvSl-1064-A1-R4_A1g00886	555	551	314	280
MvSl-1064-A1-R4_A1g00909	13	10	2007.19	1179.09
MvSl-1064-A1-R4_A1g01302	2617	3305	27	38
MvSl-1064-A1-R4_A1g00516	5539	6137	11318	8465
MvSl-1064-A1-R4_A1g00517	9718	7557	5185	6349
MvSl-1064-A1-R4_A1g00518	1549	1795	1955	1467
MvSl-1064-A1-R4_A1g00519	2919	2642	3084	3009
MvSl-1064-A1-R4_A1g00520	903	1015	1056	881
MvSl-1064-A1-R4_A1g00521	1072	1481	1719	1020
MvSl-1064-A1-R4_A1g01227	2860	4355	4880	2806
MvSl-1064-A1-R4_A1g01228	280	272	225	189
MvSl-1064-A1-R4_A1g00646	2702	3193	8614	6051
MvSl-1064-A1-R4_A1g00645	1477	1523	1480	1140
MvSl-1064-A1-R4_A1g00653	572	840	1030	584
MvSl-1064-A1-R4_A1g01175	5.07215	1.04496	9.37743	8.20652
MvSl-1064-A1-R4_A1g01347	3765	3460	1428	1510
MvSl-1064-A1-R4_A1g01348	3722	3993	3241	3113
MvSl-1064-A1-R4_A1g01350	1282	1394	1356	1225
MvSl-1064-A1-R4_A1g01351	23432	26927	23308	22750
MvSl-1064-A1-R4_A1g01127	110.779	72.3704	33.3954	40.9198
MvSl-1064-A1-R4_A1g01164	350	408	602	538
MvSl-1064-A1-R4_A1g00150	1	2	13	16
MvSl-1064-A1-R4_A1g00977	217	217	1542	1630
MvSl-1064-A1-R4_A1g00913	614	532	694	777
MvSl-1064-A1-R4_A1g00920	251	111	258	363
MvSl-1064-A1-R4_A1g00921	3788	3641	3154	2717
MvSl-1064-A1-R4_A1g00923	494	465	163	220
MvSl-1064-A1-R4_A1g00922	2145	2113	1653	1519
MvSl-1064-A1-R4_A1g00912	784	996	1018	776
MvSl-1064-A1-R4_A1g00911	1785	2459	2526	1867
MvSl-1064-A1-R4_A1g00794	806	922	774	708
MvSl-1064-A1-R4_A1g00328	128	207	192	121
MvSl-1064-A1-R4_A1g01413	263.3	208.52	146.992	239.26
MvSl-1064-A1-R4_A1g00448	903	748	3779	2866
MvSl-1064-A1-R4_A1g00478	2460.53	2879.39	2752.34	2533.7
MvSl-1064-A1-R4_A1g01151	12.8626	5	0	0
MvSl-1064-A1-R4_A1g00532	662	716	698	669
MvSl-1064-A1-R4_A1g00929	102.619	53.4176	16.2745	22.0919
MvSl-1064-A1-R4_A1g00118	1060.08	1035.53	371.876	338.087
MvSl-1064-A1-R4_A1g00530	2611	2451	2239	2194
MvSl-1064-A1-R4_A1g00529	209	159	193	225
MvSl-1064-A1-R4_A1g00528	215	228	139	100
MvSl-1064-A1-R4_A1g00820	31	15	0	1.26357
MvSl-1064-A1-R4_A1g00495	746	781	2549	2613
MvSl-1064-A1-R4_A1g00840	2279	2570	1837	1677
MvSl-1064-A1-R4_A1g00832	3781	3818	3121	3099
MvSl-1064-A1-R4_A1g01440	2684	2763	2190	2414
MvSl-1064-A1-R4_A1g01441	1599	1628	1443	1444
MvSl-1064-A1-R4_A1g01442	8	3	4	2
MvSl-1064-A1-R4_A1g01443	17.3634	12.0919	9.83944	11.7192
MvSl-1064-A1-R4_A1g01444	51875	54036	47913	40602
MvSl-1064-A1-R4_A1g01445	4053	3702	3015	3573
MvSl-1064-A1-R4_A1g01446	986	866	592	696
MvSl-1064-A1-R4_A1g01447	1720	1347	1215	1199
MvSl-1064-A1-R4_A1g01448	133.605	106.163	116.399	145.799
MvSl-1064-A1-R4_A1g01450	746	520	469	531
MvSl-1064-A1-R4_A1g01451	853	973	892	708
MvSl-1064-A1-R4_A1g01452	0	0	0	0
MvSl-1064-A1-R4_A1g01453	5942	6686	4212	3661
MvSl-1064-A1-R4_A1g01454	146	79	96	127
MvSl-1064-A1-R4_A1g01455	240	97	148	199
MvSl-1064-A1-R4_A1g01456	188	100	140	180
MvSl-1064-A1-R4_A1g01457	234	165	181	218
MvSl-1064-A1-R4_A1g01458	2096	2121	2025	1953
MvSl-1064-A1-R4_A1g01459	59.7961	54.3803	2	0
MvSl-1064-A1-R4_A1g01460	2648	2973	2465	2088
MvSl-1064-A1-R4_A1g01461	1708	1652	1571	1375
MvSl-1064-A1-R4_A1g01462	3243	3758	3856	3473
MvSl-1064-A1-R4_A1g01463	2	1	0	3
MvSl-1064-A1-R4_A1g01464	1	1	0	1
MvSl-1064-A1-R4_A1g01465	173	109	139	216
MvSl-1064-A1-R4_A1g01466	2236	2034	1507	2004
MvSl-1064-A1-R4_A1g01467	1069	1116	849	976
MvSl-1064-A1-R4_A1g01468	1252	1160	837	961
MvSl-1064-A1-R4_A1g01469	28	25	14	20
MvSl-1064-A1-R4_A1g01470	857	1181	1251	782
MvSl-1064-A1-R4_A1g01471	2224	2282	2061	1910
MvSl-1064-A1-R4_A1g01472	1119	1258	1232	965
MvSl-1064-A1-R4_A1g01473	4732	5981	5367	3588
MvSl-1064-A1-R4_A1g01474	53	35	37	30
MvSl-1064-A1-R4_A1g01475	35	27	13	16
MvSl-1064-A1-R4_A1g01476	538	463	370	410
MvSl-1064-A1-R4_A1g01477	2668	3059	2763	2555
MvSl-1064-A1-R4_A1g01478	19	18	23	27
MvSl-1064-A1-R4_A1g01479	274	351	397	401
MvSl-1064-A1-R4_A1g01480	33	53	39	58
MvSl-1064-A1-R4_A1g01481	83	70	85	84.1105
MvSl-1064-A1-R4_A1g01482	62.2039	61.6197	51	58
MvSl-1064-A1-R4_A1g01483	117.102	113.121	0	4.28762
MvSl-1064-A1-R4_A1g01484	39	35	74	68
MvSl-1064-A1-R4_A1g01485	2228	2490	2726	2012
MvSl-1064-A1-R4_A1g01486	1909	1507	1099	1347
MvSl-1064-A1-R4_A1g01487	10315	13418	18454	11860
MvSl-1064-A1-R4_A1g01488	19685	19715	12176	11511
MvSl-1064-A1-R4_A1g01489	1379	1616	1422	1101
MvSl-1064-A1-R4_A1g01490	0	0	0	0
MvSl-1064-A1-R4_A1g01491	0	1	0	1
MvSl-1064-A1-R4_A1g01492	0	0	0	0
MvSl-1064-A1-R4_A1g01493	9	1	29	39
MvSl-1064-A1-R4_A1g01494	2698	1967	3246	4468
MvSl-1064-A1-R4_A1g01495	1210.23	823.631	670.409	807.38
MvSl-1064-A1-R4_A1g01496	142	101	53	87
MvSl-1064-A1-R4_A1g01497	914	948	711	689
MvSl-1064-A1-R4_A1g01498	668	773	616	579
MvSl-1064-A1-R4_A1g01499	154.805	84.8491	26	30
MvSl-1064-A1-R4_A1g01500	5359	4941	4515	4879
MvSl-1064-A1-R4_A1g01501	1590	1805	1627	1296
MvSl-1064-A1-R4_A1g01502	2695	2321	2131	2555
MvSl-1064-A1-R4_A1g01503	1042.51	1005.58	181.481	239.447
MvSl-1064-A1-R4_A1g01504	41.5843	47.1353	71.6097	92.2144
MvSl-1064-A1-R4_A1g01505	166.629	142.774	124.735	170.162
MvSl-1064-A1-R4_A1g01506	2	4	1	1
MvSl-1064-A1-R4_A1g01507	0	3	3	0
MvSl-1064-A1-R4_A1g01508	3798	3807	4812	4035
MvSl-1064-A1-R4_A1g01509	1436	1353	1024	1619
MvSl-1064-A1-R4_A1g01510	56.8894	45.1862	27.1923	44.0702
MvSl-1064-A1-R4_A1g01511	482.213	284.901	398.636	530.046
MvSl-1064-A1-R4_A1g01512	32.7735	12.419	22.1529	42.3731
MvSl-1064-A1-R4_A1g00003	1190.91	956.966	686.285	774.134
MvSl-1064-A1-R4_A1g01515	2364.93	2217.43	817.613	1038.55
MvSl-1064-A1-R4_A1g01516	60	57	33	35
MvSl-1064-A1-R4_C24g01527	15.2647	8.24223	10.3616	11.6405
MvSl-1064-A1-R4_C24g01526	580.48	292.041	895.499	907.75
MvSl-1064-A1-R4_C24g01525	0	0	1.1769	0
MvSl-1064-A1-R4_C24g01523	0	0	8.4168	7.82956
MvSl-1064-A1-R4_MC14g12006	4.15052	7.02632	16.4615	13.6216
MvSl-1064-A1-R4_MC14g12005	3.14725	0	0	5.20474
MvSl-1064-A1-R4_MC14g12004	4.50876	2.61764	1.37791	4.82582
MvSl-1064-A1-R4_MC14g12003	4.70399	5.68689	6.4971	10.1908
