gida1	A1_1	A1_2	A2_1	A2_2						
MvSl-1064-A1-R4_A1g00669	1162	1302	1206	1349						
MvSl-1064-A1-R4_A1g00668	2858	3090	61	92						
MvSl-1064-A1-R4_A1g00312	9916	14737	1333	1160						
MvSl-1064-A1-R4_A1g00311	6306	5506	7566	6240						
MvSl-1064-A1-R4_A1g00842	3026	4167	2680	3933						
MvSl-1064-A1-R4_A1g00843	300	392	242	258						
MvSl-1064-A1-R4_A1g00844	16	22	1	5						
MvSl-1064-A1-R4_A1g01021	2	3	99.4939	62.0903						
MvSl-1064-A1-R4_A1g01317	3375	4046	5113.51	5739.09						
MvSl-1064-A1-R4_A1g01022	0	0	1	0						
MvSl-1064-A1-R4_A1g00352	777	953	1010	1264						
MvSl-1064-A1-R4_A1g00351	6610	6726	9036	9060						
MvSl-1064-A1-R4_A1g00350	590	687	1072	1623						
MvSl-1064-A1-R4_A1g00694	2715	2887.42	3525.42	3816.32						
MvSl-1064-A1-R4_A1g00693	2906	2916	3415	3195						
MvSl-1064-A1-R4_A1g00642	15.4512	16.332	3594.36	3198.96						
MvSl-1064-A1-R4_A1g00193	8239.59	9143.61	5881	6377						
MvSl-1064-A1-R4_A1g00433	904	808	831	713						
MvSl-1064-A1-R4_A1g00432	2373	2675	2396	2821						
MvSl-1064-A1-R4_A1g00349	20360	15391	138586	101600						
MvSl-1064-A1-R4_A1g00644	798	981	453	369						
MvSl-1064-A1-R4_MC03g04896	1861.72	1084.34	1458.68	843.366						
MvSl-1064-A1-R4_A1g01129	2704	2766	2416.59	2465.81						
MvSl-1064-A1-R4_A1g00835	29.8594	48.125	14.0204	5.25304						
MvSl-1064-A1-R4_A1g00845	2051	1887	2462	2181						
MvSl-1064-A1-R4_A1g00163	136.942	134.826	27.9261	21.267						
MvSl-1064-A1-R4_A1g00546	17.9138	21.5821	257.691	284.535						
MvSl-1064-A1-R4_A1g00407	1628	1944	1879	1212						
MvSl-1064-A1-R4_A1g01346	2873.83	4252.94	2627	4031						
MvSl-1064-A1-R4_A1g01358	44	48	130.277	131.706						
MvSl-1064-A1-R4_A1g01359	1451	1106	784.011	729.559						
MvSl-1064-A1-R4_A1g00854	3763	3247	6372	7437						
MvSl-1064-A1-R4_A1g00853	4926	4924	1865	1791						
MvSl-1064-A1-R4_A1g01385	491	669	597	833						
MvSl-1064-A1-R4_A1g01384	5329	5777	3198	3357						
