gida1	A1_1	A1_2	A2_1	A2_2						
MvSl-1064-A1-R4_MC05-3g06803	373	240	640	364						
MvSl-1064-A1-R4_MC05-3g06804	161	114	196	151						
MvSl-1064-A1-R4_MC05-3g06805	52	59	94	52						
MvSl-1064-A1-R4_MC05-3g06806	62	16	81	23						
MvSl-1064-A1-R4_MC05-3g06807	2500	2394	2288	2491						
MvSl-1064-A1-R4_MC05-3g06808	1764	1608	1903	1698						
MvSl-1064-A1-R4_MC05-3g06809	1808	2128	1768	2187						
MvSl-1064-A1-R4_MC05-3g06811	765.947	783.431	867.51	894.488						
MvSl-1064-A1-R4_MC05-3g06812	103.198	118.237	68.4963	79.1096						
MvSl-1064-A1-R4_MC05-3g06813	41.1445	26.091	79.4066	49.1969						
MvSl-1064-A1-R4_MC05-3g06815	26.4444	23.5238	27.8182	23.8333						
MvSl-1064-A1-R4_MC05-3g06817	8.2223	5.35442	16.8987	9.5544						
MvSl-1064-A1-R4_MC05-3g06818	1650.97	1667.07	1759.11	1724.9						
MvSl-1064-A1-R4_MC05-3g06819	6834.02	8909.86	5850.29	7787.53						
MvSl-1064-A1-R4_MC05-3g06820	2288	2035	2544	2355						
MvSl-1064-A1-R4_MC05-3g06821	418	658	574	759						
MvSl-1064-A1-R4_MC05-3g06822	1143	1874	1535	1843						
MvSl-1064-A1-R4_MC05-3g06823	904	903	1094	1195						
MvSl-1064-A1-R4_MC05-3g06824	1184.2	1188.94	1255.95	1307.37						
MvSl-1064-A1-R4_MC05-3g06825	9	11	5	3						
MvSl-1064-A1-R4_MC05-3g06826	230	189	166	164						
MvSl-1064-A1-R4_MC05-3g06827	118	90	286	142						
MvSl-1064-A1-R4_MC05-3g06828	2365	2200	2560	2448						
MvSl-1064-A1-R4_MC05-3g06829	2824	3695	3174	3570						
MvSl-1064-A1-R4_MC05-3g06832	34.1191	27.5967	51.1894	56.6786						
MvSl-1064-A1-R4_MC05-3g06833	26.8967	20.5794	30.6658	25.9582						
MvSl-1064-A1-R4_MC05-3g06834	77.5176	78.2737	277.005	233.901						
MvSl-1064-A1-R4_MC05-3g06835	2.5352	0	1.40053	0						
MvSl-1064-A1-R4_MC05-3g06836	46.1248	40.6725	74.8302	43.6668						
MvSl-1064-A1-R4_MC05-3g06837	179.234	265.239	258.574	317.181						
MvSl-1064-A1-R4_MC05-3g06838	23.46	14.1594	46.1854	25.7882						
MvSl-1064-A1-R4_MC05-3g06839	0	0	1.19933	0						
MvSl-1064-A1-R4_MC05-3g06840	6	10	10	5						
MvSl-1064-A1-R4_MC05-3g06841	822.293	899.216	1206.84	1066.36						
MvSl-1064-A1-R4_MC05-3g06842	0	0	0	0						
MvSl-1064-A1-R4_MC05-3g06843	544.36	438.796	751.296	565.55						
MvSl-1064-A1-R4_C36g01618	1031.99	1024.16	1329.62	908.845						
MvSl-1064-A1-R4_MC06g06861	81.735	50.5257	155.918	117.33						
MvSl-1064-A1-R4_MC06g06862	5384	7880	5822	8394						
MvSl-1064-A1-R4_MC06g06863	105	79	177	111						
MvSl-1064-A1-R4_MC06g06864	77	92	129.866	100.903						
MvSl-1064-A1-R4_MC06g06865	548	494.737	708	629.704						
MvSl-1064-A1-R4_MC06g06866	96.5824	91.0899	133.337	113.724						
MvSl-1064-A1-R4_MC06g06868	221.432	138.54	498.261	338.764						
MvSl-1064-A1-R4_MC06g06869	112.617	111.498	175.963	155.966						
MvSl-1064-A1-R4_MC06g06870	1031.2	1110.34	1255.6	1157.81						
MvSl-1064-A1-R4_MC06g06871	2116.53	2090.37	2701.48	2389.07						
MvSl-1064-A1-R4_MC06g06872	154.979	102.812	157.482	142.272						
MvSl-1064-A1-R4_MC06g06873	3	6	4	1						
MvSl-1064-A1-R4_MC06g06874	533.301	445.954	655.951	776.104						
MvSl-1064-A1-R4_MC06g06875	709.645	353.337	752.193	1094.22						
MvSl-1064-A1-R4_MC06g06882	859.525	1145.24	1090.44	552.214						
MvSl-1064-A1-R4_MC06g06883	178.348	88.3977	419.487	129.028						
MvSl-1064-A1-R4_MC06g06884	0	0	0	1						
MvSl-1064-A1-R4_MC06g06885	0	4.24141	1	3.39516						
MvSl-1064-A1-R4_MC06g06886	4713	4307	5658	5326						
MvSl-1064-A1-R4_MC06g06887	643	879	665	842						
MvSl-1064-A1-R4_MC06g06888	4473	3442	5697	4119						
MvSl-1064-A1-R4_MC06g06889	178	126	152	143						
MvSl-1064-A1-R4_MC06g06890	79.8632	88.5275	502.239	292.855						
MvSl-1064-A1-R4_MC06g06891	0	0	1	1						
MvSl-1064-A1-R4_MC06g06893	1200	1432	1010	1236						
MvSl-1064-A1-R4_MC06g06894	1647	2091	2245	2826						
MvSl-1064-A1-R4_MC06g06895	501	687	611	795						
MvSl-1064-A1-R4_MC06g06896	1551	1926	969	998						
MvSl-1064-A1-R4_MC06g06897	294	374	371	397						
MvSl-1064-A1-R4_MC06g06898	468	684	520	707						
MvSl-1064-A1-R4_MC06g06899	372	403	364	438						
MvSl-1064-A1-R4_MC06g06900	2	0	13	15						
MvSl-1064-A1-R4_MC06g06901	787	826	929	1052						
MvSl-1064-A1-R4_MC06g06902	2852	2774	3277	3421						
MvSl-1064-A1-R4_MC06g06903	1268	1316	1759	1789						
MvSl-1064-A1-R4_MC06g06904	2009	2186	2353	2151						
MvSl-1064-A1-R4_MC06g06905	0	0	1.48571	1.45754						
MvSl-1064-A1-R4_MC06g06907	6.05266	20.6997	83.8225	30.3441						
MvSl-1064-A1-R4_MC06g06909	238.942	204.656	675.582	691.733						
MvSl-1064-A1-R4_MC06g06910	278.868	288.9	334.754	204.074						
MvSl-1064-A1-R4_MC06g06911	52.892	37.2812	58.4161	34.7926						
MvSl-1064-A1-R4_MC06g06912	7	1	11	1						
MvSl-1064-A1-R4_MC06g06913	54	27	187	62						
MvSl-1064-A1-R4_MC06g06914	519	578	497	548						
MvSl-1064-A1-R4_MC06g06915	865	938	658	815						
MvSl-1064-A1-R4_MC06g06916	188	234	147	248						
MvSl-1064-A1-R4_MC06g06917	383	489	277	392						
MvSl-1064-A1-R4_MC06g06918	81	101	112	147						
MvSl-1064-A1-R4_MC06g06919	2264	2174	2327	2643						
MvSl-1064-A1-R4_MC06g06920	15443	26838	17179	26934						
MvSl-1064-A1-R4_MC06g06921	3113	4262	3076	3556						
MvSl-1064-A1-R4_MC06g06922	160.683	200.639	277.523	275.73						
MvSl-1064-A1-R4_MC06g06923	2383	2481	2960	3159						
MvSl-1064-A1-R4_MC06g06924	3313	2855	3582	2873						
MvSl-1064-A1-R4_MC06g06925	6	1	3	9						
MvSl-1064-A1-R4_MC06g06926	460	569	518	582						
MvSl-1064-A1-R4_MC06g06927	611.014	464.925	623.824	598.636						
MvSl-1064-A1-R4_MC06g06928	101.245	107.811	88.6146	103						
MvSl-1064-A1-R4_MC06g06929	589.051	571.012	660.055	413.215						
MvSl-1064-A1-R4_MC06g06930	1127	1406	1313	1515						
MvSl-1064-A1-R4_MC06g06931	2678	3560	2921	3842						
MvSl-1064-A1-R4_MC06g06932	0	1.07688	1.00441	3.01181						
MvSl-1064-A1-R4_MC06g06933	515.041	617.05	447	448						
MvSl-1064-A1-R4_MC06g06934	1968	1938	2301	2188						
MvSl-1064-A1-R4_MC06g06935	1590	1517	1851	1810						
MvSl-1064-A1-R4_MC06g06936	3778	4187	3197	4815						
MvSl-1064-A1-R4_MC06g06937	2742	3122	2808	2709						
MvSl-1064-A1-R4_MC06g06938	1059.74	1087.86	1060.16	1165.69						
MvSl-1064-A1-R4_MC06g06939	107.627	79.1977	142.365	120.872						
MvSl-1064-A1-R4_MC06g06940	104	108	327	140						
MvSl-1064-A1-R4_MC06g06941	30	21	34	21						
MvSl-1064-A1-R4_MC06g06942	17.1879	10.1759	26.1877	22.8631						
MvSl-1064-A1-R4_MC06g06943	735	972	1464	1953						
MvSl-1064-A1-R4_MC06g06944	151	90	41	29						
MvSl-1064-A1-R4_MC06g06945	39709	27424	6082	3910						
MvSl-1064-A1-R4_MC06g06946	4377	3849	830	719						
MvSl-1064-A1-R4_MC06g06947	2907	2353	412	347						
MvSl-1064-A1-R4_MC06g06948	478	455	523	477						
MvSl-1064-A1-R4_MC06g06949	1569	1654	1850	2033						
MvSl-1064-A1-R4_MC06g06950	1521	1639	1986	1906						
MvSl-1064-A1-R4_MC06g06951	4305	3301	4970	3312						
MvSl-1064-A1-R4_MC06g06952	1113	1200	1284	1494						
MvSl-1064-A1-R4_MC06g06953	635	591	683	842						
MvSl-1064-A1-R4_MC06g06954	1916	1814	2597	2369						
MvSl-1064-A1-R4_MC06g06955	20	7	12	11						
MvSl-1064-A1-R4_MC06g06956	82	50	97	68						
MvSl-1064-A1-R4_MC06g06957	1166	813	1124	884						
MvSl-1064-A1-R4_MC06g06958	9928	7233	6053	5630						
MvSl-1064-A1-R4_MC06g06959	2251	2333	2453	2298						
MvSl-1064-A1-R4_MC06g06960	731	671	894	748						
MvSl-1064-A1-R4_MC06g06961	1	5	0	3						
MvSl-1064-A1-R4_MC06g06962	439	374	467	493						
MvSl-1064-A1-R4_MC06g06963	2696	2872	3005	3170						
MvSl-1064-A1-R4_MC06g06964	1850	1569	2176	2021						
MvSl-1064-A1-R4_MC06g06965	270	200	283	281						
MvSl-1064-A1-R4_MC06g06966	1404	1556	1614	1502						
MvSl-1064-A1-R4_MC06g06967	47	58	25	65						
MvSl-1064-A1-R4_MC06g06968	2663	3321	2542	3092						
MvSl-1064-A1-R4_MC06g06969	1559	1653	1643	1863						
MvSl-1064-A1-R4_MC06g06970	1084	1199	1810	1532						
MvSl-1064-A1-R4_MC06g06971	252.093	133.373	361.783	189.042						
MvSl-1064-A1-R4_MC06g06972	82.5573	69.1886	85.942	99.3145						
MvSl-1064-A1-R4_MC06g06973	2553	2344	2839	2714						
MvSl-1064-A1-R4_MC06g06974	1554	1475	1608	1878						
MvSl-1064-A1-R4_MC06g06975	1306	1247	1764	1575						
MvSl-1064-A1-R4_MC06g06976	29	28	29	19						
MvSl-1064-A1-R4_MC06g06977	809	841	1080	1109						
MvSl-1064-A1-R4_MC06g06978	1583	1056	2174	1260						
MvSl-1064-A1-R4_MC06g06979	3477	3081	4065	3805						
MvSl-1064-A1-R4_MC06g06980	2273	2571	2631	2801						
MvSl-1064-A1-R4_MC06g06981	614	714	589	696						
MvSl-1064-A1-R4_MC06g06982	716	851	759	859						
MvSl-1064-A1-R4_MC06g06983	3073	3562	3002	3292						
MvSl-1064-A1-R4_MC06g06984	1204	1312	1554	1478						
MvSl-1064-A1-R4_MC06g06985	188.024	177.705	341.266	232.682						
MvSl-1064-A1-R4_MC06g06986	1102	1244	1216	1463						
MvSl-1064-A1-R4_MC06g06987	224	270	267	312						
MvSl-1064-A1-R4_MC06g06988	603	724	573	747						
MvSl-1064-A1-R4_MC06g06989	72	66	89	64						
MvSl-1064-A1-R4_MC06g06990	91.9819	57.3006	105.248	78.6483						
MvSl-1064-A1-R4_MC06g06991	34	20	24	19						
MvSl-1064-A1-R4_MC06g06992	139.018	86.6994	173.752	148.352						
MvSl-1064-A1-R4_MC06g06993	2998	3098	3012	3150						
MvSl-1064-A1-R4_MC06g06994	86	56	89	44						
MvSl-1064-A1-R4_MC06g06995	894	1064	1273	1207						
MvSl-1064-A1-R4_MC06g06997	67.089	46.5885	42.9938	25.0351						
MvSl-1064-A1-R4_MC06g06998	54.3555	54	43	20						
MvSl-1064-A1-R4_MC06g06999	7967	6349	10701	7572						
MvSl-1064-A1-R4_MC06g07000	1233	1319	1516	1444						
MvSl-1064-A1-R4_MC06g07001	3124	2841	3297	3454						
MvSl-1064-A1-R4_MC06g07002	1567	1564	2048.27	2138						
MvSl-1064-A1-R4_MC06g07003	1158.45	1265.92	1501.66	1357.2						
MvSl-1064-A1-R4_MC06g07004	6774	6428	7158	6923						
MvSl-1064-A1-R4_MC06g07005	235	391	385	420						
MvSl-1064-A1-R4_MC06g07006	87	62	100	90						
MvSl-1064-A1-R4_MC06g07007	0	1	1	0						
MvSl-1064-A1-R4_MC06g07008	1	1	2	0						
MvSl-1064-A1-R4_MC06g07009	13.5477	7.07507	14.3433	2.80066						
MvSl-1064-A1-R4_MC06g07010	3669	4425	3632	4290						
MvSl-1064-A1-R4_MC06g07011	1526	1685	1832	1932						
MvSl-1064-A1-R4_MC06g07012	2005	1536	2268	2039						
MvSl-1064-A1-R4_MC06g07013	672	667	585	378						
MvSl-1064-A1-R4_MC06g07014	5880	5845	5255	5047						
MvSl-1064-A1-R4_MC06g07015	2903	4511	3203	3893						
MvSl-1064-A1-R4_MC06g07016	1884	1831	2214	2010						
MvSl-1064-A1-R4_MC06g07017	1921	1948	2034	2193.65						
MvSl-1064-A1-R4_MC06g07018	262	222	389	356						
MvSl-1064-A1-R4_MC06g07019	125	110	261	154						
MvSl-1064-A1-R4_MC06g07020	337	330	427	478						
MvSl-1064-A1-R4_MC06g07021	1037	1020	1527	1294						
MvSl-1064-A1-R4_MC06g07022	14	2	9	9						
MvSl-1064-A1-R4_MC06g07023	91	62	78	92						
MvSl-1064-A1-R4_MC06g07024	377	464	519	513						
MvSl-1064-A1-R4_MC06g07025	4938	4409	5025	4714						
MvSl-1064-A1-R4_MC06g07026	3250	2971	4050.17	4283.44						
MvSl-1064-A1-R4_MC06g07027	1525	1937	1639	2103						
MvSl-1064-A1-R4_MC06g07028	1544	1576	1672	1783						
MvSl-1064-A1-R4_MC06g07029	149	94	192	126						
MvSl-1064-A1-R4_MC06g07030	1382	802	1701.22	909.775						
MvSl-1064-A1-R4_MC06g07031	3209	3255	4044	3935						
MvSl-1064-A1-R4_MC06g07037	827	766	1136.43	1041						
MvSl-1064-A1-R4_MC06g07038	3086	3807	2005.72	2506.74						
MvSl-1064-A1-R4_MC06g07039	1060	1316	1265	1562						
MvSl-1064-A1-R4_MC06g07040	674	677	850	906						
MvSl-1064-A1-R4_MC06g07041	603	744	698	867						
MvSl-1064-A1-R4_MC06g07042	371	474	420	326						
MvSl-1064-A1-R4_MC06g07043	2557	2541	2770	2638						
MvSl-1064-A1-R4_MC06g07044	2729	3436	2988	2922						
MvSl-1064-A1-R4_MC06g07045	4	2	2	0						
MvSl-1064-A1-R4_MC06g07046	2050	2294	2023	2218						
MvSl-1064-A1-R4_MC06g07047	140	171	256	217						
MvSl-1064-A1-R4_MC06g07048	2	1	4	3						
MvSl-1064-A1-R4_MC06g07049	884	1032	1057	1171						
MvSl-1064-A1-R4_MC06g07050	0	3	3	3						
MvSl-1064-A1-R4_MC06g07051	464.979	442.646	568.389	499.78						
MvSl-1064-A1-R4_MC06g07052	7.15351	12.1694	12.1663	10.0521						
MvSl-1064-A1-R4_MC06g07053	16.1711	7.51428	11.5175	11.2278						
MvSl-1064-A1-R4_MC06g07054	615	777	689	830						
MvSl-1064-A1-R4_MC06g07055	611	923	701	728						
MvSl-1064-A1-R4_MC06g07056	1344	2171	1613	2120						
MvSl-1064-A1-R4_MC06g07057	6090	9519	7918	11614						
MvSl-1064-A1-R4_MC06g07058	154.746	189.726	235.066	228.906						
MvSl-1064-A1-R4_MC06g07059	1.08267	0	3.35702	9.1272						
MvSl-1064-A1-R4_MC06g07060	4778.28	4850.98	4919.85	4353.31						
MvSl-1064-A1-R4_MC06g07061	58	39	68	50						
MvSl-1064-A1-R4_MC06g07062	3.04094	3.01915	3.02828	2.0139						
MvSl-1064-A1-R4_MC06g07063	65.1436	64.9945	83.7644	88.7384						
MvSl-1064-A1-R4_MC06g07064	36.3239	27.7626	105.119	41.956						
MvSl-1064-A1-R4_MC06g07065	0	0	0	0						
MvSl-1064-A1-R4_MC06g07066	580.747	1235.05	611.409	1087.24						
MvSl-1064-A1-R4_MC06g07067	22.407	15.5843	23.9148	35.0964						
MvSl-1064-A1-R4_MC06g07068	9.15081	10.0988	6.82177	6.83869						
MvSl-1064-A1-R4_MC06g07069	5	5	10	7						
MvSl-1064-A1-R4_MC06g07070	35.9542	31.761	75.3681	41.0993						
MvSl-1064-A1-R4_MC06g07071	0	0	0	0						
MvSl-1064-A1-R4_MC06g07072	5	11.2161	7.04131	8						
MvSl-1064-A1-R4_MC06g07073	1137.79	1514.94	1336.57	1413.72						
MvSl-1064-A1-R4_MC06g07074	422.424	418.978	365.18	306.117						
MvSl-1064-A1-R4_MC06g07075	0	1.05013	4	2.87264						
MvSl-1064-A1-R4_MC06g07076	349.195	443.5	324.824	291.413						
MvSl-1064-A1-R4_MC06g07077	84.3789	115.449	54.3467	105.834						
MvSl-1064-A1-R4_MC06g07078	19.9847	33.8279	71.6473	89.8986						
MvSl-1064-A1-R4_MC06g07079	39.7331	44.9543	19.1423	21.6583						
MvSl-1064-A1-R4_MC06g07080	4.04359	3.66339	5.07611	10.9883						
MvSl-1064-A1-R4_MC06g07081	169.178	185.151	193.379	175.023						
MvSl-1064-A1-R4_MC06g07082	0	3.69963	0	0						
MvSl-1064-A1-R4_MC06g07083	0	0	0	0						
MvSl-1064-A1-R4_MC06g07085	0	0	0	0						
MvSl-1064-A1-R4_MC06g07086	13.491	0	53.6668	0.00134044						
MvSl-1064-A1-R4_MC06g07087	0	0	5.6303	0						
MvSl-1064-A1-R4_MC06g07088	30.8572	35.928	92.9164	64.4337						
MvSl-1064-A1-R4_MC06g07089	0	0	0	1.39472						
MvSl-1064-A1-R4_MC06g07090	4.10805	2.31206	16.5201	14.8761						
MvSl-1064-A1-R4_MC06g07091	48.5478	33.2424	61.896	47.899						
MvSl-1064-A1-R4_MC06g07092	0	0	0	0						
MvSl-1064-A1-R4_MC06g07093	10.7027	12.9961	36.0649	23.7977						
MvSl-1064-A1-R4_MC06g07094	0	0	0	0						
MvSl-1064-A1-R4_MC06g07095	0	0	0	0						
MvSl-1064-A1-R4_MC06g07096	0	6.72535	13.4178	0						
MvSl-1064-A1-R4_MC06g07097	5.88173	2.84166	21.5714	5.18862						
MvSl-1064-A1-R4_MC06g07098	0	0	0	0						
MvSl-1064-A1-R4_MC06g07099	17.6988	17.2575	20.9384	22.4501						
MvSl-1064-A1-R4_MC06g07100	0	0	0	0						
MvSl-1064-A1-R4_MC06g07101	0	1.44715	4.15138	5.8327						
MvSl-1064-A1-R4_MC06g07102	29.9282	18.6238	169.803	124.277						
MvSl-1064-A1-R4_MC06g07103	7.78539	7.42228	0	0						
MvSl-1064-A1-R4_MC06g07104	0	0	0	0						
MvSl-1064-A1-R4_MC06g07105	0.000227714	0	0	1.13985						
MvSl-1064-A1-R4_MC06g07106	1.32588	2.93052	14.4384	6.58943						
MvSl-1064-A1-R4_MC06g07107	2.21306	4.22666	21.4938	7.44586						
MvSl-1064-A1-R4_MC06g07108	0	0	0	0						
MvSl-1064-A1-R4_MC06g07109	0	0	0	0						
MvSl-1064-A1-R4_MC06g07110	4.15485	7.11702	8.14401	5.09234						
MvSl-1064-A1-R4_MC06g07111	10.2511	13.1139	29.1934	33.0463						
MvSl-1064-A1-R4_MC06g07112	268.276	244.591	384.118	354.873						
MvSl-1064-A1-R4_MC06g07113	1225.02	1127.87	1404.54	1309.68						
MvSl-1064-A1-R4_MC06g07114	46.8177	42.9888	111.619	64.9952						
MvSl-1064-A1-R4_MC06g07115	11	7	22	25						
MvSl-1064-A1-R4_MC06g07116	23.8479	12.3259	24.1232	15.69						
MvSl-1064-A1-R4_MC06g07117	90.2553	63.0966	149.783	124.508						
MvSl-1064-A1-R4_MC06g07118	2247	2329	2397	2343						
MvSl-1064-A1-R4_MC06g07119	1370	1042	1704	1644						
MvSl-1064-A1-R4_MC06g07120	1601	1733	1762	1790						
MvSl-1064-A1-R4_MC06g07121	462	564	515	536						
MvSl-1064-A1-R4_MC06g07122	3642	5175	3358	5204						
MvSl-1064-A1-R4_MC06g07123	123.056	159.082	318	328						
MvSl-1064-A1-R4_MC06g07124	43.6603	27.2825	74.4759	80.6229						
MvSl-1064-A1-R4_MC06g07125	18	8	31.9519	26						
MvSl-1064-A1-R4_MC06g07126	37.1972	31.9275	53.8401	47.7978						
MvSl-1064-A1-R4_MC06g07127	237.046	231.272	303.774	289.954						
MvSl-1064-A1-R4_MC06g07128	145.501	117.619	183.859	160.849						
MvSl-1064-A1-R4_MC06g07129	171	155	208	136						
MvSl-1064-A1-R4_MC06g07130	1678	1806	1835	2079						
MvSl-1064-A1-R4_MC06g07131	502	557	565	601						
MvSl-1064-A1-R4_MC06g07132	3248	3181	4409	3950						
MvSl-1064-A1-R4_MC06g07133	432	253	443	355						
MvSl-1064-A1-R4_MC06g07134	2321	2140	2509	2464						
MvSl-1064-A1-R4_MC06g07135	23.0789	9.09483	40.5953	37.129						
MvSl-1064-A1-R4_MC06g07136	4125	3597	1681	1612						
MvSl-1064-A1-R4_MC06g07137	21240	15754	589	778						
MvSl-1064-A1-R4_MC06g07138	1797	1715	48579	46441						
MvSl-1064-A1-R4_MC06g07139	1115	1233	1177	1190						
MvSl-1064-A1-R4_MC06g07140	608.121	639.125	628.546	596.836						
MvSl-1064-A1-R4_MC06g07141	0	0	0	0						
MvSl-1064-A1-R4_MC06g07142	639.738	558.827	516.624	479.148						
MvSl-1064-A1-R4_MC06g07143	4.52548	3.36653	4.58778	2.31827						
MvSl-1064-A1-R4_MC06g07144	1064	1065	1283	1259						
MvSl-1064-A1-R4_MC06g07145	2497	1948	2570	2131						
MvSl-1064-A1-R4_MC06g07146	79	54	98	49						
MvSl-1064-A1-R4_MC06g07147	1216	1251	1573	1427						
MvSl-1064-A1-R4_MC06g07148	517	449.054	800.142	752						
MvSl-1064-A1-R4_MC06g07149	1066.02	999.971	1235.82	1055.85						
MvSl-1064-A1-R4_MC06g07150	447.505	382.728	554.074	531.52						
MvSl-1064-A1-R4_MC06g07151	75	152	74.3533	117.469						
MvSl-1064-A1-R4_MC06g07152	1211.73	1472.94	1698.64	1427.84						
MvSl-1064-A1-R4_MC06g07154	2060	3567	2548	2776						
MvSl-1064-A1-R4_MC06g07155	1835	2378	2130	2240						
MvSl-1064-A1-R4_MC06g07156	3740	5942	4514	6371						
MvSl-1064-A1-R4_MC06g07157	598	848	670	858						
MvSl-1064-A1-R4_MC06g07158	2300	1943	2912	2443						
MvSl-1064-A1-R4_MC06g07159	98	96	110	105						
MvSl-1064-A1-R4_MC06g07160	209	118	175	136						
MvSl-1064-A1-R4_MC06g07161	34	41	46	55						
MvSl-1064-A1-R4_MC06g07162	909	937	1138	1112						
MvSl-1064-A1-R4_MC06g07163	2.02829	2.01431	2.1234	3.60379						
MvSl-1064-A1-R4_MC06g07164	169.564	189.65	89.9283	79.0446						
MvSl-1064-A1-R4_MC06g07165	0	0	0	0						
MvSl-1064-A1-R4_MC06g07166	157.914	139.242	168.715	101.537						
MvSl-1064-A1-R4_MC06g07167	5304	4664	5897	5348						
MvSl-1064-A1-R4_MC06g07168	664	678	781	748						
MvSl-1064-A1-R4_MC06g07169	832	988	793	902						
MvSl-1064-A1-R4_MC06g07170	305	196	264	176						
MvSl-1064-A1-R4_MC06g07171	1245	1150	1497	1246						
MvSl-1064-A1-R4_MC06g07172	555	586	610	656						
MvSl-1064-A1-R4_MC06g07173	2481	2039	3564	2905						
MvSl-1064-A1-R4_MC06g07174	278	249	431	387						
MvSl-1064-A1-R4_MC06g07175	249	366	383	346						
MvSl-1064-A1-R4_MC06g07176	3	6	14	15						
MvSl-1064-A1-R4_MC06g07177	3753	2652	4407	3001						
MvSl-1064-A1-R4_MC06g07178	80.9837	43.5301	129.27	106.362						
MvSl-1064-A1-R4_MC06g07179	146.428	93.3626	209.155	136.426						
MvSl-1064-A1-R4_MC06g07180	12.6382	22.7482	13.6033	19.6148						
MvSl-1064-A1-R4_MC06g07181	22.3976	29.6701	37.489	29.1698						
MvSl-1064-A1-R4_MC06g07182	3229	4080	3942	4383						
MvSl-1064-A1-R4_MC06g07183	4180	4380	5132	4925						
MvSl-1064-A1-R4_MC06g07184	5403	5141	5676	5912						
MvSl-1064-A1-R4_MC06g07185	4970	5860	4892	5061						
MvSl-1064-A1-R4_MC06g07186	711	722	809	887						
MvSl-1064-A1-R4_MC06g07187	519	527	530	567						
MvSl-1064-A1-R4_MC06g07188	706	680	649	675						
MvSl-1064-A1-R4_MC06g07189	3.84836	1.87118	5.29685	9.04536						
MvSl-1064-A1-R4_MC06g07190	0	2.88873	3.59614	4.80963						
MvSl-1064-A1-R4_MC06g07191	452	397	1547	779						
MvSl-1064-A1-R4_MC06g07192	480	739	569	678						
MvSl-1064-A1-R4_MC06g07193	716	1015	956	1221						
MvSl-1064-A1-R4_MC06g07194	3099	3346	3262	3546						
MvSl-1064-A1-R4_MC06g07195	253	300	251	309						
MvSl-1064-A1-R4_MC06g07196	774.144	716.865	898.573	768.295						
MvSl-1064-A1-R4_MC06g07197	3.67726	1.22867	7	5						
MvSl-1064-A1-R4_MC06g07198	0	2	0	0						
MvSl-1064-A1-R4_MC06g07199	0	3	0	5						
MvSl-1064-A1-R4_MC06g07200	46.8563	76.1353	94.4268	68.7052						
MvSl-1064-A1-R4_MC06g07201	217	187	261	244						
MvSl-1064-A1-R4_MC06g07202	2328	3030	1895	2383						
MvSl-1064-A1-R4_MC06g07203	274	409	291	371						
MvSl-1064-A1-R4_MC06g07204	3986	3578	4746	3890						
MvSl-1064-A1-R4_MC06g07205	306	491	308	742						
MvSl-1064-A1-R4_MC06g07206	10224	8379	11786	12595						
MvSl-1064-A1-R4_MC06g07207	2032	2503	2252	3063						
MvSl-1064-A1-R4_MC06g07208	1893	1682	2496	2363						
MvSl-1064-A1-R4_MC06g07209	800	953	933	1374						
MvSl-1064-A1-R4_MC06g07210	296	315	307	344						
MvSl-1064-A1-R4_MC06g07211	240	230	258	252						
MvSl-1064-A1-R4_MC06g07212	1253	1113	1309	1241						
MvSl-1064-A1-R4_MC06g07213	37	25	61	45						
MvSl-1064-A1-R4_MC06g07214	463	407	504	507						
MvSl-1064-A1-R4_MC06g07215	140.067	180.563	223.588	205.16						
MvSl-1064-A1-R4_MC06g07216	13	12	20	26						
MvSl-1064-A1-R4_MC06g07217	20	13	22	16						
MvSl-1064-A1-R4_MC06g07218	454	551	463	438						
MvSl-1064-A1-R4_MC06g07219	5803	4013	7114	5168						
MvSl-1064-A1-R4_MC06g07220	2278	2383	2486	2539						
MvSl-1064-A1-R4_MC06g07221	3079	3640	3851	4991						
MvSl-1064-A1-R4_MC06g07222	227	423	329	301						
MvSl-1064-A1-R4_MC06g07223	61	166	131	148						
MvSl-1064-A1-R4_MC06g07224	106	281	147	210						
MvSl-1064-A1-R4_MC06g07225	2059	2456	2106	2381						
MvSl-1064-A1-R4_MC06g07226	1301	674	1394	1063						
MvSl-1064-A1-R4_MC06g07227	1758	1712	2052	1882						
MvSl-1064-A1-R4_MC06g07228	3655	3320	3749	3443						
MvSl-1064-A1-R4_MC06g07229	1186	1521	1193	1594						
MvSl-1064-A1-R4_MC06g07230	995	1037	1169	1288						
MvSl-1064-A1-R4_MC06g07231	2825	2641	3033	2903						
MvSl-1064-A1-R4_MC06g07232	798	1061	646	793						
MvSl-1064-A1-R4_MC06g07233	596	917	528	740						
MvSl-1064-A1-R4_MC06g07234	405	512	481	468						
MvSl-1064-A1-R4_MC06g07235	138	101	319	180						
MvSl-1064-A1-R4_MC06g07236	11611	5286	26431	12817						
MvSl-1064-A1-R4_MC06g07237	1671	1768	2081	2256						
MvSl-1064-A1-R4_MC06g07238	1631.3	1506.35	1719.39	1546.07						
MvSl-1064-A1-R4_MC06g07239	508.52	583.982	454.486	534.448						
MvSl-1064-A1-R4_MC06g07240	1004	1235	1074	1033						
MvSl-1064-A1-R4_MC06g07241	629	852	701	808						
MvSl-1064-A1-R4_MC06g07242	2448	2889	2061	2336						
MvSl-1064-A1-R4_MC06g07243	857	1207	986	1102						
MvSl-1064-A1-R4_MC06g07244	2403	2593	2690	2669						
