gene	MvSlM1	MvSlM2
MvSl-1064-A1-R4_A1g01162	314	187
MvSl-1064-A1-R4_A1g01163	433	394
MvSl-1064-A1-R4_A1g01173	3774	4340
MvSl-1064-A1-R4_A1g01174	1876	1631
MvSl-1064-A1-R4_A1g01176	821.102	807.642
MvSl-1064-A1-R4_A1g01184	3297	2938
MvSl-1064-A1-R4_A1g01189	4566	4897
MvSl-1064-A1-R4_A1g01190	529.291	620.113
MvSl-1064-A1-R4_A1g01191	809	710
MvSl-1064-A1-R4_A1g01212	454	290
MvSl-1064-A1-R4_A1g01219	33460	32188
MvSl-1064-A1-R4_A1g01220	3580	4057
MvSl-1064-A1-R4_A1g01227	5076	3345
MvSl-1064-A1-R4_A1g01229	535	444
MvSl-1064-A1-R4_A1g01230	1126	1095
MvSl-1064-A1-R4_A1g01234	1369	1323
MvSl-1064-A1-R4_A1g01252	2628	2842
MvSl-1064-A1-R4_A1g01253	2754	2991
MvSl-1064-A1-R4_A1g01261	18387	12476
MvSl-1064-A1-R4_A1g01271	5147	5590
MvSl-1064-A1-R4_A1g01272	6771	10492
MvSl-1064-A1-R4_A1g01287	2652	1247
MvSl-1064-A1-R4_A1g01288	978	838
MvSl-1064-A1-R4_A1g01290	2018	1785
MvSl-1064-A1-R4_A1g01291	2647	2927
MvSl-1064-A1-R4_A1g01292	2903	2041
MvSl-1064-A1-R4_A1g01317	4449	4922
MvSl-1064-A1-R4_A1g01327	0	6.4064
MvSl-1064-A1-R4_A1g01346	8392	6433
MvSl-1064-A1-R4_A1g01347	3294	2547
MvSl-1064-A1-R4_A1g01348	4833	4227
MvSl-1064-A1-R4_A1g01350	1557	1449
MvSl-1064-A1-R4_A1g01351	25581	27410
MvSl-1064-A1-R4_A1g01366	2286	2021
MvSl-1064-A1-R4_A1g01367	965	849
MvSl-1064-A1-R4_A1g01368	1699	1165
MvSl-1064-A1-R4_A1g01369	16197	14398
MvSl-1064-A1-R4_A1g01370	2255	1604
MvSl-1064-A1-R4_A1g01371	316	311
MvSl-1064-A1-R4_A1g01374	3094.49	3326.14
MvSl-1064-A1-R4_A1g01384	4506	5954
MvSl-1064-A1-R4_A1g01385	1141	992
MvSl-1064-A1-R4_A1g01388	1096	885
MvSl-1064-A1-R4_A1g01389	1734	2101
MvSl-1064-A1-R4_A1g01392	1103	1140
MvSl-1064-A1-R4_A1g01393	2029	2054
MvSl-1064-A1-R4_A1g01404	122	160
MvSl-1064-A1-R4_A1g01405	1201	1271
MvSl-1064-A1-R4_A1g01406	36963	36685
MvSl-1064-A1-R4_A1g01407	3554	3219
MvSl-1064-A1-R4_A1g01415	3497	2712
MvSl-1064-A1-R4_A1g01431	3197	2779
MvSl-1064-A1-R4_A1g01432	707	648
MvSl-1064-A1-R4_A1g01440	4798	4723
MvSl-1064-A1-R4_A1g01441	2323	2081
MvSl-1064-A1-R4_A1g01444	37919	37366
MvSl-1064-A1-R4_A1g01445	4646	4525
MvSl-1064-A1-R4_A1g01447	1420	923
