gene	MvSlM1	MvSlM2
MvSl-1064-A1-R4_MC05-3g06824	1097.76	925.628
MvSl-1064-A1-R4_MC05-3g06825	1	0
MvSl-1064-A1-R4_MC05-3g06826	159	128
MvSl-1064-A1-R4_MC05-3g06827	64	117
MvSl-1064-A1-R4_MC05-3g06828	2686	2789
MvSl-1064-A1-R4_MC05-3g06829	4141	4337
MvSl-1064-A1-R4_MC06g06862	10124	6757
MvSl-1064-A1-R4_MC06g06874	241.955	203.248
MvSl-1064-A1-R4_MC06g06886	6488	5588
MvSl-1064-A1-R4_MC06g06887	967	887
MvSl-1064-A1-R4_MC06g06888	5180	4285
MvSl-1064-A1-R4_MC06g06889	172	170
MvSl-1064-A1-R4_MC06g06890	165.566	136.975
MvSl-1064-A1-R4_MC06g06891	0	0
MvSl-1064-A1-R4_MC06g06893	1671	1627
MvSl-1064-A1-R4_MC06g06896	1159	1197
MvSl-1064-A1-R4_MC06g06901	800	596
MvSl-1064-A1-R4_MC06g06902	4131	4960
MvSl-1064-A1-R4_MC06g06903	1902	2040
MvSl-1064-A1-R4_MC06g06904	3472	3941
MvSl-1064-A1-R4_MC06g06914	1256	1245
MvSl-1064-A1-R4_MC06g06915	503	938
MvSl-1064-A1-R4_MC06g06919	2965.33	3401.39
MvSl-1064-A1-R4_MC06g06920	23552	20556
MvSl-1064-A1-R4_MC06g06921	3742	4690
MvSl-1064-A1-R4_MC06g06923	5938	6005
MvSl-1064-A1-R4_MC06g06924	3763	3043
MvSl-1064-A1-R4_MC06g06925	2	1
MvSl-1064-A1-R4_MC06g06926	701	610
MvSl-1064-A1-R4_MC06g06930	2200	1773
MvSl-1064-A1-R4_MC06g06931	3685	2971
MvSl-1064-A1-R4_MC06g06934	2766	2355
MvSl-1064-A1-R4_MC06g06935	2300	2069
MvSl-1064-A1-R4_MC06g06936	5225	3727
MvSl-1064-A1-R4_MC06g06937	2483	3388
MvSl-1064-A1-R4_MC06g06938	2410.7	2362.24
MvSl-1064-A1-R4_MC06g06940	330	597
MvSl-1064-A1-R4_MC06g06941	26	39
MvSl-1064-A1-R4_MC06g06943	2466	1812
MvSl-1064-A1-R4_MC06g06944	2711	1838
MvSl-1064-A1-R4_MC06g06945	3653	3456
MvSl-1064-A1-R4_MC06g06948	877	807
MvSl-1064-A1-R4_MC06g06949	2493	2312
MvSl-1064-A1-R4_MC06g06950	2092	1951
MvSl-1064-A1-R4_MC06g06951	6250	4392
MvSl-1064-A1-R4_MC06g06952	2055	1681
MvSl-1064-A1-R4_MC06g06953	1177	1130
MvSl-1064-A1-R4_MC06g06954	2800	2354
MvSl-1064-A1-R4_MC06g06955	64	30
MvSl-1064-A1-R4_MC06g06956	111	73
MvSl-1064-A1-R4_MC06g06957	1368	1064
MvSl-1064-A1-R4_MC06g06958	3921	3712
MvSl-1064-A1-R4_MC06g06959	3100	3704
MvSl-1064-A1-R4_MC06g06960	1547	1087
MvSl-1064-A1-R4_MC06g06961	3	2
MvSl-1064-A1-R4_MC06g06962	1715	1240
MvSl-1064-A1-R4_MC06g06963	3574	2971
MvSl-1064-A1-R4_MC06g06964	3091	2463
MvSl-1064-A1-R4_MC06g06965	333	274
MvSl-1064-A1-R4_MC06g06966	1672	1386
MvSl-1064-A1-R4_MC06g06968	3427	3039
MvSl-1064-A1-R4_MC06g06969	1680	1420
MvSl-1064-A1-R4_MC06g06970	1254	1322
MvSl-1064-A1-R4_MC06g06974	2365	2289
MvSl-1064-A1-R4_MC06g06975	1716	1137
MvSl-1064-A1-R4_MC06g06977	1346	1346.97
MvSl-1064-A1-R4_MC06g06978	2116	1476
MvSl-1064-A1-R4_MC06g06979	4682	3803
MvSl-1064-A1-R4_MC06g06980	3970	3698
MvSl-1064-A1-R4_MC06g06981	757	724
MvSl-1064-A1-R4_MC06g06982	819	842
MvSl-1064-A1-R4_MC06g06983	2576	3731
MvSl-1064-A1-R4_MC06g06984	2390	2648
MvSl-1064-A1-R4_MC06g06986	1736	1677
MvSl-1064-A1-R4_MC06g06987	393	351
MvSl-1064-A1-R4_MC06g06988	851	954
MvSl-1064-A1-R4_MC06g06989	88	68
MvSl-1064-A1-R4_MC06g06991	11	4
MvSl-1064-A1-R4_MC06g06992	190.321	176.937
MvSl-1064-A1-R4_MC06g06993	3072	2965
MvSl-1064-A1-R4_MC06g06994	66	93
MvSl-1064-A1-R4_MC06g06995	1794	1546
MvSl-1064-A1-R4_MC06g06999	9529	7064
MvSl-1064-A1-R4_MC06g07000	1499	1551
MvSl-1064-A1-R4_MC06g07001	4039	4944
MvSl-1064-A1-R4_MC06g07004	7572	7610
MvSl-1064-A1-R4_MC06g07005	305	118
MvSl-1064-A1-R4_MC06g07006	88	99
MvSl-1064-A1-R4_MC06g07010	6827	6367
MvSl-1064-A1-R4_MC06g07011	2244	2157
MvSl-1064-A1-R4_MC06g07012	2100	1674
MvSl-1064-A1-R4_MC06g07013	577	283
MvSl-1064-A1-R4_MC06g07014	4893	3050
MvSl-1064-A1-R4_MC06g07015	2552	4021
MvSl-1064-A1-R4_MC06g07016	2591	1831
MvSl-1064-A1-R4_MC06g07017	2361	1959
MvSl-1064-A1-R4_MC06g07020	251	341
MvSl-1064-A1-R4_MC06g07021	676	914
MvSl-1064-A1-R4_MC06g07022	3	5
MvSl-1064-A1-R4_MC06g07023	41	49
MvSl-1064-A1-R4_MC06g07025	6237	6318
MvSl-1064-A1-R4_MC06g07026	4424.34	3571.26
MvSl-1064-A1-R4_MC06g07027	1723	1435
MvSl-1064-A1-R4_MC06g07028	1419	1513
MvSl-1064-A1-R4_MC06g07029	301	291
MvSl-1064-A1-R4_MC06g07030	1372	1635
MvSl-1064-A1-R4_MC06g07031	5479	3729
MvSl-1064-A1-R4_MC06g07037	1265	870
MvSl-1064-A1-R4_MC06g07038	3387	3944
MvSl-1064-A1-R4_MC06g07039	2027	1936
MvSl-1064-A1-R4_MC06g07040	1248	1148
MvSl-1064-A1-R4_MC06g07041	924	876
MvSl-1064-A1-R4_MC06g07042	297	471
MvSl-1064-A1-R4_MC06g07043	3019	3565
MvSl-1064-A1-R4_MC06g07044	2553	3160
MvSl-1064-A1-R4_MC06g07045	1	1
MvSl-1064-A1-R4_MC06g07046	2236	2180
MvSl-1064-A1-R4_MC06g07048	2	1
MvSl-1064-A1-R4_MC06g07049	1374	1225
MvSl-1064-A1-R4_MC06g07054	1135	981
MvSl-1064-A1-R4_MC06g07055	762	536
MvSl-1064-A1-R4_MC06g07056	2601	2766
MvSl-1064-A1-R4_MC06g07057	11781	9265
MvSl-1064-A1-R4_MC06g07118	2652	1753
MvSl-1064-A1-R4_MC06g07119	2944	2476
MvSl-1064-A1-R4_MC06g07120	1643	1708
MvSl-1064-A1-R4_MC06g07121	466	425
MvSl-1064-A1-R4_MC06g07122	6310	4164
MvSl-1064-A1-R4_MC06g07129	293	171
MvSl-1064-A1-R4_MC06g07130	2996	2116
MvSl-1064-A1-R4_MC06g07131	792	673
MvSl-1064-A1-R4_MC06g07132	2995	3113
MvSl-1064-A1-R4_MC06g07133	558	387
MvSl-1064-A1-R4_MC06g07134	3732	3137
MvSl-1064-A1-R4_MC06g07136	1142	1096
MvSl-1064-A1-R4_MC06g07137	1966	1733
MvSl-1064-A1-R4_MC06g07138	7454	6060
MvSl-1064-A1-R4_MC06g07139	664	798
MvSl-1064-A1-R4_MC06g07144	2031	1737
MvSl-1064-A1-R4_MC06g07145	3708	4242
MvSl-1064-A1-R4_MC06g07147	1898	1474
MvSl-1064-A1-R4_MC06g07152	1138.49	1191.13
MvSl-1064-A1-R4_MC06g07154	727	3352
MvSl-1064-A1-R4_MC06g07155	2918	3056
MvSl-1064-A1-R4_MC06g07156	8689	7114
MvSl-1064-A1-R4_MC06g07157	868	651
MvSl-1064-A1-R4_MC06g07158	2875	3184
MvSl-1064-A1-R4_MC06g07159	128	126
MvSl-1064-A1-R4_MC06g07160	165	136
MvSl-1064-A1-R4_MC06g07161	111	106
MvSl-1064-A1-R4_MC06g07162	1484	1260
MvSl-1064-A1-R4_MC06g07167	7180	7342
MvSl-1064-A1-R4_MC06g07168	955	997
MvSl-1064-A1-R4_MC06g07169	1310	1276
MvSl-1064-A1-R4_MC06g07170	291	312
MvSl-1064-A1-R4_MC06g07171	1142	1247
MvSl-1064-A1-R4_MC06g07172	701	701
MvSl-1064-A1-R4_MC06g07173	3293	2723
MvSl-1064-A1-R4_MC06g07174	307	371
MvSl-1064-A1-R4_MC06g07176	2	7
MvSl-1064-A1-R4_MC06g07177	7081	5398
MvSl-1064-A1-R4_MC06g07180	40.0674	30.0462
MvSl-1064-A1-R4_MC06g07182	4347	3842
MvSl-1064-A1-R4_MC06g07183	5899	5109
MvSl-1064-A1-R4_MC06g07184	6941	5932
MvSl-1064-A1-R4_MC06g07185	4102	5630
MvSl-1064-A1-R4_MC06g07186	1102	1268
MvSl-1064-A1-R4_MC06g07187	933	886
MvSl-1064-A1-R4_MC06g07188	1045	1564
MvSl-1064-A1-R4_MC06g07191	349	364
MvSl-1064-A1-R4_MC06g07192	645	554
MvSl-1064-A1-R4_MC06g07193	1260	990
MvSl-1064-A1-R4_MC06g07194	3833	3746
MvSl-1064-A1-R4_MC06g07195	477	276
MvSl-1064-A1-R4_MC06g07196	1339.35	1193.55
MvSl-1064-A1-R4_MC06g07201	326	364
MvSl-1064-A1-R4_MC06g07202	1939	3764
MvSl-1064-A1-R4_MC06g07203	344	245
MvSl-1064-A1-R4_MC06g07204	4628	4094
MvSl-1064-A1-R4_MC06g07205	947	888
MvSl-1064-A1-R4_MC06g07206	17973	21357
MvSl-1064-A1-R4_MC06g07207	2805	2844
MvSl-1064-A1-R4_MC06g07208	2328	1891
MvSl-1064-A1-R4_MC06g07212	1387	1113
MvSl-1064-A1-R4_MC06g07213	51	57
MvSl-1064-A1-R4_MC06g07214	754	694
MvSl-1064-A1-R4_MC06g07215	314.291	307.701
MvSl-1064-A1-R4_MC06g07216	8	14
MvSl-1064-A1-R4_MC06g07218	708	637
MvSl-1064-A1-R4_MC06g07219	8112	7657
MvSl-1064-A1-R4_MC06g07220	3351	3355
MvSl-1064-A1-R4_MC06g07221	5685	5703
MvSl-1064-A1-R4_MC06g07225	2316	2230
MvSl-1064-A1-R4_MC06g07226	2341	1918
MvSl-1064-A1-R4_MC06g07227	1547	1575
MvSl-1064-A1-R4_MC06g07228	4381	3767
MvSl-1064-A1-R4_MC06g07229	1769	1791
MvSl-1064-A1-R4_MC06g07230	1611	1193
MvSl-1064-A1-R4_MC06g07231	3147	2869
MvSl-1064-A1-R4_MC06g07232	984	1476
MvSl-1064-A1-R4_MC06g07233	1085	1181
MvSl-1064-A1-R4_MC06g07234	902	817
MvSl-1064-A1-R4_MC06g07235	3700	3430
MvSl-1064-A1-R4_MC06g07236	136582	206673
MvSl-1064-A1-R4_MC06g07237	3509	2506
MvSl-1064-A1-R4_MC06g07240	1252	1430
MvSl-1064-A1-R4_MC06g07241	770	825
MvSl-1064-A1-R4_MC06g07242	2089	2525
MvSl-1064-A1-R4_MC06g07243	847	1099
MvSl-1064-A1-R4_MC06g07244	3232	3005
MvSl-1064-A1-R4_MC06g07245	6426	6694
MvSl-1064-A1-R4_MC06g07246	883	1033
MvSl-1064-A1-R4_MC06g07247	307	304
MvSl-1064-A1-R4_MC06g07248	71	74
MvSl-1064-A1-R4_MC06g07249	230	333
MvSl-1064-A1-R4_MC06g07250	770	667
MvSl-1064-A1-R4_MC06g07251	2326	2245
MvSl-1064-A1-R4_MC06g07252	1371	1499
MvSl-1064-A1-R4_MC06g07253	735	918
MvSl-1064-A1-R4_MC06g07254	3263	3432
MvSl-1064-A1-R4_MC06g07255	1191	868
MvSl-1064-A1-R4_MC06g07256	1551	1477
MvSl-1064-A1-R4_MC06g07257	761	617
MvSl-1064-A1-R4_MC06g07258	3401	2421
MvSl-1064-A1-R4_MC06g07259	12	11
MvSl-1064-A1-R4_MC06g07260	4562	4289
MvSl-1064-A1-R4_MC06g07261	1413	1545
MvSl-1064-A1-R4_MC06g07262	1689	1955
MvSl-1064-A1-R4_MC06g07264	1731	1438
MvSl-1064-A1-R4_MC06g07265	1453	1288
MvSl-1064-A1-R4_MC06g07267	4387	4125
MvSl-1064-A1-R4_MC06g07268	1	1
MvSl-1064-A1-R4_MC06g07269	275	471
MvSl-1064-A1-R4_MC06g07270	4623	5443
MvSl-1064-A1-R4_MC06g07271	1357	1551
MvSl-1064-A1-R4_MC06g07272	1723	1274
MvSl-1064-A1-R4_MC06g07273	9848	9382
MvSl-1064-A1-R4_MC06g07274	726	652
MvSl-1064-A1-R4_MC06g07275	3431	3653
MvSl-1064-A1-R4_MC06g07276	3187	2886
MvSl-1064-A1-R4_MC06g07278	58	79
MvSl-1064-A1-R4_MC06g07279	1521	1855
MvSl-1064-A1-R4_MC06g07280	4005	3142
MvSl-1064-A1-R4_MC06g07281	2400	2810
MvSl-1064-A1-R4_MC06g07282	442	499
MvSl-1064-A1-R4_MC06g07283	274	146
MvSl-1064-A1-R4_MC06g07284	5108	4486
MvSl-1064-A1-R4_MC06g07285	1918	1683
MvSl-1064-A1-R4_MC06g07286	268	182
MvSl-1064-A1-R4_MC06g07287	384	237
MvSl-1064-A1-R4_MC06g07288	883	747
MvSl-1064-A1-R4_MC06g07289	1737	1979
MvSl-1064-A1-R4_MC06g07290	1385	1320
MvSl-1064-A1-R4_MC06g07291	1990	1742
MvSl-1064-A1-R4_MC06g07292	2089	2487
MvSl-1064-A1-R4_MC06g07293	4117	3645
MvSl-1064-A1-R4_MC06g07294	7592.09	5323.39
MvSl-1064-A1-R4_MC06g07298	3043	3219
MvSl-1064-A1-R4_MC06g07299	1878	1552
MvSl-1064-A1-R4_MC06g07300	1680	1382
MvSl-1064-A1-R4_MC06g07301	841	830
MvSl-1064-A1-R4_MC06g07303	197.017	245
MvSl-1064-A1-R4_MC06g07304	1697	1917
MvSl-1064-A1-R4_MC06g07305	760	655
MvSl-1064-A1-R4_MC06g07306	18	18
MvSl-1064-A1-R4_MC06g07307	2313	2296
MvSl-1064-A1-R4_MC06g07308	4582	4597
MvSl-1064-A1-R4_MC06g07309	7000	7931
MvSl-1064-A1-R4_MC06g07310	2233	1504
MvSl-1064-A1-R4_MC06g07311	1430	1588
MvSl-1064-A1-R4_MC06g07312	507	507
MvSl-1064-A1-R4_MC06g07313	5541	6437
MvSl-1064-A1-R4_MC06g07314	810	797
MvSl-1064-A1-R4_MC06g07315	2403	1929
MvSl-1064-A1-R4_MC06g07316	1314	1231
MvSl-1064-A1-R4_MC06g07317	1924.98	1778
MvSl-1064-A1-R4_MC06g07326	2942	2389
MvSl-1064-A1-R4_MC06g07327	4438	5160
MvSl-1064-A1-R4_MC06g07328	1819	1810
MvSl-1064-A1-R4_MC06g07329	74	44
MvSl-1064-A1-R4_MC06g07332	222	367
MvSl-1064-A1-R4_MC06g07333	5784	5394
MvSl-1064-A1-R4_MC06g07334	1375	1498
MvSl-1064-A1-R4_MC06g07335	2713	3047
MvSl-1064-A1-R4_MC06g07336	36	29
MvSl-1064-A1-R4_MC06g07337	4	5
MvSl-1064-A1-R4_MC06g07338	2156	1582
MvSl-1064-A1-R4_MC06g07339	740	620
MvSl-1064-A1-R4_MC06g07340	2839	2290
MvSl-1064-A1-R4_MC06g07341	1857	1404
MvSl-1064-A1-R4_MC06g07342	1795	1730
MvSl-1064-A1-R4_MC06g07343	721	558
MvSl-1064-A1-R4_MC06g07346	2117	2227
MvSl-1064-A1-R4_MC06g07350	43.817	48.7912
MvSl-1064-A1-R4_MC06g07351	3961	3480
MvSl-1064-A1-R4_MC06g07352	578	509
MvSl-1064-A1-R4_MC06g07356	575	430
MvSl-1064-A1-R4_MC06g07357	739	495
MvSl-1064-A1-R4_MC06g07358	217	122
MvSl-1064-A1-R4_MC06g07359	3104	3832
MvSl-1064-A1-R4_MC06g07360	2678	2542
MvSl-1064-A1-R4_MC06g07361	454	407
MvSl-1064-A1-R4_MC06g07362	1158	1249
MvSl-1064-A1-R4_MC06g07363	5120	5130
MvSl-1064-A1-R4_MC06g07367	1448	1383
MvSl-1064-A1-R4_MC06g07368	17812	19622
MvSl-1064-A1-R4_MC06g07369	1191	1114
MvSl-1064-A1-R4_MC06g07370	2296	1923
MvSl-1064-A1-R4_MC06g07371	3534.32	3331.1
MvSl-1064-A1-R4_MC06g07372	6502	6999
MvSl-1064-A1-R4_MC06g07374	1387	1139
MvSl-1064-A1-R4_MC06g07376	9902	12926
MvSl-1064-A1-R4_MC06g07377	4846	4087
MvSl-1064-A1-R4_MC06g07380	7799	7608
MvSl-1064-A1-R4_MC06g07381	2988	3371
MvSl-1064-A1-R4_MC06g07382	711	716
MvSl-1064-A1-R4_MC06g07383	12335	10071
MvSl-1064-A1-R4_MC06g07384	3460	3218
MvSl-1064-A1-R4_MC06g07385	1967	1889
MvSl-1064-A1-R4_MC06g07386	2794	2871
MvSl-1064-A1-R4_MC06g07387	1670	1408
MvSl-1064-A1-R4_MC06g07388	1730	1439
MvSl-1064-A1-R4_MC06g07389	1421	1364
MvSl-1064-A1-R4_MC06g07390	2215	2205
MvSl-1064-A1-R4_MC06g07391	923	728
MvSl-1064-A1-R4_MC06g07393	4462	3226
MvSl-1064-A1-R4_MC06g07394	3326	3017
MvSl-1064-A1-R4_MC06g07395	768	515
MvSl-1064-A1-R4_MC06g07396	2707	3369
MvSl-1064-A1-R4_MC06g07397	404	257
MvSl-1064-A1-R4_MC06g07398	5602	4294
MvSl-1064-A1-R4_MC06g07399	38	32
MvSl-1064-A1-R4_MC06g07400	10839	12812
MvSl-1064-A1-R4_MC06g07401	1745	2437
MvSl-1064-A1-R4_MC06g07402	547	414
MvSl-1064-A1-R4_MC06g07403	2924	4072
MvSl-1064-A1-R4_MC06g07404	1859	1793
MvSl-1064-A1-R4_MC06g07405	524	668
MvSl-1064-A1-R4_MC06g07406	244	283
MvSl-1064-A1-R4_MC06g07414	7184	6241
MvSl-1064-A1-R4_MC06g07415	2401	2228
MvSl-1064-A1-R4_MC06g07416	293	210
MvSl-1064-A1-R4_MC06g07421	6530	6588
MvSl-1064-A1-R4_MC06g07422	6882	4409
MvSl-1064-A1-R4_MC06g07423	3919	3949
MvSl-1064-A1-R4_MC06g07424	2231	2006
MvSl-1064-A1-R4_MC06g07425	8330	6095
MvSl-1064-A1-R4_MC06g07426	54	50
MvSl-1064-A1-R4_MC06g07427	16359	14111
MvSl-1064-A1-R4_MC06g07428	4782	5446
MvSl-1064-A1-R4_MC06g07429	1367	1173
MvSl-1064-A1-R4_MC06g07430	1578	1286
MvSl-1064-A1-R4_MC06g07431	5022	4127
MvSl-1064-A1-R4_MC06g07432	62	47
MvSl-1064-A1-R4_MC06g07437	26.0533	34.0886
MvSl-1064-A1-R4_MC06g07438	9	10
MvSl-1064-A1-R4_MC06g07440	219	488
MvSl-1064-A1-R4_MC06g07441	3046	2351
MvSl-1064-A1-R4_MC06g07442	1444	1352
MvSl-1064-A1-R4_MC06g07443	166	151
MvSl-1064-A1-R4_MC06g07444	3331	4255
MvSl-1064-A1-R4_MC06g07447	2418.56	1923.15
MvSl-1064-A1-R4_MC06g07450	25	10
MvSl-1064-A1-R4_MC06g07451	749	658
MvSl-1064-A1-R4_MC06g07452	893	920
MvSl-1064-A1-R4_MC06g07454	1477	1285
MvSl-1064-A1-R4_MC06g07455	4591	5290
MvSl-1064-A1-R4_MC06g07456	3083	3729
MvSl-1064-A1-R4_MC06g07457	691	740
MvSl-1064-A1-R4_MC06g07460	7735	9198
MvSl-1064-A1-R4_MC06g07461	19	21
MvSl-1064-A1-R4_MC06g07462	4929	4961
MvSl-1064-A1-R4_MC06g07463	1666	1536
MvSl-1064-A1-R4_MC06g07464	625	432
MvSl-1064-A1-R4_MC06g07465	2808	2858
MvSl-1064-A1-R4_MC06g07466	981	1092
MvSl-1064-A1-R4_MC06g07467	26599	25952
MvSl-1064-A1-R4_MC06g07468	6597	6892
MvSl-1064-A1-R4_MC06g07471	244	253
MvSl-1064-A1-R4_MC06g07472	1777	1886
MvSl-1064-A1-R4_MC06g07474	1492	1116
MvSl-1064-A1-R4_MC06g07475	3905	3135
MvSl-1064-A1-R4_MC06g07476	957	1169
MvSl-1064-A1-R4_MC06g07477	3624	5307
MvSl-1064-A1-R4_MC06g07478	93	115
MvSl-1064-A1-R4_MC06g07479	3123	3360
MvSl-1064-A1-R4_MC06g07480	1321	1173
MvSl-1064-A1-R4_MC06g07481	1777	1813
MvSl-1064-A1-R4_MC06g07482	2838	2546
MvSl-1064-A1-R4_MC06g07488	839	804
MvSl-1064-A1-R4_MC06g07489	3911	4118
MvSl-1064-A1-R4_MC06g07490	2044	1510
MvSl-1064-A1-R4_MC06g07492	2270	2676
MvSl-1064-A1-R4_MC06g07493	52692	92999
MvSl-1064-A1-R4_MC06g07494	3011	2399
MvSl-1064-A1-R4_MC06g07495	987	1181
MvSl-1064-A1-R4_MC06g07496	1881	1831
MvSl-1064-A1-R4_MC06g07497	1208	1573
MvSl-1064-A1-R4_MC06g07498	9730	16205
MvSl-1064-A1-R4_MC06g07499	2114	3854
MvSl-1064-A1-R4_MC06g07502	753	741
MvSl-1064-A1-R4_MC06g07503	4130	3975
MvSl-1064-A1-R4_MC06g07504	896	829
MvSl-1064-A1-R4_MC06g07505	2675	2222
MvSl-1064-A1-R4_MC06g07506	1990	2457
MvSl-1064-A1-R4_MC06g07507	3	3
MvSl-1064-A1-R4_MC06g07508	6208	6004
MvSl-1064-A1-R4_MC06g07510	3495	2854
MvSl-1064-A1-R4_MC06g07511	152	162
MvSl-1064-A1-R4_MC06g07515	3095	4309
MvSl-1064-A1-R4_MC06g07516	640	744
MvSl-1064-A1-R4_MC06g07519	6	3
MvSl-1064-A1-R4_MC06g07520	2543	1995
MvSl-1064-A1-R4_MC06g07521	1307	1076
MvSl-1064-A1-R4_MC06g07522	4948	5384
MvSl-1064-A1-R4_MC06g07523	187	562
MvSl-1064-A1-R4_MC06g07524	12.5427	34.4449
MvSl-1064-A1-R4_MC06g07525	1941	1828
MvSl-1064-A1-R4_MC06g07528	1194	1534
MvSl-1064-A1-R4_MC06g07529	2103	3101
MvSl-1064-A1-R4_MC06g07530	2777	3378
MvSl-1064-A1-R4_MC06g07531	2230	2357
MvSl-1064-A1-R4_MC06g07532	495	466
MvSl-1064-A1-R4_MC06g07533	696	916
MvSl-1064-A1-R4_MC06g07534	1676	1822
MvSl-1064-A1-R4_MC06g07541	38.9053	46.2182
MvSl-1064-A1-R4_MC07g07551	1384	1145
MvSl-1064-A1-R4_MC07g07552	1308	990
MvSl-1064-A1-R4_MC07g07553	2903	2564
MvSl-1064-A1-R4_MC07g07554	1378	1276
MvSl-1064-A1-R4_MC07g07557	1807	1664
MvSl-1064-A1-R4_MC07g07558	118959	130659
MvSl-1064-A1-R4_MC07g07562	2726	2634
MvSl-1064-A1-R4_MC07g07563	1880	2078
MvSl-1064-A1-R4_MC07g07564	835	740
MvSl-1064-A1-R4_MC07g07565	2909	2771
MvSl-1064-A1-R4_MC07g07566	3395	4311
MvSl-1064-A1-R4_MC07g07567	399	541
MvSl-1064-A1-R4_MC07g07568	1256	930
MvSl-1064-A1-R4_MC07g07572	2520	2799
MvSl-1064-A1-R4_MC07g07573	588	762
MvSl-1064-A1-R4_MC07g07574	4858	4124
MvSl-1064-A1-R4_MC07g07575	1269	1148
MvSl-1064-A1-R4_MC07g07576	2311	2309
MvSl-1064-A1-R4_MC07g07577	1	0
MvSl-1064-A1-R4_MC07g07578	269	121
MvSl-1064-A1-R4_MC07g07579	940	1092
MvSl-1064-A1-R4_MC07g07581	6391	6755
MvSl-1064-A1-R4_MC07g07582	3761	2869
MvSl-1064-A1-R4_MC07g07583	6	2
MvSl-1064-A1-R4_MC07g07584	2514	2758
MvSl-1064-A1-R4_MC07g07586	6597	5928
MvSl-1064-A1-R4_MC07g07587	7189	7515
MvSl-1064-A1-R4_MC07g07588	2412	2410
MvSl-1064-A1-R4_MC07g07589	154	132
MvSl-1064-A1-R4_MC07g07593	2131	2301
MvSl-1064-A1-R4_MC07g07594	1363	1229
MvSl-1064-A1-R4_MC07g07595	1420	1409
MvSl-1064-A1-R4_MC07g07596	2427	2283
MvSl-1064-A1-R4_MC07g07597	5032	5292
MvSl-1064-A1-R4_MC07g07598	91	94
MvSl-1064-A1-R4_MC07g07600	56	48
MvSl-1064-A1-R4_MC07g07601	89	104
MvSl-1064-A1-R4_MC07g07602	1419	1137
MvSl-1064-A1-R4_MC07g07603	3931	3154
MvSl-1064-A1-R4_MC07g07609	103.907	111.737
MvSl-1064-A1-R4_MC07g07610	598	543
MvSl-1064-A1-R4_MC07g07611	1244	1312
MvSl-1064-A1-R4_MC07g07612	5009	3262
MvSl-1064-A1-R4_MC07g07613	647	459
MvSl-1064-A1-R4_MC07g07614	952.379	745.611
MvSl-1064-A1-R4_MC07g07615	1789	2280
MvSl-1064-A1-R4_MC07g07616	921	820
MvSl-1064-A1-R4_MC07g07617	1194	1095
MvSl-1064-A1-R4_MC07g07618	2546	3039
MvSl-1064-A1-R4_MC07g07619	701	1358
MvSl-1064-A1-R4_MC07g07620	2415	2308
MvSl-1064-A1-R4_MC07g07621	6055	6101
MvSl-1064-A1-R4_MC07g07622	2284	2124
MvSl-1064-A1-R4_MC07g07623	1744	1378
MvSl-1064-A1-R4_MC07g07624	2319	2454
MvSl-1064-A1-R4_MC07g07625	6174	5622
MvSl-1064-A1-R4_MC07g07626	7997	6507
MvSl-1064-A1-R4_MC07g07627	9815	12718
MvSl-1064-A1-R4_MC07g07628	1616	1346
MvSl-1064-A1-R4_MC07g07629	12353	15579
MvSl-1064-A1-R4_MC07g07630	1118	768
MvSl-1064-A1-R4_MC07g07631	3011	2731
MvSl-1064-A1-R4_MC07g07632	5737	6675
MvSl-1064-A1-R4_MC07g07633	5064	4379
MvSl-1064-A1-R4_MC07g07634	343	298
MvSl-1064-A1-R4_MC07g07635	794	644
MvSl-1064-A1-R4_MC07g07638	4469	4452
MvSl-1064-A1-R4_MC07g07639	2903	2884
MvSl-1064-A1-R4_MC07g07640	128	177
MvSl-1064-A1-R4_MC07g07641	10	6
MvSl-1064-A1-R4_MC07g07649	1706	1623
MvSl-1064-A1-R4_MC07g07651	4625	4598
MvSl-1064-A1-R4_MC07g07652	2637	2312
MvSl-1064-A1-R4_MC07g07653	1639	1308
MvSl-1064-A1-R4_MC07g07654	6513	4116
MvSl-1064-A1-R4_MC07g07655	7577	9995
MvSl-1064-A1-R4_MC07g07656	858	865
MvSl-1064-A1-R4_MC07g07657	2884	4177
MvSl-1064-A1-R4_MC07g07658	6455	5345
MvSl-1064-A1-R4_MC07g07660	139.786	159.704
MvSl-1064-A1-R4_MC07g07662	4897	4163
MvSl-1064-A1-R4_MC07g07666	1974	2516
MvSl-1064-A1-R4_MC07g07668	150	122
MvSl-1064-A1-R4_MC07g07669	3082	3752
MvSl-1064-A1-R4_MC07g07674	639.972	727.086
MvSl-1064-A1-R4_MC07g07677	653.46	674.512
MvSl-1064-A1-R4_MC07g07679	536	988
MvSl-1064-A1-R4_MC07g07680	4085	4671
MvSl-1064-A1-R4_MC07g07681	715	665
MvSl-1064-A1-R4_MC07g07682	452	376
MvSl-1064-A1-R4_MC07g07683	1259	1139
MvSl-1064-A1-R4_MC07g07684	3922.73	4707.7
MvSl-1064-A1-R4_MC07g07685	1088	900
MvSl-1064-A1-R4_MC07g07686	1221	1057
MvSl-1064-A1-R4_MC07g07687	1294	1209
MvSl-1064-A1-R4_MC07g07688	1596	1523
MvSl-1064-A1-R4_MC07g07689	1476	1181
MvSl-1064-A1-R4_MC07g07690	1900	1780
MvSl-1064-A1-R4_MC07g07691	2616	2919
MvSl-1064-A1-R4_MC07g07694	5.67034	5.30935
