gene	rich1	rich2	water1	water2	di1	di2
MvSl-1064-A2-R4_A2g00637	332.446	595.815	1882.59	1256.91	478.296	399.834
MvSl-1064-A2-R4_A2g00648	5	4.00375	3.00782	6.0117	1777.92	1776.13
MvSl-1064-A2-R4_A2g00652	1.00737	1.00856	0	4.02603	516.854	1072.94
MvSl-1064-A2-R4_A2g00656	2.12584	1.00937	1.03225	3.34857	2.11285	1.34994
MvSl-1064-A2-R4_A2g00657	0	0	1	0	0	0
MvSl-1064-A2-R4_A2g00658	0	0	1	0	1.00468	1.00492
MvSl-1064-A2-R4_A2g00661	1.26323	0	0	0	1.29133	0
MvSl-1064-A2-R4_A2g00662	5.97986	10.5331	125.765	139.139	83.3167	78.2331
MvSl-1064-A2-R4_A2g00664	98.905	70.868	117.97	145.259	809.646	1054.8
MvSl-1064-A2-R4_A2g00665	89.7763	108.44	642.952	779.021	345.133	374.248
MvSl-1064-A2-R4_A2g00666	784.125	738.465	1472	1394.27	826.437	1363.25
MvSl-1064-A2-R4_A2g00667	731.019	584.012	4657.22	5803.06	2306.15	3434.59
MvSl-1064-A2-R4_A2g00683	35.6786	23.1928	40.2246	37.3661	48.8108	61.9467
MvSl-1064-A2-R4_A2g00685	1154.82	1970	7096.97	5667.2	1784.53	1070.47
MvSl-1064-A2-R4_A2g00688	623	577	403	408	118	128
MvSl-1064-A2-R4_A2g00689	2	0	2.08028	5.37914	81.0171	120.285
MvSl-1064-A2-R4_A2g00690	4	5	11	11	9.15737	12.1072
MvSl-1064-A2-R4_A2g00692	0	0	4.2394	4	1.13629	0
MvSl-1064-A2-R4_A2g00694	2	1	12	11	3	7
MvSl-1064-A2-R4_A2g00696	20.4837	23	643	926.712	73.4461	80.3921
MvSl-1064-A2-R4_A2g00697	386.075	357.542	336847	416058	29476.1	31061.3
MvSl-1064-A2-R4_A2g00701	206.298	673.497	442.768	281.187	290.461	270.712
MvSl-1064-A2-R4_A2g00704	97.7445	54.7437	115.004	91.044	43.1246	36.4336
MvSl-1064-A2-R4_A2g00707	22	16	33	43	9	13
MvSl-1064-A2-R4_A2g00708	10	8	23	35.2067	19	15
MvSl-1064-A2-R4_A2g00709	6	13	3	10	2	5
MvSl-1064-A2-R4_A2g00710	32.9607	31	37	38.6754	23.602	23.3722
MvSl-1064-A2-R4_A2g00712	37	32.9696	51	86	89	99
MvSl-1064-A2-R4_A2g00715	1	2	1	3.21429	2	0
MvSl-1064-A2-R4_A2g00716	71.5605	60.3647	15.2475	13.1403	1.03511	14.514
MvSl-1064-A2-R4_A2g00724	7	5	7.59011	8.59329	9.44619	8.10885
MvSl-1064-A2-R4_A2g00725	839.256	797.62	2121.68	2287.26	1343.41	1430.6
MvSl-1064-A2-R4_A2g00727	136.184	153.989	163.039	266.498	298.711	311.53
MvSl-1064-A2-R4_A2g00729	1472.23	1457.84	4893.56	5561.74	2305.78	2882.97
MvSl-1064-A2-R4_A2g00730	36	77	34	22	23	24
MvSl-1064-A2-R4_A2g00739	21	17	2441.48	4485.83	225.777	220.891
