gene	haploid	cdslength	protleng	chr	chr1	DE_status	DE_status2	mean_exp
MvSl-1064-A1-R4_MC04-1g05942	A1	2090	440	aAutosome	aAutosome	Down	DE	5.61224
MvSl-1064-A1-R4_MC12g11020	A1	1639	486	aAutosome	aAutosome	Down	DE	6.19651
MvSl-1064-A1-R4_MC05-3g06591	A1	4010	986	aAutosome	aAutosome	Down	DE	5.73253
MvSl-1064-A1-R4_MC01-1g01957	A1	1455	306	aAutosome	aAutosome	Down	DE	6.50895
MvSl-1064-A1-R4_MC03g05077	A1	714	237	aAutosome	aAutosome	Down	DE	6.18396
MvSl-1064-A1-R4_MC03g04423	A1	1035	204	aAutosome	aAutosome	Down	DE	7.06153
MvSl-1064-A1-R4_MC01-1g02545	A1	2639	602	aAutosome	aAutosome	Down	DE	4.91521
MvSl-1064-A1-R4_MC07g07597	A1	2418	592	aAutosome	aAutosome	Down	DE	7.05837
MvSl-1064-A1-R4_MC11g10335	A1	667	181	aAutosome	aAutosome	Down	DE	6.76227
MvSl-1064-A1-R4_MC11g10517	A1	3239	976	aAutosome	aAutosome	Down	DE	6.39223
MvSl-1064-A1-R4_MC13g11443	A1	2651	859	aAutosome	aAutosome	Down	DE	6.75068
MvSl-1064-A1-R4_MC01-1g02628	A1	183	60	aAutosome	aAutosome	Down	DE	7.20408
MvSl-1064-A1-R4_MC10-1g09809	A1	589	156	aAutosome	aAutosome	Down	DE	5.39952
MvSl-1064-A1-R4_A1g00241	A1	1041	346	faBlack	NRR	Down	DE	7.20617
MvSl-1064-A1-R4_MC09-2g09527	A1	1307	327	aAutosome	aAutosome	Down	DE	6.07005
MvSl-1064-A1-R4_MC04-1g05493	A1	1404	422	aAutosome	aAutosome	Down	DE	5.93962
MvSl-1064-A1-R4_MC04-1g05323	A1	3058	929	aAutosome	aAutosome	Down	DE	6.75912
MvSl-1064-A1-R4_A1g00648	A1	1838	502	faBlack	NRR	Down	DE	6.10116
MvSl-1064-A1-R4_A1g00242	A1	913	191	faBlack	NRR	Down	DE	5.27274
MvSl-1064-A1-R4_MC14g11805	A1	2379	576	aAutosome	aAutosome	Down	DE	5.72597
MvSl-1064-A1-R4_MC13g11616	A1	2299	531	aAutosome	aAutosome	Down	DE	6.48523
MvSl-1064-A1-R4_MC10-2g10026	A1	1636	235	aAutosome	aAutosome	Up	DE	7.15271
MvSl-1064-A1-R4_MC01-1g01952	A1	1357	328	aAutosome	aAutosome	Up	DE	7.42216
MvSl-1064-A1-R4_MC04-1g05373	A1	3451	818	aAutosome	aAutosome	Up	DE	6.50934
MvSl-1064-A1-R4_A1g01137	A1	2253	595	faBlack	NRR	Up	DE	6.91238
MvSl-1064-A1-R4_A1g00165	A1	3167	889	faBlack	NRR	Up	DE	7.88292
MvSl-1064-A1-R4_MC04-1g05441	A1	2372	601	aAutosome	aAutosome	Up	DE	7.71173
MvSl-1064-A1-R4_MC05-1g06149	A1	2537	685	aAutosome	aAutosome	Up	DE	6.98692
MvSl-1064-A1-R4_MC09-2g09340	A1	2204	599	aAutosome	aAutosome	Up	DE	7.77262
MvSl-1064-A1-R4_MC04-1g05310	A1	276	91	aAutosome	aAutosome	Up	DE	5.62562
MvSl-1064-A1-R4_MC05-3g06516	A1	1218	346	aAutosome	aAutosome	Up	DE	5.43582
MvSl-1064-A1-R4_MC15g12029	A1	1197	125	aAutosome	aAutosome	Up	DE	8.66054
MvSl-1064-A1-R4_A1g01164	A1	3922	1029	faBlack	NRR	Up	DE	5.97584
MvSl-1064-A1-R4_MC10-1g09718	A1	2016	491	aAutosome	aAutosome	Up	DE	7.2438
MvSl-1064-A1-R4_MC06g07298	A1	1609	410	aAutosome	aAutosome	Up	DE	7.22937
MvSl-1064-A1-R4_MC04-1g05865	A1	2551	613	aAutosome	aAutosome	Up	DE	7.79963
MvSl-1064-A1-R4_MC04-1g05729	A1	960	151	aAutosome	aAutosome	Up	DE	6.08603
MvSl-1064-A1-R4_A1g00624	A1	1522	256	gPurple	NRR	Up	DE	7.88098
MvSl-1064-A1-R4_MC07g07981	A1	935	259	aAutosome	aAutosome	Up	DE	5.22531
MvSl-1064-A1-R4_MC07g08104	A1	2227	520	aAutosome	aAutosome	Up	DE	7.59447
MvSl-1064-A1-R4_MC02g03224	A1	2407	735	aAutosome	aAutosome	Up	DE	5.85539
MvSl-1064-A1-R4_MC07g08138	A1	2305	542	aAutosome	aAutosome	Up	DE	5.85575
MvSl-1064-A1-R4_MC03g04747	A1	2660	513	aAutosome	aAutosome	Up	DE	5.81597
MvSl-1064-A1-R4_MC07g07855	A1	2962	654	aAutosome	aAutosome	Up	DE	6.96337
MvSl-1064-A1-R4_A1g00800	A1	2157	445	faBlack	NRR	Up	DE	7.16995
MvSl-1064-A1-R4_MC06g07419	A1	1186	261	aAutosome	aAutosome	Up	DE	7.18662
MvSl-1064-A1-R4_MC04-1g05945	A1	932	195	aAutosome	aAutosome	Up	DE	6.90188
MvSl-1064-A1-R4_A1g01253	A1	969	182	faBlack	NRR	Up	DE	7.01233
MvSl-1064-A1-R4_A1g00292	A1	2365	547	faBlack	NRR	Up	DE	7.22122
MvSl-1064-A1-R4_A1g01359	A1	1759	455	faBlack	NRR	Up	DE	6.06904
MvSl-1064-A1-R4_MC05-2g06430	A1	1360	239	aAutosome	aAutosome	Up	DE	6.71799
MvSl-1064-A1-R4_A1g00920	A1	6438	1991	faBlack	NRR	Up	DE	6.16843
MvSl-1064-A1-R4_A1g01384	A1	3104	1008	faBlack	NRR	Up	DE	8.18365
MvSl-1064-A1-R4_MC13g11645	A1	4139	1128	aAutosome	aAutosome	Up	DE	8.08573
MvSl-1064-A1-R4_A1g00078	A1	462	153	bPAR	bPAR	Up	DE	7.5136
MvSl-1064-A1-R4_MC05-3g06519	A1	1573	238	aAutosome	aAutosome	Up	DE	8.47929
MvSl-1064-A1-R4_A1g00516	A1	1773	327	faBlack	NRR	Up	DE	9.00577
MvSl-1064-A1-R4_MC01-1g02603	A1	1351	344	aAutosome	aAutosome	Up	DE	5.15614
MvSl-1064-A1-R4_MC01-1g02022	A1	451	87	aAutosome	aAutosome	Up	DE	4.24652
MvSl-1064-A1-R4_MC06g06896	A1	1664	380	aAutosome	aAutosome	Up	DE	6.50225
MvSl-1064-A1-R4_MC05-3g06707	A1	2719	577	aAutosome	aAutosome	Up	DE	7.53366
MvSl-1064-A1-R4_MC05-3g06517	A1	697	111	aAutosome	aAutosome	Up	DE	8.4816
MvSl-1064-A1-R4_MC03g04642	A1	2257	553	aAutosome	aAutosome	Up	DE	6.82402
MvSl-1064-A1-R4_A1g00400	A1	3003	787	dRed	NRR	Up	DE	5.20188
MvSl-1064-A1-R4_MC05-3g06518	A1	3047	780	aAutosome	aAutosome	Up	DE	8.33853
MvSl-1064-A1-R4_MC07g08057	A1	2134	627	aAutosome	aAutosome	Up	DE	4.83713
MvSl-1064-A1-R4_MC03g05159	A1	3675	1224	aAutosome	aAutosome	Up	DE	6.52696
MvSl-1064-A1-R4_MC02g03484	A1	409	104	aAutosome	aAutosome	Up	DE	4.96064
MvSl-1064-A1-R4_MC10-1g09620	A1	627	115	aAutosome	aAutosome	Up	DE	3.70742
MvSl-1064-A1-R4_MC05-3g06514	A1	3798	1145	aAutosome	aAutosome	Up	DE	9.12149
MvSl-1064-A1-R4_MC10-2g10098	A1	1445	354	aAutosome	aAutosome	Up	DE	8.07434
MvSl-1064-A1-R4_MC12g10990	A1	219	72	aAutosome	aAutosome	Up	DE	4.59846
MvSl-1064-A1-R4_A1g00270	A1	1767	380	faBlack	NRR	Up	DE	5.98653
MvSl-1064-A1-R4_MC05-3g06515	A1	4406	1035	aAutosome	aAutosome	Up	DE	10.2415
MvSl-1064-A1-R4_MC11g10594	A1	2453	619	aAutosome	aAutosome	Up	DE	3.37067
MvSl-1064-A1-R4_MC11g10198	A1	189	62	aAutosome	aAutosome	Up	DE	6.73682
MvSl-1064-A1-R4_MC01-2g03113	A1	1281	321	aAutosome	aAutosome	Up	DE	4.33326
MvSl-1064-A1-R4_A1g00154	A1	790	220	faBlack	NRR	Up	DE	5.37663
MvSl-1064-A1-R4_MC05-3g06513	A1	810	269	aAutosome	aAutosome	Up	DE	5.90056
MvSl-1064-A1-R4_MC10-1g09733	A1	782	180	aAutosome	aAutosome	Up	DE	3.12939
MvSl-1064-A1-R4_MC03g05233	A1	4932	1230	aAutosome	aAutosome	Up	DE	7.4902
MvSl-1064-A1-R4_MC03g05154	A1	2808	448	aAutosome	aAutosome	Up	DE	6.65614
MvSl-1064-A1-R4_MC12g10761	A1	1831	499	aAutosome	aAutosome	Up	DE	2.37157
MvSl-1064-A1-R4_MC04-1g05987	A1	508	155	aAutosome	aAutosome	Up	DE	4.63174
MvSl-1064-A1-R4_A1g00644	A1	2526	789	faBlack	NRR	Up	DE	5.55818
MvSl-1064-A1-R4_MC05-3g06511	A1	698	119	aAutosome	aAutosome	Up	DE	3.78581
MvSl-1064-A1-R4_MC05-3g06520	A1	834	277	aAutosome	aAutosome	Up	DE	9.14775
MvSl-1064-A1-R4_A1g00080	A1	732	151	bPAR	bPAR	Up	DE	6.03296
