target_id	a1s1	a1s2
MvSl-1064-A1-R4_A1g00959	174	138
MvSl-1064-A1-R4_A1g00960	3029	4073
MvSl-1064-A1-R4_A1g00968	737	876
MvSl-1064-A1-R4_A1g00969	66	58
MvSl-1064-A1-R4_A1g00970	1695	1295
MvSl-1064-A1-R4_A1g00971	1371	893
MvSl-1064-A1-R4_A1g00972	2463	1739
MvSl-1064-A1-R4_A1g00977	1542	1630
MvSl-1064-A1-R4_A1g00997	2189	1964
MvSl-1064-A1-R4_A1g00998	470	363
MvSl-1064-A1-R4_A1g01007	152.098	207.632
MvSl-1064-A1-R4_A1g01017	2665	2457
MvSl-1064-A1-R4_A1g01021	3	1
MvSl-1064-A1-R4_A1g01022	0	0
MvSl-1064-A1-R4_A1g01038	2126	1103
MvSl-1064-A1-R4_A1g01045	382.807	330.751
MvSl-1064-A1-R4_A1g01049	579.519	682.061
MvSl-1064-A1-R4_A1g01127	33.3954	40.9198
MvSl-1064-A1-R4_A1g01129	2229	2247
MvSl-1064-A1-R4_A1g01135	745	632
MvSl-1064-A1-R4_A1g01136	354	577
MvSl-1064-A1-R4_A1g01137	1640	1599
MvSl-1064-A1-R4_A1g01138	280.492	224.439
MvSl-1064-A1-R4_A1g01151	0	0
MvSl-1064-A1-R4_A1g01154	3256	2910
MvSl-1064-A1-R4_A1g01159	2308	2009
MvSl-1064-A1-R4_A1g01160	2462	2562
MvSl-1064-A1-R4_A1g01161	1117	1131
MvSl-1064-A1-R4_A1g01162	2	5
MvSl-1064-A1-R4_A1g01163	42	46
MvSl-1064-A1-R4_A1g01164	602	538
MvSl-1064-A1-R4_A1g01173	697	749
MvSl-1064-A1-R4_A1g01174	1945	1524
MvSl-1064-A1-R4_A1g01175	9.37743	8.20652
MvSl-1064-A1-R4_A1g01184	2818	2385
MvSl-1064-A1-R4_A1g01189	1901	2418
MvSl-1064-A1-R4_A1g01212	244	501
MvSl-1064-A1-R4_A1g01219	45820	34650
MvSl-1064-A1-R4_A1g01220	597	539
MvSl-1064-A1-R4_A1g01227	4880	2806
MvSl-1064-A1-R4_A1g01228	225	189
MvSl-1064-A1-R4_A1g01252	1883	1854
MvSl-1064-A1-R4_A1g01253	2636	2214
MvSl-1064-A1-R4_A1g01261	17305	15924
MvSl-1064-A1-R4_A1g01271	5806	3725
MvSl-1064-A1-R4_A1g01272	13172	9036
MvSl-1064-A1-R4_A1g01282	49.5237	77.2084
MvSl-1064-A1-R4_A1g01288	713	523
MvSl-1064-A1-R4_A1g01290	510	438
MvSl-1064-A1-R4_A1g01302	27	38
MvSl-1064-A1-R4_A1g01317	2996	2542
MvSl-1064-A1-R4_A1g01346	4250	2870
MvSl-1064-A1-R4_A1g01347	1428	1510
MvSl-1064-A1-R4_A1g01348	3241	3113
MvSl-1064-A1-R4_A1g01350	1356	1225
MvSl-1064-A1-R4_A1g01351	23308	22750
MvSl-1064-A1-R4_A1g01358	48	47
MvSl-1064-A1-R4_A1g01359	1046	1388
MvSl-1064-A1-R4_A1g01366	1576	1589
MvSl-1064-A1-R4_A1g01367	231	282
MvSl-1064-A1-R4_A1g01368	980	1466
MvSl-1064-A1-R4_A1g01369	7831	7060
MvSl-1064-A1-R4_A1g01375	448	341
MvSl-1064-A1-R4_A1g01376	513	616
MvSl-1064-A1-R4_A1g01378	167	178
MvSl-1064-A1-R4_A1g01383	418.621	397.143
MvSl-1064-A1-R4_A1g01384	4586	4013
MvSl-1064-A1-R4_A1g01385	533	396
MvSl-1064-A1-R4_A1g01388	958	474
MvSl-1064-A1-R4_A1g01389	2035	1519
MvSl-1064-A1-R4_A1g01392	956	683
MvSl-1064-A1-R4_A1g01393	1067	1058
MvSl-1064-A1-R4_A1g01404	219	231
MvSl-1064-A1-R4_A1g01405	551	444
MvSl-1064-A1-R4_A1g01406	62991	48635
MvSl-1064-A1-R4_A1g01407	2124	2169
MvSl-1064-A1-R4_A1g01413	146.992	239.26
MvSl-1064-A1-R4_A1g01415	1891	1930
MvSl-1064-A1-R4_A1g01418	27.4415	55.5734
MvSl-1064-A1-R4_A1g01431	1268	1353
MvSl-1064-A1-R4_A1g01432	251	382
MvSl-1064-A1-R4_A1g01440	2190	2414
MvSl-1064-A1-R4_A1g01441	1443	1444
MvSl-1064-A1-R4_A1g01442	4	2
MvSl-1064-A1-R4_A1g01443	9.83944	11.7192
MvSl-1064-A1-R4_A1g01444	47913	40602
MvSl-1064-A1-R4_A1g01445	3015	3573
MvSl-1064-A1-R4_A1g01446	592	696
MvSl-1064-A1-R4_A1g01447	1215	1199
MvSl-1064-A1-R4_A1g01448	116.399	145.799
MvSl-1064-A1-R4_A1g01450	469	531
MvSl-1064-A1-R4_A1g01451	892	708
MvSl-1064-A1-R4_A1g01452	0	0
MvSl-1064-A1-R4_A1g01453	4212	3661
MvSl-1064-A1-R4_A1g01454	96	127
MvSl-1064-A1-R4_A1g01455	148	199
MvSl-1064-A1-R4_A1g01456	140	180
