target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm	target_id	length	eff_length	est_counts	tpm
MvSl-1064-A1-R4_MC14g11789	384	119.759	54	10.8621	MvSl-1064-A2-R4_MC14g12050	384	113.477	55.9887	8.92438	MvSl-1064-A2-R4_MC14g12050	384	115.559	41.5191	5.94314	MvSl-1064-A2-R4_MC14g12050	384	113.477	55.9887	8.92438
MvSl-1064-A1-R4_MC14g11790	135	13.8441	2	3.48011	MvSl-1064-A2-R4_MC14g12051	135	14.7929	6	7.33642	MvSl-1064-A2-R4_MC14g12051	135	15.7361	2.37982	2.5016	MvSl-1064-A2-R4_MC14g12051	135	14.7929	6	7.33642
MvSl-1064-A1-R4_MC14g11791	2814	2491.01	696.856	6.73899	MvSl-1064-A2-R4_MC14g12052	2814	2478	873.297	6.3745	MvSl-1064-A2-R4_MC14g12052	2814	2482.77	781.416	5.20615	MvSl-1064-A2-R4_MC14g12052	2814	2478	873.297	6.3745
MvSl-1064-A1-R4_MC01-1g02265	963	640.338	1221	45.934	MvSl-1064-A2-R4_MC01g02547	963	627.134	1007	29.0439	MvSl-1064-A2-R4_MC01g02547	963	631.839	1472	38.5366	MvSl-1064-A2-R4_MC01g02547	963	627.134	1007	29.0439
MvSl-1064-A1-R4_MC14g11792	576	271.978	61.4087	5.43906	MvSl-1064-A2-R4_MC14g12053	576	261.253	31.0316	2.14847	MvSl-1064-A2-R4_MC14g12053	576	262.973	15.9366	1.00243	MvSl-1064-A2-R4_MC14g12053	576	261.253	31.0316	2.14847
MvSl-1064-A1-R4_MC14g11793	1311	988.009	1	0.0243818	MvSl-1064-A2-R4_MC14g12054	1311	975.004	0	0	MvSl-1064-A2-R4_MC14g12054	1311	979.773	1	0.0168829	MvSl-1064-A2-R4_MC14g12054	1311	975.004	0	0
MvSl-1064-A1-R4_MC14g11794	621	312.038	457	35.2806	MvSl-1064-A2-R4_MC14g12055	621	300.697	520	31.2795	MvSl-1064-A2-R4_MC14g12055	621	303.08	573	31.273	MvSl-1064-A2-R4_MC14g12055	621	300.697	520	31.2795
MvSl-1064-A1-R4_MC14g11795	2499	2176.01	2130	23.5801	MvSl-1064-A2-R4_MC14g12056	2499	2163	2834	23.6989	MvSl-1064-A2-R4_MC14g12056	2499	2167.77	3456	26.3713	MvSl-1064-A2-R4_MC14g12056	2499	2163	2834	23.6989
MvSl-1064-A1-R4_MC14g11796	1389	1066.01	1462	33.038	MvSl-1064-A2-R4_MC14g12057	1389	1053	1882	32.3278	MvSl-1064-A2-R4_MC14g12057	1389	1057.77	2047	32.0108	MvSl-1064-A2-R4_MC14g12057	1389	1053	1882	32.3278
MvSl-1064-A1-R4_MC14g11797	3456	3133.01	8315	63.9334	MvSl-1064-A2-R4_MC14g12058	3456	3120	8569	49.6776	MvSl-1064-A2-R4_MC14g12058	3456	3124.77	9468	50.12	MvSl-1064-A2-R4_MC14g12058	3456	3120	8569	49.6776
