aa	bb	cc	dd	ee	target_id	A2_1	A2_2
MvSl-1064-A1-R4_MC05-1g06250	MvSl-1064-A2-R4_MC05g06523	MvSl-1064-A1-R4_MC05-1g06250	1224.95	1637.6	MvSl-1064-A2-R4_MC05g06523	1113.86	900.57
MvSl-1064-A1-R4_MC05-1g06251	MvSl-1064-A2-R4_MC05g06524	MvSl-1064-A1-R4_MC05-1g06251	6914.31	11174.7	MvSl-1064-A2-R4_MC05g06524	6822.35	6793.84
MvSl-1064-A1-R4_MC05-1g06252	MvSl-1064-A2-R4_MC05g06525	MvSl-1064-A1-R4_MC05-1g06252	83.1079	87.0059	MvSl-1064-A2-R4_MC05g06525	114.972	123.918
MvSl-1064-A1-R4_MC05-1g06253	MvSl-1064-A2-R4_MC05g06526	MvSl-1064-A1-R4_MC05-1g06253	2694	2856	MvSl-1064-A2-R4_MC05g06526	3025	3476
MvSl-1064-A1-R4_MC05-1g06255	MvSl-1064-A2-R4_MC05g06528	MvSl-1064-A1-R4_MC05-1g06255	6241	5689.63	MvSl-1064-A2-R4_MC05g06528	7321	6801.43
MvSl-1064-A1-R4_MC05-1g06256	MvSl-1064-A2-R4_MC05g06529	MvSl-1064-A1-R4_MC05-1g06256	3.34362	20.517	MvSl-1064-A2-R4_MC05g06529	2.72704	3.87944
MvSl-1064-A1-R4_MC05-1g06257	MvSl-1064-A2-R4_MC05g06530	MvSl-1064-A1-R4_MC05-1g06257	152.767	163.696	MvSl-1064-A2-R4_MC05g06530	318.065	317.226
MvSl-1064-A1-R4_MC05-1g06260	MvSl-1064-A2-R4_MC05g06533	MvSl-1064-A1-R4_MC05-1g06260	163.5	218.959	MvSl-1064-A2-R4_MC05g06533	220.198	207.244
MvSl-1064-A1-R4_MC05-1g06261	MvSl-1064-A2-R4_MC05g06534	MvSl-1064-A1-R4_MC05-1g06261	71.7878	112.795	MvSl-1064-A2-R4_MC05g06534	99.8059	81.6043
MvSl-1064-A1-R4_MC05-1g06264	MvSl-1064-A2-R4_MC05g06537	MvSl-1064-A1-R4_MC05-1g06264	70.7802	62.0815	MvSl-1064-A2-R4_MC05g06537	97.5238	71.6374
MvSl-1064-A1-R4_MC05-1g06266	MvSl-1064-A2-R4_MC05g06539	MvSl-1064-A1-R4_MC05-1g06266	504.99	675.209	MvSl-1064-A2-R4_MC05g06539	641.101	614.186
MvSl-1064-A1-R4_MC05-1g06267	MvSl-1064-A2-R4_MC05g06540	MvSl-1064-A1-R4_MC05-1g06267	117.581	81.1732	MvSl-1064-A2-R4_MC05g06540	137.655	79.5928
MvSl-1064-A1-R4_MC05-1g06270	MvSl-1064-A2-R4_MC05g06543	MvSl-1064-A1-R4_MC05-1g06270	44.9818	71.137	MvSl-1064-A2-R4_MC05g06543	47.666	50.0992
MvSl-1064-A1-R4_MC05-1g06272	MvSl-1064-A2-R4_MC05g06545	MvSl-1064-A1-R4_MC05-1g06272	51.5967	71.6736	MvSl-1064-A2-R4_MC05g06545	9.99547	1.7175
MvSl-1064-A1-R4_MC05-1g06273	MvSl-1064-A2-R4_MC05g06546	MvSl-1064-A1-R4_MC05-1g06273	15.2557	29.7944	MvSl-1064-A2-R4_MC05g06546	22.5236	22.0135
MvSl-1064-A1-R4_MC05-1g06275	MvSl-1064-A2-R4_MC05g06548	MvSl-1064-A1-R4_MC05-1g06275	8.41015	13.0246	MvSl-1064-A2-R4_MC05g06548	49.7228	48.3088
MvSl-1064-A1-R4_MC05-1g06276	MvSl-1064-A2-R4_MC05g06549	MvSl-1064-A1-R4_MC05-1g06276	0	0	MvSl-1064-A2-R4_MC05g06549	0	0
MvSl-1064-A1-R4_MC05-1g06279	MvSl-1064-A2-R4_MC05g06552	MvSl-1064-A1-R4_MC05-1g06279	81.855	137.32	MvSl-1064-A2-R4_MC05g06552	163.903	151.199
MvSl-1064-A1-R4_MC05-1g06280	MvSl-1064-A2-R4_MC05g06553	MvSl-1064-A1-R4_MC05-1g06280	0	0	MvSl-1064-A2-R4_MC05g06553	0.274197	0
MvSl-1064-A1-R4_MC05-1g06281	MvSl-1064-A2-R4_MC05g06554	MvSl-1064-A1-R4_MC05-1g06281	2.29116	7.57015	MvSl-1064-A2-R4_MC05g06554	6.97296	4.29102
MvSl-1064-A1-R4_MC05-1g06282	MvSl-1064-A2-R4_MC05g06555	MvSl-1064-A1-R4_MC05-1g06282	32.4997	34.5907	MvSl-1064-A2-R4_MC05g06555	14.5653	40.3472
MvSl-1064-A1-R4_MC05-1g06283	MvSl-1064-A2-R4_MC05g06556	MvSl-1064-A1-R4_MC05-1g06283	0	0	MvSl-1064-A2-R4_MC05g06556	0.259668	0
MvSl-1064-A1-R4_C37g01627	MvSl-1064-A2-R4_MC05g06562	MvSl-1064-A1-R4_C37g01627	33.9716	64.676	MvSl-1064-A2-R4_MC05g06562	36.6512	35.154
MvSl-1064-A1-R4_MC05-1g06292	MvSl-1064-A2-R4_MC05g06570	MvSl-1064-A1-R4_MC05-1g06292	246.982	337.846	MvSl-1064-A2-R4_MC05g06570	222.021	239.695
MvSl-1064-A1-R4_MC05-2g06297	MvSl-1064-A2-R4_MC05g06571	MvSl-1064-A1-R4_MC05-2g06297	79.7677	50.405	MvSl-1064-A2-R4_MC05g06571	59.2162	59.1778
MvSl-1064-A1-R4_MC05-2g06302	MvSl-1064-A2-R4_MC05g06576	MvSl-1064-A1-R4_MC05-2g06302	730.823	543.919	MvSl-1064-A2-R4_MC05g06576	1149.72	628.879
MvSl-1064-A1-R4_MC05-2g06304	MvSl-1064-A2-R4_MC05g06578	MvSl-1064-A1-R4_MC05-2g06304	57.9503	98.7153	MvSl-1064-A2-R4_MC05g06578	50.0313	35.6483
MvSl-1064-A1-R4_MC05-2g06305	MvSl-1064-A2-R4_MC05g06579	MvSl-1064-A1-R4_MC05-2g06305	45.24	36.1585	MvSl-1064-A2-R4_MC05g06579	167.121	81.4643
MvSl-1064-A1-R4_MC05-2g06306	MvSl-1064-A2-R4_MC05g06580	MvSl-1064-A1-R4_MC05-2g06306	158.111	121.718	MvSl-1064-A2-R4_MC05g06580	676.746	417.282
MvSl-1064-A1-R4_MC05-2g06309	MvSl-1064-A2-R4_MC05g06583	MvSl-1064-A1-R4_MC05-2g06309	16.0049	10.0139	MvSl-1064-A2-R4_MC05g06583	33.14	14.0324
MvSl-1064-A1-R4_MC05-2g06310	MvSl-1064-A2-R4_MC05g06584	MvSl-1064-A1-R4_MC05-2g06310	3	4	MvSl-1064-A2-R4_MC05g06584	11.0469	5.0213
MvSl-1064-A1-R4_MC05-2g06311	MvSl-1064-A2-R4_MC05g06585	MvSl-1064-A1-R4_MC05-2g06311	1007.49	722.43	MvSl-1064-A2-R4_MC05g06585	1464.34	1020.12
MvSl-1064-A1-R4_MC05-2g06312	MvSl-1064-A2-R4_MC05g06586	MvSl-1064-A1-R4_MC05-2g06312	2247.3	1948.8	MvSl-1064-A2-R4_MC05g06586	342.83	328.23
MvSl-1064-A1-R4_MC05-2g06314	MvSl-1064-A2-R4_MC05g06588	MvSl-1064-A1-R4_MC05-2g06314	513.76	494.256	MvSl-1064-A2-R4_MC05g06588	790.377	579.47
MvSl-1064-A1-R4_MC05-2g06316	MvSl-1064-A2-R4_MC05g06590	MvSl-1064-A1-R4_MC05-2g06316	21	22	MvSl-1064-A2-R4_MC05g06590	22	36
MvSl-1064-A1-R4_MC05-2g06317	MvSl-1064-A2-R4_MC05g06591	MvSl-1064-A1-R4_MC05-2g06317	3049	3114	MvSl-1064-A2-R4_MC05g06591	4708.1	4628.09
MvSl-1064-A1-R4_MC05-2g06318	MvSl-1064-A2-R4_MC05g06592	MvSl-1064-A1-R4_MC05-2g06318	246.49	183.075	MvSl-1064-A2-R4_MC05g06592	1679.65	1230.2
MvSl-1064-A1-R4_MC05-2g06319	MvSl-1064-A2-R4_MC05g06593	MvSl-1064-A1-R4_MC05-2g06319	3022	3289	MvSl-1064-A2-R4_MC05g06593	3105	3598
MvSl-1064-A1-R4_MC05-2g06320	MvSl-1064-A2-R4_MC05g06594	MvSl-1064-A1-R4_MC05-2g06320	1523	1776	MvSl-1064-A2-R4_MC05g06594	2170	2471
MvSl-1064-A1-R4_MC05-2g06321	MvSl-1064-A2-R4_MC05g06595	MvSl-1064-A1-R4_MC05-2g06321	1843	1780	MvSl-1064-A2-R4_MC05g06595	2151	2277
MvSl-1064-A1-R4_MC05-2g06322	MvSl-1064-A2-R4_MC05g06596	MvSl-1064-A1-R4_MC05-2g06322	1133	1066	MvSl-1064-A2-R4_MC05g06596	1496	1418
MvSl-1064-A1-R4_MC05-2g06323	MvSl-1064-A2-R4_MC05g06597	MvSl-1064-A1-R4_MC05-2g06323	1349	1441	MvSl-1064-A2-R4_MC05g06597	1479	1503
MvSl-1064-A1-R4_MC05-2g06324	MvSl-1064-A2-R4_MC05g06598	MvSl-1064-A1-R4_MC05-2g06324	1650.59	1501.85	MvSl-1064-A2-R4_MC05g06598	1924.77	1888
MvSl-1064-A1-R4_MC05-2g06325	MvSl-1064-A2-R4_MC05g06599	MvSl-1064-A1-R4_MC05-2g06325	785	732	MvSl-1064-A2-R4_MC05g06599	1065	1106
MvSl-1064-A1-R4_MC05-2g06326	MvSl-1064-A2-R4_MC05g06600	MvSl-1064-A1-R4_MC05-2g06326	792.373	807.178	MvSl-1064-A2-R4_MC05g06600	1074.45	990.026
MvSl-1064-A1-R4_MC05-2g06327	MvSl-1064-A2-R4_MC05g06601	MvSl-1064-A1-R4_MC05-2g06327	867.465	1119.38	MvSl-1064-A2-R4_MC05g06601	1280.79	1597.13
MvSl-1064-A1-R4_MC05-2g06328	MvSl-1064-A2-R4_MC05g06602	MvSl-1064-A1-R4_MC05-2g06328	0	0	MvSl-1064-A2-R4_MC05g06602	0	1.09596
MvSl-1064-A1-R4_MC05-2g06330	MvSl-1064-A2-R4_MC05g06604	MvSl-1064-A1-R4_MC05-2g06330	17.1087	8.69023	MvSl-1064-A2-R4_MC05g06604	23.8322	18.5981
MvSl-1064-A1-R4_MC05-2g06331	MvSl-1064-A2-R4_MC05g06605	MvSl-1064-A1-R4_MC05-2g06331	0	0	MvSl-1064-A2-R4_MC05g06605	0	1
MvSl-1064-A1-R4_MC05-2g06332	MvSl-1064-A2-R4_MC05g06606	MvSl-1064-A1-R4_MC05-2g06332	0	0	MvSl-1064-A2-R4_MC05g06606	0	0
MvSl-1064-A1-R4_MC05-2g06333	MvSl-1064-A2-R4_MC05g06607	MvSl-1064-A1-R4_MC05-2g06333	336.537	260.978	MvSl-1064-A2-R4_MC05g06607	283.769	210.038
MvSl-1064-A1-R4_MC05-2g06334	MvSl-1064-A2-R4_MC05g06608	MvSl-1064-A1-R4_MC05-2g06334	164.149	204.133	MvSl-1064-A2-R4_MC05g06608	287.246	266.461
MvSl-1064-A1-R4_MC05-2g06335	MvSl-1064-A2-R4_MC05g06609	MvSl-1064-A1-R4_MC05-2g06335	147.834	128.98	MvSl-1064-A2-R4_MC05g06609	1647.22	1046.76
MvSl-1064-A1-R4_MC05-2g06336	MvSl-1064-A2-R4_MC05g06610	MvSl-1064-A1-R4_MC05-2g06336	20.4517	37.6083	MvSl-1064-A2-R4_MC05g06610	24.3262	42.8185
MvSl-1064-A1-R4_MC05-2g06338	MvSl-1064-A2-R4_MC05g06612	MvSl-1064-A1-R4_MC05-2g06338	24.9306	14.3475	MvSl-1064-A2-R4_MC05g06612	63.1768	65.7357
MvSl-1064-A1-R4_MC05-2g06339	MvSl-1064-A2-R4_MC05g06613	MvSl-1064-A1-R4_MC05-2g06339	2849	2807	MvSl-1064-A2-R4_MC05g06613	2525	2775
MvSl-1064-A1-R4_MC05-2g06340	MvSl-1064-A2-R4_MC05g06614	MvSl-1064-A1-R4_MC05-2g06340	4759	4491	MvSl-1064-A2-R4_MC05g06614	5318	5387
MvSl-1064-A1-R4_MC05-2g06341	MvSl-1064-A2-R4_MC05g06615	MvSl-1064-A1-R4_MC05-2g06341	4124	4943	MvSl-1064-A2-R4_MC05g06615	4046	4789
MvSl-1064-A1-R4_MC05-2g06342	MvSl-1064-A2-R4_MC05g06616	MvSl-1064-A1-R4_MC05-2g06342	240.711	280.753	MvSl-1064-A2-R4_MC05g06616	533.838	546.616
MvSl-1064-A1-R4_MC05-2g06343	MvSl-1064-A2-R4_MC05g06617	MvSl-1064-A1-R4_MC05-2g06343	2025.02	1796.06	MvSl-1064-A2-R4_MC05g06617	3133.88	2355.38
MvSl-1064-A1-R4_MC05-2g06344	MvSl-1064-A2-R4_MC05g06618	MvSl-1064-A1-R4_MC05-2g06344	360.181	324.519	MvSl-1064-A2-R4_MC05g06618	675.664	479.143
MvSl-1064-A1-R4_MC05-2g06346	MvSl-1064-A2-R4_MC05g06620	MvSl-1064-A1-R4_MC05-2g06346	13.0206	9.89405	MvSl-1064-A2-R4_MC05g06620	10.0764	5.36522
MvSl-1064-A1-R4_MC05-2g06347	MvSl-1064-A2-R4_MC05g06621	MvSl-1064-A1-R4_MC05-2g06347	146.378	207.276	MvSl-1064-A2-R4_MC05g06621	114.26	103.663
MvSl-1064-A1-R4_MC05-2g06349	MvSl-1064-A2-R4_MC05g06623	MvSl-1064-A1-R4_MC05-2g06349	2881.1	2997.45	MvSl-1064-A2-R4_MC05g06623	4505.83	4382.57
MvSl-1064-A1-R4_MC05-2g06350	MvSl-1064-A2-R4_MC05g06624	MvSl-1064-A1-R4_MC05-2g06350	24.036	14.0106	MvSl-1064-A2-R4_MC05g06624	30.5691	31.9222
MvSl-1064-A1-R4_MC05-2g06352	MvSl-1064-A2-R4_MC05g06626	MvSl-1064-A1-R4_MC05-2g06352	264.327	223.078	MvSl-1064-A2-R4_MC05g06626	327.513	258.774
MvSl-1064-A1-R4_MC05-2g06353	MvSl-1064-A2-R4_MC05g06627	MvSl-1064-A1-R4_MC05-2g06353	974	1124	MvSl-1064-A2-R4_MC05g06627	1318	1479
MvSl-1064-A1-R4_MC05-2g06354	MvSl-1064-A2-R4_MC05g06628	MvSl-1064-A1-R4_MC05-2g06354	2866.18	3146.81	MvSl-1064-A2-R4_MC05g06628	4584.56	4646.19
MvSl-1064-A1-R4_MC05-2g06355	MvSl-1064-A2-R4_MC05g06629	MvSl-1064-A1-R4_MC05-2g06355	6659	7360	MvSl-1064-A2-R4_MC05g06629	6422	8567
MvSl-1064-A1-R4_MC05-2g06356	MvSl-1064-A2-R4_MC05g06630	MvSl-1064-A1-R4_MC05-2g06356	1876	1808	MvSl-1064-A2-R4_MC05g06630	1705	1845
MvSl-1064-A1-R4_MC05-2g06357	MvSl-1064-A2-R4_MC05g06631	MvSl-1064-A1-R4_MC05-2g06357	5638	4958	MvSl-1064-A2-R4_MC05g06631	5704	5511
MvSl-1064-A1-R4_MC05-2g06358	MvSl-1064-A2-R4_MC05g06632	MvSl-1064-A1-R4_MC05-2g06358	3247	2646	MvSl-1064-A2-R4_MC05g06632	4524	3462
MvSl-1064-A1-R4_MC05-2g06359	MvSl-1064-A2-R4_MC05g06633	MvSl-1064-A1-R4_MC05-2g06359	27	49	MvSl-1064-A2-R4_MC05g06633	27	31
MvSl-1064-A1-R4_MC05-2g06360	MvSl-1064-A2-R4_MC05g06634	MvSl-1064-A1-R4_MC05-2g06360	3033	3859	MvSl-1064-A2-R4_MC05g06634	2809	3349
MvSl-1064-A1-R4_MC05-2g06361	MvSl-1064-A2-R4_MC05g06635	MvSl-1064-A1-R4_MC05-2g06361	7370	7261	MvSl-1064-A2-R4_MC05g06635	7270	7590
MvSl-1064-A1-R4_MC05-2g06362	MvSl-1064-A2-R4_MC05g06636	MvSl-1064-A1-R4_MC05-2g06362	741	890	MvSl-1064-A2-R4_MC05g06636	887	1005
MvSl-1064-A1-R4_MC05-2g06363	MvSl-1064-A2-R4_MC05g06637	MvSl-1064-A1-R4_MC05-2g06363	1296	1510	MvSl-1064-A2-R4_MC05g06637	1785	1778
MvSl-1064-A1-R4_MC05-2g06364	MvSl-1064-A2-R4_MC05g06638	MvSl-1064-A1-R4_MC05-2g06364	7112	7325	MvSl-1064-A2-R4_MC05g06638	7074	6820
MvSl-1064-A1-R4_MC05-2g06366	MvSl-1064-A2-R4_MC05g06640	MvSl-1064-A1-R4_MC05-2g06366	93.6121	86.5675	MvSl-1064-A2-R4_MC05g06640	108.669	91.9797
MvSl-1064-A1-R4_MC05-2g06368	MvSl-1064-A2-R4_MC05g06642	MvSl-1064-A1-R4_MC05-2g06368	0	0	MvSl-1064-A2-R4_MC05g06642	0	0
MvSl-1064-A1-R4_MC05-2g06369	MvSl-1064-A2-R4_MC05g06643	MvSl-1064-A1-R4_MC05-2g06369	29.2632	26.4465	MvSl-1064-A2-R4_MC05g06643	25.0652	13.0826
MvSl-1064-A1-R4_MC05-2g06372	MvSl-1064-A2-R4_MC05g06646	MvSl-1064-A1-R4_MC05-2g06372	102.714	78	MvSl-1064-A2-R4_MC05g06646	139.97	121
MvSl-1064-A1-R4_MC05-2g06373	MvSl-1064-A2-R4_MC05g06647	MvSl-1064-A1-R4_MC05-2g06373	1230.32	1018.86	MvSl-1064-A2-R4_MC05g06647	2674.55	1833.24
MvSl-1064-A1-R4_MC05-2g06374	MvSl-1064-A2-R4_MC05g06648	MvSl-1064-A1-R4_MC05-2g06374	349.907	311.426	MvSl-1064-A2-R4_MC05g06648	345.433	353.783
MvSl-1064-A1-R4_MC05-2g06375	MvSl-1064-A2-R4_MC05g06649	MvSl-1064-A1-R4_MC05-2g06375	134.351	134.713	MvSl-1064-A2-R4_MC05g06649	381.059	310.228
MvSl-1064-A1-R4_MC05-2g06376	MvSl-1064-A2-R4_MC05g06650	MvSl-1064-A1-R4_MC05-2g06376	25	46	MvSl-1064-A2-R4_MC05g06650	24	37
MvSl-1064-A1-R4_MC05-2g06377	MvSl-1064-A2-R4_MC05g06651	MvSl-1064-A1-R4_MC05-2g06377	1826	2227	MvSl-1064-A2-R4_MC05g06651	2135	2285
MvSl-1064-A1-R4_MC05-2g06378	MvSl-1064-A2-R4_MC05g06652	MvSl-1064-A1-R4_MC05-2g06378	753	1101	MvSl-1064-A2-R4_MC05g06652	1119	1541
MvSl-1064-A1-R4_MC05-2g06379	MvSl-1064-A2-R4_MC05g06653	MvSl-1064-A1-R4_MC05-2g06379	4591	4476	MvSl-1064-A2-R4_MC05g06653	5270	4692
MvSl-1064-A1-R4_MC05-2g06381	MvSl-1064-A2-R4_MC05g06655	MvSl-1064-A1-R4_MC05-2g06381	2426	1493	MvSl-1064-A2-R4_MC05g06655	2819	1565
MvSl-1064-A1-R4_MC05-2g06382	MvSl-1064-A2-R4_MC05g06656	MvSl-1064-A1-R4_MC05-2g06382	831.413	735.853	MvSl-1064-A2-R4_MC05g06656	1352.08	1000.12
MvSl-1064-A1-R4_MC05-2g06383	MvSl-1064-A2-R4_MC05g06657	MvSl-1064-A1-R4_MC05-2g06383	551.308	584.548	MvSl-1064-A2-R4_MC05g06657	1155.35	819.994
MvSl-1064-A1-R4_MC05-2g06384	MvSl-1064-A2-R4_MC05g06658	MvSl-1064-A1-R4_MC05-2g06384	3005	4123	MvSl-1064-A2-R4_MC05g06658	3298	4369
MvSl-1064-A1-R4_MC05-2g06385	MvSl-1064-A2-R4_MC05g06659	MvSl-1064-A1-R4_MC05-2g06385	4560	10714	MvSl-1064-A2-R4_MC05g06659	5080	8975
MvSl-1064-A1-R4_MC05-2g06386	MvSl-1064-A2-R4_MC05g06660	MvSl-1064-A1-R4_MC05-2g06386	44	29	MvSl-1064-A2-R4_MC05g06660	106	37
MvSl-1064-A1-R4_MC05-2g06387	MvSl-1064-A2-R4_MC05g06661	MvSl-1064-A1-R4_MC05-2g06387	1660	2242	MvSl-1064-A2-R4_MC05g06661	1531	2108
MvSl-1064-A1-R4_MC05-2g06388	MvSl-1064-A2-R4_MC05g06662	MvSl-1064-A1-R4_MC05-2g06388	114.739	222.987	MvSl-1064-A2-R4_MC05g06662	226.394	200.938
MvSl-1064-A1-R4_MC05-2g06389	MvSl-1064-A2-R4_MC05g06663	MvSl-1064-A1-R4_MC05-2g06389	517	552	MvSl-1064-A2-R4_MC05g06663	636	493
MvSl-1064-A1-R4_MC05-2g06390	MvSl-1064-A2-R4_MC05g06664	MvSl-1064-A1-R4_MC05-2g06390	177	206	MvSl-1064-A2-R4_MC05g06664	203	209
MvSl-1064-A1-R4_MC05-2g06391	MvSl-1064-A2-R4_MC05g06665	MvSl-1064-A1-R4_MC05-2g06391	165.251	175.976	MvSl-1064-A2-R4_MC05g06665	275.258	246.029
MvSl-1064-A1-R4_MC05-2g06392	MvSl-1064-A2-R4_MC05g06666	MvSl-1064-A1-R4_MC05-2g06392	1762	2148	MvSl-1064-A2-R4_MC05g06666	2028	2001
MvSl-1064-A1-R4_MC05-2g06394	MvSl-1064-A2-R4_MC05g06668	MvSl-1064-A1-R4_MC05-2g06394	1683.64	1507.58	MvSl-1064-A2-R4_MC05g06668	1190.91	1078.64
MvSl-1064-A1-R4_MC05-2g06395	MvSl-1064-A2-R4_MC05g06669	MvSl-1064-A1-R4_MC05-2g06395	113	107	MvSl-1064-A2-R4_MC05g06669	125	134.589
MvSl-1064-A1-R4_MC05-2g06397	MvSl-1064-A2-R4_MC05g06671	MvSl-1064-A1-R4_MC05-2g06397	89	64	MvSl-1064-A2-R4_MC05g06671	164	103
MvSl-1064-A1-R4_MC05-2g06398	MvSl-1064-A2-R4_MC05g06672	MvSl-1064-A1-R4_MC05-2g06398	4	2	MvSl-1064-A2-R4_MC05g06672	6	1
MvSl-1064-A1-R4_MC05-2g06399	MvSl-1064-A2-R4_MC05g06673	MvSl-1064-A1-R4_MC05-2g06399	1026	1446	MvSl-1064-A2-R4_MC05g06673	1062	1200
MvSl-1064-A1-R4_MC05-2g06400	MvSl-1064-A2-R4_MC05g06674	MvSl-1064-A1-R4_MC05-2g06400	745	861	MvSl-1064-A2-R4_MC05g06674	822	805
MvSl-1064-A1-R4_MC05-2g06401	MvSl-1064-A2-R4_MC05g06675	MvSl-1064-A1-R4_MC05-2g06401	1217	934	MvSl-1064-A2-R4_MC05g06675	1468	1351
MvSl-1064-A1-R4_MC05-2g06402	MvSl-1064-A2-R4_MC05g06676	MvSl-1064-A1-R4_MC05-2g06402	66	61.8442	MvSl-1064-A2-R4_MC05g06676	98	88
MvSl-1064-A1-R4_MC05-2g06403	MvSl-1064-A2-R4_MC05g06677	MvSl-1064-A1-R4_MC05-2g06403	1297	1596	MvSl-1064-A2-R4_MC05g06677	1353	1674
MvSl-1064-A1-R4_MC05-2g06404	MvSl-1064-A2-R4_MC05g06678	MvSl-1064-A1-R4_MC05-2g06404	61.0936	37.2251	MvSl-1064-A2-R4_MC05g06678	83.1752	61.9083
MvSl-1064-A1-R4_MC05-2g06405	MvSl-1064-A2-R4_MC05g06679	MvSl-1064-A1-R4_MC05-2g06405	6874.54	8594.46	MvSl-1064-A2-R4_MC05g06679	11404.8	12454.7
MvSl-1064-A1-R4_MC05-2g06406	MvSl-1064-A2-R4_MC05g06680	MvSl-1064-A1-R4_MC05-2g06406	1601	1973	MvSl-1064-A2-R4_MC05g06680	1739	2102
MvSl-1064-A1-R4_MC05-2g06408	MvSl-1064-A2-R4_MC05g06682	MvSl-1064-A1-R4_MC05-2g06408	15151.3	6377.76	MvSl-1064-A2-R4_MC05g06682	22118.8	9449.29
MvSl-1064-A1-R4_MC05-2g06409	MvSl-1064-A2-R4_MC05g06683	MvSl-1064-A1-R4_MC05-2g06409	2704	2381	MvSl-1064-A2-R4_MC05g06683	3707	3148
MvSl-1064-A1-R4_MC05-2g06410	MvSl-1064-A2-R4_MC05g06684	MvSl-1064-A1-R4_MC05-2g06410	8	7	MvSl-1064-A2-R4_MC05g06684	9	7
MvSl-1064-A1-R4_MC05-2g06414	MvSl-1064-A2-R4_MC05g06688	MvSl-1064-A1-R4_MC05-2g06414	44.3557	34.9467	MvSl-1064-A2-R4_MC05g06688	56.3402	30.9645
MvSl-1064-A1-R4_MC05-2g06415	MvSl-1064-A2-R4_MC05g06689	MvSl-1064-A1-R4_MC05-2g06415	1676	2530	MvSl-1064-A2-R4_MC05g06689	1755	2927
MvSl-1064-A1-R4_MC05-2g06416	MvSl-1064-A2-R4_MC05g06690	MvSl-1064-A1-R4_MC05-2g06416	1831	1909	MvSl-1064-A2-R4_MC05g06690	2115	1827
MvSl-1064-A1-R4_MC05-2g06417	MvSl-1064-A2-R4_MC05g06691	MvSl-1064-A1-R4_MC05-2g06417	2960	3050	MvSl-1064-A2-R4_MC05g06691	3618	3687
MvSl-1064-A1-R4_MC05-2g06418	MvSl-1064-A2-R4_MC05g06692	MvSl-1064-A1-R4_MC05-2g06418	136.944	152.433	MvSl-1064-A2-R4_MC05g06692	382.276	323.898
MvSl-1064-A1-R4_MC05-2g06419	MvSl-1064-A2-R4_MC05g06693	MvSl-1064-A1-R4_MC05-2g06419	26.292	30.6695	MvSl-1064-A2-R4_MC05g06693	60.8148	64.1351
MvSl-1064-A1-R4_MC05-2g06420	MvSl-1064-A2-R4_MC05g06694	MvSl-1064-A1-R4_MC05-2g06420	291.217	255.329	MvSl-1064-A2-R4_MC05g06694	142.462	160.763
MvSl-1064-A1-R4_MC05-2g06422	MvSl-1064-A2-R4_MC05g06696	MvSl-1064-A1-R4_MC05-2g06422	412.55	462.099	MvSl-1064-A2-R4_MC05g06696	490.569	345.787
MvSl-1064-A1-R4_MC05-2g06423	MvSl-1064-A2-R4_MC05g06697	MvSl-1064-A1-R4_MC05-2g06423	21.9356	18.0486	MvSl-1064-A2-R4_MC05g06697	8	8.65444
MvSl-1064-A1-R4_MC05-2g06425	MvSl-1064-A2-R4_MC05g06699	MvSl-1064-A1-R4_MC05-2g06425	266	265	MvSl-1064-A2-R4_MC05g06699	254	162
MvSl-1064-A1-R4_MC05-2g06426	MvSl-1064-A2-R4_MC05g06700	MvSl-1064-A1-R4_MC05-2g06426	289	394	MvSl-1064-A2-R4_MC05g06700	346	487
MvSl-1064-A1-R4_MC05-2g06427	MvSl-1064-A2-R4_MC05g06701	MvSl-1064-A1-R4_MC05-2g06427	962	1158	MvSl-1064-A2-R4_MC05g06701	979	1211
MvSl-1064-A1-R4_MC05-2g06429	MvSl-1064-A2-R4_MC05g06703	MvSl-1064-A1-R4_MC05-2g06429	394.485	334.388	MvSl-1064-A2-R4_MC05g06703	251.499	204.615
MvSl-1064-A1-R4_MC05-2g06430	MvSl-1064-A2-R4_MC05g06704	MvSl-1064-A1-R4_MC05-2g06430	5679.66	8366.73	MvSl-1064-A2-R4_MC05g06704	7450.28	8015.49
MvSl-1064-A1-R4_MC05-2g06432	MvSl-1064-A2-R4_MC05g06706	MvSl-1064-A1-R4_MC05-2g06432	12664.2	19753.6	MvSl-1064-A2-R4_MC05g06706	19918.4	17791.5
MvSl-1064-A1-R4_MC05-2g06434	MvSl-1064-A2-R4_MC05g06708	MvSl-1064-A1-R4_MC05-2g06434	554	937	MvSl-1064-A2-R4_MC05g06708	678	923
MvSl-1064-A1-R4_MC05-2g06435	MvSl-1064-A2-R4_MC05g06709	MvSl-1064-A1-R4_MC05-2g06435	537	1173	MvSl-1064-A2-R4_MC05g06709	760	1111
MvSl-1064-A1-R4_MC05-2g06436	MvSl-1064-A2-R4_MC05g06710	MvSl-1064-A1-R4_MC05-2g06436	805	877	MvSl-1064-A2-R4_MC05g06710	822	925
MvSl-1064-A1-R4_MC05-2g06438	MvSl-1064-A2-R4_MC05g06712	MvSl-1064-A1-R4_MC05-2g06438	349.707	425.352	MvSl-1064-A2-R4_MC05g06712	4305.97	2557.9
MvSl-1064-A1-R4_MC05-2g06439	MvSl-1064-A2-R4_MC05g06713	MvSl-1064-A1-R4_MC05-2g06439	909	883	MvSl-1064-A2-R4_MC05g06713	1277.75	1114
