aa	bb	cc	dd	ee	target_id	A2_1	A2_2
MvSl-1064-A1-R4_A1g00060	MvSl-1064-A2-R4_A2g00060	MvSl-1064-A1-R4_A1g00060	174	97	MvSl-1064-A2-R4_A2g00060	182	99
MvSl-1064-A1-R4_A1g00061	MvSl-1064-A2-R4_A2g00061	MvSl-1064-A1-R4_A1g00061	2643	2797	MvSl-1064-A2-R4_A2g00061	2687	2881
MvSl-1064-A1-R4_A1g00062	MvSl-1064-A2-R4_A2g00062	MvSl-1064-A1-R4_A1g00062	1229.29	1273.16	MvSl-1064-A2-R4_A2g00062	1499.24	1697.71
MvSl-1064-A1-R4_A1g00063	MvSl-1064-A2-R4_A2g00063	MvSl-1064-A1-R4_A1g00063	602	641	MvSl-1064-A2-R4_A2g00063	675	688
MvSl-1064-A1-R4_A1g00064	MvSl-1064-A2-R4_A2g00064	MvSl-1064-A1-R4_A1g00064	5025	5713	MvSl-1064-A2-R4_A2g00064	6593	7285
MvSl-1064-A1-R4_A1g00065	MvSl-1064-A2-R4_A2g00065	MvSl-1064-A1-R4_A1g00065	3216	3083	MvSl-1064-A2-R4_A2g00065	2992	3059
MvSl-1064-A1-R4_A1g00066	MvSl-1064-A2-R4_A2g00066	MvSl-1064-A1-R4_A1g00066	4117.99	4777.81	MvSl-1064-A2-R4_A2g00066	4253.11	5804.44
MvSl-1064-A1-R4_A1g00067	MvSl-1064-A2-R4_A2g00067	MvSl-1064-A1-R4_A1g00067	49	42	MvSl-1064-A2-R4_A2g00067	79	43
MvSl-1064-A1-R4_A1g00068	MvSl-1064-A2-R4_A2g00068	MvSl-1064-A1-R4_A1g00068	33	33	MvSl-1064-A2-R4_A2g00068	69	32
MvSl-1064-A1-R4_A1g00069	MvSl-1064-A2-R4_A2g00069	MvSl-1064-A1-R4_A1g00069	1222	944	MvSl-1064-A2-R4_A2g00069	1667	1315
MvSl-1064-A1-R4_A1g00070	MvSl-1064-A2-R4_A2g00070	MvSl-1064-A1-R4_A1g00070	3240	3202	MvSl-1064-A2-R4_A2g00070	3071	2777
MvSl-1064-A1-R4_A1g00071	MvSl-1064-A2-R4_A2g00071	MvSl-1064-A1-R4_A1g00071	342	366	MvSl-1064-A2-R4_A2g00071	280	290
MvSl-1064-A1-R4_A1g00072	MvSl-1064-A2-R4_A2g00072	MvSl-1064-A1-R4_A1g00072	5193	3519	MvSl-1064-A2-R4_A2g00072	5260	4067
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A2-R4_A2g00073	MvSl-1064-A1-R4_A1g00073	533	385	MvSl-1064-A2-R4_A2g00073	827	1023
MvSl-1064-A1-R4_A1g00074	MvSl-1064-A2-R4_A2g00074	MvSl-1064-A1-R4_A1g00074	7314	11714	MvSl-1064-A2-R4_A2g00074	6311	8453
MvSl-1064-A1-R4_A1g00075	MvSl-1064-A2-R4_A2g00075	MvSl-1064-A1-R4_A1g00075	2	0	MvSl-1064-A2-R4_A2g00075	1	0
MvSl-1064-A1-R4_A1g00076	MvSl-1064-A2-R4_A2g00076	MvSl-1064-A1-R4_A1g00076	2412	2733	MvSl-1064-A2-R4_A2g00076	3067	3010
MvSl-1064-A1-R4_A1g00077	MvSl-1064-A2-R4_A2g00077	MvSl-1064-A1-R4_A1g00077	1703	1997	MvSl-1064-A2-R4_A2g00077	1876	2221
MvSl-1064-A1-R4_A1g00078	MvSl-1064-A2-R4_A2g00078	MvSl-1064-A1-R4_A1g00078	2963	4108	MvSl-1064-A2-R4_A2g00078	1541	2518
MvSl-1064-A1-R4_A1g00079	MvSl-1064-A2-R4_A2g00079	MvSl-1064-A1-R4_A1g00079	1761	1132	MvSl-1064-A2-R4_A2g00079	611	450
MvSl-1064-A1-R4_A1g00080	MvSl-1064-A2-R4_A2g00080	MvSl-1064-A1-R4_A1g00080	1350	1130	MvSl-1064-A2-R4_A2g00080	537	565
MvSl-1064-A1-R4_A1g00081	MvSl-1064-A2-R4_A2g00081	MvSl-1064-A1-R4_A1g00081	1857.87	1411.93	MvSl-1064-A2-R4_A2g00081	312.881	239.385
