gida1	gidmvsv	dnds	dn	ds
MvSl-1064-A1-R4_MC01-1g02770	MvSv-1253-A1-R1_MC01g00416	0.1444	0.0134	0.0929
MvSl-1064-A1-R4_MC01-1g02772	MvSv-1253-A1-R1_MC01g00414	0.0864	0.0083	0.0962
MvSl-1064-A1-R4_A1g00351	MvSv-1253-A1-R1_MC12g07924	0.4372	0.0408	0.0933
MvSl-1064-A1-R4_MC01-1g02774	MvSv-1253-A1-R1_MC15-2g09187	0.5206	0.0647	0.1242
MvSl-1064-A1-R4_MC01-1g02776	MvSv-1253-A1-R1_MC01g00412	0.2886	0.0241	0.0833
MvSl-1064-A1-R4_MC01-1g02777	MvSv-1253-A1-R1_MC01g00406	0.4951	0.0413	0.0834
MvSl-1064-A1-R4_MC01-1g02782	MvSv-1253-A1-R1_MC01g00403	0.1105	0.0136	0.1235
MvSl-1064-A1-R4_MC01-1g02783	MvSv-1253-A1-R1_MC01g00402	0.0663	0.0067	0.1014
MvSl-1064-A1-R4_MC01-1g02785	MvSv-1253-A1-R1_MC03g02222	0.7326	0.0538	0.0735
MvSl-1064-A1-R4_MC01-1g02786	MvSv-1253-A1-R1_MC01g00401	0.3276	0.0238	0.0725
MvSl-1064-A1-R4_MC01-1g02790	MvSv-1253-A1-R1_MC01g00394	0.3827	0.0736	0.1923
MvSl-1064-A1-R4_MC01-1g02791	MvSv-1253-A1-R1_MC01g00393	0.3119	0.0352	0.1128
MvSl-1064-A1-R4_MC01-1g02792	MvSv-1253-A1-R1_MC01g00392	0.3374	0.0388	0.1149
MvSl-1064-A1-R4_A1g00352	MvSv-1253-A1-R1_MC12g07923	0.1691	0.0293	0.1732
MvSl-1064-A1-R4_MC01-1g02793	MvSv-1253-A1-R1_MC01g00391	0.1011	0.0125	0.1236
MvSl-1064-A1-R4_MC01-1g02794	MvSv-1253-A1-R1_MC01g00390	0.1144	0.0085	0.0745
MvSl-1064-A1-R4_MC01-1g02795	MvSv-1253-A1-R1_MC01g00389	0.4584	0.0292	0.0638
MvSl-1064-A1-R4_MC01-1g02799	MvSv-1253-A1-R1_MC01g00387	0.337	0.0269	0.0799
MvSl-1064-A1-R4_MC01-1g02800	MvSv-1253-A1-R1_MC01g00386	0.1766	0.0138	0.0784
MvSl-1064-A1-R4_MC01-1g02801	MvSv-1253-A1-R1_MC01g00385	0.1865	0.019	0.1016
MvSl-1064-A1-R4_MC01-1g02802	MvSv-1253-A1-R1_MC01g00384	0.1941	0.0145	0.0749
MvSl-1064-A1-R4_MC01-1g02809	MvSv-1253-A1-R1_MC01g00397	0.1856	0.0178	0.0961
MvSl-1064-A1-R4_MC01-1g02810	MvSv-1253-A1-R1_MC01g00398	0.8128	0.0969	0.1192
MvSl-1064-A1-R4_MC01-1g02812	MvSv-1253-A1-R1_MC01g00399	0.4084	0.0323	0.079
MvSl-1064-A1-R4_A1g00359	MvSv-1253-A1-R1_MC12g07932	0.1435	0.0218	0.1521
MvSl-1064-A1-R4_MC01-1g02815	MvSv-1253-A1-R1_MC01g00400	0.2828	0.0263	0.0932
MvSl-1064-A1-R4_MC01-1g02816	MvSv-1253-A1-R1_MC01g00275	1.6021	0.1277	0.0797
MvSl-1064-A1-R4_MC01-1g02817	MvSv-1253-A1-R1_MC01g00276	0.1096	0.0181	0.1653
MvSl-1064-A1-R4_MC01-1g02818	MvSv-1253-A1-R1_MC01g00277	0.1938	0.0306	0.1581
MvSl-1064-A1-R4_MC01-1g02819	MvSv-1253-A1-R1_MC01g00278	0.1337	0.0217	0.162
MvSl-1064-A1-R4_MC01-1g02820	MvSv-1253-A1-R1_MC01g00279	0.24	0.0362	0.1509
MvSl-1064-A1-R4_MC01-1g02822	MvSv-1253-A1-R1_MC01g00280	0.0758	0.0148	0.1952
MvSl-1064-A1-R4_MC01-1g02823	MvSv-1253-A1-R1_MC01g00281	0.0581	0.0065	0.1125
MvSl-1064-A1-R4_MC01-1g02825	MvSv-1253-A1-R1_MC01g00282	0.1807	0.0169	0.0938
MvSl-1064-A1-R4_MC01-1g02826	MvSv-1253-A1-R1_MC01g00283	0.2305	0.0155	0.0673
MvSl-1064-A1-R4_A1g00367	MvSv-1253-A1-R1_MC12g07716	0.173	0.0246	0.1422
MvSl-1064-A1-R4_MC01-1g02829	MvSv-1253-A1-R1_MC09-1g05942	0.7461	0.1352	0.1812
MvSl-1064-A1-R4_MC01-1g02834	MvSv-1253-A1-R1_MC01g00285	0.1756	0.0188	0.1071
MvSl-1064-A1-R4_MC01-1g02835	MvSv-1253-A1-R1_MC01g00286	0.2287	0.017	0.0742
MvSl-1064-A1-R4_MC01-1g02844	MvSv-1253-A1-R1_MC01g00289	0.1329	0.0134	0.1006
MvSl-1064-A1-R4_MC01-1g02851	MvSv-1253-A1-R1_MC01g00299	0.7415	0.0573	0.0773
MvSl-1064-A1-R4_MC01-1g02852	MvSv-1253-A1-R1_MC07g04873	0.2127	0.1495	0.7031
