gida1	gidmvsv	dnds	dn	ds
MvSl-1064-A1-R4_MC07g07683	MvSv-1253-A1-R1_MC07g04801	0.3146	0.059	0.1877
MvSl-1064-A1-R4_MC07g07684	MvSv-1253-A1-R1_MC12g07882	0.0852	0.011	0.1295
MvSl-1064-A1-R4_A1g00006	MvSv-1253-A1-R1_MC12g07641	0.0669	0.0256	0.3817
MvSl-1064-A1-R4_A1g00062	MvSv-1253-A1-R1_MC12g07681	0.5747	0.082	0.1426
MvSl-1064-A1-R4_MC01-1g01760	MvSv-1253-A1-R1_MC01g01233	0.1748	0.083	0.4748
MvSl-1064-A1-R4_MC07g07685	MvSv-1253-A1-R1_MC07g04803	0.2114	0.041	0.194
MvSl-1064-A1-R4_MC07g07686	MvSv-1253-A1-R1_MC07g04804	0.0723	0.0131	0.1806
MvSl-1064-A1-R4_MC07g07687	MvSv-1253-A1-R1_MC07g04805	0.001	0.0001	0.1377
MvSl-1064-A1-R4_MC07g07688	MvSv-1253-A1-R1_MC07g04806	0.1124	0.0211	0.1875
MvSl-1064-A1-R4_MC07g07689	MvSv-1253-A1-R1_MC07g04807	0.1438	0.0329	0.229
MvSl-1064-A1-R4_MC07g07691	MvSv-1253-A1-R1_MC07g04809	0.4044	0.0821	0.2031
MvSl-1064-A1-R4_MC07g07695	MvSv-1253-A1-R1_MC07g04810	0.0538	0.0051	0.0946
MvSl-1064-A1-R4_MC07g07696	MvSv-1253-A1-R1_MC07g04811	0.1322	0.0101	0.0767
MvSl-1064-A1-R4_MC07g07697	MvSv-1253-A1-R1_MC07g04812	0.0808	0.0062	0.0766
MvSl-1064-A1-R4_MC07g07699	MvSv-1253-A1-R1_MC07g04813	1.4689	0.067	0.0456
MvSl-1064-A1-R4_MC01-1g01763	MvSv-1253-A1-R1_MC12g07905	0.3603	0.057	0.1583
MvSl-1064-A1-R4_MC07g07704	MvSv-1253-A1-R1_MC07g04815	0.4974	0.0288	0.0579
MvSl-1064-A1-R4_MC07g07705	MvSv-1253-A1-R1_MC07g04816	0.1063	0.0112	0.1054
MvSl-1064-A1-R4_MC07g07706	MvSv-1253-A1-R1_MC07g04817	0.1739	0.0176	0.1015
MvSl-1064-A1-R4_MC07g07707	MvSv-1253-A1-R1_MC07g04818	0.4088	0.0231	0.0566
MvSl-1064-A1-R4_MC07g07708	MvSv-1253-A1-R1_MC07g04819	0.2261	0.021	0.0928
MvSl-1064-A1-R4_MC07g07709	MvSv-1253-A1-R1_MC07g04820	0.1872	0.0353	0.1884
MvSl-1064-A1-R4_MC07g07710	MvSv-1253-A1-R1_MC07g04821	0.1125	0.0177	0.1574
MvSl-1064-A1-R4_MC07g07711	MvSv-1253-A1-R1_MC07g04822	0.1969	0.0216	0.1098
MvSl-1064-A1-R4_MC07g07712	MvSv-1253-A1-R1_MC07g04823	0.1959	0.0261	0.1332
MvSl-1064-A1-R4_MC07g07713	MvSv-1253-A1-R1_MC07g04824	0.9198	0.153	0.1664
MvSl-1064-A1-R4_MC01-1g01766	MvSv-1253-A1-R1_MC01g01231	0.1226	0.0257	0.2099
MvSl-1064-A1-R4_MC07g07714	MvSv-1253-A1-R1_MC07g04825	0.3687	0.0373	0.1011
MvSl-1064-A1-R4_MC07g07715	MvSv-1253-A1-R1_MC07g04826	0.5355	0.0605	0.1129
MvSl-1064-A1-R4_MC07g07716	MvSv-1253-A1-R1_MC07g04827	0.1432	0.0297	0.2071
MvSl-1064-A1-R4_MC07g07717	MvSv-1253-A1-R1_MC07g04828	0.2206	0.0236	0.1071
MvSl-1064-A1-R4_MC07g07718	MvSv-1253-A1-R1_MC07g04829	0.2506	0.0268	0.1071
MvSl-1064-A1-R4_MC07g07719	MvSv-1253-A1-R1_MC07g04830	0.2001	0.026	0.1301
MvSl-1064-A1-R4_MC07g07720	MvSv-1253-A1-R1_MC07g04831	0.0615	0.0098	0.159
MvSl-1064-A1-R4_MC07g07721	MvSv-1253-A1-R1_MC07g04833	0.3699	0.0313	0.0846
MvSl-1064-A1-R4_MC07g07723	MvSv-1253-A1-R1_MC07g04835	0.1858	0.0173	0.0931
MvSl-1064-A1-R4_MC07g07724	MvSv-1253-A1-R1_MC07g04836	0.2455	0.0263	0.1071
MvSl-1064-A1-R4_MC01-1g01767	MvSv-1253-A1-R1_MC01g01230	0.2092	0.0416	0.1987
MvSl-1064-A1-R4_MC07g07725	MvSv-1253-A1-R1_MC07g04837	0.0454	0.0052	0.1156
MvSl-1064-A1-R4_MC07g07726	MvSv-1253-A1-R1_MC07g04838	0.4202	0.0364	0.0865
MvSl-1064-A1-R4_MC07g07731	MvSv-1253-A1-R1_MC07g04839	0.0661	0.0068	0.1027
MvSl-1064-A1-R4_MC07g07732	MvSv-1253-A1-R1_MC07g04840	0.0477	0.0049	0.1021
MvSl-1064-A1-R4_MC07g07734	MvSv-1253-A1-R1_MC07g04841	0.253	0.0356	0.1409
MvSl-1064-A1-R4_MC07g07735	MvSv-1253-A1-R1_MC07g04842	0.0253	0.0042	0.1658
MvSl-1064-A1-R4_MC07g07736	MvSv-1253-A1-R1_MC07g04843	0.2647	0.0281	0.1062
MvSl-1064-A1-R4_MC07g07737	MvSv-1253-A1-R1_MC07g04844	0.3621	0.0297	0.0821
MvSl-1064-A1-R4_MC07g07738	MvSv-1253-A1-R1_MC07g04846	0.1551	0.0141	0.0907
MvSl-1064-A1-R4_MC07g07739	MvSv-1253-A1-R1_MC07g04847	0.7844	0.124	0.1581
MvSl-1064-A1-R4_MC01-1g01768	MvSv-1253-A1-R1_MC01g01229	0.1816	0.027	0.1487
MvSl-1064-A1-R4_MC07g07741	MvSv-1253-A1-R1_MC07g04855	0.2036	0.0171	0.084
MvSl-1064-A1-R4_MC07g07742	MvSv-1253-A1-R1_MC07g04856	0.1453	0.0119	0.0821
MvSl-1064-A1-R4_MC07g07743	MvSv-1253-A1-R1_MC07g04857	0.116	0.0105	0.0907
MvSl-1064-A1-R4_MC07g07744	MvSv-1253-A1-R1_MC07g04858	0.2981	0.0278	0.0934
MvSl-1064-A1-R4_MC07g07755	MvSv-1253-A1-R1_MC07g04860	0.2701	0.0177	0.0657
MvSl-1064-A1-R4_MC07g07756	MvSv-1253-A1-R1_MC07g04861	0.1053	0.0109	0.1035
MvSl-1064-A1-R4_MC07g07757	MvSv-1253-A1-R1_MC07g04862	0.4112	0.0413	0.1005
MvSl-1064-A1-R4_MC07g07758	MvSv-1253-A1-R1_MC07g04863	0.1952	0.0149	0.0763
MvSl-1064-A1-R4_MC07g07759	MvSv-1253-A1-R1_MC07g04864	0.1999	0.02	0.1002
MvSl-1064-A1-R4_MC07g07760	MvSv-1253-A1-R1_MC07g04865	0.2905	0.017	0.0586
MvSl-1064-A1-R4_MC01-1g01769	MvSv-1253-A1-R1_MC01g01228	0.1662	0.0463	0.2785
MvSl-1064-A1-R4_MC07g07761	MvSv-1253-A1-R1_MC07g04866	0.313	0.0413	0.1321
MvSl-1064-A1-R4_MC07g07762	MvSv-1253-A1-R1_MC07g04867	0.0728	0.01	0.1377
MvSl-1064-A1-R4_MC07g07763	MvSv-1253-A1-R1_MC07g04868	0.0766	0.0113	0.1479
MvSl-1064-A1-R4_MC07g07764	MvSv-1253-A1-R1_MC07g04869	0.4045	0.043	0.1064
MvSl-1064-A1-R4_MC07g07765	MvSv-1253-A1-R1_MC07g04870	0.2655	0.0291	0.1097
MvSl-1064-A1-R4_MC07g07766	MvSv-1253-A1-R1_MC07g04871	0.8434	0.0488	0.0579
MvSl-1064-A1-R4_MC07g07767	MvSv-1253-A1-R1_MC07g04872	1.9331	0.0353	0.0182
MvSl-1064-A1-R4_MC07g07768	MvSv-1253-A1-R1_MC07g04876	0.1395	0.019	0.1359
MvSl-1064-A1-R4_MC07g07769	MvSv-1253-A1-R1_MC07g04877	0.4435	0.0275	0.062
MvSl-1064-A1-R4_MC07g07770	MvSv-1253-A1-R1_MC07g04878	0.0395	0.0046	0.1171
MvSl-1064-A1-R4_MC01-1g01770	MvSv-1253-A1-R1_MC01g01227	0.0255	0.0049	0.1933
MvSl-1064-A1-R4_MC07g07772	MvSv-1253-A1-R1_MC07g04880	0.0795	0.0165	0.2079
MvSl-1064-A1-R4_MC07g07773	MvSv-1253-A1-R1_MC07g04881	0.427	0.0397	0.093
MvSl-1064-A1-R4_MC07g07775	MvSv-1253-A1-R1_MC07g04882	0.8172	0.0565	0.0691
MvSl-1064-A1-R4_MC07g07779	MvSv-1253-A1-R1_MC07g04890	0.001	0.0001	0.1322
MvSl-1064-A1-R4_MC07g07780	MvSv-1253-A1-R1_MC07g04891	0.3356	0.025	0.0745
MvSl-1064-A1-R4_MC07g07781	MvSv-1253-A1-R1_MC07g04892	0.5617	0.052	0.0926
MvSl-1064-A1-R4_MC07g07782	MvSv-1253-A1-R1_MC07g04893	0.4029	0.0273	0.0678
MvSl-1064-A1-R4_MC07g07784	MvSv-1253-A1-R1_MC07g04894	0.6225	0.0425	0.0682
MvSl-1064-A1-R4_MC07g07785	MvSv-1253-A1-R1_MC07g04895	0.1304	0.0118	0.0908
MvSl-1064-A1-R4_MC07g07786	MvSv-1253-A1-R1_MC07g04896	0.1826	0.025	0.1369
MvSl-1064-A1-R4_MC01-1g01771	MvSv-1253-A1-R1_MC01g01226	0.064	0.0105	0.164
MvSl-1064-A1-R4_MC07g07793	MvSv-1253-A1-R1_MC07g04898	0.1505	0.0111	0.0739
MvSl-1064-A1-R4_MC07g07794	MvSv-1253-A1-R1_MC07g04900	0.4112	0.0661	0.1608
MvSl-1064-A1-R4_MC07g07795	MvSv-1253-A1-R1_MC07g04901	0.3638	0.0451	0.1239
MvSl-1064-A1-R4_MC07g07796	MvSv-1253-A1-R1_MC07g04902	0.3945	0.0304	0.077
MvSl-1064-A1-R4_MC07g07797	MvSv-1253-A1-R1_MC07g04903	0.3588	0.0307	0.0854
MvSl-1064-A1-R4_MC07g07798	MvSv-1253-A1-R1_MC07g04904	0.1068	0.0127	0.1191
MvSl-1064-A1-R4_MC07g07799	MvSv-1253-A1-R1_MC07g04905	0.2092	0.0206	0.0986
MvSl-1064-A1-R4_MC07g07800	MvSv-1253-A1-R1_MC07g04906	0.001	0.0001	0.0959
MvSl-1064-A1-R4_MC07g07801	MvSv-1253-A1-R1_MC07g04907	0.0736	0.0039	0.0534
MvSl-1064-A1-R4_MC07g07803	MvSv-1253-A1-R1_MC07g04908	0.2229	0.0236	0.1059
MvSl-1064-A1-R4_MC01-1g01778	MvSv-1253-A1-R1_MC01g01224	0.5097	0.093	0.1825
MvSl-1064-A1-R4_MC07g07805	MvSv-1253-A1-R1_MC07g04910	0.1543	0.019	0.1231
MvSl-1064-A1-R4_MC07g07806	MvSv-1253-A1-R1_MC07g04911	0.2732	0.0284	0.1038
MvSl-1064-A1-R4_MC07g07807	MvSv-1253-A1-R1_MC07g04912	0.258	0.0303	0.1175
MvSl-1064-A1-R4_MC07g07808	MvSv-1253-A1-R1_MC07g04913	0.0942	0.0099	0.1049
MvSl-1064-A1-R4_MC07g07812	MvSv-1253-A1-R1_MC07g04914	0.2615	0.0262	0.1001
MvSl-1064-A1-R4_MC07g07813	MvSv-1253-A1-R1_MC07g04915	0.1543	0.0154	0.0999
MvSl-1064-A1-R4_MC07g07814	MvSv-1253-A1-R1_MC07g04916	0.1676	0.0168	0.1
MvSl-1064-A1-R4_MC07g07815	MvSv-1253-A1-R1_MC07g04917	0.0772	0.0076	0.0983
MvSl-1064-A1-R4_MC07g07816	MvSv-1253-A1-R1_MC07g04918	0.2081	0.0204	0.098
MvSl-1064-A1-R4_MC07g07817	MvSv-1253-A1-R1_MC07g04919	0.3794	0.0279	0.0734
MvSl-1064-A1-R4_MC01-1g01779	MvSv-1253-A1-R1_MC01g01222	0.5731	0.2155	0.3761
MvSl-1064-A1-R4_MC07g07818	MvSv-1253-A1-R1_MC07g04920	0.1049	0.0106	0.101
MvSl-1064-A1-R4_MC07g07819	MvSv-1253-A1-R1_MC07g04921	0.3078	0.0206	0.0669
MvSl-1064-A1-R4_MC07g07822	MvSv-1253-A1-R1_MC07g04922	0.0834	0.0088	0.1052
MvSl-1064-A1-R4_MC07g07823	MvSv-1253-A1-R1_MC07g04923	0.3486	0.0288	0.0825
MvSl-1064-A1-R4_MC07g07824	MvSv-1253-A1-R1_MC07g04924	0.2184	0.0209	0.0957
MvSl-1064-A1-R4_MC07g07825	MvSv-1253-A1-R1_MC07g04926	0.4266	0.2004	0.4698
MvSl-1064-A1-R4_MC07g07826	MvSv-1253-A1-R1_MC07g04928	0.1087	0.0124	0.1137
MvSl-1064-A1-R4_MC07g07827	MvSv-1253-A1-R1_MC07g04929	0.1177	0.015	0.1271
MvSl-1064-A1-R4_MC07g07829	MvSv-1253-A1-R1_MC07g04931	0.1623	0.0138	0.0853
MvSl-1064-A1-R4_MC07g07830	MvSv-1253-A1-R1_MC07g04932	0.3758	0.0323	0.086
MvSl-1064-A1-R4_A1g00063	MvSv-1253-A1-R1_MC12g07682	0.346	0.0816	0.2359
MvSl-1064-A1-R4_MC01-1g01780	MvSv-1253-A1-R1_MC01g01221	0.3137	0.0438	0.1396
MvSl-1064-A1-R4_MC07g07831	MvSv-1253-A1-R1_MC07g04933	0.9834	0.0459	0.0467
MvSl-1064-A1-R4_MC07g07832	MvSv-1253-A1-R1_MC07g04934	0.2547	0.0204	0.0801
MvSl-1064-A1-R4_MC07g07833	MvSv-1253-A1-R1_MC07g04935	0.3081	0.0283	0.092
MvSl-1064-A1-R4_MC07g07834	MvSv-1253-A1-R1_MC07g04936	0.3972	0.0414	0.1041
MvSl-1064-A1-R4_MC07g07836	MvSv-1253-A1-R1_MC07g04937	0.2235	0.0222	0.0995
MvSl-1064-A1-R4_MC07g07837	MvSv-1253-A1-R1_MC07g04938	0.1003	0.0055	0.0544
MvSl-1064-A1-R4_MC07g07838	MvSv-1253-A1-R1_MC07g04939	0.18	0.0151	0.0838
MvSl-1064-A1-R4_MC07g07839	MvSv-1253-A1-R1_MC07g04940	0.0528	0.0067	0.1269
MvSl-1064-A1-R4_MC07g07840	MvSv-1253-A1-R1_MC07g04941	0.4575	0.0345	0.0753
MvSl-1064-A1-R4_MC07g07841	MvSv-1253-A1-R1_MC07g04942	0.3961	0.0296	0.0747
MvSl-1064-A1-R4_MC01-1g01782	MvSv-1253-A1-R1_MC15-1g08904	0.3684	0.0501	0.1361
MvSl-1064-A1-R4_MC07g07842	MvSv-1253-A1-R1_MC07g04943	0.3423	0.024	0.0701
MvSl-1064-A1-R4_MC07g07843	MvSv-1253-A1-R1_MC07g04944	0.304	0.0235	0.0772
MvSl-1064-A1-R4_MC07g07844	MvSv-1253-A1-R1_MC07g04945	0.1638	0.0167	0.1018
MvSl-1064-A1-R4_MC07g07845	MvSv-1253-A1-R1_MC07g04946	0.5708	0.1487	0.2606
MvSl-1064-A1-R4_MC07g07846	MvSv-1253-A1-R1_MC07g04947	0.1482	0.0128	0.0863
MvSl-1064-A1-R4_MC07g07854	MvSv-1253-A1-R1_MC07g04966	0.3802	0.0676	0.1779
MvSl-1064-A1-R4_MC07g07855	MvSv-1253-A1-R1_MC07g04965	0.174	0.0169	0.0974
MvSl-1064-A1-R4_MC07g07856	MvSv-1253-A1-R1_MC07g04964	0.2484	0.0263	0.1059
MvSl-1064-A1-R4_MC07g07857	MvSv-1253-A1-R1_MC07g04963	0.0691	0.0082	0.118
MvSl-1064-A1-R4_MC07g07858	MvSv-1253-A1-R1_MC07g04962	0.0735	0.0084	0.1144
MvSl-1064-A1-R4_MC01-1g01796	MvSv-1253-A1-R1_MC01g01219	0.0785	0.0131	0.1672
MvSl-1064-A1-R4_MC07g07859	MvSv-1253-A1-R1_MC07g04961	0.364	0.0397	0.1091
MvSl-1064-A1-R4_MC07g07860	MvSv-1253-A1-R1_MC07g04960	0.2505	0.0185	0.074
MvSl-1064-A1-R4_MC07g07861	MvSv-1253-A1-R1_MC07g04959	0.1745	0.0184	0.1055
MvSl-1064-A1-R4_MC07g07862	MvSv-1253-A1-R1_MC07g04958	0.4601	0.0437	0.0949
MvSl-1064-A1-R4_MC07g07863	MvSv-1253-A1-R1_MC07g04957	0.0385	0.005	0.1291
MvSl-1064-A1-R4_MC07g07864	MvSv-1253-A1-R1_MC07g04956	0.6247	0.045	0.072
MvSl-1064-A1-R4_MC07g07865	MvSv-1253-A1-R1_MC07g04955	0.0356	0.004	0.1122
MvSl-1064-A1-R4_MC07g07866	MvSv-1253-A1-R1_MC07g04954	0.3201	0.0289	0.0902
MvSl-1064-A1-R4_MC07g07867	MvSv-1253-A1-R1_MC07g04953	0.2265	0.0211	0.0932
MvSl-1064-A1-R4_MC07g07869	MvSv-1253-A1-R1_MC07g04968	0.2965	0.0708	0.2389
MvSl-1064-A1-R4_MC01-1g01797	MvSv-1253-A1-R1_MC01g01218	0.4286	0.0904	0.2109
MvSl-1064-A1-R4_MC07g07870	MvSv-1253-A1-R1_MC07g04969	0.2674	0.0169	0.0632
MvSl-1064-A1-R4_MC07g07871	MvSv-1253-A1-R1_MC07g04970	0.1651	0.0128	0.0773
MvSl-1064-A1-R4_MC07g07872	MvSv-1253-A1-R1_MC07g04971	0.2179	0.0247	0.1135
MvSl-1064-A1-R4_MC07g07873	MvSv-1253-A1-R1_MC07g04972	0.0849	0.0118	0.1393
MvSl-1064-A1-R4_MC07g07874	MvSv-1253-A1-R1_MC07g04973	0.1411	0.0122	0.0866
MvSl-1064-A1-R4_MC07g07875	MvSv-1253-A1-R1_MC07g04974	0.1657	0.0253	0.153
MvSl-1064-A1-R4_MC07g07876	MvSv-1253-A1-R1_MC07g04975	0.245	0.0194	0.079
MvSl-1064-A1-R4_MC07g07877	MvSv-1253-A1-R1_MC07g04976	0.3334	0.0353	0.106
MvSl-1064-A1-R4_MC07g07878	MvSv-1253-A1-R1_MC07g04977	0.042	0.0029	0.0689
MvSl-1064-A1-R4_MC07g07879	MvSv-1253-A1-R1_MC07g04978	0.001	0.0001	0.0527
MvSl-1064-A1-R4_MC01-1g01798	MvSv-1253-A1-R1_MC01g01217	1.702	0.2319	0.1362
MvSl-1064-A1-R4_MC07g07881	MvSv-1253-A1-R1_MC07g04982	0.1266	0.0176	0.1387
MvSl-1064-A1-R4_MC07g07883	MvSv-1253-A1-R1_MC07g04984	0.2607	0.025	0.0959
MvSl-1064-A1-R4_MC07g07884	MvSv-1253-A1-R1_MC07g04985	0.196	0.0214	0.1093
MvSl-1064-A1-R4_MC07g07885	MvSv-1253-A1-R1_MC07g04986	0.2182	0.0209	0.0958
MvSl-1064-A1-R4_MC07g07887	MvSv-1253-A1-R1_MC07g04987	0.1599	0.0263	0.1644
MvSl-1064-A1-R4_MC07g07889	MvSv-1253-A1-R1_MC07g04989	0.2229	0.0198	0.089
MvSl-1064-A1-R4_MC07g07890	MvSv-1253-A1-R1_MC07g04990	0.3671	0.0284	0.0774
MvSl-1064-A1-R4_MC07g07891	MvSv-1253-A1-R1_MC07g04991	0.1334	0.0109	0.0814
MvSl-1064-A1-R4_MC07g07892	MvSv-1253-A1-R1_MC07g04992	0.1528	0.0157	0.1028
MvSl-1064-A1-R4_MC07g07893	MvSv-1253-A1-R1_MC07g04993	0.4225	0.0353	0.0835
MvSl-1064-A1-R4_MC01-1g01799	MvSv-1253-A1-R1_MC01g01216	0.5147	0.1243	0.2415
MvSl-1064-A1-R4_MC07g07894	MvSv-1253-A1-R1_MC07g04994	0.2767	0.0243	0.0879
MvSl-1064-A1-R4_MC07g07895	MvSv-1253-A1-R1_MC07g04995	0.4633	0.0365	0.0788
MvSl-1064-A1-R4_MC07g07898	MvSv-1253-A1-R1_MC07g04997	0.2573	0.0207	0.0803
MvSl-1064-A1-R4_MC07g07899	MvSv-1253-A1-R1_MC07g04998	0.1891	0.0266	0.1409
MvSl-1064-A1-R4_MC07g07900	MvSv-1253-A1-R1_MC07g04999	0.3801	0.059	0.1551
MvSl-1064-A1-R4_MC07g07901	MvSv-1253-A1-R1_MC07g05000	0.2474	0.0282	0.114
MvSl-1064-A1-R4_MC07g07902	MvSv-1253-A1-R1_MC07g05001	0.0582	0.0082	0.1407
MvSl-1064-A1-R4_MC07g07903	MvSv-1253-A1-R1_MC07g05002	0.2096	0.0258	0.1232
MvSl-1064-A1-R4_MC07g07904	MvSv-1253-A1-R1_MC07g05003	1.0342	0.1386	0.1341
MvSl-1064-A1-R4_MC07g07905	MvSv-1253-A1-R1_MC07g05004	0.1953	0.0271	0.1389
MvSl-1064-A1-R4_MC01-1g01800	MvSv-1253-A1-R1_MC01g01215	0.0915	0.023	0.2517
MvSl-1064-A1-R4_MC07g07906	MvSv-1253-A1-R1_MC07g05005	0.0655	0.0088	0.1349
MvSl-1064-A1-R4_MC07g07907	MvSv-1253-A1-R1_MC07g05006	0.1569	0.0138	0.0878
MvSl-1064-A1-R4_MC07g07908	MvSv-1253-A1-R1_MC07g05007	0.0558	0.0069	0.124
MvSl-1064-A1-R4_MC07g07909	MvSv-1253-A1-R1_MC07g05008	0.2453	0.0231	0.094
MvSl-1064-A1-R4_MC07g07910	MvSv-1253-A1-R1_MC07g05009	0.3332	0.0315	0.0945
MvSl-1064-A1-R4_MC07g07911	MvSv-1253-A1-R1_MC07g05010	0.5632	0.0382	0.0679
MvSl-1064-A1-R4_MC07g07912	MvSv-1253-A1-R1_MC07g05013	0.2186	0.0261	0.1195
MvSl-1064-A1-R4_MC07g07913	MvSv-1253-A1-R1_MC07g05014	0.186	0.0192	0.1031
MvSl-1064-A1-R4_MC07g07914	MvSv-1253-A1-R1_MC07g05015	0.1607	0.0311	0.1932
MvSl-1064-A1-R4_MC07g07915	MvSv-1253-A1-R1_MC07g05018	0.2662	0.0238	0.0893
MvSl-1064-A1-R4_MC01-1g01801	MvSv-1253-A1-R1_MC01g01214	0.1211	0.0275	0.2274
MvSl-1064-A1-R4_MC07g07916	MvSv-1253-A1-R1_MC07g05019	0.0717	0.0113	0.1575
MvSl-1064-A1-R4_MC07g07917	MvSv-1253-A1-R1_MC07g05020	0.0458	0.0057	0.1252
MvSl-1064-A1-R4_MC07g07919	MvSv-1253-A1-R1_MC07g05022	0.0336	0.0046	0.1357
MvSl-1064-A1-R4_MC07g07920	MvSv-1253-A1-R1_MC07g05023	0.1936	0.0254	0.1311
MvSl-1064-A1-R4_MC07g07921	MvSv-1253-A1-R1_MC07g05024	0.1229	0.0211	0.1718
MvSl-1064-A1-R4_MC07g07922	MvSv-1253-A1-R1_MC07g05025	0.1387	0.0184	0.1324
MvSl-1064-A1-R4_MC07g07923	MvSv-1253-A1-R1_MC07g05026	0.2941	0.031	0.1054
MvSl-1064-A1-R4_MC07g07924	MvSv-1253-A1-R1_MC07g05027	0.001	0.0001	0.1327
MvSl-1064-A1-R4_MC07g07926	MvSv-1253-A1-R1_MC07g05029	0.0864	0.0099	0.1146
MvSl-1064-A1-R4_MC07g07927	MvSv-1253-A1-R1_MC07g05030	0.336	0.0225	0.067
MvSl-1064-A1-R4_MC01-1g01802	MvSv-1253-A1-R1_MC01g01213	0.1536	0.0285	0.1855
MvSl-1064-A1-R4_MC07g07928	MvSv-1253-A1-R1_MC07g05031	0.1919	0.0296	0.1543
MvSl-1064-A1-R4_MC07g07929	MvSv-1253-A1-R1_MC07g05032	0.0287	0.0038	0.1322
MvSl-1064-A1-R4_MC07g07933	MvSv-1253-A1-R1_MC07g05033	0.0526	0.0087	0.1649
MvSl-1064-A1-R4_MC07g07934	MvSv-1253-A1-R1_MC07g05034	0.284	0.0307	0.1082
MvSl-1064-A1-R4_MC07g07935	MvSv-1253-A1-R1_MC07g05035	0.3609	0.0476	0.1319
MvSl-1064-A1-R4_MC07g07936	MvSv-1253-A1-R1_MC07g05036	0.1284	0.0198	0.1541
MvSl-1064-A1-R4_MC07g07937	MvSv-1253-A1-R1_MC07g05037	0.4985	0.0581	0.1165
MvSl-1064-A1-R4_MC07g07938	MvSv-1253-A1-R1_MC07g05038	0.1656	0.0228	0.1379
MvSl-1064-A1-R4_MC07g07939	MvSv-1253-A1-R1_MC07g05039	0.3451	0.0298	0.0863
MvSl-1064-A1-R4_MC07g07940	MvSv-1253-A1-R1_MC07g05040	0.2051	0.0236	0.1153
MvSl-1064-A1-R4_MC01-1g01803	MvSv-1253-A1-R1_MC01g01212	0.0225	0.0029	0.1278
MvSl-1064-A1-R4_MC07g07941	MvSv-1253-A1-R1_MC07g05041	0.1556	0.0205	0.1318
MvSl-1064-A1-R4_MC07g07942	MvSv-1253-A1-R1_MC07g05042	0.1568	0.0175	0.1115
MvSl-1064-A1-R4_MC07g07943	MvSv-1253-A1-R1_MC07g05043	0.0083	0.001	0.1254
MvSl-1064-A1-R4_MC07g07944	MvSv-1253-A1-R1_MC07g05044	0.2052	0.0249	0.1216
MvSl-1064-A1-R4_MC07g07946	MvSv-1253-A1-R1_MC07g05045	0.2655	0.0283	0.1066
MvSl-1064-A1-R4_MC07g07947	MvSv-1253-A1-R1_MC07g05046	0.3703	0.0381	0.1028
MvSl-1064-A1-R4_MC07g07948	MvSv-1253-A1-R1_MC07g05047	0.2192	0.0217	0.099
MvSl-1064-A1-R4_MC07g07949	MvSv-1253-A1-R1_MC07g05048	0.0848	0.0093	0.1095
MvSl-1064-A1-R4_MC07g07950	MvSv-1253-A1-R1_MC07g05049	0.0973	0.0099	0.1013
MvSl-1064-A1-R4_MC07g07951	MvSv-1253-A1-R1_MC07g05050	0.3479	0.0403	0.1159
MvSl-1064-A1-R4_A1g00064	MvSv-1253-A1-R1_MC12g07683	0.4925	0.0688	0.1397
MvSl-1064-A1-R4_MC01-1g01804	MvSv-1253-A1-R1_MC01g01211	0.0682	0.0139	0.2042
MvSl-1064-A1-R4_MC07g07953	MvSv-1253-A1-R1_MC07g05051	0.2365	0.02	0.0845
MvSl-1064-A1-R4_MC07g07954	MvSv-1253-A1-R1_MC07g05052	0.075	0.0073	0.0972
MvSl-1064-A1-R4_MC07g07955	MvSv-1253-A1-R1_MC07g05053	0.4952	0.042	0.0848
MvSl-1064-A1-R4_MC07g07956	MvSv-1253-A1-R1_MC07g05054	0.1077	0.0111	0.1029
MvSl-1064-A1-R4_MC07g07957	MvSv-1253-A1-R1_MC07g05055	0.1421	0.0093	0.0657
MvSl-1064-A1-R4_MC07g07959	MvSv-1253-A1-R1_MC07g05058	0.2932	0.019	0.0648
MvSl-1064-A1-R4_MC07g07960	MvSv-1253-A1-R1_MC07g05059	0.3551	0.0266	0.0748
MvSl-1064-A1-R4_MC07g07967	MvSv-1253-A1-R1_MC07g05061	0.4538	0.0412	0.0907
MvSl-1064-A1-R4_MC07g07968	MvSv-1253-A1-R1_MC07g05062	0.0212	0.0017	0.0822
MvSl-1064-A1-R4_MC07g07969	MvSv-1253-A1-R1_MC07g05063	0.5151	0.0423	0.0822
MvSl-1064-A1-R4_MC01-1g01805	MvSv-1253-A1-R1_MC01g01210	0.1204	0.0119	0.0987
MvSl-1064-A1-R4_MC07g07971	MvSv-1253-A1-R1_MC07g05065	0.3839	0.0258	0.0671
MvSl-1064-A1-R4_MC07g07975	MvSv-1253-A1-R1_MC07g05066	0.1475	0.0138	0.0938
MvSl-1064-A1-R4_MC07g07976	MvSv-1253-A1-R1_MC07g05067	2.7702	0.0336	0.0121
MvSl-1064-A1-R4_MC07g07977	MvSv-1253-A1-R1_MC07g05068	1.027	0.0572	0.0557
MvSl-1064-A1-R4_MC07g07979	MvSv-1253-A1-R1_MC07g05069	0.1964	0.0228	0.1161
MvSl-1064-A1-R4_MC07g07983	MvSv-1253-A1-R1_MC08g05786	1.1369	0.1027	0.0904
MvSl-1064-A1-R4_MC07g07989	MvSv-1253-A1-R1_MC07g05070	0.2211	0.014	0.0631
MvSl-1064-A1-R4_MC07g07993	MvSv-1253-A1-R1_MC07g05071	0.2509	0.0202	0.0805
