gene	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_A1g00751	5810	5600	4928	5481
MvSl-1064-A1-R4_A1g00750	1352	1161	1389	1522
MvSl-1064-A1-R4_A1g00594	1062.78	1274.29	477	697
MvSl-1064-A1-R4_A1g00749	4808	3169	2272	4235
MvSl-1064-A1-R4_A1g00745	538.582	495.119	3478	3687
MvSl-1064-A1-R4_A1g01135	1058	1217	3152	2858
MvSl-1064-A1-R4_A1g00245	453	706	481	268
MvSl-1064-A1-R4_A1g00635	555.969	426.104	29.1031	63.642
MvSl-1064-A1-R4_A1g00241	2778	2856	5361	4864
MvSl-1064-A1-R4_A1g00242	762	711	1367	1266
MvSl-1064-A1-R4_A1g00270	1194	1223	544	708
MvSl-1064-A1-R4_A1g00269	7542	7735	262	433
MvSl-1064-A1-R4_A1g00098	0	0	0	0
MvSl-1064-A1-R4_A1g00763	260.302	201.286	45.3934	94.0311
MvSl-1064-A1-R4_A1g00211	9180.05	9448	11462	12790
MvSl-1064-A1-R4_A1g00210	737.727	790	867	774
MvSl-1064-A1-R4_A1g01418	352.19	234.859	240.123	313.981
MvSl-1064-A1-R4_A1g00292	2554	3172	1928	1562
MvSl-1064-A1-R4_A1g00406	738	910	1120	1117
MvSl-1064-A1-R4_A1g00441	625.575	981.338	904	805
MvSl-1064-A1-R4_A1g00144	1784	2483	2052	1746
MvSl-1064-A1-R4_A1g01369	7756	8548	16268	12358
MvSl-1064-A1-R4_A1g01368	1626	1072	1165	1537
MvSl-1064-A1-R4_A1g01367	452	363	612	590
MvSl-1064-A1-R4_A1g01366	1597	1576	1773	1691
MvSl-1064-A1-R4_A1g00194	250.391	209.005	191.098	296.651
MvSl-1064-A1-R4_A1g01290	801	865	943.264	1084.73
MvSl-1064-A1-R4_A1g01288	403	582	564.141	380.16
MvSl-1064-A1-R4_A1g00327	357	357	393	375
MvSl-1064-A1-R4_A1g00326	0	0	716	853
MvSl-1064-A1-R4_A1g01404	448	458	8	5
MvSl-1064-A1-R4_A1g01405	550	685	535	510
MvSl-1064-A1-R4_A1g01137	2278	2317	1655	1736
MvSl-1064-A1-R4_A1g01136	576	354	34	35
MvSl-1064-A1-R4_A1g00475	7.72563	14.3923	0	1.74751
MvSl-1064-A1-R4_A1g01154	2910	3259	3625	3100
MvSl-1064-A1-R4_A1g01159	2090	2383	3419	3057
MvSl-1064-A1-R4_A1g01160	2575	2476	3719	3533
MvSl-1064-A1-R4_A1g01161	1171	1143	1168	1027
MvSl-1064-A1-R4_A1g01162	9	4	385	287
MvSl-1064-A1-R4_A1g01163	46	42	597	646
MvSl-1064-A1-R4_A1g01212	526	251	119	108
MvSl-1064-A1-R4_A1g01049	257	219	3664.51	3834.78
MvSl-1064-A1-R4_A1g00533	1216	1331	1868.68	1831.05
MvSl-1064-A1-R4_A1g00534	4046	4200	3906	3524
MvSl-1064-A1-R4_A1g00541	1910	1153	1345	1881
MvSl-1064-A1-R4_A1g00542	642	610	883.668	914.069
MvSl-1064-A1-R4_A1g00543	2847	2171	2796	3187
MvSl-1064-A1-R4_A1g00544	867	1040	1208	1112
MvSl-1064-A1-R4_A1g00527	745	553	394.162	602.645
MvSl-1064-A1-R4_A1g00525	3459	3430	2881	2991
MvSl-1064-A1-R4_A1g00524	6	3	0	0
MvSl-1064-A1-R4_A1g00523	6	10	0	0
MvSl-1064-A1-R4_A1g00522	81	101	7	1
MvSl-1064-A1-R4_A1g01007	79.7051	51.7978	1093.18	1092.8
MvSl-1064-A1-R4_A1g00669	1160	1304	1337	1201
MvSl-1064-A1-R4_A1g00668	2893.06	3139.69	92	61
MvSl-1064-A1-R4_A1g00312	10019	14836	1164	1337
MvSl-1064-A1-R4_A1g00311	6307	5511	6237	7565
MvSl-1064-A1-R4_A1g00842	3164	4322	3977	2703
MvSl-1064-A1-R4_A1g00843	308	402	267	252
MvSl-1064-A1-R4_A1g00844	16	22	5	1
MvSl-1064-A1-R4_A1g01021	2	3	449.573	254.105
MvSl-1064-A1-R4_A1g01317	3383	4052	5763.77	5139.5
MvSl-1064-A1-R4_A1g01022	0	0	0	1
MvSl-1064-A1-R4_A1g00352	778	951	1256	1002
MvSl-1064-A1-R4_A1g00351	6610	6727	9059	9035
MvSl-1064-A1-R4_A1g00350	593	689	1622	1072
MvSl-1064-A1-R4_A1g00694	2699	2879	3814.06	3522
MvSl-1064-A1-R4_A1g00693	2888	2890	3180	3391
MvSl-1064-A1-R4_A1g00642	13.5398	11	3138.42	3514.13
MvSl-1064-A1-R4_A1g00193	8282.96	9196.52	6401	5910
MvSl-1064-A1-R4_A1g00433	904	808	713	831
MvSl-1064-A1-R4_A1g00432	2366	2672	2817	2395
MvSl-1064-A1-R4_A1g00349	20314	15331	106942	147109
MvSl-1064-A1-R4_A1g00644	812	992	371	456
MvSl-1064-A1-R4_MC03g04896	1706.21	979.629	729.586	1216.19
MvSl-1064-A1-R4_A1g01129	2704	2765	2455.75	2395.79
MvSl-1064-A1-R4_A1g00835	31	49.3534	848.853	852.033
MvSl-1064-A1-R4_A1g00845	2051	1887	2180	2462
MvSl-1064-A1-R4_A1g00163	99.1686	96.0819	21.0208	24
MvSl-1064-A1-R4_A1g00546	5.12434	6.0241	256.948	208.55
MvSl-1064-A1-R4_A1g00407	1646	1961	1212	1877
MvSl-1064-A1-R4_A1g01346	4820	8353	4038	2633
MvSl-1064-A1-R4_A1g01358	46	47	131.952	132.899
MvSl-1064-A1-R4_A1g01359	1462	1120	747.998	819.216
MvSl-1064-A1-R4_A1g00854	3728	3215	7362	6347
MvSl-1064-A1-R4_A1g00853	4957	4959	1837.98	1908.58
MvSl-1064-A1-R4_A1g01385	491	669	833	598
MvSl-1064-A1-R4_A1g01384	5329	5776	3357	3200
MvSl-1064-A1-R4_A1g00628	170.831	239.041	7.01042	10.0046
MvSl-1064-A1-R4_A1g01431	2317	1895	2235	2809
MvSl-1064-A1-R4_A1g01432	394	257	891	783
MvSl-1064-A1-R4_A1g00997	2139	2401	307	364
MvSl-1064-A1-R4_A1g00998	364	470	704	530
MvSl-1064-A1-R4_A1g00956	530	703	2125.04	2062.02
MvSl-1064-A1-R4_A1g00957	546	597	897	752
MvSl-1064-A1-R4_A1g00958	2426	2791	2152	1903
MvSl-1064-A1-R4_A1g00959	246	251	1158	1014
MvSl-1064-A1-R4_A1g00960	4726	3822	4106	5605
MvSl-1064-A1-R4_A1g01045	13.9027	23.6178	104.37	242.447
MvSl-1064-A1-R4_A1g00968	1504.89	1256.12	1544	1467
MvSl-1064-A1-R4_A1g00184	1293	1366	1868	1519
MvSl-1064-A1-R4_A1g00316	212.787	168.293	119.19	145.58
MvSl-1064-A1-R4_A1g00515	767	958	605	650
MvSl-1064-A1-R4_A1g00514	6467	4724	5173	6755
MvSl-1064-A1-R4_A1g00307	1913	2289	1852	1592
MvSl-1064-A1-R4_A1g00503	1424	1821	2371	2237
MvSl-1064-A1-R4_A1g00504	220	252	269	255
MvSl-1064-A1-R4_A1g00505	1974	1191	1246	1989
MvSl-1064-A1-R4_A1g00506	594	578	695	633
MvSl-1064-A1-R4_A1g00507	1302.31	953.605	1186	1398
MvSl-1064-A1-R4_A1g00510	1040	1064	1254	1157
MvSl-1064-A1-R4_A1g00511	2182	2194	2388	2290
MvSl-1064-A1-R4_A1g00512	636	634	769	724
MvSl-1064-A1-R4_A1g00513	993	1069	1169	1111
MvSl-1064-A1-R4_A1g01017	5621	6829	5983	5936
MvSl-1064-A1-R4_A1g00969	58	66	114	135
MvSl-1064-A1-R4_A1g00970	1294	1691	3106	3154
MvSl-1064-A1-R4_A1g00971	892	1370	998	774
MvSl-1064-A1-R4_A1g00972	1770	2498	727	713
MvSl-1064-A1-R4_A1g01184	2384	2815	4284	4055
MvSl-1064-A1-R4_A1g00804	27.3297	18.394	98.3081	151.553
MvSl-1064-A1-R4_A1g00252	122.474	158.719	31.4904	32.1138
MvSl-1064-A1-R4_A1g00253	451.021	474.075	460.894	576.431
MvSl-1064-A1-R4_A1g00732	1584	2016	1681	1402
MvSl-1064-A1-R4_A1g01407	2354	2358	2096	2067
MvSl-1064-A1-R4_A1g01406	51919	67337	37275	38798
MvSl-1064-A1-R4_A1g01219	54983	66131	44494	29728
MvSl-1064-A1-R4_A1g01220	598	646	7967	7445
MvSl-1064-A1-R4_A1g01174	1809	2258	762	792
MvSl-1064-A1-R4_A1g01173	2864	2759	3670	3968
MvSl-1064-A1-R4_A1g01271	4058	6191	4779	3491
MvSl-1064-A1-R4_A1g01272	9041	13174	16443	11306
MvSl-1064-A1-R4_A1g01261	45415	54603	11898	15140
MvSl-1064-A1-R4_A1g00153	4945	4613	4091	5247
MvSl-1064-A1-R4_A1g00154	739	847	408	383
MvSl-1064-A1-R4_A1g00155	1124.04	1469.68	2050.7	1934.78
MvSl-1064-A1-R4_A1g00626	846.087	868.239	1372.1	1443.39
MvSl-1064-A1-R4_A1g00175	2587	3136	2701	3088
MvSl-1064-A1-R4_A1g00283	96.4561	48.9981	1540.08	1954.48
MvSl-1064-A1-R4_A1g00886	359	375	677	718
MvSl-1064-A1-R4_A1g00909	141.958	176.702	43.5626	33.2727
MvSl-1064-A1-R4_A1g01302	64	37	2273.19	1776.77
MvSl-1064-A1-R4_A1g00516	8484	11344	5975	5405
MvSl-1064-A1-R4_A1g00517	8202	6961	11010	14200.6
MvSl-1064-A1-R4_A1g00518	1469	1955	1693	1441
MvSl-1064-A1-R4_A1g00519	3006	3081	2640	2916
MvSl-1064-A1-R4_A1g00520	880	1055	1014	902
MvSl-1064-A1-R4_A1g00521	1020	1718	1481	1070
MvSl-1064-A1-R4_A1g01227	2808	4881	4360	2862
MvSl-1064-A1-R4_A1g01228	180	211	236	250
MvSl-1064-A1-R4_A1g00646	6063	8626	3198	2703
MvSl-1064-A1-R4_A1g00645	1144	1483	1523	1479
MvSl-1064-A1-R4_A1g00653	89	125	323.907	249.118
MvSl-1064-A1-R4_A1g01175	18.2945	26.7444	1.03996	0
MvSl-1064-A1-R4_A1g01347	1509	1426	3460	3765
MvSl-1064-A1-R4_A1g01348	2993	3050	3989	3718
MvSl-1064-A1-R4_A1g01350	1229	1355	1393	1284
MvSl-1064-A1-R4_A1g01351	22726	23288	26878	23405
MvSl-1064-A1-R4_A1g01127	39.4131	22.5178	52.6614	79.5723
MvSl-1064-A1-R4_A1g01164	1193.44	1205.73	816	796
MvSl-1064-A1-R4_A1g00150	20.9328	20.124	3	1
MvSl-1064-A1-R4_A1g00977	349.421	245.211	240	240
MvSl-1064-A1-R4_A1g00913	2380	2157	1432.79	1502.28
MvSl-1064-A1-R4_A1g00920	1499	1254	736	906
MvSl-1064-A1-R4_A1g00921	2893	3340	3851	4026
MvSl-1064-A1-R4_A1g00923	192	138	411	431
MvSl-1064-A1-R4_A1g00922	1571	1697	2218	2265
MvSl-1064-A1-R4_A1g00912	776	1016	998	785
MvSl-1064-A1-R4_A1g00911	1683	2307	2234	1684
MvSl-1064-A1-R4_A1g00794	685	754	893	776
MvSl-1064-A1-R4_A1g00328	115	182	331	217
MvSl-1064-A1-R4_A1g01413	85.6294	64.0344	54.5121	108.747
MvSl-1064-A1-R4_A1g00448	5859	8028	1765.88	2017.31
MvSl-1064-A1-R4_A1g00478	2553.24	2773.82	2992.27	2614.37
MvSl-1064-A1-R4_A1g01151	1.0374	0	8	13
MvSl-1064-A1-R4_A1g00532	667	698	713	660
MvSl-1064-A1-R4_A1g00929	1.57623	8.36722	38.7741	40.7819
MvSl-1064-A1-R4_A1g00118	277.664	306.344	532.723	511.174
MvSl-1064-A1-R4_A1g00530	2193	2237	2450	2607
MvSl-1064-A1-R4_A1g00529	225	193	159	209
MvSl-1064-A1-R4_A1g00528	102	141	164.157	150.055
MvSl-1064-A1-R4_A1g00820	0	0	0	12.6747
MvSl-1064-A1-R4_A1g00495	3895	3648	1035	1030
MvSl-1064-A1-R4_A1g00840	1756	1915	2683	2394
MvSl-1064-A1-R4_A1g00832	3149	3159	3889	3872
