gene	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_MC05-3g06514	11152	10132	5568	5676
MvSl-1064-A1-R4_MC05-3g06515	21475	24860	13510	10297
MvSl-1064-A1-R4_MC05-3g06516	893	761	520	606
MvSl-1064-A1-R4_MC05-3g06517	6302	7383	4031	3587
MvSl-1064-A1-R4_MC05-3g06518	6839	5579	3176	3594
MvSl-1064-A1-R4_MC05-3g06519	6259	7410	3051	4807
MvSl-1064-A1-R4_MC05-3g06520	9973	11750	4553	5180
MvSl-1064-A1-R4_MC05-3g06521	23179.5	27139	18257	24772.7
MvSl-1064-A1-R4_MC05-3g06522	103	67	85	115
MvSl-1064-A1-R4_MC05-3g06523	17	10	4	10
MvSl-1064-A1-R4_MC05-3g06524	14	8	19	19
MvSl-1064-A1-R4_MC05-3g06525	991	840	1222	1347
MvSl-1064-A1-R4_MC05-3g06526	1314	802	958	1247
MvSl-1064-A1-R4_MC05-3g06527	1554	1346	1546	1789
MvSl-1064-A1-R4_MC05-3g06528	3332	3565	4050	3633
MvSl-1064-A1-R4_MC05-3g06529	4833	4318	5370	5558
MvSl-1064-A1-R4_MC05-3g06530	789	970	1075	871
MvSl-1064-A1-R4_MC05-3g06531	1243	1799	1796	1208
MvSl-1064-A1-R4_MC05-3g06532	2.10542	0	5.26615	10.4824
MvSl-1064-A1-R4_MC05-3g06533	145.619	135.758	157.66	166.007
MvSl-1064-A1-R4_MC05-3g06534	16.5066	21.8593	36.5421	33.9411
MvSl-1064-A1-R4_MC05-3g06535	524	503	665	643
MvSl-1064-A1-R4_MC05-3g06536	45	29	80	95
MvSl-1064-A1-R4_MC05-3g06537	2	1	3	7
MvSl-1064-A1-R4_MC05-3g06538	474.044	446.215	537.185	514.975
MvSl-1064-A1-R4_MC05-3g06539	3859	4357	4775	4471
MvSl-1064-A1-R4_MC05-3g06540	939	911	1095	1100
MvSl-1064-A1-R4_MC05-3g06541	394	492	598	563
MvSl-1064-A1-R4_MC05-3g06542	1888	2068	2371	2201
MvSl-1064-A1-R4_MC05-3g06543	546	613	712	730
MvSl-1064-A1-R4_MC05-3g06544	278	432	579	390
MvSl-1064-A1-R4_MC05-3g06545	1282	1714	1705	1624
MvSl-1064-A1-R4_MC05-3g06546	12954	11031	10300	10979
MvSl-1064-A1-R4_MC05-3g06547	34622	24496	29408	27186
MvSl-1064-A1-R4_MC05-3g06548	1019	1105	1285	1102
MvSl-1064-A1-R4_MC05-3g06549	493	362	295	394
MvSl-1064-A1-R4_MC05-3g06550	2291	1989	2602	2446
MvSl-1064-A1-R4_MC05-3g06551	1081	1228	1702	1430
MvSl-1064-A1-R4_MC05-3g06552	2293	3122	3347	2687
MvSl-1064-A1-R4_MC05-3g06553	1105	835	1201	1344
MvSl-1064-A1-R4_MC05-3g06554	1822	2189	2196	1769
MvSl-1064-A1-R4_MC05-3g06555	1043	924	999	1026
MvSl-1064-A1-R4_MC05-3g06556	1207	792	1052	1143
MvSl-1064-A1-R4_MC05-3g06557	70	49	87	116
MvSl-1064-A1-R4_MC05-3g06558	11	5	5	8
MvSl-1064-A1-R4_MC05-3g06559	0	0	0	1
MvSl-1064-A1-R4_MC05-3g06560	748	820	799	803
MvSl-1064-A1-R4_MC05-3g06561	1024	1201	1086	882
MvSl-1064-A1-R4_MC05-3g06562	3308	2995	4302	4678
MvSl-1064-A1-R4_MC05-3g06563	2137.82	2118.79	2450.53	2734.26
MvSl-1064-A1-R4_MC05-3g06564	494.939	336.723	403.188	846.818
MvSl-1064-A1-R4_MC05-3g06565	233	95	103	349
MvSl-1064-A1-R4_MC05-3g06566	1515.36	835.691	1505.63	2427.19
MvSl-1064-A1-R4_MC05-3g06567	2855	2223	3359	3931
MvSl-1064-A1-R4_MC05-3g06568	469	457	504	490
MvSl-1064-A1-R4_MC05-3g06569	1029.15	1000.09	1239.11	1127.14
MvSl-1064-A1-R4_MC05-3g06570	806	834	865	895
MvSl-1064-A1-R4_MC05-3g06571	1744	1626	1681	1893
MvSl-1064-A1-R4_MC05-3g06572	2677	2326	2850	3046
MvSl-1064-A1-R4_MC05-3g06573	5427	4605	5311	7246
MvSl-1064-A1-R4_MC05-3g06574	11837	11459	11564	13893
MvSl-1064-A1-R4_MC05-3g06575	20708	20610	19918	21993
MvSl-1064-A1-R4_MC05-3g06576	183	199	279	193
MvSl-1064-A1-R4_MC05-3g06577	1704.66	1868.74	2136.63	2174.17
MvSl-1064-A1-R4_MC05-3g06578	2496.38	2679.24	2332.04	2261.77
MvSl-1064-A1-R4_MC05-3g06579	16	14	27	16
MvSl-1064-A1-R4_MC05-3g06580	577	724	681	614
MvSl-1064-A1-R4_MC05-3g06581	2915	3021	3473	2839
MvSl-1064-A1-R4_MC05-3g06582	283	289	398	366
MvSl-1064-A1-R4_MC05-3g06583	1767	1981	2252	2075
MvSl-1064-A1-R4_MC05-3g06584	217	159	182	295
MvSl-1064-A1-R4_MC05-3g06585	139	125	171	195
MvSl-1064-A1-R4_MC05-3g06586	362	259	319	324
MvSl-1064-A1-R4_MC05-3g06587	1078	740	1060	1480
MvSl-1064-A1-R4_MC05-3g06588	1314	701	815	1429
MvSl-1064-A1-R4_MC05-3g06589	706	428	671	786
MvSl-1064-A1-R4_MC05-3g06590	568	528	620	706
MvSl-1064-A1-R4_MC05-3g06591	960	1069	1942	1946
MvSl-1064-A1-R4_MC05-3g06592	2254	2136	2437	3198
MvSl-1064-A1-R4_MC05-3g06593	36	39	37	53
MvSl-1064-A1-R4_MC05-3g06594	8426	7736	7390	7297
MvSl-1064-A1-R4_MC05-3g06595	69	55	50	77
MvSl-1064-A1-R4_MC05-3g06596	18	19	19	19
MvSl-1064-A1-R4_MC05-3g06597	31	25	12	19
MvSl-1064-A1-R4_MC05-3g06598	82.4307	77.6859	95.7949	120.067
MvSl-1064-A1-R4_MC05-3g06599	516.494	482	753	828
MvSl-1064-A1-R4_MC05-3g06600	128	162	246	287
MvSl-1064-A1-R4_MC05-3g06601	442	456	586	556
MvSl-1064-A1-R4_MC05-3g06602	499	494	828	570
MvSl-1064-A1-R4_MC05-3g06603	1860	1771	2039	1874
MvSl-1064-A1-R4_MC05-3g06604	729	888	927	784
MvSl-1064-A1-R4_MC05-3g06605	226	230	214	245
MvSl-1064-A1-R4_MC05-3g06606	643	585	574	611
MvSl-1064-A1-R4_MC05-3g06607	1356	1748	2161	1758
MvSl-1064-A1-R4_MC05-3g06608	462.395	432.69	545.65	483.641
MvSl-1064-A1-R4_MC05-3g06609	1763	2164	2336	1928
MvSl-1064-A1-R4_MC05-3g06610	18110	12978	17428	25038
MvSl-1064-A1-R4_MC05-3g06611	1979	1130	1681	1818
MvSl-1064-A1-R4_MC05-3g06612	642	772	690	690
MvSl-1064-A1-R4_MC05-3g06613	571	592	769	772
MvSl-1064-A1-R4_MC05-3g06614	1273	1551	1826	1557
MvSl-1064-A1-R4_MC05-3g06615	698	812	992	907.071
MvSl-1064-A1-R4_MC05-3g06616	1487	1385	1764	1665
MvSl-1064-A1-R4_MC05-3g06617	17	18	35	71
MvSl-1064-A1-R4_MC05-3g06618	16.0127	18.0155	28.0229	38.0313
MvSl-1064-A1-R4_MC05-3g06619	615	607	767	664
MvSl-1064-A1-R4_MC05-3g06620	1613	1972	1978	1714
MvSl-1064-A1-R4_MC05-3g06621	118	77	171	198
MvSl-1064-A1-R4_MC05-3g06622	13528	11076	11293	10602
MvSl-1064-A1-R4_MC05-3g06623	1222	2126	1658	1209
MvSl-1064-A1-R4_MC05-3g06624	6803	6775	8064	7447
MvSl-1064-A1-R4_MC05-3g06625	929	1121	1123	1044
MvSl-1064-A1-R4_MC05-3g06626	3562	3473	3708	3826
MvSl-1064-A1-R4_MC05-3g06627	1162	1222	1510	1344
MvSl-1064-A1-R4_MC05-3g06628	3256	4069	4208	3767
MvSl-1064-A1-R4_MC05-3g06629	83	60	36	74
MvSl-1064-A1-R4_MC05-3g06630	1281	1526	1415	1458
MvSl-1064-A1-R4_MC05-3g06631	382	596	658	584
MvSl-1064-A1-R4_MC05-3g06632	2276	1532	2394	3676
MvSl-1064-A1-R4_MC05-3g06633	1093	1116	1503	1305
MvSl-1064-A1-R4_MC05-3g06634	614	547	767	876
MvSl-1064-A1-R4_MC05-3g06635	843	1066	1062	914
MvSl-1064-A1-R4_MC05-3g06636	2802.76	2934.36	3351.12	3567.36
MvSl-1064-A1-R4_MC05-3g06637	1591	2344	2337	1887
MvSl-1064-A1-R4_MC05-3g06638	405	551	576	494
MvSl-1064-A1-R4_MC05-3g06639	573	730	669	583
MvSl-1064-A1-R4_MC05-3g06640	957	866	1080	1312
MvSl-1064-A1-R4_MC05-3g06641	1838	1059	1066	1820
MvSl-1064-A1-R4_MC05-3g06642	12.2417	9.10415	16.3785	32.2366
MvSl-1064-A1-R4_MC05-3g06643	19	13	14	25
MvSl-1064-A1-R4_MC05-3g06644	3855.64	3769.37	4752.75	4902.83
MvSl-1064-A1-R4_MC05-3g06645	118.971	165.375	118.622	106.039
MvSl-1064-A1-R4_MC05-3g06646	109	81	98	144.172
MvSl-1064-A1-R4_MC05-3g06647	15008.3	15626.3	14807.6	14730.1
MvSl-1064-A1-R4_MC05-3g06648	6906	6225	5255	6156
MvSl-1064-A1-R4_MC05-3g06649	594	717	747	634
MvSl-1064-A1-R4_MC05-3g06650	4843	9516	6741	3991
MvSl-1064-A1-R4_MC05-3g06651	10158	18212	13563	9496
MvSl-1064-A1-R4_MC05-3g06652	1110	1098	1468	1413
MvSl-1064-A1-R4_MC05-3g06653	245	395	544	369
MvSl-1064-A1-R4_MC05-3g06654	1663	2015	1790	1811
MvSl-1064-A1-R4_MC05-3g06655	1994	2182	2257	2272
MvSl-1064-A1-R4_MC05-3g06656	1675	1657	1552	1721
MvSl-1064-A1-R4_MC05-3g06657	2667	2293	2090	3124
MvSl-1064-A1-R4_MC05-3g06658	1021	992	1157	1223
MvSl-1064-A1-R4_MC05-3g06659	716	922	1080	831
MvSl-1064-A1-R4_MC05-3g06660	7597.56	6857.99	7910.52	8523.69
MvSl-1064-A1-R4_MC05-3g06661	957	1223	1228	1187
MvSl-1064-A1-R4_MC05-3g06662	1682	2234	2155	1820
MvSl-1064-A1-R4_MC05-3g06663	130	130	127	154
MvSl-1064-A1-R4_MC05-3g06664	594	599	662	713
MvSl-1064-A1-R4_MC05-3g06665	283.493	389.303	316	339
MvSl-1064-A1-R4_MC05-3g06666	1581.1	1653.22	1968.34	2067.14
MvSl-1064-A1-R4_MC05-3g06667	0	0	0	1
MvSl-1064-A1-R4_MC05-3g06668	3	1	3	3
MvSl-1064-A1-R4_MC05-3g06669	2713	2513	2322	2561
MvSl-1064-A1-R4_MC05-3g06670	86	146	137	98
MvSl-1064-A1-R4_MC05-3g06671	882	1274	1421	1183
MvSl-1064-A1-R4_MC05-3g06672	1353	1110	1324	1654
MvSl-1064-A1-R4_MC05-3g06673	798	746	883	965
MvSl-1064-A1-R4_MC05-3g06674	2065	1877	2363	2433
MvSl-1064-A1-R4_MC05-3g06675	4474	7810	6297	4412
MvSl-1064-A1-R4_MC05-3g06676	1329	1245	1465	1592
MvSl-1064-A1-R4_MC05-3g06677	1021	1039	1165	1057
MvSl-1064-A1-R4_MC05-3g06678	269.637	403.573	588	530
MvSl-1064-A1-R4_MC05-3g06679	6253	8379	7244	6116
MvSl-1064-A1-R4_MC05-3g06680	3095	3156	3776	3180
MvSl-1064-A1-R4_MC05-3g06681	9	7	9	14
MvSl-1064-A1-R4_MC05-3g06682	1209	745	676	1211
MvSl-1064-A1-R4_MC05-3g06683	524	661	671	537
MvSl-1064-A1-R4_MC05-3g06684	2272	2703	2348	2102
MvSl-1064-A1-R4_MC05-3g06685	1219	1295	1236	1387
MvSl-1064-A1-R4_MC05-3g06686	640	660	655	562
MvSl-1064-A1-R4_MC05-3g06687	3555	3641	4404	4494
MvSl-1064-A1-R4_MC05-3g06688	2529	2225	2475	2906
MvSl-1064-A1-R4_MC05-3g06689	674	958	780	724
MvSl-1064-A1-R4_MC05-3g06690	6264	6394	8092	8474
MvSl-1064-A1-R4_MC05-3g06691	1538	1581	1816	1645
MvSl-1064-A1-R4_MC05-3g06692	434	559	529	485
MvSl-1064-A1-R4_MC05-3g06693	171	181	171	164
MvSl-1064-A1-R4_MC05-3g06694	1451	1251	1242	1567
MvSl-1064-A1-R4_MC05-3g06695	0	0	0	0
MvSl-1064-A1-R4_MC05-3g06697	43.573	28.178	49.2191	48.913
MvSl-1064-A1-R4_MC05-3g06698	1619	1553	1942	1866
MvSl-1064-A1-R4_MC05-3g06699	1098	1218	1355	1238
MvSl-1064-A1-R4_MC05-3g06700	3601	4314	4024	3750
MvSl-1064-A1-R4_MC05-3g06701	1637	2457	2149	1716
MvSl-1064-A1-R4_MC05-3g06702	335	293	369	477
MvSl-1064-A1-R4_MC05-3g06703	527	449	461	429
MvSl-1064-A1-R4_MC05-3g06704	303.092	238.29	297.166	342.761
MvSl-1064-A1-R4_MC05-3g06705	996	1335	2309	1790
MvSl-1064-A1-R4_MC05-3g06706	306	216	329	339
MvSl-1064-A1-R4_MC05-3g06707	3327	3756	1908	2049
MvSl-1064-A1-R4_MC05-3g06708	1126	1148	1611	1839
MvSl-1064-A1-R4_MC05-3g06709	3275	3458	4886	5000
MvSl-1064-A1-R4_MC05-3g06710	2282	2232	2343	2618
MvSl-1064-A1-R4_MC05-3g06711	1416	1483	1761	1759
MvSl-1064-A1-R4_MC05-3g06712	631	488	601	655
MvSl-1064-A1-R4_MC05-3g06713	2894.05	2657.09	3845.12	3410.01
MvSl-1064-A1-R4_MC05-3g06714	1164	1257	1232	1399
MvSl-1064-A1-R4_MC05-3g06715	104	286	400	184
MvSl-1064-A1-R4_MC05-3g06716	362.622	370	487.993	545.649
MvSl-1064-A1-R4_MC05-3g06717	1869.97	1563.47	1791.93	2216.24
MvSl-1064-A1-R4_MC05-3g06718	650.804	571.043	786.216	881.734
MvSl-1064-A1-R4_MC05-3g06719	552	319	439	545
MvSl-1064-A1-R4_MC05-3g06720	377	605	596	511
MvSl-1064-A1-R4_MC05-3g06721	1875	1938	1822	1764
MvSl-1064-A1-R4_MC05-3g06722	329	414	459	381
MvSl-1064-A1-R4_MC05-3g06723	191	210	226	184
MvSl-1064-A1-R4_MC05-3g06724	2940	3338	4710	4313
MvSl-1064-A1-R4_MC05-3g06725	252	176	267	270
MvSl-1064-A1-R4_MC05-3g06726	399	608	726	555
MvSl-1064-A1-R4_MC05-3g06727	1147	1174	1586	1323
MvSl-1064-A1-R4_MC05-3g06728	3560	3587	3746	3824
MvSl-1064-A1-R4_MC05-3g06729	573	800	858	643
MvSl-1064-A1-R4_MC05-3g06730	1039	1262	1376	1327
MvSl-1064-A1-R4_MC05-3g06731	217.692	308.563	1425.94	1611.37
MvSl-1064-A1-R4_MC05-3g06732	83.948	95.8267	78.4816	74.9557
MvSl-1064-A1-R4_MC05-3g06733	832.768	819.003	953.141	1595.12
MvSl-1064-A1-R4_MC05-3g06734	11	3	5	6
MvSl-1064-A1-R4_MC05-3g06735	1314	1484	1732	1688
MvSl-1064-A1-R4_MC05-3g06736	2765	4283	5113	3463
MvSl-1064-A1-R4_MC05-3g06737	6978	7370	7543	6853
MvSl-1064-A1-R4_MC05-3g06738	1914	1726	2041	2310
MvSl-1064-A1-R4_MC05-3g06739	132	139	204	176
MvSl-1064-A1-R4_MC05-3g06740	2828	2165	2723	2769
MvSl-1064-A1-R4_MC05-3g06741	3700	3609	3968	4191
MvSl-1064-A1-R4_MC05-3g06742	335.458	314.276	585.861	639.819
MvSl-1064-A1-R4_MC05-3g06744	0	0	0	0
MvSl-1064-A1-R4_MC05-3g06745	17.561	8.85489	18.0867	23.8077
MvSl-1064-A1-R4_MC05-3g06747	5.13162	10.5902	5.67846	7.54414
MvSl-1064-A1-R4_MC05-3g06748	0	0	1	0
MvSl-1064-A1-R4_MC05-3g06749	31	33	31	48
MvSl-1064-A1-R4_MC05-3g06750	5	5	7	2
MvSl-1064-A1-R4_MC05-3g06751	2366	2181	2163	2504
MvSl-1064-A1-R4_MC05-3g06752	1941	2598	2392	1961
MvSl-1064-A1-R4_MC05-3g06753	401	331	244	384
MvSl-1064-A1-R4_MC05-3g06754	328	284	217	297
MvSl-1064-A1-R4_MC05-3g06755	733	735	783	757
MvSl-1064-A1-R4_MC05-3g06756	1327	1560	1838	1219
MvSl-1064-A1-R4_MC05-3g06757	11149	7675	8634	12362
MvSl-1064-A1-R4_MC05-3g06758	762	584	778	910
MvSl-1064-A1-R4_MC05-3g06759	2	3	3	3
MvSl-1064-A1-R4_MC05-3g06760	8	4	18	53
MvSl-1064-A1-R4_MC05-3g06761	112	74	87	147
MvSl-1064-A1-R4_MC05-3g06762	215	204	268	232
MvSl-1064-A1-R4_MC05-3g06763	243	441	369	275
MvSl-1064-A1-R4_MC05-3g06764	1079	1091	1113	1128
MvSl-1064-A1-R4_MC05-3g06765	1102	1019	1458	1282
MvSl-1064-A1-R4_MC05-3g06766	4167	2555	3477	5671
MvSl-1064-A1-R4_MC05-3g06767	5239	4995	4418	5056
MvSl-1064-A1-R4_MC05-3g06768	858	1031	972	1035
MvSl-1064-A1-R4_MC05-3g06769	13	12	40	19
MvSl-1064-A1-R4_MC05-3g06770	10	8	11	8
MvSl-1064-A1-R4_MC05-3g06771	6	6	2	1
MvSl-1064-A1-R4_MC05-3g06772	2273	2686	2561	2260
MvSl-1064-A1-R4_MC05-3g06773	501	514	635	571
MvSl-1064-A1-R4_MC05-3g06774	10409	8635	10180	11036
MvSl-1064-A1-R4_MC05-3g06775	658	995	1040	877
MvSl-1064-A1-R4_MC05-3g06776	3815	3685	4662	4221
MvSl-1064-A1-R4_MC05-3g06777	776	866	892	821
MvSl-1064-A1-R4_MC05-3g06778	660	1088	716	630
MvSl-1064-A1-R4_MC05-3g06779	1474	1347	1709	1734
MvSl-1064-A1-R4_MC05-3g06780	251	648	640	286
MvSl-1064-A1-R4_MC05-3g06781	663	729	701	691
MvSl-1064-A1-R4_MC05-3g06782	2465	2280	2699	2885
MvSl-1064-A1-R4_MC05-3g06783	501	554	517	377
MvSl-1064-A1-R4_MC05-3g06784	490150	554404	1.16E+06	1.40E+06
MvSl-1064-A1-R4_MC05-3g06785	7216.4	7528.78	8993.89	10053.8
MvSl-1064-A1-R4_MC05-3g06786	356	223	304	521
MvSl-1064-A1-R4_MC05-3g06787	206.578	184.772	253.811	316.867
MvSl-1064-A1-R4_MC05-3g06788	35.5614	51.6239	78.171	76.6756
MvSl-1064-A1-R4_MC05-3g06789	32.1897	30.457	35.0185	51.6863
MvSl-1064-A1-R4_MC05-3g06790	433.774	324.667	1070.36	893.797
MvSl-1064-A1-R4_MC05-3g06791	1.71488	5.65422	2.83494	6.84481
MvSl-1064-A1-R4_MC05-3g06792	1182.77	1155.61	1565.42	1617.22
MvSl-1064-A1-R4_MC05-3g06793	8	1	3	1
MvSl-1064-A1-R4_MC05-3g06795	1358.68	1420.16	2186.07	1185.07
MvSl-1064-A1-R4_MC05-3g06796	1033	1217	1371	1205
MvSl-1064-A1-R4_MC05-3g06797	882	941	1430	1290
MvSl-1064-A1-R4_MC05-3g06798	435	509	564	497
MvSl-1064-A1-R4_MC05-3g06799	1985	2050	1831	2391
MvSl-1064-A1-R4_MC05-3g06800	109	163	165	172
MvSl-1064-A1-R4_MC05-3g06801	94	164	131	108
MvSl-1064-A1-R4_MC05-3g06802	19	10.037	15	36
MvSl-1064-A1-R4_MC05-3g06803	401	260	390	686
MvSl-1064-A1-R4_MC05-3g06804	161	114	151	196
MvSl-1064-A1-R4_MC05-3g06805	68	73	77	122
MvSl-1064-A1-R4_MC05-3g06806	62	16	22	80
MvSl-1064-A1-R4_MC05-3g06807	2500	2395	2490	2289
MvSl-1064-A1-R4_MC05-3g06808	1765	1609	1697	1903
MvSl-1064-A1-R4_MC05-3g06809	1804	2107	2176	1749
MvSl-1064-A1-R4_MC05-3g06811	766.009	776.391	883.281	847.808
MvSl-1064-A1-R4_MC05-3g06812	98.6397	117.846	73.1799	62.4614
MvSl-1064-A1-R4_MC05-3g06813	159.76	123.039	135.604	157.942
MvSl-1064-A1-R4_MC05-3g06815	16.2121	14.9333	8.8	17.9015
MvSl-1064-A1-R4_MC05-3g06817	7.9152	5.00629	9.01535	12.0186
MvSl-1064-A1-R4_MC05-3g06818	2097.97	2014.61	2118.25	2211.81
MvSl-1064-A1-R4_MC05-3g06819	6818.61	8891.31	7766.94	5837.15
MvSl-1064-A1-R4_MC05-3g06820	2302	2054	2387	2564
MvSl-1064-A1-R4_MC05-3g06821	415	646	747	565
MvSl-1064-A1-R4_MC05-3g06822	1142	1873	1843	1535
MvSl-1064-A1-R4_MC05-3g06823	905	903	1198	1094
MvSl-1064-A1-R4_MC05-3g06824	788.682	814.103	921.816	837.799
MvSl-1064-A1-R4_MC05-3g06825	9	11	3	5
MvSl-1064-A1-R4_MC05-3g06826	231	189	164	166
MvSl-1064-A1-R4_MC05-3g06827	118	90	142	286
MvSl-1064-A1-R4_MC05-3g06828	2365	2200	2447	2559
MvSl-1064-A1-R4_MC05-3g06829	2821	3710	3581	3169
MvSl-1064-A1-R4_MC05-3g06832	27.9493	19.3328	42.5803	44.3428
MvSl-1064-A1-R4_MC05-3g06833	14.1898	11.2465	13.156	13.2607
MvSl-1064-A1-R4_MC05-3g06834	87.821	44.6266	57.3508	67.9332
MvSl-1064-A1-R4_MC05-3g06835	1.04573	0	0	0
MvSl-1064-A1-R4_MC05-3g06836	42.3193	39.1262	38.4502	65.2357
MvSl-1064-A1-R4_MC05-3g06837	234.381	372.615	418.635	321.847
MvSl-1064-A1-R4_MC05-3g06838	79.5759	81.5557	125.344	146.718
MvSl-1064-A1-R4_MC05-3g06839	0	3.28251	0	1.96263
MvSl-1064-A1-R4_MC05-3g06840	6	10	4	9
MvSl-1064-A1-R4_MC05-3g06841	714.043	777.468	916.75	1039.44
MvSl-1064-A1-R4_MC05-3g06842	0	0	0	0
MvSl-1064-A1-R4_MC05-3g06843	521.714	421.421	546.552	718.841
MvSl-1064-A1-R4_C36g01618	793.611	753.055	758.373	1207.91
MvSl-1064-A1-R4_MC06g06861	70.6474	44.4852	106.07	139.541
MvSl-1064-A1-R4_MC06g06862	5377	7869	8380	5809
MvSl-1064-A1-R4_MC06g06863	157	150	196	290
MvSl-1064-A1-R4_MC06g06864	77	92	100.91	129.885
MvSl-1064-A1-R4_MC06g06865	527	482	620.65	694
MvSl-1064-A1-R4_MC06g06866	114.114	94.8573	132.589	165.304
MvSl-1064-A1-R4_MC06g06868	213.959	133.719	319.729	462.189
MvSl-1064-A1-R4_MC06g06869	101.902	93.1183	127.309	151.319
MvSl-1064-A1-R4_MC06g06870	1127.44	1195.72	1320.56	1372.6
MvSl-1064-A1-R4_MC06g06871	3383.88	3258.44	3912.57	4208.76
MvSl-1064-A1-R4_MC06g06872	216.095	148.964	198.187	223.095
MvSl-1064-A1-R4_MC06g06873	3	6	1	4
MvSl-1064-A1-R4_MC06g06874	317.218	148.32	385.041	347.216
MvSl-1064-A1-R4_MC06g06875	613.536	440.065	446.611	405.368
MvSl-1064-A1-R4_MC06g06882	1265.59	1395.18	1422.9	1727.61
MvSl-1064-A1-R4_MC06g06883	159.784	177.19	197.043	399.268
MvSl-1064-A1-R4_MC06g06884	0	0	1	0
MvSl-1064-A1-R4_MC06g06885	0	4.159	2.15134	1.01649
MvSl-1064-A1-R4_MC06g06886	4713	4307	5326	5657
MvSl-1064-A1-R4_MC06g06887	643	879	842	665
MvSl-1064-A1-R4_MC06g06888	4473	3441	4119	5696
MvSl-1064-A1-R4_MC06g06889	184	129	146	156
MvSl-1064-A1-R4_MC06g06890	74.5552	61.9996	109.956	307.691
MvSl-1064-A1-R4_MC06g06891	0	0	1	1
MvSl-1064-A1-R4_MC06g06893	1228	1479	1260	1033
MvSl-1064-A1-R4_MC06g06894	1648	2087	2828	2242
MvSl-1064-A1-R4_MC06g06895	502	688	798	613
MvSl-1064-A1-R4_MC06g06896	1552	1925	1000	971
MvSl-1064-A1-R4_MC06g06897	294	374	397	371
MvSl-1064-A1-R4_MC06g06898	468	684	707	520
MvSl-1064-A1-R4_MC06g06899	372	403	438	364
MvSl-1064-A1-R4_MC06g06900	1	0	15	13
MvSl-1064-A1-R4_MC06g06901	788	826	1052	929
MvSl-1064-A1-R4_MC06g06902	2853	2773	3421	3277
MvSl-1064-A1-R4_MC06g06903	1282	1332	1811	1771
MvSl-1064-A1-R4_MC06g06904	2010	2185	2149	2353
MvSl-1064-A1-R4_MC06g06905	0	0	1.5124	1.64789
MvSl-1064-A1-R4_MC06g06907	480.128	395.469	1369.11	1756.58
MvSl-1064-A1-R4_MC06g06909	97.5692	103.94	212.838	226.376
MvSl-1064-A1-R4_MC06g06910	256.144	194.874	162.871	284.37
MvSl-1064-A1-R4_MC06g06911	64.5202	39.713	41.4726	74.2298
MvSl-1064-A1-R4_MC06g06912	1	0	0	2
MvSl-1064-A1-R4_MC06g06913	53	26	61	182
MvSl-1064-A1-R4_MC06g06914	521	578	550	497
MvSl-1064-A1-R4_MC06g06915	864	938	815	656
MvSl-1064-A1-R4_MC06g06916	188	234	248	147
MvSl-1064-A1-R4_MC06g06917	382	489	392	277
MvSl-1064-A1-R4_MC06g06918	80	101	148	112
MvSl-1064-A1-R4_MC06g06919	2255	2165.72	2636.66	2316
MvSl-1064-A1-R4_MC06g06920	15309	26606	26716	16995
MvSl-1064-A1-R4_MC06g06921	3113	4261	3555	3076
MvSl-1064-A1-R4_MC06g06922	205.442	232.702	397.603	408.252
MvSl-1064-A1-R4_MC06g06923	2384	2484	3159	2961
MvSl-1064-A1-R4_MC06g06924	3314	2859	2874	3585
MvSl-1064-A1-R4_MC06g06925	6	1	9	3
MvSl-1064-A1-R4_MC06g06926	460	569	582	519
MvSl-1064-A1-R4_MC06g06927	628.926	479.069	624.735	651.917
MvSl-1064-A1-R4_MC06g06928	116.206	112.836	118	102.403
MvSl-1064-A1-R4_MC06g06929	246.664	240.78	172.605	305.922
MvSl-1064-A1-R4_MC06g06930	1128	1406	1518	1318
MvSl-1064-A1-R4_MC06g06931	2679	3559	3842	2921
MvSl-1064-A1-R4_MC06g06932	0	1	3	1
MvSl-1064-A1-R4_MC06g06933	526	620	451	451
MvSl-1064-A1-R4_MC06g06934	2055	1998	2269	2416
MvSl-1064-A1-R4_MC06g06935	1591	1517	1811	1851
MvSl-1064-A1-R4_MC06g06936	3779	4187	4814	3197
MvSl-1064-A1-R4_MC06g06937	2743	3122	2709	2808
MvSl-1064-A1-R4_MC06g06938	1083.13	1120.94	1189.82	1076.65
MvSl-1064-A1-R4_MC06g06939	166.562	133.817	200.076	215.471
MvSl-1064-A1-R4_MC06g06940	103	108	141	328
MvSl-1064-A1-R4_MC06g06941	31	21	21	34
MvSl-1064-A1-R4_MC06g06942	273.366	226.606	302.88	325.923
MvSl-1064-A1-R4_MC06g06943	738	978	1955	1467
MvSl-1064-A1-R4_MC06g06944	151	90	29	41
MvSl-1064-A1-R4_MC06g06945	39718	27423	3911	6080
MvSl-1064-A1-R4_MC06g06946	4376	3847	717	830
MvSl-1064-A1-R4_MC06g06947	2906	2351	347	412
MvSl-1064-A1-R4_MC06g06948	478	455	476	522
MvSl-1064-A1-R4_MC06g06949	1577	1666	2047	1864
MvSl-1064-A1-R4_MC06g06950	1523	1641	1911	1990
MvSl-1064-A1-R4_MC06g06951	4311	3308	3315	4985
MvSl-1064-A1-R4_MC06g06952	1115	1205	1494	1288
MvSl-1064-A1-R4_MC06g06953	635	591	842	683
MvSl-1064-A1-R4_MC06g06954	1916	1812	2369	2598
MvSl-1064-A1-R4_MC06g06955	20	7	11	12
MvSl-1064-A1-R4_MC06g06956	82	50	68	97
