a2	a2s1	a2s2	a1	a1s1	a1s2
MvSl-1064-A2-R4_A2g00376	1940	1466	MvSl-1064-A1-R4_A1g00394	1218	1816
MvSl-1064-A2-R4_A2g00377	2	3	MvSl-1064-A1-R4_A1g00393	2	1
MvSl-1064-A2-R4_A2g00378	3	3	MvSl-1064-A1-R4_A1g00392	1	0
MvSl-1064-A2-R4_A2g00379	2847	2764	MvSl-1064-A1-R4_A1g00391	2445	2358
MvSl-1064-A2-R4_A2g00380	721	745	MvSl-1064-A1-R4_A1g00390	676	624
MvSl-1064-A2-R4_A2g00383	502	540	MvSl-1064-A1-R4_A1g00389	2203.45	2127.6
MvSl-1064-A2-R4_A2g00387	0	0	MvSl-1064-A1-R4_A1g00384	1	1
MvSl-1064-A2-R4_A2g00388	2576	3172	MvSl-1064-A1-R4_A1g00383	1569	1164
MvSl-1064-A2-R4_A2g00393	1415.9	1535.01	MvSl-1064-A1-R4_A1g00380	1755.58	1936.8
MvSl-1064-A2-R4_A2g00394	16	17	MvSl-1064-A1-R4_A1g00379	37	28
MvSl-1064-A2-R4_A2g00403	3527	3574	MvSl-1064-A1-R4_A1g01189	2417	1899
MvSl-1064-A2-R4_A2g00417	1182	1085	MvSl-1064-A1-R4_A1g01375	670.668	838.089
MvSl-1064-A2-R4_A2g00418	2952	4005	MvSl-1064-A1-R4_A1g01376	1667	1507
MvSl-1064-A2-R4_A2g00420	115	238.787	MvSl-1064-A1-R4_A1g01378	260.895	252.713
MvSl-1064-A2-R4_A2g00431	3068	2841	MvSl-1064-A1-R4_A1g00624	4110	4922
MvSl-1064-A2-R4_A2g00443	8244	8595	MvSl-1064-A1-R4_A1g00185	5402	5797
MvSl-1064-A2-R4_A2g00444	4282	3747	MvSl-1064-A1-R4_A1g00186	3348	3401
MvSl-1064-A2-R4_A2g00513	11804	8301	MvSl-1064-A1-R4_A1g01038	1103	2125
MvSl-1064-A2-R4_A2g00527	1790.36	2209.77	MvSl-1064-A1-R4_A1g01383	845.624	935.401
MvSl-1064-A2-R4_A2g00529	9880	10650	MvSl-1064-A1-R4_A1g00230	485	374
MvSl-1064-A2-R4_A2g00532	1651.84	994.707	MvSl-1064-A1-R4_A1g00652	2130.5	3780.01
MvSl-1064-A2-R4_A2g00539	480.925	279.343	MvSl-1064-A1-R4_A1g00355	9439.36	18802.6
MvSl-1064-A2-R4_A2g00548	733	937	MvSl-1064-A1-R4_A1g00568	848	744
MvSl-1064-A2-R4_A2g00559	3519	2978	MvSl-1064-A1-R4_A1g00575	3865	3720
MvSl-1064-A2-R4_A2g00560	259	367	MvSl-1064-A1-R4_A1g00576	363	254
MvSl-1064-A2-R4_A2g00565	61	86	MvSl-1064-A1-R4_A1g00757	43.6817	106.757
MvSl-1064-A2-R4_A2g00566	23.4451	32	MvSl-1064-A1-R4_A1g00756	25	23
MvSl-1064-A2-R4_A2g00568	14	22	MvSl-1064-A1-R4_A1g00752	416.206	465.958
MvSl-1064-A2-R4_A2g00569	4928	5481	MvSl-1064-A1-R4_A1g00751	5810	5600
MvSl-1064-A2-R4_A2g00570	1389	1522	MvSl-1064-A1-R4_A1g00750	1352	1161
MvSl-1064-A2-R4_A2g00575	477	697	MvSl-1064-A1-R4_A1g00594	1062.78	1274.29
MvSl-1064-A2-R4_A2g00576	2272	4235	MvSl-1064-A1-R4_A1g00749	4808	3169
MvSl-1064-A2-R4_A2g00577	3478	3687	MvSl-1064-A1-R4_A1g00745	538.582	495.119
MvSl-1064-A2-R4_A2g00602	3152	2858	MvSl-1064-A1-R4_A1g01135	1058	1217
MvSl-1064-A2-R4_A2g00611	481	268	MvSl-1064-A1-R4_A1g00245	453	706
MvSl-1064-A2-R4_A2g00615	29.1031	63.642	MvSl-1064-A1-R4_A1g00635	555.969	426.104
MvSl-1064-A2-R4_A2g00643	5361	4864	MvSl-1064-A1-R4_A1g00241	2778	2856
MvSl-1064-A2-R4_A2g00644	1367	1266	MvSl-1064-A1-R4_A1g00242	762	711
MvSl-1064-A2-R4_A2g00645	42.8647	61.3264	MvSl-1064-A1-R4_A1g00243	53	44
MvSl-1064-A2-R4_A2g00647	544	708	MvSl-1064-A1-R4_A1g00270	1194	1223
MvSl-1064-A2-R4_A2g00651	262	433	MvSl-1064-A1-R4_A1g00269	7542	7735
MvSl-1064-A2-R4_A2g00655	0	0	MvSl-1064-A1-R4_A1g00098	0	0
MvSl-1064-A2-R4_A2g00660	45.3934	94.0311	MvSl-1064-A1-R4_A1g00763	260.302	201.286
MvSl-1064-A2-R4_A2g00664	117.97	145.259	MvSl-1064-A1-R4_A1g01267	1723.24	1889.67
MvSl-1064-A2-R4_A2g00698	11462	12790	MvSl-1064-A1-R4_A1g00211	9180.05	9448
MvSl-1064-A2-R4_A2g00699	867	774	MvSl-1064-A1-R4_A1g00210	737.727	790
MvSl-1064-A2-R4_A2g00702	240.123	313.981	MvSl-1064-A1-R4_A1g01418	352.19	234.859
MvSl-1064-A2-R4_A2g00711	1928	1562	MvSl-1064-A1-R4_A1g00292	2554	3172
MvSl-1064-A2-R4_A2g00732	1120	1117	MvSl-1064-A1-R4_A1g00406	738	910
MvSl-1064-A2-R4_A2g00737	904	805	MvSl-1064-A1-R4_A1g00441	625.575	981.338
MvSl-1064-A2-R4_A2g00759	2052	1746	MvSl-1064-A1-R4_A1g00144	1784	2483
MvSl-1064-A2-R4_A2g00773	16268	12358	MvSl-1064-A1-R4_A1g01369	7756	8548
MvSl-1064-A2-R4_A2g00774	1165	1537	MvSl-1064-A1-R4_A1g01368	1626	1072
MvSl-1064-A2-R4_A2g00775	612	590	MvSl-1064-A1-R4_A1g01367	452	363
MvSl-1064-A2-R4_A2g00776	1773	1691	MvSl-1064-A1-R4_A1g01366	1597	1576
MvSl-1064-A2-R4_A2g00791	191.098	296.651	MvSl-1064-A1-R4_A1g00194	250.391	209.005
MvSl-1064-A2-R4_A2g00797	943.264	1084.73	MvSl-1064-A1-R4_A1g01290	801	865
