a2	a2s1	a2s2	a1	a1s1	a1s2
MvSl-1064-A2-R4_MC07g08120	1602	1481	MvSl-1064-A1-R4_MC07g07855	2750	2060
MvSl-1064-A2-R4_MC07g08121	191	303	MvSl-1064-A1-R4_MC07g07856	149	131
MvSl-1064-A2-R4_MC07g08122	2564	2714	MvSl-1064-A1-R4_MC07g07857	2289	2233
MvSl-1064-A2-R4_MC07g08123	5096	4627	MvSl-1064-A1-R4_MC07g07858	4240	4354
MvSl-1064-A2-R4_MC07g08124	1023	788	MvSl-1064-A1-R4_MC07g07859	875	1255
MvSl-1064-A2-R4_MC07g08125	1779	1479	MvSl-1064-A1-R4_MC07g07860	1255	1601
MvSl-1064-A2-R4_MC07g08126	1161	760	MvSl-1064-A1-R4_MC07g07861	742	1244
MvSl-1064-A2-R4_MC07g08127	97	81	MvSl-1064-A1-R4_MC07g07862	39	70
MvSl-1064-A2-R4_MC07g08128	593	559	MvSl-1064-A1-R4_MC07g07863	548	658
MvSl-1064-A2-R4_MC07g08129	1366	1311	MvSl-1064-A1-R4_MC07g07864	1260	1292
MvSl-1064-A2-R4_MC07g08130	1018	848	MvSl-1064-A1-R4_MC07g07865	819	759
MvSl-1064-A2-R4_MC07g08131	872	846	MvSl-1064-A1-R4_MC07g07866	816	707
MvSl-1064-A2-R4_MC07g08132	9927	9298	MvSl-1064-A1-R4_MC07g07867	9940	9569
MvSl-1064-A2-R4_MC07g08133	979.367	721.326	MvSl-1064-A1-R4_MC07g07868	426.411	548.018
MvSl-1064-A2-R4_MC07g08134	146822	60148	MvSl-1064-A1-R4_MC07g07869	32491	71154
MvSl-1064-A2-R4_MC07g08135	5120	3832	MvSl-1064-A1-R4_MC07g07870	2514	2862
MvSl-1064-A2-R4_MC07g08136	481	439	MvSl-1064-A1-R4_MC07g07871	196	316
MvSl-1064-A2-R4_MC07g08137	832	759	MvSl-1064-A1-R4_MC07g07872	643	767
MvSl-1064-A2-R4_MC07g08138	1158	1001	MvSl-1064-A1-R4_MC07g07873	780	1055
MvSl-1064-A2-R4_MC07g08139	2055	1717	MvSl-1064-A1-R4_MC07g07874	1538	1989
MvSl-1064-A2-R4_MC07g08140	2328	2236	MvSl-1064-A1-R4_MC07g07875	2139	2223
MvSl-1064-A2-R4_MC07g08141	724	632	MvSl-1064-A1-R4_MC07g07876	622	839
MvSl-1064-A2-R4_MC07g08142	1068	1055	MvSl-1064-A1-R4_MC07g07877	737	1011
MvSl-1064-A2-R4_MC07g08143	2793	2433	MvSl-1064-A1-R4_MC07g07878	1673	2290
MvSl-1064-A2-R4_MC07g08144	3737	2822	MvSl-1064-A1-R4_MC07g07879	2480	3529
MvSl-1064-A2-R4_MC07g08145	3711	4513	MvSl-1064-A1-R4_MC07g07880	3691	3444
MvSl-1064-A2-R4_MC07g08146	1489	1164	MvSl-1064-A1-R4_MC07g07881	933	1615
MvSl-1064-A2-R4_MC07g08147	740	586	MvSl-1064-A1-R4_MC07g07882	412	395
MvSl-1064-A2-R4_MC07g08148	1175	1560	MvSl-1064-A1-R4_MC07g07883	1128	918
MvSl-1064-A2-R4_MC07g08149	1740	1900	MvSl-1064-A1-R4_MC07g07884	1549	1500
MvSl-1064-A2-R4_MC07g08150	656	857	MvSl-1064-A1-R4_MC07g07885	476	414
MvSl-1064-A2-R4_MC07g08151	3	1	MvSl-1064-A1-R4_MC07g07886	2	5
MvSl-1064-A2-R4_MC07g08152	187	93	MvSl-1064-A1-R4_MC07g07887	82	114
MvSl-1064-A2-R4_MC07g08153	394	270	MvSl-1064-A1-R4_MC07g07888	310	401
MvSl-1064-A2-R4_MC07g08154	94	58	MvSl-1064-A1-R4_MC07g07889	75	80
MvSl-1064-A2-R4_MC07g08155	385	441	MvSl-1064-A1-R4_MC07g07890	392	391
MvSl-1064-A2-R4_MC07g08156	596	665	MvSl-1064-A1-R4_MC07g07891	444	683
MvSl-1064-A2-R4_MC07g08157	979	846	MvSl-1064-A1-R4_MC07g07892	727	950
MvSl-1064-A2-R4_MC07g08158	2380	1453	MvSl-1064-A1-R4_MC07g07893	1662	3184
MvSl-1064-A2-R4_MC07g08159	3523	3547	MvSl-1064-A1-R4_MC07g07894	2693	2741
MvSl-1064-A2-R4_MC07g08160	187	118	MvSl-1064-A1-R4_MC07g07895	94	240
MvSl-1064-A2-R4_MC07g08161	717	695	MvSl-1064-A1-R4_MC07g07896	682	589
MvSl-1064-A2-R4_MC07g08162	15	12	MvSl-1064-A1-R4_MC07g07897	5	4
MvSl-1064-A2-R4_MC07g08163	993	943	MvSl-1064-A1-R4_MC07g07898	803	815
MvSl-1064-A2-R4_MC07g08164	1355	1335	MvSl-1064-A1-R4_MC07g07899	1181	1217
MvSl-1064-A2-R4_MC07g08165	1037	1025	MvSl-1064-A1-R4_MC07g07900	810	915
MvSl-1064-A2-R4_MC07g08166	840	870	MvSl-1064-A1-R4_MC07g07901	713	834
MvSl-1064-A2-R4_MC07g08167	4504	4159	MvSl-1064-A1-R4_MC07g07902	4309	4304
MvSl-1064-A2-R4_MC07g08168	4987	4945	MvSl-1064-A1-R4_MC07g07903	4349	5330
MvSl-1064-A2-R4_MC07g08169	16	13	MvSl-1064-A1-R4_MC07g07904	10	12
MvSl-1064-A2-R4_MC07g08170	18	6	MvSl-1064-A1-R4_MC07g07905	7	9
MvSl-1064-A2-R4_MC07g08171	53872	43888	MvSl-1064-A1-R4_MC07g07906	26741	28274
MvSl-1064-A2-R4_MC07g08172	1822	1272	MvSl-1064-A1-R4_MC07g07907	1321	1732
MvSl-1064-A2-R4_MC07g08173	348	293	MvSl-1064-A1-R4_MC07g07908	255	380
MvSl-1064-A2-R4_MC07g08174	1228	1132	MvSl-1064-A1-R4_MC07g07909	1018	1179
MvSl-1064-A2-R4_MC07g08175	1265	1084	MvSl-1064-A1-R4_MC07g07910	1113	1305
MvSl-1064-A2-R4_MC07g08176	1212	1003	MvSl-1064-A1-R4_MC07g07911	847	1094
MvSl-1064-A2-R4_MC07g08177	1190	1418	MvSl-1064-A1-R4_MC07g07912	933	1068
MvSl-1064-A2-R4_MC07g08178	1985	3122	MvSl-1064-A1-R4_MC07g07913	3101	1377
MvSl-1064-A2-R4_MC07g08179	1546	1688	MvSl-1064-A1-R4_MC07g07914	992	912
MvSl-1064-A2-R4_MC07g08180	16466	16260	MvSl-1064-A1-R4_MC07g07915	16481	14533
MvSl-1064-A2-R4_MC07g08181	918	1454	MvSl-1064-A1-R4_MC07g07916	1375	837
MvSl-1064-A2-R4_MC07g08182	3045	2793	MvSl-1064-A1-R4_MC07g07917	2646	2915
MvSl-1064-A2-R4_MC07g08183	50	61	MvSl-1064-A1-R4_MC07g07918	62	45
MvSl-1064-A2-R4_MC07g08184	1962	1514	MvSl-1064-A1-R4_MC07g07919	1142	2220
MvSl-1064-A2-R4_MC07g08185	1922	2308	MvSl-1064-A1-R4_MC07g07920	1757	1688
MvSl-1064-A2-R4_MC07g08186	866	658	MvSl-1064-A1-R4_MC07g07921	661	601
MvSl-1064-A2-R4_MC07g08187	1219	1142	MvSl-1064-A1-R4_MC07g07922	941	1177
MvSl-1064-A2-R4_MC07g08188	2957	3298	MvSl-1064-A1-R4_MC07g07923	3196	2570
MvSl-1064-A2-R4_MC07g08189	938.613	1054	MvSl-1064-A1-R4_MC07g07924	821	831.419
MvSl-1064-A2-R4_MC07g08191	3858	3715	MvSl-1064-A1-R4_MC07g07926	3133	2983
MvSl-1064-A2-R4_MC07g08192	637	641	MvSl-1064-A1-R4_MC07g07927	554	613
MvSl-1064-A2-R4_MC07g08193	557	584	MvSl-1064-A1-R4_MC07g07928	464	457
MvSl-1064-A2-R4_MC07g08194	4143	4180	MvSl-1064-A1-R4_MC07g07929	4106	4184
MvSl-1064-A2-R4_MC07g08195	1.72042	2.28472	MvSl-1064-A1-R4_MC07g07930	1.21837	0
MvSl-1064-A2-R4_MC07g08196	1363.93	1619.07	MvSl-1064-A1-R4_MC07g07931	1722.79	1604.19
MvSl-1064-A2-R4_MC07g08198	28290	22417	MvSl-1064-A1-R4_MC07g07933	14359	14434
MvSl-1064-A2-R4_MC07g08199	1543	1242	MvSl-1064-A1-R4_MC07g07934	1042	1229
MvSl-1064-A2-R4_MC07g08200	852	753	MvSl-1064-A1-R4_MC07g07935	615	694
MvSl-1064-A2-R4_MC07g08201	1662	1589	MvSl-1064-A1-R4_MC07g07936	1457	1540
MvSl-1064-A2-R4_MC07g08202	387	291	MvSl-1064-A1-R4_MC07g07937	279	446
MvSl-1064-A2-R4_MC07g08203	1542	1709	MvSl-1064-A1-R4_MC07g07938	1574	1921
MvSl-1064-A2-R4_MC07g08204	6855	6213	MvSl-1064-A1-R4_MC07g07939	5247	5933
MvSl-1064-A2-R4_MC07g08205	2114	1748	MvSl-1064-A1-R4_MC07g07940	1415	1915
MvSl-1064-A2-R4_MC07g08206	1400	1680	MvSl-1064-A1-R4_MC07g07941	1156	991
MvSl-1064-A2-R4_MC07g08207	2114	2325	MvSl-1064-A1-R4_MC07g07942	1775	1783
MvSl-1064-A2-R4_MC07g08208	4688	3530	MvSl-1064-A1-R4_MC07g07943	3218	4509
MvSl-1064-A2-R4_MC07g08209	555	690	MvSl-1064-A1-R4_MC07g07944	591	461
MvSl-1064-A2-R4_MC07g08210	187.079	141.693	MvSl-1064-A1-R4_MC07g07945	91.5203	95.1373
MvSl-1064-A2-R4_MC07g08211	3182	3045	MvSl-1064-A1-R4_MC07g07946	2911	2588
MvSl-1064-A2-R4_MC07g08212	4434	3719	MvSl-1064-A1-R4_MC07g07947	3598	3826
MvSl-1064-A2-R4_MC07g08213	5411	5831	MvSl-1064-A1-R4_MC07g07948	5828	5281
MvSl-1064-A2-R4_MC07g08214	2644	2768	MvSl-1064-A1-R4_MC07g07949	2362	2888
MvSl-1064-A2-R4_MC07g08215	1600	1246	MvSl-1064-A1-R4_MC07g07950	1166	1266
MvSl-1064-A2-R4_MC07g08216	115	107	MvSl-1064-A1-R4_MC07g07951	32	70
MvSl-1064-A2-R4_MC07g08217	10	7	MvSl-1064-A1-R4_MC07g07952	0	0
MvSl-1064-A2-R4_MC07g08218	1916	1373	MvSl-1064-A1-R4_MC07g07953	1359	1272
MvSl-1064-A2-R4_MC07g08219	917	855	MvSl-1064-A1-R4_MC07g07954	854	1068
MvSl-1064-A2-R4_MC07g08220	705	793	MvSl-1064-A1-R4_MC07g07955	520	573
MvSl-1064-A2-R4_MC07g08221	2589	2496	MvSl-1064-A1-R4_MC07g07956	1831	1767
MvSl-1064-A2-R4_MC07g08222	36	44	MvSl-1064-A1-R4_MC07g07957	32	35
MvSl-1064-A2-R4_MC07g08223	347	431	MvSl-1064-A1-R4_MC07g07958	296	217
MvSl-1064-A2-R4_MC07g08224	293	301	MvSl-1064-A1-R4_MC07g07959	270	207
MvSl-1064-A2-R4_MC07g08225	177	336	MvSl-1064-A1-R4_MC07g07960	112	91
MvSl-1064-A2-R4_MC07g08226	875	934	MvSl-1064-A1-R4_MC07g07961	37.3356	54.7456
MvSl-1064-A2-R4_MC07g08227	263.707	275.763	MvSl-1064-A1-R4_MC07g07962	165.499	146.792
MvSl-1064-A2-R4_MC07g08228	5.66112	3.24538	MvSl-1064-A1-R4_MC07g07963	0	0
MvSl-1064-A2-R4_MC07g08229	73	44	MvSl-1064-A1-R4_MC07g07964	14	18
MvSl-1064-A2-R4_MC07g08230	3.02145	6.38301	MvSl-1064-A1-R4_MC07g07965	3	2
MvSl-1064-A2-R4_MC07g08231	0	0	MvSl-1064-A1-R4_MC07g07966	0	0
MvSl-1064-A2-R4_MC07g08232	1305	1137	MvSl-1064-A1-R4_MC07g07967	1053	1081
MvSl-1064-A2-R4_MC07g08233	5407	5322	MvSl-1064-A1-R4_MC07g07968	5344	5290
MvSl-1064-A2-R4_MC07g08234	2150	2050	MvSl-1064-A1-R4_MC07g07969	1797	2108
MvSl-1064-A2-R4_MC07g08235	31238	23284	MvSl-1064-A1-R4_MC07g07970	17268	24027
MvSl-1064-A2-R4_MC07g08236	1349	1236	MvSl-1064-A1-R4_MC07g07971	1030	1079
MvSl-1064-A2-R4_MC07g08237	465	618	MvSl-1064-A1-R4_MC07g07972	505	429
MvSl-1064-A2-R4_MC07g08238	198.793	172.726	MvSl-1064-A1-R4_MC07g07973	151.174	103.683
MvSl-1064-A2-R4_MC07g08239	0	0	MvSl-1064-A1-R4_MC07g07974	0	0
MvSl-1064-A2-R4_MC07g08240	5886	5895	MvSl-1064-A1-R4_MC07g07975	4889	4845
MvSl-1064-A2-R4_MC07g08241	193	272	MvSl-1064-A1-R4_MC07g07976	237	266
MvSl-1064-A2-R4_MC07g08242	1010	1063	MvSl-1064-A1-R4_MC07g07977	833	628
MvSl-1064-A2-R4_MC07g08243	106	203	MvSl-1064-A1-R4_MC07g07978	94	61
MvSl-1064-A2-R4_MC07g08244	15125	11130	MvSl-1064-A1-R4_MC07g07979	10184	15860
MvSl-1064-A2-R4_MC07g08245	541.549	658.149	MvSl-1064-A1-R4_MC07g07980	429.891	407.745
MvSl-1064-A2-R4_MC07g08246	508.241	426.283	MvSl-1064-A1-R4_MC07g07981	637.907	794.947
MvSl-1064-A2-R4_MC07g08247	9	3.01615	MvSl-1064-A1-R4_MC07g07982	21	26
MvSl-1064-A2-R4_MC07g08248	89.8736	109.48	MvSl-1064-A1-R4_MC07g07983	52.0499	54.8385
MvSl-1064-A2-R4_MC07g08249	49.4308	35.128	MvSl-1064-A1-R4_MC07g07984	22.7005	32.1255
MvSl-1064-A2-R4_MC07g08250	1.06005	5.13011	MvSl-1064-A1-R4_MC07g07985	0	1.01278
MvSl-1064-A2-R4_MC07g08251	189.652	334.14	MvSl-1064-A1-R4_MC07g07986	266.796	129.618
MvSl-1064-A2-R4_MC07g08252	132	162	MvSl-1064-A1-R4_MC07g07987	121	93
MvSl-1064-A2-R4_MC07g08253	160.916	173.871	MvSl-1064-A1-R4_MC07g07988	102	91
MvSl-1064-A2-R4_MC07g08254	2634	2597	MvSl-1064-A1-R4_MC07g07989	1942	1718
MvSl-1064-A2-R4_MC07g08255	4.09919	3	MvSl-1064-A1-R4_MC07g07990	4.1388	4
MvSl-1064-A2-R4_MC07g08256	246	217	MvSl-1064-A1-R4_MC07g07991	195	216
MvSl-1064-A2-R4_MC07g08257	196	202	MvSl-1064-A1-R4_MC07g07992	170	196
MvSl-1064-A2-R4_MC07g08258	4967	7925	MvSl-1064-A1-R4_MC07g07993	7139	5524
MvSl-1064-A2-R4_MC07g08259	1288	1072	MvSl-1064-A1-R4_MC07g07994	923	1347
MvSl-1064-A2-R4_MC07g08260	1878	1631	MvSl-1064-A1-R4_MC07g07995	1474	1720
MvSl-1064-A2-R4_MC07g08261	4026	3541	MvSl-1064-A1-R4_MC07g07996	3341	3293
MvSl-1064-A2-R4_MC07g08262	2321	2194	MvSl-1064-A1-R4_MC07g07997	2151	2327
MvSl-1064-A2-R4_MC07g08263	738	565	MvSl-1064-A1-R4_MC07g07998	683	1234
MvSl-1064-A2-R4_MC07g08264	22	18	MvSl-1064-A1-R4_MC07g07999	35	32
MvSl-1064-A2-R4_MC07g08265	2810	2950	MvSl-1064-A1-R4_MC07g08000	2439	2356
MvSl-1064-A2-R4_MC07g08266	1930	1952	MvSl-1064-A1-R4_MC07g08001	1706	1637
MvSl-1064-A2-R4_MC07g08267	1749	1649	MvSl-1064-A1-R4_MC07g08002	1635	1630
MvSl-1064-A2-R4_MC07g08268	83	142	MvSl-1064-A1-R4_MC07g08003	143	155
MvSl-1064-A2-R4_MC07g08269	1100	1976	MvSl-1064-A1-R4_MC07g08004	391	247
MvSl-1064-A2-R4_MC07g08270	1365	1171	MvSl-1064-A1-R4_MC07g08005	1401	1321
MvSl-1064-A2-R4_MC07g08271	3961	3800	MvSl-1064-A1-R4_MC07g08006	3637	3597
MvSl-1064-A2-R4_MC07g08272	1473	1589	MvSl-1064-A1-R4_MC07g08007	1308	1164
MvSl-1064-A2-R4_MC07g08273	1588	1503	MvSl-1064-A1-R4_MC07g08008	1166	1101
MvSl-1064-A2-R4_MC07g08274	465	329	MvSl-1064-A1-R4_MC07g08009	388	417
MvSl-1064-A2-R4_MC07g08275	1457.22	1419.74	MvSl-1064-A1-R4_MC07g08010	1164.78	1255.57
MvSl-1064-A2-R4_MC07g08276	2946	2743	MvSl-1064-A1-R4_MC07g08011	2429	2618
MvSl-1064-A2-R4_MC07g08277	1031	1242	MvSl-1064-A1-R4_MC07g08012	1306	760
MvSl-1064-A2-R4_MC07g08278	154	188	MvSl-1064-A1-R4_MC07g08013	167	111
MvSl-1064-A2-R4_MC07g08279	82.9579	102.591	MvSl-1064-A1-R4_MC07g08014	51.5883	43.7119
MvSl-1064-A2-R4_MC07g08280	0	2	MvSl-1064-A1-R4_MC07g08015	2.05769	2
MvSl-1064-A2-R4_MC07g08281	936	770	MvSl-1064-A1-R4_MC07g08016	489	533
MvSl-1064-A2-R4_MC07g08282	5	6	MvSl-1064-A1-R4_MC07g08017	5	6
MvSl-1064-A2-R4_MC07g08283	1235	1496	MvSl-1064-A1-R4_MC07g08018	1304	1013
MvSl-1064-A2-R4_MC07g08284	1045	1073	MvSl-1064-A1-R4_MC07g08019	879	944
MvSl-1064-A2-R4_MC07g08285	4461	3805	MvSl-1064-A1-R4_MC07g08020	2391	3329
MvSl-1064-A2-R4_MC07g08286	5710	5365	MvSl-1064-A1-R4_MC07g08021	3461	4117
MvSl-1064-A2-R4_MC07g08287	13	14	MvSl-1064-A1-R4_MC07g08022	2	5
MvSl-1064-A2-R4_MC07g08288	27	52	MvSl-1064-A1-R4_MC07g08023	18	17
MvSl-1064-A2-R4_MC07g08289	12089	14865	MvSl-1064-A1-R4_MC07g08024	11348	11330
MvSl-1064-A2-R4_MC07g08290	431.334	602.991	MvSl-1064-A1-R4_MC07g08025	557.653	561.722
MvSl-1064-A2-R4_MC07g08291	9959.16	9974.83	MvSl-1064-A1-R4_MC07g08026	6558.31	7519.8
MvSl-1064-A2-R4_MC07g08292	11.6389	33.6564	MvSl-1064-A1-R4_MC07g08027	15.4105	7.2325
MvSl-1064-A2-R4_MC07g08294	34.4977	31.757	MvSl-1064-A1-R4_MC07g08029	33.9022	32.5213
MvSl-1064-A2-R4_MC07g08295	8894	9270	MvSl-1064-A1-R4_MC07g08030	9064	8623
MvSl-1064-A2-R4_MC07g08296	738	757	MvSl-1064-A1-R4_MC07g08031	645	480
MvSl-1064-A2-R4_MC07g08297	4262	3743	MvSl-1064-A1-R4_MC07g08032	3854	4709
MvSl-1064-A2-R4_MC07g08298	1705	1511	MvSl-1064-A1-R4_MC07g08033	1517	2086
MvSl-1064-A2-R4_MC07g08299	1323	1378	MvSl-1064-A1-R4_MC07g08034	1089	1229
MvSl-1064-A2-R4_MC07g08300	1206	1380	MvSl-1064-A1-R4_MC07g08035	1224	846
MvSl-1064-A2-R4_MC07g08301	448	709	MvSl-1064-A1-R4_MC07g08036	728	295
MvSl-1064-A2-R4_MC07g08302	472	543	MvSl-1064-A1-R4_MC07g08037	511	290
MvSl-1064-A2-R4_MC07g08303	101	136	MvSl-1064-A1-R4_MC07g08038	164	75
MvSl-1064-A2-R4_MC07g08304	1907	1925	MvSl-1064-A1-R4_MC07g08039	1780	1838
MvSl-1064-A2-R4_MC07g08305	270	331	MvSl-1064-A1-R4_MC07g08040	263	270
MvSl-1064-A2-R4_MC07g08306	223	259	MvSl-1064-A1-R4_MC07g08041	214	208
MvSl-1064-A2-R4_MC07g08307	557	522	MvSl-1064-A1-R4_MC07g08042	476	549
MvSl-1064-A2-R4_MC07g08308	2276	1868	MvSl-1064-A1-R4_MC07g08043	1607	2058
MvSl-1064-A2-R4_MC07g08309	398	309	MvSl-1064-A1-R4_MC07g08044	234	322
MvSl-1064-A2-R4_MC07g08310	1641	1440	MvSl-1064-A1-R4_MC07g08045	1547	2159
MvSl-1064-A2-R4_MC07g08311	357	305	MvSl-1064-A1-R4_MC07g08046	310	606
MvSl-1064-A2-R4_MC07g08312	6589.41	9910.86	MvSl-1064-A1-R4_MC07g08047	8105.48	6854.8
MvSl-1064-A2-R4_MC07g08313	1889	1707	MvSl-1064-A1-R4_MC07g08048	1660	1851
MvSl-1064-A2-R4_MC07g08314	926	931	MvSl-1064-A1-R4_MC07g08049	1026	940
MvSl-1064-A2-R4_MC07g08316	13.8564	15.5575	MvSl-1064-A1-R4_MC07g08051	26.7631	20.1738
MvSl-1064-A2-R4_MC07g08317	1440.52	1625.44	MvSl-1064-A1-R4_MC07g08052	1225.21	1254.29
MvSl-1064-A2-R4_MC07g08318	3642	2945	MvSl-1064-A1-R4_MC07g08053	2762	3670
MvSl-1064-A2-R4_MC07g08319	1979	1763	MvSl-1064-A1-R4_MC07g08054	1140	1672
MvSl-1064-A2-R4_MC07g08320	272	191	MvSl-1064-A1-R4_MC07g08055	204	293
MvSl-1064-A2-R4_MC07g08321	1157	1119	MvSl-1064-A1-R4_MC07g08056	936	1047
MvSl-1064-A2-R4_MC07g08322	332	260	MvSl-1064-A1-R4_MC07g08057	508	582
MvSl-1064-A2-R4_MC07g08323	4548	5384	MvSl-1064-A1-R4_MC07g08058	4506	3896
MvSl-1064-A2-R4_MC07g08324	9688	6458	MvSl-1064-A1-R4_MC07g08059	6635	10618
MvSl-1064-A2-R4_MC07g08325	2601	2543	MvSl-1064-A1-R4_MC07g08060	1971	2354
MvSl-1064-A2-R4_MC07g08326	1176	794	MvSl-1064-A1-R4_MC07g08061	856	1145
MvSl-1064-A2-R4_MC07g08327	521	720	MvSl-1064-A1-R4_MC07g08062	486	398
MvSl-1064-A2-R4_MC07g08328	1327	880	MvSl-1064-A1-R4_MC07g08063	951	1909
MvSl-1064-A2-R4_MC07g08329	1222	1003	MvSl-1064-A1-R4_MC07g08064	795	1105
MvSl-1064-A2-R4_MC07g08330	64	44	MvSl-1064-A1-R4_MC07g08065	41	31
MvSl-1064-A2-R4_MC07g08331	723	958	MvSl-1064-A1-R4_MC07g08066	745	521
MvSl-1064-A2-R4_MC07g08332	197	367	MvSl-1064-A1-R4_MC07g08067	389	132
MvSl-1064-A2-R4_MC07g08333	1378	1530	MvSl-1064-A1-R4_MC07g08068	1086	1222
MvSl-1064-A2-R4_MC07g08334	4136	3141	MvSl-1064-A1-R4_MC07g08069	2763	3580
MvSl-1064-A2-R4_MC07g08335	318	317	MvSl-1064-A1-R4_MC07g08070	308	341
MvSl-1064-A2-R4_MC07g08336	540	470	MvSl-1064-A1-R4_MC07g08071	478	601
MvSl-1064-A2-R4_MC07g08337	628	957	MvSl-1064-A1-R4_MC07g08072	885	722
MvSl-1064-A2-R4_MC07g08338	530	615	MvSl-1064-A1-R4_MC07g08073	646	540
MvSl-1064-A2-R4_MC07g08339	1354	992	MvSl-1064-A1-R4_MC07g08074	1192	1378
MvSl-1064-A2-R4_MC07g08340	1682	1382	MvSl-1064-A1-R4_MC07g08075	1102	1372
MvSl-1064-A2-R4_MC07g08341	2003.12	1729.07	MvSl-1064-A1-R4_MC07g08076	1971.13	1974.51
MvSl-1064-A2-R4_MC07g08342	0	0	MvSl-1064-A1-R4_MC07g08077	0	1.63313
MvSl-1064-A2-R4_MC07g08343	194	223	MvSl-1064-A1-R4_MC07g08078	75	91
MvSl-1064-A2-R4_MC07g08344	8437.24	7927.59	MvSl-1064-A1-R4_MC07g08079	4616.32	4887.95
MvSl-1064-A2-R4_MC07g08345	754	1131	MvSl-1064-A1-R4_MC07g08080	1357	522
MvSl-1064-A2-R4_MC07g08346	2542	2768	MvSl-1064-A1-R4_MC07g08081	2327	2384
MvSl-1064-A2-R4_MC07g08347	1263	1142	MvSl-1064-A1-R4_MC07g08082	982	990
MvSl-1064-A2-R4_MC07g08348	2608	3122	MvSl-1064-A1-R4_MC07g08083	2578	1933
MvSl-1064-A2-R4_MC07g08349	869	758	MvSl-1064-A1-R4_MC07g08084	706	677
MvSl-1064-A2-R4_MC07g08350	48	44	MvSl-1064-A1-R4_MC07g08085	53	49
MvSl-1064-A2-R4_MC07g08351	1443	1192	MvSl-1064-A1-R4_MC07g08086	1108	1318
MvSl-1064-A2-R4_MC07g08352	836	765	MvSl-1064-A1-R4_MC07g08087	713	841
MvSl-1064-A2-R4_MC07g08353	521	449	MvSl-1064-A1-R4_MC07g08088	426	637
MvSl-1064-A2-R4_MC07g08354	2693	2127	MvSl-1064-A1-R4_MC07g08089	1883	3149
MvSl-1064-A2-R4_MC07g08355	434	363	MvSl-1064-A1-R4_MC07g08090	414	504
MvSl-1064-A2-R4_MC07g08356	61078	66434	MvSl-1064-A1-R4_MC07g08091	43908	43901
MvSl-1064-A2-R4_MC07g08357	1084	885	MvSl-1064-A1-R4_MC07g08092	798	949
MvSl-1064-A2-R4_MC07g08358	1208	904	MvSl-1064-A1-R4_MC07g08093	840	1421
MvSl-1064-A2-R4_MC07g08359	6670	6834	MvSl-1064-A1-R4_MC07g08094	5544.46	5152.45
MvSl-1064-A2-R4_MC07g08360	3416	3301	MvSl-1064-A1-R4_MC07g08095	3103	3362
MvSl-1064-A2-R4_MC07g08361	1117	947	MvSl-1064-A1-R4_MC07g08096	822	1133
MvSl-1064-A2-R4_MC07g08362	217	275	MvSl-1064-A1-R4_MC07g08097	644	504
MvSl-1064-A2-R4_MC07g08363	1149	1087	MvSl-1064-A1-R4_MC07g08098	843	950
MvSl-1064-A2-R4_MC07g08364	11349.6	15614.1	MvSl-1064-A1-R4_MC07g08099	11354.5	9720.2
MvSl-1064-A2-R4_MC07g08365	1032	783	MvSl-1064-A1-R4_MC07g08100	610	896
MvSl-1064-A2-R4_MC07g08366	461	584	MvSl-1064-A1-R4_MC07g08101	368	290
MvSl-1064-A2-R4_MC07g08367	3089	4409	MvSl-1064-A1-R4_MC07g08102	4399	3219
MvSl-1064-A2-R4_MC07g08368	4347	4490	MvSl-1064-A1-R4_MC07g08103	4706	4519
MvSl-1064-A2-R4_MC07g08369	1893	2919	MvSl-1064-A1-R4_MC07g08104	3950	3442
MvSl-1064-A2-R4_MC07g08370	783	482	MvSl-1064-A1-R4_MC07g08105	417	570
MvSl-1064-A2-R4_MC07g08371	24	7	MvSl-1064-A1-R4_MC07g08106	13	23
MvSl-1064-A2-R4_MC07g08372	866	498	MvSl-1064-A1-R4_MC07g08107	552	1023
MvSl-1064-A2-R4_MC07g08373	3437	2702	MvSl-1064-A1-R4_MC07g08108	2286	2767
MvSl-1064-A2-R4_MC07g08374	166	135	MvSl-1064-A1-R4_MC07g08109	128	124
MvSl-1064-A2-R4_MC07g08375	2288	2464	MvSl-1064-A1-R4_MC07g08110	2294	1990
MvSl-1064-A2-R4_MC07g08376	3969	4132	MvSl-1064-A1-R4_MC07g08111	3615	3141
MvSl-1064-A2-R4_MC07g08377	5302	4710	MvSl-1064-A1-R4_MC07g08112	3513	3829
MvSl-1064-A2-R4_MC07g08378	13076	9425	MvSl-1064-A1-R4_MC07g08113	6505	6555
MvSl-1064-A2-R4_MC07g08379	1107	1001	MvSl-1064-A1-R4_MC07g08114	967	1081
MvSl-1064-A2-R4_MC07g08380	5594	5487	MvSl-1064-A1-R4_MC07g08115	5410	5172
MvSl-1064-A2-R4_MC07g08381	1976	1793	MvSl-1064-A1-R4_MC07g08116	1531	1679
MvSl-1064-A2-R4_MC07g08382	1122	1113	MvSl-1064-A1-R4_MC07g08117	687	962
MvSl-1064-A2-R4_MC07g08383	591	773	MvSl-1064-A1-R4_MC07g08118	787	766
MvSl-1064-A2-R4_MC07g08384	10998	7365	MvSl-1064-A1-R4_MC07g08119	5576	10819
MvSl-1064-A2-R4_MC07g08385	987	1023	MvSl-1064-A1-R4_MC07g08120	878	940
MvSl-1064-A2-R4_MC07g08386	780	1019	MvSl-1064-A1-R4_MC07g08121	681	505
