target_id	A2_1	A2_2
MvSl-1064-A2-R4_A2g00643	3471	3971
MvSl-1064-A2-R4_A2g00644	1624	1685
MvSl-1064-A2-R4_A2g00647	654	516
MvSl-1064-A2-R4_A2g00651	264	163
MvSl-1064-A2-R4_A2g00660	6	1
MvSl-1064-A2-R4_A2g00698	12815	11473
MvSl-1064-A2-R4_A2g00699	762	861
MvSl-1064-A2-R4_A2g00702	524.616	451.453
MvSl-1064-A2-R4_A2g00711	1564	1928
MvSl-1064-A2-R4_A2g00732	1118	1122
MvSl-1064-A2-R4_A2g00737	809	908
MvSl-1064-A2-R4_A2g00759	1399	1646
MvSl-1064-A2-R4_A2g00773	11548	15379
MvSl-1064-A2-R4_A2g00774	1409	1083
MvSl-1064-A2-R4_A2g00775	353	343
MvSl-1064-A2-R4_A2g00776	1686	1768
MvSl-1064-A2-R4_A2g00791	129.945	109.527
MvSl-1064-A2-R4_A2g00797	1541	1418
MvSl-1064-A2-R4_A2g00799	1367	1741
MvSl-1064-A2-R4_A2g00818	350	369
MvSl-1064-A2-R4_A2g00821	5	6
MvSl-1064-A2-R4_A2g00822	564	581
MvSl-1064-A2-R4_A2g00825	1265	1195
MvSl-1064-A2-R4_A2g00832	3097	3627
MvSl-1064-A2-R4_A2g00833	2982	3347
MvSl-1064-A2-R4_A2g00834	3429	3653
MvSl-1064-A2-R4_A2g00835	1025	1167
MvSl-1064-A2-R4_A2g00836	170	243
MvSl-1064-A2-R4_A2g00837	644	596
MvSl-1064-A2-R4_A2g00841	108	119
MvSl-1064-A2-R4_A2g00858	2038	1948
MvSl-1064-A2-R4_A2g00864	1317	1311
MvSl-1064-A2-R4_A2g00865	3514	3882
MvSl-1064-A2-R4_A2g00866	1549	1226
MvSl-1064-A2-R4_A2g00867	1614	1556
MvSl-1064-A2-R4_A2g00868	3168	2792
MvSl-1064-A2-R4_A2g00869	1098	1200
MvSl-1064-A2-R4_A2g00886	2992	2883
MvSl-1064-A2-R4_A2g00887	0	0
MvSl-1064-A2-R4_A2g00889	1	7
MvSl-1064-A2-R4_A2g00894	3074.63	2421.39
MvSl-1064-A2-R4_A2g00902	873	903
MvSl-1064-A2-R4_A2g00904	41	69
MvSl-1064-A2-R4_A2g00914	1243	1075
MvSl-1064-A2-R4_A2g00915	5990	5396
MvSl-1064-A2-R4_A2g00923	1444	1952
MvSl-1064-A2-R4_A2g00924	190	189
MvSl-1064-A2-R4_A2g00925	1	5
MvSl-1064-A2-R4_A2g00954	67	37
MvSl-1064-A2-R4_A2g00957	3154	3485
MvSl-1064-A2-R4_A2g00961	1	0
MvSl-1064-A2-R4_A2g00968	791	1000
MvSl-1064-A2-R4_A2g00969	2481	1616
MvSl-1064-A2-R4_A2g00970	579	824
MvSl-1064-A2-R4_A2g00975	3534.42	3823.32
MvSl-1064-A2-R4_A2g00976	3415	3195
MvSl-1064-A2-R4_A2g00977	3197.44	2876.92
MvSl-1064-A2-R4_A2g00991	7092	7851
MvSl-1064-A2-R4_A2g00993	831	713
MvSl-1064-A2-R4_A2g00994	2396	2822
MvSl-1064-A2-R4_A2g00995	78785	57733
MvSl-1064-A2-R4_A2g01002	453	369
MvSl-1064-A2-R4_A2g01020	5139.88	3566.72
MvSl-1064-A2-R4_A2g01032	0	0
MvSl-1064-A2-R4_A2g01038	1494	1218
MvSl-1064-A2-R4_A2g01042	1131.27	1234.94
MvSl-1064-A2-R4_A2g01083	2622	4024
MvSl-1064-A2-R4_A2g01110	2117	1941
MvSl-1064-A2-R4_A2g01111	4075	4148
MvSl-1064-A2-R4_A2g01112	1397	1436
MvSl-1064-A2-R4_A2g01135	2354	2746
MvSl-1064-A2-R4_A2g01139	400.459	484.825
MvSl-1064-A2-R4_A2g01151	1735	1664
MvSl-1064-A2-R4_A2g01152	777	890
MvSl-1064-A2-R4_A2g01153	222	195
MvSl-1064-A2-R4_A2g01154	530	705
MvSl-1064-A2-R4_A2g01186	749	890
MvSl-1064-A2-R4_A2g01187	1904	2153
MvSl-1064-A2-R4_A2g01189	4268	3011
MvSl-1064-A2-R4_A2g01198	1116	1113
MvSl-1064-A2-R4_A2g01227	1520	1869
MvSl-1064-A2-R4_A2g01247	187.742	163.018
MvSl-1064-A2-R4_A2g01249	656	613
MvSl-1064-A2-R4_A2g01252	3889	2265
MvSl-1064-A2-R4_A2g01265	2240	2370
MvSl-1064-A2-R4_A2g01266	255	270
MvSl-1064-A2-R4_A2g01267	988	503
MvSl-1064-A2-R4_A2g01268	634	695
MvSl-1064-A2-R4_A2g01269	1376	1158
MvSl-1064-A2-R4_A2g01275	2276	2375
MvSl-1064-A2-R4_A2g01276	728	790
MvSl-1064-A2-R4_A2g01277	1111	1167
MvSl-1064-A2-R4_A2g01279	2650	2200
MvSl-1064-A2-R4_A2g01287	3417	3338
MvSl-1064-A2-R4_A2g01289	720	728
MvSl-1064-A2-R4_A2g01311	11.4107	12.324
MvSl-1064-A2-R4_A2g01312	304.902	234.802
MvSl-1064-A2-R4_A2g01322	1952	1930
MvSl-1064-A2-R4_A2g01323	36152	34759
MvSl-1064-A2-R4_A2g01387	19162	32596
MvSl-1064-A2-R4_A2g01388	6680	7014
MvSl-1064-A2-R4_A2g01392	796	767
MvSl-1064-A2-R4_A2g01393	603	545
MvSl-1064-A2-R4_A2g01394	3163	4419
MvSl-1064-A2-R4_A2g01395	11313	16447
MvSl-1064-A2-R4_A2g01419	5189	3149
MvSl-1064-A2-R4_A2g01431	3372	2490
MvSl-1064-A2-R4_A2g01432	516	564
MvSl-1064-A2-R4_A2g01433	1935.54	2047.94
MvSl-1064-A2-R4_A2g01445	105.869	96.6213
MvSl-1064-A2-R4_A2g01447	1912	1544
MvSl-1064-A2-R4_A2g01455	968.989	845.003
MvSl-1064-A2-R4_A2g01497	2617	3305
MvSl-1064-A2-R4_A2g01504	5539	6137
MvSl-1064-A2-R4_A2g01505	9718	7558
MvSl-1064-A2-R4_A2g01506	1549	1795
MvSl-1064-A2-R4_A2g01511	2919	2642
MvSl-1064-A2-R4_A2g01512	903	1015
MvSl-1064-A2-R4_A2g01513	1072	1481
MvSl-1064-A2-R4_A2g01519	2860	4355
MvSl-1064-A2-R4_A2g01520	280	272
MvSl-1064-A2-R4_A2g01534	2702	3194
MvSl-1064-A2-R4_A2g01535	1477	1523
MvSl-1064-A2-R4_A2g01554	2.43619	1.01774
MvSl-1064-A2-R4_A2g01555	3765	3460
MvSl-1064-A2-R4_A2g01556	3723	3993
MvSl-1064-A2-R4_A2g01557	1282	1394
MvSl-1064-A2-R4_A2g01558	23432	26928
MvSl-1064-A2-R4_A2g01564	350	408
MvSl-1064-A2-R4_A2g01566	217	217
MvSl-1064-A2-R4_A2g01572	614	532
MvSl-1064-A2-R4_A2g01577	251	111
MvSl-1064-A2-R4_A2g01578	3788	3641
MvSl-1064-A2-R4_A2g01579	561	509
MvSl-1064-A2-R4_A2g01608	784	996
MvSl-1064-A2-R4_A2g01609	1785	2459
MvSl-1064-A2-R4_A2g01610	806	922
MvSl-1064-A2-R4_A2g01638	128	207
MvSl-1064-A2-R4_A2g01642	903	748
MvSl-1064-A2-R4_A2g01653	2460.42	2879.4
MvSl-1064-A2-R4_A2g01664	662	717
MvSl-1064-A2-R4_A2g01687	101.263	53.0506
MvSl-1064-A2-R4_A2g01692	1146.22	1084.63
MvSl-1064-A2-R4_A2g01693	2653	2478
MvSl-1064-A2-R4_A2g01700	215	228
MvSl-1064-A2-R4_A2g01715	746	781
MvSl-1064-A2-R4_A2g01736	2279	2570
MvSl-1064-A2-R4_A2g01747	3781	3818
MvSl-1064-A2-R4_A2g01753	2684	2763
MvSl-1064-A2-R4_A2g01754	1599	1629
MvSl-1064-A2-R4_A2g01757	51876	54036
MvSl-1064-A2-R4_A2g01758	4054	3702
MvSl-1064-A2-R4_A2g01759	986	866
MvSl-1064-A2-R4_A2g01760	1720	1347
MvSl-1064-A2-R4_A2g01763	746	520
MvSl-1064-A2-R4_A2g01764	853	973
MvSl-1064-A2-R4_A2g01766	5942	6686
MvSl-1064-A2-R4_A2g01771	2272	2236
MvSl-1064-A2-R4_A2g01772	59.5148	55.076
MvSl-1064-A2-R4_A2g01773	2648	2974
MvSl-1064-A2-R4_A2g01774	1708	1652
MvSl-1064-A2-R4_A2g01775	3243	3759
MvSl-1064-A2-R4_A2g01776	2	1
MvSl-1064-A2-R4_A2g01777	1	1
MvSl-1064-A2-R4_A2g01778	174	109
MvSl-1064-A2-R4_A2g01780	1069	1116
MvSl-1064-A2-R4_A2g01781	1252	1160
MvSl-1064-A2-R4_A2g01782	28	25
MvSl-1064-A2-R4_A2g01783	857	1181
MvSl-1064-A2-R4_A2g01784	2224	2284
MvSl-1064-A2-R4_A2g01785	1120	1258
MvSl-1064-A2-R4_A2g01786	4732	5982
MvSl-1064-A2-R4_A2g01787	53	35
MvSl-1064-A2-R4_A2g01788	35	27
MvSl-1064-A2-R4_A2g01789	538	463
MvSl-1064-A2-R4_A2g01790	2668	3060
MvSl-1064-A2-R4_A2g01791	19	18
MvSl-1064-A2-R4_A2g01794	111	107
MvSl-1064-A2-R4_A2g01795	71.4852	76.924
MvSl-1064-A2-R4_A2g01797	39	35
MvSl-1064-A2-R4_A2g01798	2228	2490
MvSl-1064-A2-R4_A2g01799	1909	1507
MvSl-1064-A2-R4_A2g01800	10316	13418
MvSl-1064-A2-R4_A2g01801	19686	19715
MvSl-1064-A2-R4_A2g01802	1379	1616
MvSl-1064-A2-R4_A2g01803	0	0
MvSl-1064-A2-R4_A2g01804	0	1
MvSl-1064-A2-R4_A2g01805	0	0
MvSl-1064-A2-R4_A2g01806	9	1
MvSl-1064-A2-R4_A2g01807	2698	1967
MvSl-1064-A2-R4_A2g01808	1214.81	827.944
MvSl-1064-A2-R4_A2g01809	142	101
MvSl-1064-A2-R4_A2g01810	914	948
MvSl-1064-A2-R4_A2g01811	668	773
MvSl-1064-A2-R4_A2g01813	5359	4941
MvSl-1064-A2-R4_A2g01814	1590	1806
MvSl-1064-A2-R4_A2g01815	2696	2321
MvSl-1064-A2-R4_A2g01818	167.596	145.919
MvSl-1064-A2-R4_A2g01820	0	3
MvSl-1064-A2-R4_A2g01821	3798	3807
MvSl-1064-A2-R4_A2g01822	1436	1353
MvSl-1064-A2-R4_A2g01825	32.9224	12.5176
MvSl-1064-A2-R4_A2g01827	1194.43	956.647
MvSl-1064-A2-R4_A2g01829	60	57
MvSl-1064-A2-R4_C22g01840	273.786	220
MvSl-1064-A2-R4_C22g01844	0	0.00982508
MvSl-1064-A2-R4_C22g01845	3.7298	7.72953
MvSl-1064-A2-R4_C22g01846	3.31132	3.9583
MvSl-1064-A2-R4_C22g01854	2.7137	0.00382764
MvSl-1064-A2-R4_C25g01885	390.981	195.661
MvSl-1064-A2-R4_C25g01886	1402	1002.03
MvSl-1064-A2-R4_C28g01906	0	0
MvSl-1064-A2-R4_C28g01908	284.159	221.292
MvSl-1064-A2-R4_C28g01910	51.8982	48.202
MvSl-1064-A2-R4_C30g01930	756.18	695.046
MvSl-1064-A2-R4_C30g01931	26.1385	49.0701
MvSl-1064-A2-R4_MC01g01978	64.6961	43.489
MvSl-1064-A2-R4_MC01g01979	26	26
MvSl-1064-A2-R4_MC01g01980	572.33	555.898
MvSl-1064-A2-R4_MC01g01981	11	2
MvSl-1064-A2-R4_MC01g01982	4672	4503
MvSl-1064-A2-R4_MC01g01984	680.675	657.434
MvSl-1064-A2-R4_MC01g01986	408.931	412.593
MvSl-1064-A2-R4_MC01g01988	735.92	1038.73
MvSl-1064-A2-R4_MC01g01990	1057	1237
MvSl-1064-A2-R4_MC01g01991	317	459
MvSl-1064-A2-R4_MC01g01992	3443	3127
MvSl-1064-A2-R4_MC01g01993	2660	2769
MvSl-1064-A2-R4_MC01g01994	363	306
MvSl-1064-A2-R4_MC01g01995	0	0
MvSl-1064-A2-R4_MC01g01996	60.9462	51.5099
MvSl-1064-A2-R4_MC01g01997	504.352	432.469
MvSl-1064-A2-R4_MC01g01998	960.251	780.384
MvSl-1064-A2-R4_MC01g02000	67.3624	57.1371
MvSl-1064-A2-R4_MC01g02001	2447.43	2166.39
MvSl-1064-A2-R4_MC01g02002	12.7805	7.48594
MvSl-1064-A2-R4_MC01g02003	80.4772	70.0549
MvSl-1064-A2-R4_MC01g02006	946	1098
MvSl-1064-A2-R4_MC01g02007	2318	2388
MvSl-1064-A2-R4_MC01g02008	507.04	485.888
MvSl-1064-A2-R4_MC01g02009	3017.72	3514.54
MvSl-1064-A2-R4_MC01g02010	600	424
MvSl-1064-A2-R4_MC01g02011	588	555
MvSl-1064-A2-R4_MC01g02012	34039	31296
MvSl-1064-A2-R4_MC01g02013	8	4
MvSl-1064-A2-R4_MC01g02014	1	1
MvSl-1064-A2-R4_MC01g02015	396	341
MvSl-1064-A2-R4_MC01g02016	66	85
MvSl-1064-A2-R4_MC01g02018	9.04052	10.0608
MvSl-1064-A2-R4_MC01g02019	161.33	147.551
MvSl-1064-A2-R4_MC01g02021	336	309
MvSl-1064-A2-R4_MC01g02022	1553.08	1410
MvSl-1064-A2-R4_MC01g02023	3566.12	3426.76
MvSl-1064-A2-R4_MC01g02024	1487	1815
MvSl-1064-A2-R4_MC01g02025	4934	5138
MvSl-1064-A2-R4_MC01g02026	31	47
MvSl-1064-A2-R4_MC01g02027	86.0346	39.789
MvSl-1064-A2-R4_MC01g02028	0	0
MvSl-1064-A2-R4_MC01g02029	658	737
MvSl-1064-A2-R4_MC01g02030	145.448	63.0664
MvSl-1064-A2-R4_MC01g02031	655.276	509.331
MvSl-1064-A2-R4_MC01g02032	4575	3974
MvSl-1064-A2-R4_MC01g02033	163	183
MvSl-1064-A2-R4_MC01g02034	535	547
MvSl-1064-A2-R4_MC01g02035	714	755
MvSl-1064-A2-R4_MC01g02036	1927	1949
MvSl-1064-A2-R4_MC01g02037	689	824
MvSl-1064-A2-R4_MC01g02038	29.7088	24.5172
MvSl-1064-A2-R4_MC01g02039	188.885	151.078
MvSl-1064-A2-R4_MC01g02040	7.07187	1.02917
MvSl-1064-A2-R4_MC01g02041	1125.29	1230.48
MvSl-1064-A2-R4_MC01g02046	199.637	177.308
MvSl-1064-A2-R4_MC01g02047	1497	1709
MvSl-1064-A2-R4_MC01g02048	1479	1430
MvSl-1064-A2-R4_MC01g02049	3485	3877
MvSl-1064-A2-R4_MC01g02050	1702	1481
MvSl-1064-A2-R4_MC01g02051	2978	3177
MvSl-1064-A2-R4_MC01g02052	3072	3052
MvSl-1064-A2-R4_MC01g02053	2	2
MvSl-1064-A2-R4_MC01g02054	19	9
MvSl-1064-A2-R4_MC01g02055	17	9
MvSl-1064-A2-R4_MC01g02056	1718.69	1556.37
MvSl-1064-A2-R4_MC01g02057	13.5208	8.22355
MvSl-1064-A2-R4_MC01g02058	77.4389	80.4238
MvSl-1064-A2-R4_MC01g02059	21	9
MvSl-1064-A2-R4_MC01g02060	272	200
MvSl-1064-A2-R4_MC01g02061	1070	1146
MvSl-1064-A2-R4_MC01g02063	1575.42	1560.25
MvSl-1064-A2-R4_MC01g02064	188.937	146.613
