gida2	gidmvsd	dnds	dn	ds
MvSl-1064-A2-R4_MC11g10595	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04317	0.8605	0.0083	0.0097
MvSl-1064-A2-R4_MC13g11648	MvSdioicae-1303-FR02-T-N202-PbcR_C012g08161	0.0442	0.0024	0.0537
MvSl-1064-A2-R4_MC04-1g06037	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06777	98.9996	0.003	0
MvSl-1064-A2-R4_MC01g02534	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00595	0.0987	0.0022	0.0218
MvSl-1064-A2-R4_MC09g09641	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03637	0.8255	0.0047	0.0056
MvSl-1064-A2-R4_MC05g06774	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05470	0.001	0	0.0081
MvSl-1064-A2-R4_MC04-1g06196	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10022	0.001	0	0.009
MvSl-1064-A2-R4_MC01g02033	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00057	0.4074	0	0
MvSl-1064-A2-R4_MC04-1g05818	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06555	98.9996	0	0
MvSl-1064-A2-R4_MC04-1g05730	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06462	0.1152	0.0013	0.0111
MvSl-1064-A2-R4_MC08-1g08532	MvSdioicae-1303-FR02-T-N202-PbcR_C010g06861	0.337	0.0032	0.0094
MvSl-1064-A2-R4_A2g00047	MvSdioicae-1303-FR02-T-N202-PbcR_C024g11421	2.3413	0.0093	0.004
MvSl-1064-A2-R4_MC04-1g05989	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06732	0.11	0.0016	0.0148
MvSl-1064-A2-R4_MC03g05326	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02046	0.2468	0.0036	0.0148
MvSl-1064-A2-R4_MC07g08320	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10482	0.2604	0.0053	0.0202
MvSl-1064-A2-R4_MC09g09695	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03692	1.251	0.0048	0.0039
MvSl-1064-A2-R4_MC03g05134	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01910	0.228	0.0008	0.0034
MvSl-1064-A2-R4_MC09g09826	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03830	0.144	0.0025	0.0171
MvSl-1064-A2-R4_MC12g11425	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06146	0.001	0	0.0128
MvSl-1064-A2-R4_MC09g09677	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03674	0.9659	0.0058	0.006
MvSl-1064-A2-R4_MC04-1g05888	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06629	1.0549	0.003	0.0029
MvSl-1064-A2-R4_MC04-1g06067	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06805	0.7351	0.0041	0.0056
MvSl-1064-A2-R4_MC02g03972	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02824	0.3088	0.0027	0.0088
MvSl-1064-A2-R4_MC10g09957	MvSdioicae-1303-FR02-T-N202-PbcR_C016g09466	1.0422	0.0018	0.0017
MvSl-1064-A2-R4_MC04-1g05904	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06646	0.001	0	0.0062
MvSl-1064-A2-R4_MC04-1g05751	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06488	0.4038	0.0032	0.0078
MvSl-1064-A2-R4_MC09g09620	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03618	0.4762	0.0045	0.0093
MvSl-1064-A2-R4_MC06-2g07592	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10366	0.2748	0.0027	0.0098
MvSl-1064-A2-R4_MC07g07828	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08697	0.3869	0	0
MvSl-1064-A2-R4_MC17g12477	MvSdioicae-1303-FR02-T-N202-PbcR_C030g12448	0.2442	0.0027	0.0112
MvSl-1064-A2-R4_MC01g02799	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00849	0.001	0	0.0053
MvSl-1064-A2-R4_MC01g02754	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00801	0.1383	0.002	0.0143
MvSl-1064-A2-R4_MC12g11215	MvSdioicae-1303-FR02-T-N202-PbcR_C008g05934	0.001	0	0.0038
MvSl-1064-A2-R4_MC04-1g06018	MvSdioicae-1303-FR02-T-N202-PbcR_C015g09250	0.4665	0.0673	0.1443
MvSl-1064-A2-R4_A2g01038	MvSdioicae-1303-FR02-T-N202-PbcR_C026g11748	0.5245	0.0063	0.0121
MvSl-1064-A2-R4_MC09g09707	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03704	0.5214	0.0031	0.0059
MvSl-1064-A2-R4_MC04-1g06028	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06770	1.2492	0.0085	0.0068
MvSl-1064-A2-R4_MC09g09772	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03776	0.5188	0.0034	0.0066
MvSl-1064-A2-R4_MC03g05103	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01885	0.5045	0.0026	0.0052
MvSl-1064-A2-R4_MC09g09504	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03514	0.4207	0.0017	0.0039
MvSl-1064-A2-R4_MC04-2g06371	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10188	98.9996	0.0053	0.0001
MvSl-1064-A2-R4_MC02g04329	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03165	0.4435	0.0033	0.0074
MvSl-1064-A2-R4_A2g01002	MvSdioicae-1303-FR02-T-N202-PbcR_C015g09281	2.7788	0.0068	0.0024
MvSl-1064-A2-R4_MC04-1g06058	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06795	0.3961	0.004	0.0102
MvSl-1064-A2-R4_MC02g04349	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03185	0.4016	0.0053	0.0131
MvSl-1064-A2-R4_MC09g09209	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03226	0.1294	0.0009	0.0068
MvSl-1064-A2-R4_MC12g11151	MvSdioicae-1303-FR02-T-N202-PbcR_C008g05866	0.001	0	0.0047
MvSl-1064-A2-R4_MC09g09527	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03529	0.4655	0.0041	0.0088
MvSl-1064-A2-R4_MC04-1g06006	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06750	0.4138	0.009	0.0217
MvSl-1064-A2-R4_MC04-1g06220	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10046	0.4553	0	0
MvSl-1064-A2-R4_MC07g08068	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08952	1.3051	0.0058	0.0045
MvSl-1064-A2-R4_MC12g11387	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06108	0.8636	0.0048	0.0056
MvSl-1064-A2-R4_MC04-1g06078	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06816	0.4691	0.004	0.0085
MvSl-1064-A2-R4_MC04-1g05958	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06701	0.1076	0.0009	0.008
MvSl-1064-A2-R4_MC06-2g07565	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10337	0.001	0	0
MvSl-1064-A2-R4_MC07g08073	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08957	0.1635	0.0021	0.0126
MvSl-1064-A2-R4_MC03g04970	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01748	0.4141	0.0051	0.0123
MvSl-1064-A2-R4_A2g00053	MvSdioicae-1303-FR02-T-N202-PbcR_C024g11415	0.9899	0.0105	0.0106
MvSl-1064-A2-R4_MC07g07893	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08760	0.001	0	0.0054
MvSl-1064-A2-R4_A2g00208	MvSdioicae-1303-FR02-T-N202-PbcR_C006g04659	0.7101	0.0109	0.0154
MvSl-1064-A2-R4_MC11g10627	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04281	0.001	0	0.0053
MvSl-1064-A2-R4_MC12g11069	MvSdioicae-1303-FR02-T-N202-PbcR_C008g05782	0.3093	0.0031	0.0099
MvSl-1064-A2-R4_A2g00886	MvSdioicae-1303-FR02-T-N202-PbcR_C006g05054	0.9605	0.004	0.0042
MvSl-1064-A2-R4_MC04-1g05999	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06742	0.5823	0.006	0.0103
MvSl-1064-A2-R4_A2g00056	MvSdioicae-1303-FR02-T-N202-PbcR_C024g11412	0.0892	0.0007	0.0083
MvSl-1064-A2-R4_MC05g06902	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05342	0.166	0.0023	0.014
MvSl-1064-A2-R4_MC14g12175	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07559	98.9996	0.01	0.0001
MvSl-1064-A2-R4_MC06-1g07200	MvSdioicae-1303-FR02-T-N202-PbcR_C030g12371	1.0102	0.0079	0.0079
MvSl-1064-A2-R4_A2g01557	MvSdioicae-1303-FR02-T-N202-PbcR_C006g04889	0.4562	0.0246	0.054
MvSl-1064-A2-R4_MC09g09770	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03774	0.4527	0.0026	0.0058
MvSl-1064-A2-R4_MC04-1g05718	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06449	0.119	0.0016	0.0132
MvSl-1064-A2-R4_MC06-2g07564	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10336	0.001	0	0.0109
MvSl-1064-A2-R4_MC09g09683	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03680	0.4338	0.0039	0.009
MvSl-1064-A2-R4_MC09g09658	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03654	0.4093	0.0044	0.0107
MvSl-1064-A2-R4_MC04-1g06200	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10026	0.5865	0.0022	0.0037
MvSl-1064-A2-R4_MC09g09776	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03780	0.2344	0.0016	0.0068
MvSl-1064-A2-R4_MC03g04715	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01481	0.2159	0.0011	0.005
MvSl-1064-A2-R4_MC09g09824	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03828	3.0756	0.0071	0.0023
MvSl-1064-A2-R4_MC17g12474	MvSdioicae-1303-FR02-T-N202-PbcR_C030g12451	0.001	0	0.0084
MvSl-1064-A2-R4_MC09g09545	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03547	0.5327	0.0041	0.0077
MvSl-1064-A2-R4_MC04-2g06287	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10109	69.3103	0.0067	0.0001
MvSl-1064-A2-R4_MC05g06965	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05279	0.6702	0.0071	0.0106
MvSl-1064-A2-R4_A2g00055	MvSdioicae-1303-FR02-T-N202-PbcR_C024g11413	1.9234	0.0102	0.0053
MvSl-1064-A2-R4_MC04-1g05731	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06463	0.1241	0.0018	0.0146
MvSl-1064-A2-R4_MC02g04340	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03176	1.4147	0.0054	0.0038
MvSl-1064-A2-R4_MC01g03319	MvSdioicae-1303-FR02-T-N202-PbcR_C023g11237	0.1116	0.0006	0.0053
MvSl-1064-A2-R4_MC04-1g06043	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06782	1.0903	0.0095	0.0088
MvSl-1064-A2-R4_MC04-1g06044	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06783	0.4444	0	0
MvSl-1064-A2-R4_MC04-1g05964	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06707	0.2707	0.0092	0.0339
MvSl-1064-A2-R4_MC11g10810	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04103	0.3507	0.0039	0.0112
MvSl-1064-A2-R4_MC04-2g06370	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10187	1.3094	0.0056	0.0043
MvSl-1064-A2-R4_MC02g03824	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02673	0.6089	0.0029	0.0047
MvSl-1064-A2-R4_MC03g04771	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01546	0.1586	0.0026	0.0162
MvSl-1064-A2-R4_MC09g09252	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03276	0.922	0.0059	0.0064
MvSl-1064-A2-R4_MC04-1g06017	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06761	0.8399	0.0051	0.0061
MvSl-1064-A2-R4_MC12g11531	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06250	0.001	0	0.0061
MvSl-1064-A2-R4_MC04-1g05842	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06579	0.8468	0.0049	0.0058
MvSl-1064-A2-R4_MC02g03482	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02324	0.4581	0.0043	0.0094
MvSl-1064-A2-R4_MC04-1g06050	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06788	0.5188	0.0021	0.004
MvSl-1064-A2-R4_MC10g10036	MvSdioicae-1303-FR02-T-N202-PbcR_C016g09543	0.0031	0	0
MvSl-1064-A2-R4_MC04-1g05881	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06619	1.1423	0.0067	0.0059
MvSl-1064-A2-R4_MC09g09709	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03706	0.001	0	0.0129
MvSl-1064-A2-R4_MC09g09237	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03257	0.09	0.0008	0.0089
MvSl-1064-A2-R4_MC09g09694	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03691	0.7412	0.006	0.0081
MvSl-1064-A2-R4_MC09g09745	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03742	0.3885	0.0038	0.0099
MvSl-1064-A2-R4_MC09g09783	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03789	0.2946	0.0021	0.007
MvSl-1064-A2-R4_MC04-2g06274	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10095	0.001	0	0
MvSl-1064-A2-R4_MC11g10558	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04353	1.1731	0.0044	0.0038
MvSl-1064-A2-R4_MC09g09671	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03667	1.4386	0.0065	0.0045
MvSl-1064-A2-R4_MC04-1g06061	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06799	1.1949	0.0044	0.0037
MvSl-1064-A2-R4_MC09g09451	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03464	0.4374	0.0056	0.0127
MvSl-1064-A2-R4_A2g00065	MvSdioicae-1303-FR02-T-N202-PbcR_C024g11403	0.5556	0.0038	0.0068
MvSl-1064-A2-R4_MC10g10022	MvSdioicae-1303-FR02-T-N202-PbcR_C016g09531	0.0633	0.0013	0.0209
MvSl-1064-A2-R4_MC03g05148	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01917	0.2678	0.0011	0.0042
MvSl-1064-A2-R4_MC04-1g06114	MvSdioicae-1303-FR02-T-N202-PbcR_C018g09939	0.6064	0.0029	0.0048
MvSl-1064-A2-R4_MC04-1g05957	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06700	0.3428	0.0031	0.009
MvSl-1064-A2-R4_MC12g11150	MvSdioicae-1303-FR02-T-N202-PbcR_C008g05865	0.2398	0.0016	0.0069
MvSl-1064-A2-R4_MC09g09595	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03597	0.9712	0.0085	0.0088
MvSl-1064-A2-R4_MC01g02199	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00215	0.3815	0.0028	0.0075
MvSl-1064-A2-R4_MC04-1g05987	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06730	0.001	0	0.0141
MvSl-1064-A2-R4_MC01g02885	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00935	0.2442	0.003	0.0121
MvSl-1064-A2-R4_MC01g02627	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00686	98.9996	0.0058	0.0001
MvSl-1064-A2-R4_MC09g09496	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03506	0.123	0.002	0.0166
MvSl-1064-A2-R4_MC04-1g06113	MvSdioicae-1303-FR02-T-N202-PbcR_C018g09938	0.624	0.0029	0.0047
MvSl-1064-A2-R4_MC04-1g05911	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06653	0.1857	0.0034	0.018
MvSl-1064-A2-R4_MC07g08157	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11872	0.001	0	0.0141
MvSl-1064-A2-R4_MC04-2g06272	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10093	0.1152	0.0008	0.0072
MvSl-1064-A2-R4_MC08-1g08878	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07215	0.395	0.0043	0.0108
MvSl-1064-A2-R4_MC12g11499	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06217	0.1968	0.0025	0.0126
MvSl-1064-A2-R4_MC04-1g06199	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10025	0.001	0	0.0061
MvSl-1064-A2-R4_MC14g12097	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07479	0.001	0	0.0082
MvSl-1064-A2-R4_MC09g09502	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03512	98.9996	0.003	0
MvSl-1064-A2-R4_MC04-2g06313	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10138	0.1625	0.0014	0.0089
MvSl-1064-A2-R4_MC14g12154	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07536	0.4211	0.0041	0.0097
MvSl-1064-A2-R4_MC04-1g05758	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06495	0.341	0.0027	0.0079
MvSl-1064-A2-R4_A2g01764	MvSdioicae-1303-FR02-T-N202-PbcR_C031g12536	0.3202	0.0032	0.01
MvSl-1064-A2-R4_MC06-2g07422	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10728	0.4521	0.0073	0.0161
MvSl-1064-A2-R4_MC13g11878	MvSdioicae-1303-FR02-T-N202-PbcR_C012g07920	0.3983	0.0033	0.0084
MvSl-1064-A2-R4_MC09g09600	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03602	1.4806	0.007	0.0047
MvSl-1064-A2-R4_MC04-2g06339	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10163	0.2938	0.0087	0.0295
MvSl-1064-A2-R4_MC04-1g05907	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06649	1.0827	0.0053	0.0049
MvSl-1064-A2-R4_MC09g09553	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03555	0.5526	0.0037	0.0067
MvSl-1064-A2-R4_MC06-1g07164	MvSdioicae-1303-FR02-T-N202-PbcR_C030g12407	0.8361	0.0063	0.0076
MvSl-1064-A2-R4_MC04-1g05975	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06718	0.14	0.0027	0.0195
MvSl-1064-A2-R4_MC07g07925	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08796	4.2689	0.0542	0.0127
MvSl-1064-A2-R4_MC11g10552	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04360	0.6837	0.0068	0.0099
MvSl-1064-A2-R4_MC13g11806	MvSdioicae-1303-FR02-T-N202-PbcR_C012g07984	0.4931	0.0038	0.0076
MvSl-1064-A2-R4_MC04-1g06234	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10061	0.3655	0.0017	0.0046
MvSl-1064-A2-R4_MC06-2g07423	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10727	0.4667	0.0035	0.0075
MvSl-1064-A2-R4_MC08-2g09156	MvSdioicae-1303-FR02-T-N202-PbcR_C029g12320	0.2731	0.0024	0.0086
MvSl-1064-A2-R4_MC15g12367	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07693	0.2565	0.0019	0.0075
MvSl-1064-A2-R4_MC09g09488	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03498	0.8136	0.0077	0.0094
MvSl-1064-A2-R4_MC07g08281	MvSdioicae-1303-FR02-T-N202-PbcR_C027g12002	1.556	0.0121	0.0078
MvSl-1064-A2-R4_MC06-1g07286	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10857	0.5207	0.0078	0.015
MvSl-1064-A2-R4_MC09g09630	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03628	0.2031	0.0016	0.0081
MvSl-1064-A2-R4_MC09g09662	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03658	0.183	0.003	0.0164
MvSl-1064-A2-R4_MC09g09372	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03385	0.7653	0.0049	0.0064
MvSl-1064-A2-R4_MC04-1g05826	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06561	0.395	0.0023	0.0059
MvSl-1064-A2-R4_MC01g03404	MvSdioicae-1303-FR02-T-N202-PbcR_C023g11156	0.2862	0.0023	0.008
MvSl-1064-A2-R4_MC06-1g07240	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10902	0.6713	0.0079	0.0117
MvSl-1064-A2-R4_MC03g05092	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01895	0.2889	0.0029	0.0099
MvSl-1064-A2-R4_MC11g10692	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04218	0.7006	0.0102	0.0146
MvSl-1064-A2-R4_MC05g07071	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05175	0.001	0	0.0224
MvSl-1064-A2-R4_MC04-2g06293	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10115	0.4332	0.0013	0.0029
MvSl-1064-A2-R4_MC06-1g07251	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10891	98.9996	0.0085	0.0001
MvSl-1064-A2-R4_MC04-1g05621	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06366	0.1844	0.0051	0.0276
MvSl-1064-A2-R4_MC04-1g05766	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06503	1.0431	0.002	0.0019
MvSl-1064-A2-R4_MC03g05199	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02014	0.4555	0.0028	0.0062
MvSl-1064-A2-R4_MC09g09497	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03507	0.3958	0.0036	0.0091
MvSl-1064-A2-R4_MC06-2g07532	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10305	0.91	0.0058	0.0064
MvSl-1064-A2-R4_MC04-1g06205	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10031	0.001	0	0.0053
MvSl-1064-A2-R4_MC13g11795	MvSdioicae-1303-FR02-T-N202-PbcR_C012g07996	0.001	0	0.0118
MvSl-1064-A2-R4_MC04-1g05855	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06593	0.9098	0.0037	0.004
MvSl-1064-A2-R4_MC09g09637	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03633	2.322	0.0123	0.0053
MvSl-1064-A2-R4_MC09g09775	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03779	0.786	0.0041	0.0052
MvSl-1064-A2-R4_MC04-1g05887	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06628	0.3657	0.002	0.0054
MvSl-1064-A2-R4_MC13g11799	MvSdioicae-1303-FR02-T-N202-PbcR_C012g07992	0.001	0	0.0136
MvSl-1064-A2-R4_MC04-1g05978	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06721	0.4456	0.0028	0.0062
MvSl-1064-A2-R4_MC06-2g07521	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10294	0.4059	0.0035	0.0087
MvSl-1064-A2-R4_MC02g04467	MvSdioicae-1303-FR02-T-N202-PbcR_C025g11579	0.7599	0.0035	0.0047
MvSl-1064-A2-R4_MC04-1g06160	MvSdioicae-1303-FR02-T-N202-PbcR_C018g09986	0.001	0	0.0237
MvSl-1064-A2-R4_A2g01519	MvSdioicae-1303-FR02-T-N202-PbcR_C006g04608	0.2207	0.0024	0.0108
MvSl-1064-A2-R4_MC09g09552	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03554	0.3343	0.0031	0.0093
MvSl-1064-A2-R4_MC05g06845	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05396	0.4611	0.0018	0.0039
MvSl-1064-A2-R4_A2g00179	MvSdioicae-1303-FR02-T-N202-PbcR_C013g08491	1.8464	0.0074	0.004
MvSl-1064-A2-R4_MC06-2g07421	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10729	0.001	0	0.018
MvSl-1064-A2-R4_MC04-1g05900	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06642	0.6094	0.0064	0.0105
MvSl-1064-A2-R4_MC09g09731	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03728	0.6801	0.0052	0.0077
MvSl-1064-A2-R4_MC04-2g06285	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10106	0.1288	0.0014	0.0108
MvSl-1064-A2-R4_MC05g06932	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05314	0.2751	0.0032	0.0116
MvSl-1064-A2-R4_MC04-1g05994	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06737	0.2555	0.0021	0.0082
MvSl-1064-A2-R4_MC07g07900	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08767	0.4224	0.0027	0.0064
MvSl-1064-A2-R4_MC04-1g06027	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06769	0.33	0.0026	0.0078
MvSl-1064-A2-R4_MC04-1g05934	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06676	0.5174	0.0043	0.0084
MvSl-1064-A2-R4_MC04-1g06198	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10024	0.1016	0.0012	0.0116
MvSl-1064-A2-R4_MC04-1g06049	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06787	1.5137	0	0
MvSl-1064-A2-R4_MC09g09714	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03711	1.1247	0.0042	0.0037
MvSl-1064-A2-R4_A2g00866	MvSdioicae-1303-FR02-T-N202-PbcR_C006g05068	0.6774	0.0043	0.0064
MvSl-1064-A2-R4_MC04-2g06330	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10154	2.1662	0.0044	0.002
MvSl-1064-A2-R4_MC04-1g05874	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06612	0.4774	0.0023	0.0048
MvSl-1064-A2-R4_MC11g10560	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04351	0.5236	0	0
MvSl-1064-A2-R4_MC01g01993	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00014	98.9996	0.0014	0
MvSl-1064-A2-R4_MC09g09787	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03793	0.5401	0.0036	0.0067
MvSl-1064-A2-R4_MC03g05101	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01887	0.3248	0.0033	0.0101
MvSl-1064-A2-R4_MC04-1g05729	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06461	0.1203	0.0014	0.012
MvSl-1064-A2-R4_A2g00643	MvSdioicae-1303-FR02-T-N202-PbcR_C006g04773	0.423	0.0061	0.0144
MvSl-1064-A2-R4_MC09g09215	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03232	0.001	0	0.0102
MvSl-1064-A2-R4_MC04-2g06338	MvSdioicae-1303-FR02-T-N202-PbcR_C018g10162	0.2799	0.0029	0.0105
MvSl-1064-A2-R4_MC13g11646	MvSdioicae-1303-FR02-T-N202-PbcR_C012g08163	1.4289	0.0099	0.0069
