gida2	gidmvsd	dnds	dn	ds
MvSl-1064-A2-R4_MC16g12428	MvSdioicae-1303-FR02-T-N202-PbcR_C033g12652	0.7854	0.0021	0.0027
MvSl-1064-A2-R4_MC06-2g07314	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10832	1.2262	0.0062	0.005
MvSl-1064-A2-R4_MC09g09298	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03308	0.3748	0.0041	0.011
MvSl-1064-A2-R4_MC03g05002	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01780	0.2933	0.0024	0.0083
MvSl-1064-A2-R4_MC03g04583	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01343	0.1244	0.0039	0.0314
MvSl-1064-A2-R4_MC14g12206	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07590	98.9996	0.0053	0.0001
MvSl-1064-A2-R4_MC08-2g09079	MvSdioicae-1303-FR02-T-N202-PbcR_C029g12256	0.6605	0.0069	0.0104
MvSl-1064-A2-R4_A2g00368	MvSdioicae-1303-FR02-T-N202-PbcR_C006g04829	0.8004	0.0041	0.0051
MvSl-1064-A2-R4_MC03g05047	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01826	1.9918	0.0091	0.0046
MvSl-1064-A2-R4_MC08-2g09132	MvSdioicae-1303-FR02-T-N202-PbcR_C029g12296	0.257	0.0028	0.0109
MvSl-1064-A2-R4_MC07g08379	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10544	0.1571	0.0013	0.008
MvSl-1064-A2-R4_MC04-1g05841	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06578	0.001	0	0.0045
MvSl-1064-A2-R4_MC02g03551	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02393	0.3903	0.0022	0.0056
MvSl-1064-A2-R4_MC06-2g07628	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10408	0.5189	0	0
MvSl-1064-A2-R4_MC04-1g05575	MvSdioicae-1303-FR02-T-N202-PbcR_C009g06319	0.4024	0.0054	0.0135
MvSl-1064-A2-R4_MC07g08268	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11987	0.5496	0.0025	0.0046
MvSl-1064-A2-R4_MC05g06874	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05371	0.2986	0.0046	0.0153
MvSl-1064-A2-R4_MC06-1g07258	MvSdioicae-1303-FR02-T-N202-PbcR_C021g10884	0.6879	0.0041	0.006
MvSl-1064-A2-R4_MC01g02938	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00989	0.001	0	0
MvSl-1064-A2-R4_MC01g02324	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00326	0.001	0	0.0127
MvSl-1064-A2-R4_MC01g02656	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00714	0.262	0.0055	0.0211
MvSl-1064-A2-R4_MC06-2g07651	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10431	0.3429	0.0035	0.0103
MvSl-1064-A2-R4_MC07g08021	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08898	0.1334	0.0007	0.0053
MvSl-1064-A2-R4_MC11g10846	MvSdioicae-1303-FR02-T-N202-PbcR_C005g04076	0.2567	0.0017	0.0065
MvSl-1064-A2-R4_MC03g04589	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01351	0.5697	0.0061	0.0107
MvSl-1064-A2-R4_MC05g07021	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05225	0.0953	0.0008	0.008
MvSl-1064-A2-R4_MC12g11359	MvSdioicae-1303-FR02-T-N202-PbcR_C008g06078	0.8342	0.0106	0.0127
MvSl-1064-A2-R4_MC08-1g08686	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07014	0.3822	0.0038	0.0099
MvSl-1064-A2-R4_MC02g03839	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02689	1.1563	0.0045	0.0039
MvSl-1064-A2-R4_MC06-1g07221	MvSdioicae-1303-FR02-T-N202-PbcR_C030g12350	0.4682	0	0
MvSl-1064-A2-R4_MC15g12376	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07683	0.4559	0.0019	0.0041
MvSl-1064-A2-R4_MC07g08375	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10540	0.733	0.0053	0.0073
MvSl-1064-A2-R4_MC02g03587	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02425	0.0865	0.0007	0.0081
MvSl-1064-A2-R4_MC08-1g08874	MvSdioicae-1303-FR02-T-N202-PbcR_C010g07211	1.0465	0.0052	0.0049
MvSl-1064-A2-R4_MC03g05284	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02127	0.4075	0.0045	0.0111
MvSl-1064-A2-R4_MC01g03104	MvSdioicae-1303-FR02-T-N202-PbcR_C001g01281	0.1149	0.0016	0.0138
MvSl-1064-A2-R4_MC06-2g07605	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10380	0.5271	0.0015	0.0029
MvSl-1064-A2-R4_MC01g02235	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00252	0.8104	0.0055	0.0067
MvSl-1064-A2-R4_A2g00195	MvSdioicae-1303-FR02-T-N202-PbcR_C015g09176	1.1921	0.0048	0.0041
MvSl-1064-A2-R4_MC14g12136	MvSdioicae-1303-FR02-T-N202-PbcR_C011g07521	0.8254	0.0026	0.0032
MvSl-1064-A2-R4_MC02g03963	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02815	0.2137	0.0015	0.0069
MvSl-1064-A2-R4_MC02g04367	MvSdioicae-1303-FR02-T-N202-PbcR_C025g11480	0.1166	0.002	0.0168
MvSl-1064-A2-R4_MC05g06802	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05440	0.3229	0.0015	0.0045
MvSl-1064-A2-R4_MC02g04257	MvSdioicae-1303-FR02-T-N202-PbcR_C003g03091	0.1628	0.0021	0.0129
MvSl-1064-A2-R4_MC05g06631	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05630	0.5047	0.0027	0.0053
MvSl-1064-A2-R4_MC02g04039	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02890	0.1095	0.0019	0.0178
MvSl-1064-A2-R4_MC10g10251	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09771	0.0669	0.0007	0.0111
MvSl-1064-A2-R4_MC01g03031	MvSdioicae-1303-FR02-T-N202-PbcR_C001g01084	0.0796	0.0014	0.0174
MvSl-1064-A2-R4_MC03g05455	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02267	0.1021	0.0011	0.011
MvSl-1064-A2-R4_MC01g02349	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00407	0.224	0.0019	0.0086
MvSl-1064-A2-R4_MC10g10085	MvSdioicae-1303-FR02-T-N202-PbcR_C016g09588	0.2323	0.0024	0.0102
MvSl-1064-A2-R4_MC03g05367	MvSdioicae-1303-FR02-T-N202-PbcR_C002g02170	0.3726	0.0047	0.0125
MvSl-1064-A2-R4_MC10g10224	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09744	0.5152	0.0037	0.0072
MvSl-1064-A2-R4_MC06-2g07493	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10266	0.337	0.0033	0.0099
MvSl-1064-A2-R4_MC13g11934	MvSdioicae-1303-FR02-T-N202-PbcR_C012g07865	0.3256	0.0021	0.0064
MvSl-1064-A2-R4_MC06-2g07491	MvSdioicae-1303-FR02-T-N202-PbcR_C019g10264	0.3391	0.0015	0.0044
MvSl-1064-A2-R4_MC03g05059	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01839	0.2905	0.0029	0.01
MvSl-1064-A2-R4_MC01g02476	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00541	0.3986	0	0
MvSl-1064-A2-R4_MC05g06793	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05452	0.5196	0.0014	0.0026
MvSl-1064-A2-R4_A2g00975	MvSdioicae-1303-FR02-T-N202-PbcR_C015g09307	0.5367	0.0042	0.0078
MvSl-1064-A2-R4_MC01g02973	MvSdioicae-1303-FR02-T-N202-PbcR_C001g01024	98.9996	0.0028	0
MvSl-1064-A2-R4_MC05g06836	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05405	98.9996	0.006	0.0001
MvSl-1064-A2-R4_MC01g02737	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00784	0.1897	0.0029	0.0154
MvSl-1064-A2-R4_MC01g02800	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00850	0.473	0.0042	0.0088
MvSl-1064-A2-R4_MC01g02640	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00699	0.6606	0.005	0.0075
MvSl-1064-A2-R4_MC07g08369	MvSdioicae-1303-FR02-T-N202-PbcR_C020g10534	0.2938	0.0053	0.0179
MvSl-1064-A2-R4_MC03g04783	MvSdioicae-1303-FR02-T-N202-PbcR_C002g01558	0.1928	0.0029	0.0149
MvSl-1064-A2-R4_MC01g03084	MvSdioicae-1303-FR02-T-N202-PbcR_C001g01142	0.4272	0.0029	0.0068
MvSl-1064-A2-R4_MC10g10317	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09836	0.3003	0.0028	0.0095
MvSl-1064-A2-R4_MC01g02082	MvSdioicae-1303-FR02-T-N202-PbcR_C001g00096	0.7852	0.0033	0.0042
MvSl-1064-A2-R4_MC07g07961	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08839	0.3226	0.0026	0.008
MvSl-1064-A2-R4_MC12g11171	MvSdioicae-1303-FR02-T-N202-PbcR_C008g05889	0.4768	0.007	0.0147
MvSl-1064-A2-R4_MC10g10169	MvSdioicae-1303-FR02-T-N202-PbcR_C017g09696	98.9996	0.004	0
MvSl-1064-A2-R4_MC09g09648	MvSdioicae-1303-FR02-T-N202-PbcR_C004g03644	1.4339	0.0055	0.0038
MvSl-1064-A2-R4_MC07g08022	MvSdioicae-1303-FR02-T-N202-PbcR_C014g08899	0.3848	0.0032	0.0083
MvSl-1064-A2-R4_A2g00924	MvSdioicae-1303-FR02-T-N202-PbcR_C015g09192	1.4199	0.0054	0.0038
MvSl-1064-A2-R4_MC02g03911	MvSdioicae-1303-FR02-T-N202-PbcR_C003g02764	0.478	0	0
MvSl-1064-A2-R4_MC13g11755	MvSdioicae-1303-FR02-T-N202-PbcR_C012g08038	1.7263	0.0049	0.0028
MvSl-1064-A2-R4_MC05g06615	MvSdioicae-1303-FR02-T-N202-PbcR_C007g05654	0.2277	0.0026	0.0114
MvSl-1064-A2-R4_MC07g08175	MvSdioicae-1303-FR02-T-N202-PbcR_C027g11893	0.4762	0.0024	0.005
