gene	bPARts	youngold	dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A1-R4_A1g01406	Black	OldStrata	0.0028	0.0016	0.0015	0.0008	1.866542231	2516666	2518918	11.23450616	0.843604663	0.272698111	11.42245941	11.75001157	10.72266128	10.78063882	NON
MvSl-1064-A1-R4_A1g00241	Black	OldStrata	0.0283	0.009	0.0152	0.0048	1.861829856	1112670	1116562	7.564098133	-0.662091766	0.027701342	7.199215744	7.191595811	7.925519227	7.785425832	Down
MvSl-1064-A1-R4_A1g01407	Black	OldStrata	0.0191	0.0073	0.0104	0.0031	1.836520803	2515006	2516109	6.761916591	0.376746288	0.381223871	6.960454752	6.915365452	6.571550989	6.551677929	NON
MvSl-1064-A1-R4_A1g00380	Red	ColorStrata	0.0218	0.022	0.0119	0.0084	1.831917379	893412	893740	6.348728701	0.520485831	0.101226906	6.538015385	6.631877313	6.006439007	6.122894429	NON
MvSl-1064-A1-R4_A1g00405	Red	ColorStrata	0.0045	0.0032	0.0025	0.0015	1.799928003	790625	795162	4.689589995	0.555765335	0.405204535	4.590793401	5.222402128	4.44095216	4.33172456	NON
MvSl-1064-A1-R4_A1g00311	Black	OldStrata	0.0248	0.0042	0.0139	0.0022	1.784159826	1409746	1410034	8.277751417	-0.024230897	0.999948201	8.381590845	8.139453289	8.14378861	8.422396495	NON
MvSl-1064-A1-R4_A1g00960	Black	OldStrata	0.0374	0.0155	0.021	0.0067	1.7809439	1991175	1993509	7.791093311	0.016520219	0.999948201	7.965396719	7.611685947	7.540926412	7.989913227	NON
MvSl-1064-A1-R4_A1g00669	Orange	ColorStrata	0.034	0.0077	0.0193	0.0036	1.761648903	1396587	1398849	5.927463915	0.154032079	0.999948201	5.940619858	6.061681143	5.923745656	5.769449518	NON
MvSl-1064-A1-R4_A1g01261	Orange	ColorStrata	0.0313	0.0041	0.018	0.0019	1.738879228	2575916	2576612	10.64827246	2.083071206	3.57E-07	11.22937299	11.4476018	9.075348403	9.423145884	Up
MvSl-1064-A1-R4_MC10-2g09966	Auto	Auto	0.0106	0.0045	0.0061	0.0022	1.737676432	490448	493677	6.483013792	0.311820643	0.613613609	6.692738052	6.5656449	6.267244281	6.369071703	NON
MvSl-1064-A1-R4_A1g00575	Black	OldStrata	0.0287	0.0058	0.0166	0.0029	1.728905248	928859	929481	7.429310966	0.42189359	0.394337007	7.675370065	7.572680382	7.318483476	7.078027485	NON
MvSl-1064-A1-R4_A1g00402	Red	ColorStrata	0.0134	0.0032	0.0078	0.0016	1.717926693	834376	836308	7.862705297	0.029043116	0.999948201	7.867556515	7.88668747	7.835905069	7.860239469	NON
MvSl-1064-A1-R4_MC03g04645	Auto	Auto	0.1446	0.0346	0.0846	0.0143	1.709217838	956758	958705	5.641144995	0.017671901	0.999948201	5.54115736	5.751003521	5.834877355	5.396611708	NON
MvSl-1064-A1-R4_A1g01129	Black	OldStrata	0.0485	0.0086	0.0284	0.0043	1.707740466	1688108	1688798	6.979188454	0.37049368	0.403838488	7.160290322	7.144910777	6.800007434	6.764562869	NON
MvSl-1064-A1-R4_A1g00752	Black	OldStrata	0.0693	0.0149	0.0411	0.0069	1.686127284	998707	1000561	3.569350817	4.801199096	3.34E-33	4.465214315	4.580896789	-0.451044639	0.130018878	Up
MvSl-1064-A1-R4_A1g01137	Black	OldStrata	0.03	0.0073	0.0179	0.0039	1.675968291	1185421	1186806	6.618235456	0.63618547	0.0197038	6.913145618	6.890080266	6.231134979	6.300190513	Up
MvSl-1064-A1-R4_A1g00230	Purple	OldStrata	0.1111	0.0287	0.0678	0.0117	1.638640651	919803	924298	7.931159145	-4.377708895	1.07E-58	4.6857151	4.265040875	8.807265181	8.915719932	Down
MvSl-1064-A1-R4_MC09-2g09310	Auto	Auto	0.0167	0.01	0.0102	0.005	1.637238851	1000201	1003627	5.267569813	0.176207856	0.999948201	5.261926304	5.43859911	5.216378901	5.137031601	NON
MvSl-1064-A1-R4_MC04-1g05996	Auto	Auto	0.0137	0.0049	0.0084	0.0022	1.630932965	1687658	1688597	7.016464976	0.045770602	0.999948201	6.977500654	7.098280897	7.041544828	6.943673809	NON
MvSl-1064-A1-R4_A1g00772	Blue	OldStrata	0.0345	0.0116	0.0213	0.0054	1.619710706	411533	413382	4.139431057	0.408142725	0.859178202	3.839690417	4.693550211	4.188200997	3.598298877	NON
