gene	bPARts	youngold	dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A1-R4_MC11g10709	Auto	Auto	0	0	0	0	0	1370951	1371887	5.238895639	-0.230899456	0.933316243	5.038815658	5.194461152	5.361834431	5.336367593	NON
MvSl-1064-A1-R4_MC13g11440	Auto	Auto	0	0	0	0	0	377143	378651	6.576120202	0.209145811	0.933316243	6.790363819	6.553911753	6.303300182	6.615773808	NON
MvSl-1064-A1-R4_MC01-1g02714	Auto	Auto	0	0	0	0	0	1939628	1941924	7.280584961	0.21900924	0.934017502	7.376283175	7.395561291	7.362466112	6.941014597	NON
MvSl-1064-A1-R4_MC04-1g05582	Auto	Auto	0	0	0	0	0	682780	686191	7.098068039	-0.203664016	0.934017502	7.063259654	6.918418913	7.053410233	7.326046466	NON
MvSl-1064-A1-R4_MC01-1g02011	Auto	Auto	0	0	0	0	0	402699	407145	9.017632039	-0.272213016	0.934230313	8.956238794	8.789159092	9.230050815	9.059462995	NON
MvSl-1064-A1-R4_MC08g08515	Auto	Auto	0	0	0	0	0	705136	705752	6.764104382	0.194867754	0.93436606	6.923863435	6.78960635	6.531108141	6.78487329	NON
MvSl-1064-A1-R4_MC09-2g09271	Auto	Auto	0	0	0	0	0	892321	894351	6.162758656	-0.199616259	0.93436606	6.15485899	5.957473781	6.254451603	6.263199251	NON
MvSl-1064-A1-R4_MC12g11109	Auto	Auto	0	0	0	0	0	941063	942142	6.043150915	0.205175173	0.93436606	6.110292009	6.173252956	6.060354034	5.802639909	NON
MvSl-1064-A1-R4_MC14g11934	Auto	Auto	0	0	0	0	0	480065	485427	6.176639907	0.195135768	0.934835067	6.294517968	6.247003305	6.101890347	6.049740115	NON
MvSl-1064-A1-R4_MC01-1g02380	Auto	Auto	0	0	0	0	0	1133107	1134066	3.04664665	0.326821099	0.935326155	3.208262849	3.193819583	2.657019809	3.069311503	NON
MvSl-1064-A1-R4_MC02g03191	Auto	Auto	0	0	0	0	0	80252	82079	6.066327229	-0.197098216	0.935326155	5.970118009	5.9586608	6.135768212	6.186243646	NON
MvSl-1064-A1-R4_MC05-1g06117	Auto	Auto	0	0	0	0	0	16345	18022	6.805792877	0.186141111	0.935326155	6.900433628	6.891324025	6.778126826	6.638273602	NON
MvSl-1064-A1-R4_MC06g07402	Auto	Auto	0	0	0	0	0	1435093	1436278	4.672094796	0.281046903	0.935326155	4.440839915	5.096492754	4.553847551	4.49726249	NON
MvSl-1064-A1-R4_MC10-1g09739	Auto	Auto	0	0	0	0	0	213276	213476	8.754709804	0.2541831	0.935326155	8.881234418	8.871186618	8.63438335	8.609690127	NON
MvSl-1064-A1-R4_MC13g11400	Auto	Auto	0	0	0	0	0	279301	279741	7.895443389	-0.340618408	0.935326155	8.15419054	7.08094382	7.654020744	8.369386224	NON
MvSl-1064-A1-R4_MC13g11401	Auto	Auto	0	0	0	0	0	280134	281318	8.217997417	0.243153817	0.935326155	8.483764087	8.167956277	7.995612149	8.181202468	NON
MvSl-1064-A1-R4_MC01-1g02079	Auto	Auto	0	0	0	0	0	495079	495440	5.599145173	-0.210115085	0.935389021	5.560679203	5.416308232	5.741396438	5.657279719	NON
MvSl-1064-A1-R4_MC01-1g02093	Auto	Auto	0	0	0	0	0	513500	517748	6.489134562	0.19049793	0.935389021	6.644764531	6.514904579	6.414047025	6.367488183	NON
MvSl-1064-A1-R4_MC01-1g02438	Auto	Auto	0	0	0	0	0	1290809	1291435	9.177485779	0.383419167	0.935389021	8.716230701	9.798396089	9.306716389	8.538472873	NON
MvSl-1064-A1-R4_MC01-1g02648	Auto	Auto	0	0	0	0	0	1787023	1787361	10.4384002	-0.371364972	0.935389021	10.48698291	9.94379672	10.28317935	10.87984691	NON
MvSl-1064-A1-R4_MC01-1g02867	Auto	Auto	0	0	0	0	0	2335371	2337173	5.127248681	0.250165755	0.935389021	5.050369621	5.419760095	5.146089571	4.831799373	NON
MvSl-1064-A1-R4_MC02g03599	Auto	Auto	0	0	0	0	0	1068119	1070736	2.756775921	0.34833238	0.935389021	3.105678113	2.709662856	2.371280162	2.75735584	NON
MvSl-1064-A1-R4_MC02g04046	Auto	Auto	0	0	0	0	0	2099007	2101016	7.499656903	-0.229286191	0.935389021	7.559669983	7.17586119	7.433798781	7.766325455	NON
MvSl-1064-A1-R4_MC04-1g05512	Auto	Auto	0	0	0	0	0	528054	529766	6.74068116	0.18875267	0.935389021	6.786223757	6.87632767	6.72656699	6.555159948	NON
MvSl-1064-A1-R4_MC04-1g05948	Auto	Auto	0	0	0	0	0	1585594	1587733	7.648788617	-0.207135098	0.935389021	7.538494415	7.54449798	7.720955798	7.775608783	NON
MvSl-1064-A1-R4_MC07g07710	Auto	Auto	0	0	0	0	0	416092	417444	6.253170836	0.193484679	0.935389021	6.428941481	6.259578893	6.112326575	6.193411724	NON
MvSl-1064-A1-R4_MC07g08054	Auto	Auto	0	0	0	0	0	1275177	1275853	6.303134568	-0.218483039	0.935389021	5.915568797	6.41985154	6.488770754	6.322428879	NON
MvSl-1064-A1-R4_MC08g08409	Auto	Auto	0	0	0	0	0	444914	446570	4.661898342	0.278074962	0.935389021	4.578077657	4.982074497	4.736666207	4.258431025	NON
MvSl-1064-A1-R4_MC08g08456	Auto	Auto	0	0	0	0	0	545880	552149	6.627247538	-0.195973655	0.935389021	6.551900656	6.499490971	6.835371693	6.59832816	NON
MvSl-1064-A1-R4_MC13g11635	Auto	Auto	0	0	0	0	0	828604	832402	3.117201654	-0.313302691	0.935389021	2.946601675	2.957779327	3.244962127	3.279252707	NON
MvSl-1064-A1-R4_MC14g11942	Auto	Auto	0	0	0	0	0	503219	504949	4.439957205	-0.27376775	0.935389021	4.05228433	4.504930253	4.55940561	4.578897929	NON
MvSl-1064-A1-R4_MC03g04794	Auto	Auto	0	0	0	0	0	1334194	1338318	7.307876104	0.205731215	0.935935113	7.297995836	7.508477697	7.276496231	7.122360919	NON
MvSl-1064-A1-R4_A1g00007	bPAR	bPAR	0	0	0	0	0	11416	12757	7.697028061	0.210247652	0.936577408	7.704547508	7.886375629	7.600773071	7.575487677	NON
MvSl-1064-A1-R4_A1g00050	bPAR	bPAR	0	0	0	0	0	96486	99661	5.498126457	-0.305609667	0.936577408	4.717950036	5.768707295	5.770441632	5.501402921	NON
MvSl-1064-A1-R4_MC01-1g02703	Auto	Auto	0	0	0	0	0	1912808	1914193	5.541447944	-0.210015772	0.936577408	5.467228538	5.397173925	5.590769604	5.691855755	NON
MvSl-1064-A1-R4_MC02g03272	Auto	Auto	0	0	0	0	0	278860	281260	6.452113205	0.18917636	0.936577408	6.538835875	6.548403456	6.398626361	6.309292006	NON
MvSl-1064-A1-R4_MC02g03964	Auto	Auto	0	0	0	0	0	1890605	1892319	4.600251074	-0.251393881	0.936577408	4.492575666	4.445209437	4.589597978	4.838673326	NON
MvSl-1064-A1-R4_MC02g04075	Auto	Auto	0	0	0	0	0	2183713	2184006	7.149397017	0.198546207	0.936577408	7.35547693	7.126016718	7.063224065	7.030288217	NON
MvSl-1064-A1-R4_MC03g05218	Auto	Auto	0	0	0	0	0	2371632	2372394	4.094771418	0.320363184	0.936577408	3.845007498	4.559150043	4.103233164	3.727364314	NON
MvSl-1064-A1-R4_MC04-1g05566	Auto	Auto	0	0	0	0	0	642791	644953	7.152882311	0.20000476	0.936577408	7.129029649	7.360516793	7.048478168	7.050659732	NON
MvSl-1064-A1-R4_MC04-1g05569	Auto	Auto	0	0	0	0	0	648774	651222	3.817218648	0.328268278	0.936577408	3.615372345	4.257344306	3.836493032	3.426439615	NON
MvSl-1064-A1-R4_MC04-1g05762	Auto	Auto	0	0	0	0	0	1158500	1162267	8.041107226	0.227554072	0.936577408	8.220892968	8.076332429	7.802605975	8.034002171	NON
MvSl-1064-A1-R4_MC04-1g05802	Auto	Auto	0	0	0	0	0	1260533	1261498	6.774451886	0.188422198	0.936577408	6.764642094	6.959909732	6.733958692	6.618439128	NON
MvSl-1064-A1-R4_MC04-1g05890	Auto	Auto	0	0	0	0	0	1493392	1495906	4.974916022	-0.245299386	0.936577408	4.794146685	4.89794867	4.924970027	5.241004666	NON
MvSl-1064-A1-R4_MC05-1g06128	Auto	Auto	0	0	0	0	0	27501	29670	0.225295621	-0.560431441	0.936577408	0.068225908	-0.210709988	-0.282480863	0.933868779	NON
MvSl-1064-A1-R4_MC05-3g06653	Auto	Auto	0	0	0	0	0	461089	462001	4.228602829	-0.319586598	0.936577408	3.705821892	4.34346876	4.629776847	4.072671415	NON
MvSl-1064-A1-R4_MC06g06977	Auto	Auto	0	0	0	0	0	342673	345029	5.533707781	-0.209695771	0.936577408	5.421693571	5.428353792	5.653179814	5.615197892	NON
MvSl-1064-A1-R4_MC06g07139	Auto	Auto	0	0	0	0	0	779732	780319	5.875165355	0.202844383	0.936577408	5.920613929	6.023621784	5.78237331	5.758616947	NON
MvSl-1064-A1-R4_MC07g07878	Auto	Auto	0	0	0	0	0	829474	831743	6.790896184	-0.204637151	0.936577408	6.468234596	6.873183712	6.985361109	6.786651734	NON
MvSl-1064-A1-R4_MC07g08128	Auto	Auto	0	0	0	0	0	1458835	1460737	5.172097823	0.230847627	0.936577408	5.152537037	5.402417591	5.102972547	5.000668319	NON
MvSl-1064-A1-R4_MC08g08584	Auto	Auto	0	0	0	0	0	855888	859077	6.801771544	-0.184886542	0.936577408	6.777907819	6.63113304	6.917734043	6.863932628	NON
MvSl-1064-A1-R4_MC09-2g09039	Auto	Auto	0	0	0	0	0	294627	295845	9.177791882	0.271666653	0.936577408	9.352971861	9.260029416	9.093300039	8.975544388	NON
MvSl-1064-A1-R4_MC10-2g09896	Auto	Auto	0	0	0	0	0	405767	406808	5.013430378	0.23402966	0.936577408	5.150391231	5.100799992	4.858894658	4.925176233	NON
MvSl-1064-A1-R4_MC12g10816	Auto	Auto	0	0	0	0	0	204967	206064	5.502139856	0.213675072	0.936577408	5.586304087	5.623589714	5.470550532	5.308579745	NON
MvSl-1064-A1-R4_MC15g12091	Auto	Auto	0	0	0	0	0	208138	211826	4.502238451	-0.276051643	0.936577408	4.45829212	4.249606456	4.360461224	4.861352805	NON
MvSl-1064-A1-R4_MC01-2g03136	Auto	Auto	0	0	0	0	0	2982572	2985368	6.891278491	0.188866684	0.936888582	6.910612165	7.051206627	6.891533636	6.689236175	NON
MvSl-1064-A1-R4_MC02g03827	Auto	Auto	0	0	0	0	0	1592201	1596075	6.896107939	-0.19320149	0.936891472	6.787605098	6.804866831	7.138956302	6.822345917	NON
MvSl-1064-A1-R4_MC07g07639	Auto	Auto	0	0	0	0	0	269872	270972	6.78616959	-0.186245044	0.938911687	6.692000603	6.688063164	6.975001106	6.769967045	NON
MvSl-1064-A1-R4_MC09-2g09521	Auto	Auto	0	0	0	0	0	1521092	1521380	8.894553099	0.485082219	0.939100557	8.033054083	9.728615296	9.110321239	7.910854509	NON
MvSl-1064-A1-R4_MC15g12025	Auto	Auto	0	0	0	0	0	31406	33392	7.980644552	0.362089362	0.939100557	7.445298382	8.621856701	8.146791513	7.31047237	NON
MvSl-1064-A1-R4_MC13g11474	Auto	Auto	0	0	0	0	0	470879	472201	8.287787986	0.248944091	0.9398155	8.169900143	8.61038488	8.253506658	8.055797296	NON
MvSl-1064-A1-R4_MC02g04086	Auto	Auto	0	0	0	0	0	2205417	2207253	7.166228232	0.197860979	0.940543995	7.195578258	7.32506007	7.140347685	6.983501758	NON
MvSl-1064-A1-R4_MC02g04140	Auto	Auto	0	0	0	0	0	2342786	2344508	7.143139711	0.207262881	0.940718734	7.396340983	7.071648051	6.922054888	7.141481252	NON
MvSl-1064-A1-R4_MC01-1g02075	Auto	Auto	0	0	0	0	0	486861	490079	4.422409899	0.255106976	0.941021921	4.535959983	4.552875999	4.347669504	4.230827819	NON
MvSl-1064-A1-R4_MC05-3g06612	Auto	Auto	0	0	0	0	0	419259	423687	5.091126852	0.23106549	0.941021921	5.088975044	5.306851152	4.971571595	4.971777822	NON
MvSl-1064-A1-R4_A1g01485	bPAR	bPAR	0	0	0	0	0	3318298	3320270	6.844404896	0.200056379	0.942070681	6.732727977	7.12284351	6.819246475	6.658486716	NON
MvSl-1064-A1-R4_A1g01497	bPAR	bPAR	0	0	0	0	0	3352840	3353961	5.306394965	-0.217263256	0.942070681	5.196877065	5.190425039	5.436221665	5.384136111	NON
MvSl-1064-A1-R4_MC01-1g02035	Auto	Auto	0	0	0	0	0	427431	428413	7.994596228	0.239039119	0.942070681	7.846172299	8.331512905	7.92928035	7.808659386	NON
MvSl-1064-A1-R4_MC01-1g02090	Auto	Auto	0	0	0	0	0	509227	509825	2.554783736	-0.335488928	0.942070681	2.484072018	2.263818755	2.571588464	2.832740704	NON
MvSl-1064-A1-R4_MC01-1g02335	Auto	Auto	0	0	0	0	0	1038769	1039059	6.124067968	-0.260624171	0.942070681	6.178217266	5.768707295	5.80477518	6.586806256	NON
MvSl-1064-A1-R4_MC02g03870	Auto	Auto	0	0	0	0	0	1668383	1669800	6.463449159	0.191736072	0.942070681	6.607707614	6.502749655	6.243272111	6.476544307	NON
MvSl-1064-A1-R4_MC02g03906	Auto	Auto	0	0	0	0	0	1753098	1755126	6.620283739	-0.21094992	0.942070681	6.360976945	6.646682713	6.901961597	6.515672866	NON
MvSl-1064-A1-R4_MC03g04366	Auto	Auto	0	0	0	0	0	285829	288989	6.326287952	0.200303177	0.942070681	6.248113392	6.578828122	6.329559522	6.107798767	NON
MvSl-1064-A1-R4_MC03g04662	Auto	Auto	0	0	0	0	0	999318	1001744	5.792106659	-0.20381614	0.942070681	5.706556099	5.666354923	5.877772953	5.902243028	NON
MvSl-1064-A1-R4_MC04-1g05334	Auto	Auto	0	0	0	0	0	95894	96154	6.876775891	0.183843983	0.942070681	6.883092813	7.043955189	6.793536981	6.770566261	NON
MvSl-1064-A1-R4_MC04-1g05559	Auto	Auto	0	0	0	0	0	627239	627706	7.553293824	0.262225802	0.942070681	7.374445833	7.929390287	7.703805292	7.057059388	NON
MvSl-1064-A1-R4_MC04-1g05735	Auto	Auto	0	0	0	0	0	1072810	1077922	6.534642833	0.190271115	0.942070681	6.539655899	6.708669445	6.510453468	6.358747616	NON
MvSl-1064-A1-R4_MC06g06981	Auto	Auto	0	0	0	0	0	362016	363152	4.977459774	0.239839186	0.942070681	4.998825299	5.180285081	4.969485681	4.727026831	NON
MvSl-1064-A1-R4_MC06g07460	Auto	Auto	0	0	0	0	0	1566396	1569472	7.898871606	0.211270199	0.942070681	8.012231516	7.988987382	7.820653955	7.757586638	NON
MvSl-1064-A1-R4_MC07g08192	Auto	Auto	0	0	0	0	0	1606084	1607130	11.23746802	-0.37960023	0.942070681	11.25743328	10.77243684	11.21982072	11.58654603	NON
MvSl-1064-A1-R4_MC09-2g09355	Auto	Auto	0	0	0	0	0	1113703	1115186	6.361132855	0.200736632	0.942070681	6.292573415	6.606354098	6.361725512	6.14524583	NON
MvSl-1064-A1-R4_MC09-2g09508	Auto	Auto	0	0	0	0	0	1490481	1492277	6.772492857	0.274586254	0.942070681	6.423620601	7.26251644	6.903601249	6.289359647	NON
MvSl-1064-A1-R4_MC10-2g10128	Auto	Auto	0	0	0	0	0	5223	6816	5.260461274	0.240198973	0.942070681	5.502985633	5.236172276	4.924970027	5.320086692	NON
MvSl-1064-A1-R4_MC11g10370	Auto	Auto	0	0	0	0	0	518598	521307	1.941880608	-0.372579636	0.942070681	1.924997719	1.54106134	2.108591968	2.108794187	NON
MvSl-1064-A1-R4_MC12g10783	Auto	Auto	0	0	0	0	0	123465	124646	4.579428457	0.244482942	0.942070681	4.673812406	4.718990546	4.376293012	4.525937453	NON
MvSl-1064-A1-R4_MC12g11120	Auto	Auto	0	0	0	0	0	971098	973734	6.014514435	0.206089757	0.942070681	5.950519741	6.26054172	5.996229798	5.814310973	NON
MvSl-1064-A1-R4_MC13g11574	Auto	Auto	0	0	0	0	0	696554	699959	4.913283633	0.241034047	0.942070681	4.960146935	5.094334303	4.914165489	4.650962715	NON
MvSl-1064-A1-R4_MC14g11912	Auto	Auto	0	0	0	0	0	436188	436512	7.364350697	-0.206655852	0.942070681	7.406715805	7.090721549	7.426974176	7.499810103	NON
MvSl-1064-A1-R4_MC03g05161	Auto	Auto	0	0	0	0	0	2225841	2228613	6.38184666	0.273374637	0.942272949	6.178217266	6.782920676	6.589318925	5.775432651	NON
MvSl-1064-A1-R4_MC01-1g01855	Auto	Auto	0	0	0	0	0	203142	205986	7.128181118	0.190501603	0.942355402	7.146898869	7.290125083	7.033579994	7.026279526	NON
MvSl-1064-A1-R4_MC04-1g05754	Auto	Auto	0	0	0	0	0	1132507	1135690	7.839636346	0.276690953	0.942355402	8.29220915	7.558266533	7.401283916	7.938580672	NON
MvSl-1064-A1-R4_MC07g07711	Auto	Auto	0	0	0	0	0	417812	418296	8.091788361	0.219061545	0.942355402	8.258486747	8.133158905	7.945023935	8.010605122	NON
MvSl-1064-A1-R4_MC10-2g10012	Auto	Auto	0	0	0	0	0	552293	552478	8.121480237	0.259385321	0.942355402	7.921086823	8.509916899	8.154156755	7.795765369	NON
MvSl-1064-A1-R4_MC12g10750	Auto	Auto	0	0	0	0	0	30127	30372	6.956652857	0.181914634	0.942355402	7.030965607	7.058421799	6.911228414	6.813068613	NON
MvSl-1064-A1-R4_MC01-1g02062	Auto	Auto	0	0	0	0	0	466024	468385	6.3429898	-0.182054957	0.944198069	6.252121347	6.246031397	6.381471055	6.478746182	NON
MvSl-1064-A1-R4_MC01-1g02679	Auto	Auto	0	0	0	0	0	1853772	1859800	7.343812526	-0.19371826	0.944198069	7.290707844	7.195125164	7.429252633	7.44530862	NON
MvSl-1064-A1-R4_MC02g03776	Auto	Auto	0	0	0	0	0	1476309	1478664	5.547887433	-0.205990777	0.944198069	5.524684909	5.352719277	5.633553445	5.659869518	NON
MvSl-1064-A1-R4_MC03g04590	Auto	Auto	0	0	0	0	0	835739	835906	7.231583139	-0.194742939	0.944198069	7.207495719	7.050093391	7.269307346	7.379661568	NON
MvSl-1064-A1-R4_MC03g04714	Auto	Auto	0	0	0	0	0	1132905	1136472	6.760969356	0.179893758	0.944198069	6.909343768	6.784260292	6.660867685	6.675863858	NON
MvSl-1064-A1-R4_MC05-2g06468	Auto	Auto	0	0	0	0	0	306859	308436	8.141148346	0.267934263	0.944198069	7.979365742	8.509916899	8.253506658	7.694886301	NON
MvSl-1064-A1-R4_MC10-1g09714	Auto	Auto	0	0	0	0	0	184602	189131	7.223196837	0.199957299	0.944198069	7.255203663	7.381468463	7.249673527	6.977285774	NON
MvSl-1064-A1-R4_MC11g10379	Auto	Auto	0	0	0	0	0	548385	561582	5.43749681	-0.216432109	0.944198069	5.409184562	5.236172276	5.638813305	5.436428068	NON
MvSl-1064-A1-R4_MC11g10383	Auto	Auto	0	0	0	0	0	569892	573755	5.122668794	0.234068702	0.944198069	5.358034864	5.100799992	5.121877616	4.870325701	NON
MvSl-1064-A1-R4_MC11g10484	Auto	Auto	0	0	0	0	0	803400	803734	5.065297494	-0.226865774	0.944198069	4.957694758	4.937015804	5.24597772	5.097458659	NON
MvSl-1064-A1-R4_MC11g10693	Auto	Auto	0	0	0	0	0	1322934	1325016	3.892422012	0.281145044	0.944198069	3.87650492	4.161632886	3.775716744	3.717453499	NON
MvSl-1064-A1-R4_MC12g10851	Auto	Auto	0	0	0	0	0	301834	302129	5.995550772	-0.203504177	0.944198069	5.879750058	5.900552672	5.919429879	6.248649245	NON
MvSl-1064-A1-R4_MC12g11091	Auto	Auto	0	0	0	0	0	895479	895769	6.330850034	0.184248896	0.944198069	6.480244025	6.357322388	6.294162004	6.175424307	NON
MvSl-1064-A1-R4_MC13g11438	Auto	Auto	0	0	0	0	0	368119	372028	5.733462407	0.211236928	0.944198069	5.682997343	5.972829362	5.658368731	5.589618398	NON
MvSl-1064-A1-R4_MC05-1g06176	Auto	Auto	0	0	0	0	0	72629	73341	6.168358339	0.192335033	0.944232417	6.324328119	6.195575243	5.977669164	6.155375626	NON
MvSl-1064-A1-R4_MC07g08159	Auto	Auto	0	0	0	0	0	1531322	1533025	4.998703249	-0.228643185	0.944232417	4.866520055	4.892990047	5.162616794	5.050861992	NON
MvSl-1064-A1-R4_MC07g08215	Auto	Auto	0	0	0	0	0	1665091	1665321	6.219132768	-0.210579323	0.944232417	6.306130563	5.883154032	6.160664552	6.464003138	NON
MvSl-1064-A1-R4_MC12g10811	Auto	Auto	0	0	0	0	0	192109	194915	9.982089488	-0.305549571	0.944447653	9.751622471	9.88764738	10.26835537	9.969741712	NON
MvSl-1064-A1-R4_MC02g03985	Auto	Auto	0	0	0	0	0	1940709	1941356	5.555282504	0.224199007	0.94479359	5.432329924	5.861741078	5.555048562	5.313522536	NON
MvSl-1064-A1-R4_MC08g08839	Auto	Auto	0	0	0	0	0	1488321	1490356	7.408340061	-0.203067903	0.945487651	7.313900991	7.292480585	7.645227047	7.35230271	NON
MvSl-1064-A1-R4_MC12g10840	Auto	Auto	0	0	0	0	0	278418	280220	3.239260623	-0.303015722	0.945487651	2.926679098	3.217812549	3.331963532	3.426439615	NON
MvSl-1064-A1-R4_MC11g10509	Auto	Auto	0	0	0	0	0	874504	876824	6.242769157	0.224328839	0.945671897	6.621715738	6.016799948	6.002363989	6.24088648	NON
MvSl-1064-A1-R4_MC12g11231	Auto	Auto	0	0	0	0	0	1233750	1236041	0.296861785	0.475173893	0.945671897	0.504341425	0.512737124	0.005043494	0.130018878	NON
MvSl-1064-A1-R4_MC13g11451	Auto	Auto	0	0	0	0	0	406414	408534	4.804779836	0.24269052	0.945671897	5.052669351	4.776662762	4.575952453	4.775595835	NON
MvSl-1064-A1-R4_MC11g10472	Auto	Auto	0	0	0	0	0	780054	780771	4.223742402	0.287255096	0.945934715	4.154320923	4.540245458	4.292002684	3.818269293	NON
MvSl-1064-A1-R4_MC12g11178	Auto	Auto	0	0	0	0	0	1092024	1092450	8.043092034	0.214279409	0.94645621	8.110154723	8.181491074	7.947940273	7.916009286	NON
MvSl-1064-A1-R4_MC14g11797	Auto	Auto	0	0	0	0	0	167027	167383	8.821090281	0.254544545	0.94645621	8.792859807	9.078532442	8.76007692	8.612700923	NON
MvSl-1064-A1-R4_MC01-2g03149	Auto	Auto	0	0	0	0	0	3037080	3040763	5.845362766	-0.248190764	0.947359385	6.003787121	5.356326495	5.745059227	6.153539127	NON
MvSl-1064-A1-R4_MC02g03235	Auto	Auto	0	0	0	0	0	198023	198831	8.394633992	0.229488253	0.947359385	8.514329318	8.495267839	8.371550929	8.172387101	NON
MvSl-1064-A1-R4_MC02g03587	Auto	Auto	0	0	0	0	0	1028973	1030295	7.259325478	0.190304272	0.947359385	7.390898269	7.310722696	7.126841111	7.194690765	NON
MvSl-1064-A1-R4_MC02g03954	Auto	Auto	0	0	0	0	0	1856861	1859703	5.912628172	0.203190743	0.947359385	6.132204026	5.878144207	5.883323337	5.728092571	NON
MvSl-1064-A1-R4_MC03g04992	Auto	Auto	0	0	0	0	0	1811726	1816597	8.423223524	0.290551675	0.947359385	8.306492579	8.77760326	8.612159885	7.822595388	NON
MvSl-1064-A1-R4_MC05-1g06192	Auto	Auto	0	0	0	0	0	89789	93859	6.109023896	-0.196324048	0.947359385	6.113600103	5.89312179	6.079822099	6.317516559	NON
MvSl-1064-A1-R4_MC06g07330	Auto	Auto	0	0	0	0	0	1269677	1273093	3.87170096	0.306441095	0.947359385	3.676297667	4.291660048	3.859203311	3.548855946	NON
MvSl-1064-A1-R4_MC08g08317	Auto	Auto	0	0	0	0	0	189923	192389	5.784024702	-0.200974637	0.947359385	5.745459388	5.611565857	5.898751763	5.862323827	NON
MvSl-1064-A1-R4_MC08g08654	Auto	Auto	0	0	0	0	0	1039837	1040379	5.388030179	0.226608295	0.947359385	5.354310973	5.626580086	5.434710415	5.085949824	NON
MvSl-1064-A1-R4_MC08g08689	Auto	Auto	0	0	0	0	0	1117452	1118660	7.068319123	-0.182093882	0.947359385	7.036204722	6.909852883	7.154188199	7.158521318	NON
MvSl-1064-A1-R4_MC09-2g09043	Auto	Auto	0	0	0	0	0	302432	304890	6.923093086	0.185688752	0.947359385	6.872066613	7.14125626	6.863725935	6.790202057	NON
MvSl-1064-A1-R4_MC09-2g09080	Auto	Auto	0	0	0	0	0	398290	401225	7.882761593	0.207262922	0.947359385	7.921086823	8.041746335	7.792611994	7.758191017	NON
MvSl-1064-A1-R4_MC10-1g09746	Auto	Auto	0	0	0	0	0	220407	222191	6.989997624	0.20422876	0.947359385	6.881153126	7.269707413	7.030581808	6.721824741	NON
MvSl-1064-A1-R4_MC11g10431	Auto	Auto	0	0	0	0	0	681530	683839	6.208429866	-0.216851326	0.947359385	6.358190621	5.775459008	6.349747151	6.274227549	NON
MvSl-1064-A1-R4_MC11g10473	Auto	Auto	0	0	0	0	0	780961	782629	5.934502369	0.200798485	0.947359385	5.896490844	6.154728824	5.834877355	5.827041024	NON
MvSl-1064-A1-R4_MC12g11049	Auto	Auto	0	0	0	0	0	785699	788087	7.149283826	0.223417908	0.947359385	6.972650913	7.493813941	7.194484036	6.852091648	NON
MvSl-1064-A1-R4_MC12g11228	Auto	Auto	0	0	0	0	0	1228610	1230165	3.404429653	0.353134873	0.947359385	3.991249996	2.976651441	3.251844014	3.188896959	NON
MvSl-1064-A1-R4_MC13g11405	Auto	Auto	0	0	0	0	0	293361	294081	4.535536988	0.256112329	0.947359385	4.700456689	4.614421428	4.177397937	4.597929806	NON
MvSl-1064-A1-R4_MC15g12024	Auto	Auto	0	0	0	0	0	31125	31328	8.000881648	-0.263616065	0.947359385	8.148288658	7.507261394	7.875989276	8.340014369	NON
MvSl-1064-A1-R4_MC15g12129	Auto	Auto	0	0	0	0	0	300478	303269	9.027420098	0.254648221	0.947359385	9.118022836	9.17959697	8.923885868	8.864576864	NON
MvSl-1064-A1-R4_MC03g04545	Auto	Auto	0	0	0	0	0	722864	724107	5.375612153	0.251118417	0.947814737	5.141775946	5.77949492	5.388620724	5.085949824	NON
MvSl-1064-A1-R4_MC03g04836	Auto	Auto	0	0	0	0	0	1422997	1423614	4.555291203	0.244445661	0.947814737	4.783109099	4.552875999	4.49994979	4.354285427	NON
MvSl-1064-A1-R4_MC08g08679	Auto	Auto	0	0	0	0	0	1099520	1101289	7.534992527	0.201775587	0.947814737	7.740297754	7.515754059	7.332347272	7.522755255	NON
MvSl-1064-A1-R4_MC09-2g09554	Auto	Auto	0	0	0	0	0	1582209	1582532	4.094842121	-0.28155412	0.947814737	3.705821892	4.153362756	4.344453773	4.099628625	NON
MvSl-1064-A1-R4_MC10-2g10083	Auto	Auto	0	0	0	0	0	643238	645908	5.857451279	0.206980544	0.947814737	5.810773967	6.090122616	5.850829765	5.642952118	NON
MvSl-1064-A1-R4_MC11g10664	Auto	Auto	0	0	0	0	0	1266190	1267759	4.8403321	0.257011299	0.947814737	4.73236752	5.161851599	4.896708136	4.488547671	NON
MvSl-1064-A1-R4_MC01-1g01865	Auto	Auto	0	0	0	0	0	213128	214520	4.832474738	0.230840809	0.948084141	4.930442083	4.956159686	4.803765131	4.616713883	NON
MvSl-1064-A1-R4_MC15g12079	Auto	Auto	0	0	0	0	0	164316	165375	6.581181218	0.218660609	0.948084141	6.417388003	6.912918022	6.645924998	6.264901409	NON
MvSl-1064-A1-R4_MC06g07261	Auto	Auto	0	0	0	0	0	1103394	1104211	6.568008217	-0.194096884	0.948220909	6.323376054	6.598760525	6.781103129	6.53131479	NON
MvSl-1064-A1-R4_MC03g04643	Auto	Auto	0	0	0	0	0	946054	950721	7.284810143	0.196880771	0.948804505	7.270597416	7.481479252	7.27818254	7.081412237	NON
