gene	bPARts	youngold	dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_MC08g08556	Auto	Auto	0.00239	0.00239	0.00002	0.00015	118.9054726	784504	785865	5.878747	0.187168142	0.978970856	5.784725212	6.132812366	5.868847683	5.69058983	NON	A1
MvSl-1064-A1-R4_MC01-1g02767	Auto	Auto	0.00239	0.00138	0.00002	0.00008	118.9054726	2083497	2083691	8.14279338	0.020248867	0.999948201	8.317531526	7.967036567	8.042751402	8.21725427	NON	A1
MvSl-1064-A1-R4_MC06g07258	Auto	Auto	0.00239	0.00239	0.00002	0.00008	118.9054726	1095673	1097292	6.976133041	-0.092124182	0.999948201	6.844458565	7.009433809	7.113206892	6.923339781	NON	A1
MvSl-1064-A1-R4_MC10-2g10036	Auto	Auto	0.00239	0.0024	0.00002	0	118.9054726	577090	578111	5.185540051	-0.155188552	0.999948201	4.874341927	5.304985744	5.491053336	4.986295387	NON	A1
MvSl-1064-A1-R4_MC02g04035	Auto	Auto	0.0012	0.0012	0.00001	0	118.8118812	2065348	2070399	6.331805279	-0.3532051	0.490318715	6.088042048	6.198592606	6.585238012	6.403476521	NON	A1
MvSl-1064-A1-R4_MC13g11576	Auto	Auto	0.00238	0.00238	0.00002	0	118.4079602	703687	705596	4.876432723	-0.538762077	0.268711697	4.545789152	4.617430843	5.146089571	5.091715718	NON	A1
MvSl-1064-A1-R4_MC11g10162	Auto	Auto	0.00238	0.00239	0.00002	0.00012	118.4079602	43495	43734	4.395436691	0.493982098	0.723098442	4.061449204	5.023501435	4.360461224	3.854895245	NON	A1
MvSl-1064-A1-R4_MC08g08317	Auto	Auto	0.00238	0.00239	0.00002	0.00004	118.4079602	189923	192389	5.784024702	-0.200974637	0.947359385	5.745459388	5.611565857	5.898751763	5.862323827	NON	A1
MvSl-1064-A1-R4_MC07g07817	Auto	Auto	0.00238	0.00238	0.00002	0	118.4079602	676740	678945	5.990983651	0.076983348	0.999948201	5.920613929	6.129654087	6.03664019	5.862323827	NON	A1
MvSl-1064-A1-R4_MC07g08154	Auto	Auto	0.00238	0.00238	0.00002	0	118.4079602	1516385	1517211	5.304633385	0.117073157	0.999948201	5.259937292	5.457195288	5.252854775	5.237541379	NON	A1
MvSl-1064-A1-R4_MC03g05158	Auto	Auto	0.00237	0.00238	0.00002	0.00014	117.9104478	2216572	2219602	3.740196671	0.100600972	0.999948201	3.834353668	3.743697835	3.32545425	3.980374644	NON	A1
MvSl-1064-A1-R4_MC06g06914	Auto	Auto	0.00119	0.00119	0.00001	0.00004	117.8217822	174181	174333	4.713181628	0.266774825	0.903454406	4.788638448	4.890504329	4.64554023	4.50015577	NON	A1
MvSl-1064-A1-R4_MC02g03530	Auto	Auto	0.00119	0.00119	0.00001	0.00006	117.8217822	889009	889723	6.712130611	0.103876366	0.999948201	6.816988453	6.707257733	6.681403364	6.636959754	NON	A1
MvSl-1064-A1-R4_MC11g10507	Auto	Auto	0.00119	0.00119	0.00001	0	117.8217822	872160	872744	4.635381222	-0.108340501	0.999948201	4.408883851	4.732932596	4.706925863	4.66907307	NON	A1
MvSl-1064-A1-R4_MC05-3g06705	Auto	Auto	0.00236	0.00167	0.00002	0.00007	117.4129353	587469	588197	6.263262681	-0.619522543	0.078667782	5.721087324	6.095528429	6.711044891	6.34432965	NON	A1
MvSl-1064-A1-R4_MC07g07948	Auto	Auto	0.00236	0.00236	0.00002	0.00008	117.4129353	1012994	1013182	8.087757086	0.182062382	0.994856412	8.26767223	8.077971888	7.938907022	8.046920869	NON	A1
MvSl-1064-A1-R4_MC01-2g03098	Auto	Auto	0.00236	0.00236	0.00002	0	117.4129353	2882044	2886677	8.774918487	-0.038459051	0.999948201	8.65018542	8.853747032	8.942216438	8.628818478	NON	A1
MvSl-1064-A1-R4_MC09-2g09348	Auto	Auto	0.00236	0.00167	0.00002	0.00007	117.4129353	1093176	1095273	6.771617096	0.007719282	0.999948201	6.741307674	6.80882142	6.781697653	6.753693406	NON	A1
MvSl-1064-A1-R4_MC10-1g09710	Auto	Auto	0.00236	0.00167	0.00002	0.00002	117.4129353	174757	174981	7.216856689	0.016067115	0.999948201	7.308137566	7.136543951	7.18597554	7.231282089	NON	A1
MvSl-1064-A1-R4_MC02g03899	Auto	Auto	0.00235	0.00166	0.00002	0.00002	116.9154229	1734098	1735030	6.536960335	-0.322368416	0.607766578	6.470816475	6.254755092	6.717895198	6.65913406	NON	A1
MvSl-1064-A1-R4_MC09-2g09344	Auto	Auto	0.00235	0.00166	0.00002	0.00006	116.9154229	1085711	1087458	6.458734034	-0.306699633	0.712520043	6.422731877	6.15989832	6.770359579	6.415020379	NON	A1
MvSl-1064-A1-R4_MC08g08358	Auto	Auto	0.00235	0.00235	0.00002	0	116.9154229	321102	322279	5.943353052	-0.025102212	0.999948201	5.92187246	5.939550298	5.983882612	5.927180573	NON	A1
MvSl-1064-A1-R4_MC02g03971	Auto	Auto	0.00118	0.00118	0.00001	0.00001	116.8316832	1905739	1908630	5.163395825	0.019729692	0.999948201	5.052669351	5.284305469	5.123754568	5.182769263	NON	A1
MvSl-1064-A1-R4_MC06g07280	Auto	Auto	0.00118	0.00118	0.00001	0.00005	116.8316832	1158920	1163776	7.128467825	-0.025989898	0.999948201	7.214188383	7.009433809	7.131512848	7.151177326	NON	A1
MvSl-1064-A1-R4_MC01-1g02627	Auto	Auto	0.00234	0.00234	0.00002	0	116.4179104	1737845	1739437	5.78345256	-0.03740196	0.999948201	5.871957532	5.648812456	5.788302347	5.815472903	NON	A1
MvSl-1064-A1-R4_MC11g10540	Auto	Auto	0.00233	0.00234	0.00002	0.00015	115.920398	955021	956111	6.196748078	0.005964178	0.999948201	6.283790346	6.110557825	6.132043052	6.252943913	NON	A1
MvSl-1064-A1-R4_A1g00072	PAR	PAR	0.00117	0.00117	0.00001	0.00006	115.8415842	158422	160299	7.780758041	0.103692159	0.999948201	8.100739486	7.500757069	7.531766719	7.900763091	NON	A1
MvSl-1064-A1-R4_MC02g03910	Auto	Auto	0.00117	0.00117	0.00001	0.00004	115.8415842	1763834	1766097	6.786453477	-0.057192272	0.999948201	6.829783566	6.681607801	6.85978973	6.768167901	NON	A1
MvSl-1064-A1-R4_MC09-2g08985	Auto	Auto	0.00346	0.00346	0.00003	0.00019	114.9501661	197444	197698	5.053004809	0.389193527	0.628246377	5.146090019	5.317993231	4.716907586	4.965511007	NON	A1
MvSl-1064-A1-R4_MC03g04953	Auto	Auto	0.00346	0.00347	0.00003	0.00012	114.9501661	1713604	1714888	4.146239578	-0.345886433	0.8265775	3.986446331	3.939167553	4.188200997	4.416866496	NON	A1
MvSl-1064-A1-R4_MC12g10962	Auto	Auto	0.00231	0.00164	0.00002	0.00005	114.9253731	564119	564938	5.427938388	0.135805268	0.999948201	5.084486484	5.812695555	5.437731333	5.275187817	NON	A1
MvSl-1064-A1-R4_MC07g08058	Auto	Auto	0.00116	0.00116	0.00001	0.00005	114.8514851	1281090	1282370	7.794643337	-0.041573741	0.999948201	7.896651704	7.639338274	7.688352103	7.93189983	NON	A1
MvSl-1064-A1-R4_MC07g08195	Auto	Auto	0.00345	0.00346	0.00003	0.00003	114.6179402	1613819	1616071	6.461914969	-0.264332448	0.809137667	6.446537339	6.18952152	6.43611822	6.724919808	NON	A1
MvSl-1064-A1-R4_MC03g04547	Auto	Auto	0.00345	0.00345	0.00003	0.00006	114.6179402	734282	734654	4.27795882	-0.230212117	0.979012662	4.171352488	4.145044944	4.479573922	4.288866143	NON	A1
MvSl-1064-A1-R4_MC05-3g06672	Auto	Auto	0.0023	0.00163	0.00002	0.00005	114.4278607	502538	504651	6.042760614	-0.073605907	0.999948201	6.162332271	5.829662585	5.909671917	6.23047072	NON	A1
MvSl-1064-A1-R4_MC10-2g10088	Auto	Auto	0.00344	0.00344	0.00003	0	114.2857143	660924	663894	3.521728508	-0.738529695	0.221624549	3.272812009	2.919277944	3.72221207	3.94683541	NON	A1
