gene	youngold		dn	dnse	ds	dsse	dnds	start	end	logCPM	logFC.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	haploid 
MvSl-1064-A1-R4_MC04-2g06105	Auto	Auto	0.00989	0.00404	0.0116	0.00627	0.852579	6888	7782	2.033025842	1.17505521	0.100132778	2.865205491	2.030872688	1.627023664	1.033092483	NON	A1
MvSl-1064-A1-R4_MC03g05186	Auto	Auto	0.01299	0.00756	0.04041	0.02051	0.321454	2279180	2285390	4.354176079	-0.795557835	0.10372771	3.996037719	3.803055524	4.388834531	4.946545557	NON	A1
MvSl-1064-A1-R4_MC09-2g09145	Auto	Auto	0.013	0.00585	0.01618	0.00942	0.803456	572801	573475	2.251124164	-1.0193109	0.10372771	1.39744767	1.878656708	2.785884781	2.515708541	NON	A1
MvSl-1064-A1-R4_MC09-2g09055	Auto	Auto	0.00002	0	0.01807	0.00155	0.0011068	339809	340928	4.506755456	0.730085469	0.104537546	4.625194616	5.002936658	4.191784115	4.0009475	NON	A1
MvSl-1064-A1-R4_MC02g03650	Auto	Auto	0.00986	0.00701	0.00958	0.00961	1.02922	1189325	1190019	7.208548858	-0.592353231	0.106610224	6.821041287	6.940815878	7.676892322	7.238230378	NON	A1
MvSl-1064-A1-R4_MC10-2g10110	Auto	Auto	0.00302	0.00299	0.01295	0.01296	0.233203	697632	698732	9.594159431	-0.822652893	0.107700793	9.260001103	8.97601911	9.764885583	10.10963223	NON	A1
MvSl-1064-A1-R4_MC02g04151	Auto	Auto	0.00496	0.00498	0.00005	0.00035	99.002	2366407	2366574	6.078570157	0.552198258	0.113765182	6.167646727	6.473153083	5.818746579	5.734249331	NON	A1
MvSl-1064-A1-R4_MC01-1g01985	Auto	Auto	0.0137	0.00436	0.02304	0.00879	0.594615	366735	370125	6.232209593	0.567313435	0.116013092	6.401236581	6.57031157	6.121748986	5.689322793	NON	A1
MvSl-1064-A1-R4_MC03g04773	Auto	Auto	0.0029	0.00205	0.00315	0.00315	0.920606	1280825	1286330	3.73909792	-0.835163182	0.126411899	3.386568935	3.127816291	3.799396199	4.334969222	NON	A1
MvSl-1064-A1-R4_MC06g07517	Auto	Auto	0.00905	0.00406	0.00009	0.0004	100.444	1705865	1707480	5.490812081	-0.555567146	0.132339466	5.1906256	5.182318782	5.711754452	5.769449518	NON	A1
MvSl-1064-A1-R4_MC13g11356	Auto	Auto	0.00938	0.00456	0.01214	0.00805	0.772646	167391	169793	0.235096925	1.441859184	0.133537962	0.750860674	0.793813078	-0.061645703	-1.271468365	NON	A1
MvSl-1064-A1-R4_MC07g07824	Auto	Auto	0.00167	0.00167	0.01134	0.00806	0.147265	696657	699613	6.977639304	0.51405785	0.142983438	7.034460464	7.3699158	6.770359579	6.622427898	NON	A1
