gene	dn	dnse	ds	dsse	dnds
MvSl-1064-A1-R4_MC01-1g01812	0.00177	0.00125	0.00508	0.0036	0.348418338
MvSl-1064-A1-R4_MC01-1g01813	0.00281	0.00282	0.00003	0	93.35548173
MvSl-1064-A1-R4_MC01-1g01814	0.61103	0.06501	1.68816	0.52739	0.361950268
MvSl-1064-A1-R4_MC01-1g01815	0	0.00005	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01816	0.00002	0	0.01584	0.00083	0.001262618
MvSl-1064-A1-R4_MC01-1g01817	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01818	0.00246	0.00298	0.00454	0.00551	0.541838286
MvSl-1064-A1-R4_MC01-1g01819	0.00269	0.00201	0.00619	0.00463	0.43456487
MvSl-1064-A1-R4_A1g00156	0.00382	0.00383	0.00004	0.0002	95.26184539
MvSl-1064-A1-R4_MC01-1g01820	0	0.00287	0.00001	0.00569	0
MvSl-1064-A1-R4_MC01-1g01821	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01822	0.01875	0.00772	0.01266	0.00544	1.481030956
MvSl-1064-A1-R4_MC01-1g01823	0.0033	0.00166	0.00141	0.00141	2.340259556
MvSl-1064-A1-R4_MC01-1g01825	0.01985	0.00907	0.02094	0.01477	0.947941987
MvSl-1064-A1-R4_MC01-1g01826	0.00881	0.00334	0.00494	0.00186	1.783364709
MvSl-1064-A1-R4_MC01-1g01827	0	0	0.00001	0	0
MvSl-1064-A1-R4_A1g00157	0.00785	0.00453	0.01367	0.00964	0.574245982
MvSl-1064-A1-R4_MC01-1g01834	0.00198	0.00199	0.00002	0	98.50746269
MvSl-1064-A1-R4_MC01-1g01836	0.00416	0.00414	0.02216	0.0221	0.187724785
MvSl-1064-A1-R4_MC01-1g01840	0	0	0.0034	0.00039	0
MvSl-1064-A1-R4_MC01-1g01841	0.00001	0	0.00603	0.00012	0.001658347
MvSl-1064-A1-R4_MC01-1g01843	0.01487	0.01056	0.00015	0.00053	99.06728847
MvSl-1064-A1-R4_MC01-1g01844	0.52899	0.08464	71.43079	214.97234	0.00740563
MvSl-1064-A1-R4_MC01-1g01845	0.68231	0.12442	4.16967	2.46238	0.163636447
MvSl-1064-A1-R4_MC01-1g01846	0.00645	0.00289	0.00007	0.00007	92.01141227
MvSl-1064-A1-R4_MC01-1g01847	0.0354	0.00804	0.03666	0.0084	0.965627481
MvSl-1064-A1-R4_MC01-1g01849	0.00157	0.00091	0.00644	0.00373	0.243785034
MvSl-1064-A1-R4_MC01-1g01850	0.00375	0.00373	0.00953	0.00948	0.3934901
MvSl-1064-A1-R4_MC01-1g01851	0	0	0.00182	0	0
MvSl-1064-A1-R4_MC01-1g01852	0.00783	0.00556	0.06702	0.03973	0.116830622
MvSl-1064-A1-R4_MC01-1g01853	0.0026	0.00261	0.00003	0.0002	86.37873754
MvSl-1064-A1-R4_MC01-1g01854	0.00113	0.00113	0.00382	0.00382	0.295803775
MvSl-1064-A1-R4_MC01-1g01855	0.00256	0.00182	0.01074	0.00625	0.238359047
MvSl-1064-A1-R4_MC01-1g01857	0.00266	0.00152	0.00238	0.00228	1.117600101
MvSl-1064-A1-R4_MC01-1g01859	0.00044	0.00044	0.00103	0.00102	0.427142996
MvSl-1064-A1-R4_MC01-1g01860	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01861	0.00066	0.00065	0.00172	0.00171	0.383698622
MvSl-1064-A1-R4_MC01-1g01862	0.57251	0.10041	3.30076	2.09421	0.173447928
MvSl-1064-A1-R4_MC01-1g01863	0.00184	0.00117	0.00691	0.0042	0.266276899
MvSl-1064-A1-R4_MC01-1g01864	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01865	0.00201	0.00201	0.00585	0.00588	0.34358387
MvSl-1064-A1-R4_MC01-1g01866	0.00001	0	0.00863	0.00072	0.001158735
MvSl-1064-A1-R4_MC01-1g01867	0.00609	0.0043	0.05918	0.0248	0.102906213
MvSl-1064-A1-R4_MC01-1g01868	0.00104	0.00105	0.00296	0.003	0.351339482
MvSl-1064-A1-R4_MC01-1g01869	0	0	0.00323	0	0
MvSl-1064-A1-R4_MC01-1g01870	0	0.00274	0.00001	0.0065	0
MvSl-1064-A1-R4_MC01-1g01871	0.0047	0.00472	0.00005	0.0002	93.81237525
MvSl-1064-A1-R4_MC01-1g01872	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01873	0.00093	0.00093	0.0042	0.00298	0.221423299
MvSl-1064-A1-R4_MC01-1g01874	0.00439	0.00283	0.01416	0.0098	0.310026059
MvSl-1064-A1-R4_MC01-1g01875	0.00191	0.00191	0.00002	0.00007	95.02487562
MvSl-1064-A1-R4_A1g00162	0.26522	0.03545	0.61968	0.12581	0.427995025
MvSl-1064-A1-R4_MC01-1g01876	0	0.00499	0.00001	0.00985	0
MvSl-1064-A1-R4_MC01-1g01877	0.00001	0	0.00575	0.00036	0.0017391
MvSl-1064-A1-R4_MC01-1g01878	0.00001	0	0.0112	0.00041	0.000892849
MvSl-1064-A1-R4_MC01-1g01879	0.00001	0	0.00998	0.00078	0.001001994
MvSl-1064-A1-R4_MC01-1g01881	0.00167	0.00167	0.00002	0.00006	83.08457711
MvSl-1064-A1-R4_MC01-1g01882	0.0054	0.00183	0.01095	0.00459	0.493146181
MvSl-1064-A1-R4_MC01-1g01883	0.00898	0.00617	0.01928	0.01796	0.465765219
MvSl-1064-A1-R4_MC01-1g01884	0.0017	0.00109	0.00761	0.00414	0.223387341
MvSl-1064-A1-R4_MC01-1g01885	0	0	0.00311	0	0
MvSl-1064-A1-R4_MC01-1g01886	0	0	0.00123	0.00021	0
MvSl-1064-A1-R4_MC01-1g01887	0.0044	0.00156	0.00361	0.00209	1.218802803
MvSl-1064-A1-R4_MC01-1g01889	0.00321	0.00324	0.00746	0.00754	0.430289138
MvSl-1064-A1-R4_MC01-1g01890	0	0	0.00153	0	0
MvSl-1064-A1-R4_MC01-1g01891	0.00134	0	0.00001	0	132.6732673
MvSl-1064-A1-R4_MC01-1g01892	0.00186	0.00108	0.00532	0.00268	0.349617488
MvSl-1064-A1-R4_MC01-1g01893	0.00263	0.00117	0.00253	0.00176	1.039484605
MvSl-1064-A1-R4_MC01-1g01894	0.00335	0.00236	0.00317	0.00316	1.056748998
MvSl-1064-A1-R4_MC01-1g01895	0.74612	0.11065	1.87247	0.8334	0.398468312
MvSl-1064-A1-R4_MC01-1g01896	0.00052	0.0005	0.00122	0.00118	0.426194574
MvSl-1064-A1-R4_MC01-1g01897	0.00001	0	0.00588	0	0.001700651
MvSl-1064-A1-R4_MC01-1g01899	0.02678	0.0126	0.03491	0.02545	0.767113242
MvSl-1064-A1-R4_MC01-1g01900	0.00383	0.00272	0.0107	0.00761	0.35794058
MvSl-1064-A1-R4_MC01-1g01901	0.00506	0.00253	0.00938	0.00542	0.539439878
MvSl-1064-A1-R4_MC01-1g01902	0	0.00436	0.00001	0.01218	0
MvSl-1064-A1-R4_MC01-1g01903	0.02163	0.00761	0.04607	0.02105	0.469501911
MvSl-1064-A1-R4_MC01-1g01904	0.16442	0.02529	0.48894	0.11577	0.336278411
MvSl-1064-A1-R4_MC01-1g01905	0	0	0.00001	0	0
MvSl-1064-A1-R4_A1g00165	0.00087	0.00087	0.00368	0.0026	0.236406619
MvSl-1064-A1-R4_MC01-1g01906	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01907	0.00328	0.00232	0.01209	0.00702	0.27129635
MvSl-1064-A1-R4_MC01-1g01911	0	0.00498	0.00001	0.01356	0
MvSl-1064-A1-R4_MC01-1g01912	0	0.01895	0.00001	0.03522	0
MvSl-1064-A1-R4_MC01-1g01913	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01914	0.00283	0.00213	0.01137	0.00714	0.248898427
MvSl-1064-A1-R4_MC01-1g01915	0.00247	0.00248	0.00003	0.00021	82.05980066
MvSl-1064-A1-R4_MC01-1g01916	0.00364	0.00258	0.00004	0.00016	90.77306733
MvSl-1064-A1-R4_MC01-1g01917	0	0	0.00001	0	0
MvSl-1064-A1-R4_A1g00166	0.00127	0.00126	0.00295	0.00294	0.430493882
MvSl-1064-A1-R4_MC01-1g01918	0.0027	0.00133	0.00295	0.00203	0.915223213
MvSl-1064-A1-R4_MC01-1g01921	0.00339	0.00342	0.01629	0.01163	0.208101853
MvSl-1064-A1-R4_MC01-1g01922	0.00968	0.00598	0.00902	0.01132	1.073158834
MvSl-1064-A1-R4_MC01-1g01923	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01924	0.00156	0.00156	0.00348	0.00349	0.448262981
MvSl-1064-A1-R4_MC01-1g01925	0.0014	0.00099	0.00495	0.00286	0.282822569
MvSl-1064-A1-R4_MC01-1g01926	0	0	0.00491	0	0
MvSl-1064-A1-R4_MC01-1g01927	0.00191	0.00111	0.00299	0.00213	0.638774623
MvSl-1064-A1-R4_MC01-1g01928	0.00496	0.00249	0.01222	0.00615	0.405888659
MvSl-1064-A1-R4_MC01-1g01929	0.84173	0.10855	1.45791	0.40973	0.577353844
MvSl-1064-A1-R4_MC01-1g01932	0.00174	0.00123	0.00521	0.00302	0.333966718
MvSl-1064-A1-R4_MC01-1g01933	0.00155	0.0011	0.00143	0.00145	1.083840291
MvSl-1064-A1-R4_MC01-1g01934	0.00059	0.00058	0.00489	0.00342	0.120651929
MvSl-1064-A1-R4_MC01-1g01935	0	0.01139	0.00001	0.02471	0
MvSl-1064-A1-R4_MC01-1g01936	0	0.00004	0.00001	0	0
MvSl-1064-A1-R4_A1g00168	0.08592	0.01821	0.13106	0.04207	0.655577098
MvSl-1064-A1-R4_MC01-1g01939	0.15238	0.03677	0.34513	0.10907	0.441514664
MvSl-1064-A1-R4_MC01-1g01940	0.00001	0	0.00859	0.00061	0.001164131
MvSl-1064-A1-R4_MC01-1g01941	0.00001	0	0.00945	0.0014	0.00105819
MvSl-1064-A1-R4_MC01-1g01942	0.76758	0.11837	66.44097	125.60871	0.011552811
MvSl-1064-A1-R4_MC01-1g01943	0.00395	0.00277	0.00428	0.0042	0.922875634
MvSl-1064-A1-R4_MC01-1g01944	0.00001	0	0.00654	0	0.001529029
MvSl-1064-A1-R4_MC01-1g01945	0.03037	0.01251	0.00031	0.00011	97.93614963
MvSl-1064-A1-R4_MC01-1g01948	0.00627	0.00364	0.00854	0.00498	0.73418344
MvSl-1064-A1-R4_A1g00169	0.00334	0.00236	0.00003	0.00013	110.9634551
MvSl-1064-A1-R4_MC01-1g01949	0	0.00072	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01950	0.00751	0.00307	0.00706	0.00496	1.06372431
MvSl-1064-A1-R4_MC01-1g01951	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01952	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01953	0.00268	0.00269	0.00003	0.00053	89.03654485
MvSl-1064-A1-R4_MC01-1g01954	0.00001	0	0.00822	0	0.00121653
MvSl-1064-A1-R4_MC01-1g01956	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g01957	0.7603	0.11051	55.17687	91.68827	0.013779325
MvSl-1064-A1-R4_MC01-1g01958	0.00164	0.00107	0.00441	0.0033	0.371873654
MvSl-1064-A1-R4_MC01-1g01959	0.00654	0.00465	0.00007	0.00041	93.29529244
MvSl-1064-A1-R4_MC01-1g01960	0.67162	0.0831	2.19051	0.96137	0.306604384
MvSl-1064-A1-R4_MC01-1g01965	0.2595	0.04629	0.2762	0.07765	0.939536228
MvSl-1064-A1-R4_MC01-1g01966	0.00072	0.00073	0.00147	0.00149	0.489762601
MvSl-1064-A1-R4_MC01-1g01967	0	0.01048	0	0.01782	0
MvSl-1064-A1-R4_MC01-1g01969	0.00184	0.0013	0.00002	0.00007	91.54228856
MvSl-1064-A1-R4_MC01-1g01970	0.00196	0.00196	0.00002	0.00011	97.51243781
MvSl-1064-A1-R4_MC01-1g01972	0.0007	0.00071	0.00551	0.0032	0.127039437
MvSl-1064-A1-R4_MC01-1g01974	0.00161	0.00162	0.0045	0.00455	0.357769827
MvSl-1064-A1-R4_MC01-1g01975	0.00341	0.00241	0.00003	0.00012	113.2890365
MvSl-1064-A1-R4_MC01-1g01976	0.0019	0.00134	0.00002	0.00021	94.52736318
MvSl-1064-A1-R4_MC01-1g01979	0.00989	0.00576	0.01472	0.01506	0.671870436
MvSl-1064-A1-R4_MC01-1g01980	0.00123	0.00124	0.01038	0.00742	0.118495968
MvSl-1064-A1-R4_MC01-1g01984	0.9145	0.10407	2.24453	0.78277	0.407434946
MvSl-1064-A1-R4_MC01-1g01985	0.0044	0.00255	0.00759	0.00539	0.579702507
MvSl-1064-A1-R4_MC01-1g01987	0.00227	0.00227	0.00002	0	112.9353234
MvSl-1064-A1-R4_MC01-1g01988	0.00095	0.00096	0.00914	0.00459	0.103937594
MvSl-1064-A1-R4_MC01-1g01989	0.00162	0.00114	0.00547	0.00316	0.296155463
MvSl-1064-A1-R4_MC01-1g01990	0.00758	0.00206	0.00728	0.00254	1.041194489
MvSl-1064-A1-R4_MC01-1g01992	0.01368	0.00343	0.01912	0.00688	0.71547743
MvSl-1064-A1-R4_MC01-1g01995	0.01347	0.00779	0.00014	0.00008	96.14561028
MvSl-1064-A1-R4_MC01-1g01998	0.00481	0.00481	0.01697	0.017	0.283439697
MvSl-1064-A1-R4_MC01-1g02000	0.00094	0.00094	0.0046	0.00326	0.204343384
MvSl-1064-A1-R4_A1g00175	0.00151	0.00151	0.00002	0.00004	75.12437811
MvSl-1064-A1-R4_MC01-1g02001	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g02002	0.61267	0.08053	23.02141	168.01119	0.026613053
MvSl-1064-A1-R4_MC01-1g02003	0	0	0.00151	0.00023	0
MvSl-1064-A1-R4_MC01-1g02004	0	0.01447	0.00001	0.02985	0
MvSl-1064-A1-R4_MC01-1g02005	0.00503	0.00505	0.00005	0.00005	100.3992016
MvSl-1064-A1-R4_MC01-1g02007	0.00576	0.00249	0.00558	0.00359	1.032239566
MvSl-1064-A1-R4_MC01-1g02008	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g02009	0	0	0.00001	0	0
MvSl-1064-A1-R4_A1g00019	0.77811	0.1213	3.28127	1.95552	0.237136833
MvSl-1064-A1-R4_MC01-1g02011	0.00332	0.00241	0.00759	0.00526	0.437411892
MvSl-1064-A1-R4_MC01-1g02015	0.00117	0.00082	0.0027	0.0019	0.433317285
MvSl-1064-A1-R4_MC01-1g02016	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g02017	0	0	0.00001	0	0
MvSl-1064-A1-R4_MC01-1g02018	0.00135	0.00063	0.00417	0.0019	0.323733244
MvSl-1064-A1-R4_MC01-1g02020	0	0	0.00233	0	0
MvSl-1064-A1-R4_A1g00178	0.00072	0.00071	0.0018	0.00178	0.399977779
MvSl-1064-A1-R4_MC01-1g02021	0.00188	0.00132	0.00129	0.00128	1.457251376
