gida1	a1GC0	a1GC3	gencomp	youngold	DE	haploid
MvSl-1064-A1-R4_MC09-2g09506	54.4	67.2	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC03g04831	54.12	53.76	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00718	57.85	69.85	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC08g08762	55.75	56.58	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-1g02769	57.05	62.64	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC08g08498	56.57	64.94	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC02g03327	54.27	62.82	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC04-1g05592	56.23	67.53	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC11g10369	58.77	66.98	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC04-1g05308	50.43	53	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC02g03205	55.01	66.93	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC10-1g09727	57.66	50	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC04-1g05677	58.62	70.69	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC10-1g09729	56.1	56.1	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g01383	53.31	57	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC12g10792	54.98	60.42	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-1g02764	56.11	62.13	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC14g11916	55.26	66.39	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC13g11325	51.39	54.92	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC05-2g06481	57.58	64.08	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g01376	53.82	58.86	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC10-2g10108	56.73	58.92	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-2g03070	52.87	53.02	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC13g11584	56.27	65.68	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC10-2g10116	53.07	61.94	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC03g04760	56.9	65.71	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00350	58.46	61.58	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC06g07527	57.16	71.06	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC14g11775	57.08	68.69	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00383	56.03	63.8	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_A1g00246	56.33	62.9	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC10-2g10050	59.28	77.83	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC02g03617	55.07	59.8	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-2g03146	52.78	52.78	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC07g07613	52.71	60.44	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-1g02779	51.99	57.46	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00073	56.83	66.76	bPAR	bPAR	Down	A1
MvSl-1064-A1-R4_MC02g03229	55.43	59.7	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC06g06943	55.68	61.57	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC08g08472	58.8	63.48	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC08g08445	55.28	55.67	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00120	51.79	54.12	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC01-1g02763	58.07	68.68	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00854	56.94	67.59	Purple	OldStrata	Down	A1
MvSl-1064-A1-R4_MC07g07612	58.74	62.08	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC02g04208	53.48	60.44	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC10-2g10037	62.02	61.63	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC03g05112	59.74	70.77	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC13g11692	54.88	62.91	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC04-1g05942	58.73	70.98	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC12g11020	60.37	68.38	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC05-3g06591	56.5	66.36	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-1g01957	56.35	59.61	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC03g05077	54.06	68.07	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC03g04423	56.91	59.51	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-1g02545	54.78	64.68	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC07g07597	55.09	67.28	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC11g10335	53.66	58.24	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC11g10517	55.68	59.77	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC13g11443	59.19	67.09	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC01-1g02628	56.83	63.93	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC10-1g09809	59.45	54.14	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00241	61	56.77	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC09-2g09527	51.22	60.98	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC04-1g05493	51.46	55.32	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC04-1g05323	56.56	66.45	Auto	Auto	Down	A1
MvSl-1064-A1-R4_A1g00648	56.79	59.05	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_A1g00242	53.99	73.44	Black	OldStrata	Down	A1
MvSl-1064-A1-R4_MC14g11805	58.35	74.18	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC13g11616	54.89	71.43	Auto	Auto	Down	A1
MvSl-1064-A1-R4_MC09-2g09201	55.43	69.96	Auto	Auto	Up	A1
