target_id	est_counts	est_counts	tpm	tpm
MvSl-1064-A1-R4_A1g00120	531.237	457.002	2.32889	1.98166
MvSl-1064-A1-R4_A1g00121	551.565	760.871	56.3672	72.5343
MvSl-1064-A1-R4_A1g00122	291.042	246.353	0.458784	0.384477
MvSl-1064-A1-R4_A1g00123	19.09	22.1797	0.545608	0.613874
MvSl-1064-A1-R4_A1g00124	238.991	291.34	4.78125	5.68376
MvSl-1064-A1-R4_A1g00125	245.412	235.2	1.53385	1.45313
MvSl-1064-A1-R4_A1g00126	1925	2174	22.3133	24.8655
MvSl-1064-A1-R4_A1g00127	979183	918551	254422	240105
MvSl-1064-A1-R4_A1g00128	3729.76	3138	827.907	696.581
MvSl-1064-A1-R4_A1g00129	0	0	0	0
MvSl-1064-A1-R4_A1g00130	1097.39	1439.21	88.5679	107.629
MvSl-1064-A1-R4_A1g00131	95	118	5.77834	6.6986
MvSl-1064-A1-R4_A1g00132	173.416	189.105	0.609021	0.657085
MvSl-1064-A1-R4_A1g00133	2.00703	1.00334	0.188423	0.087857
MvSl-1064-A1-R4_A1g00134	258.71	253.965	1.2358	1.19977
MvSl-1064-A1-R4_A1g00135	3.68869	5.03259	0.161753	0.208577
MvSl-1064-A1-R4_A1g00136	1509.42	1422.13	2.81402	2.62466
MvSl-1064-A1-R4_A1g00137	8.4	0	3.44096	0
MvSl-1064-A1-R4_A1g00138	8.0487	19.0552	0.087707	0.20494
MvSl-1064-A1-R4_A1g00139	32.463	22.2681	0.313719	0.21248
MvSl-1064-A1-R4_A1g00140	2.54307	4.953	0.302369	0.55162
MvSl-1064-A1-R4_A1g00141	24.0972	18.094	1.00764	0.716951
MvSl-1064-A1-R4_A1g00142	62.0867	49.1628	0.345476	0.27048
MvSl-1064-A1-R4_A1g00143	1643.82	1389.16	14.2559	11.8993
MvSl-1064-A1-R4_A1g00144	1784	2483	29.3505	40.0857
MvSl-1064-A1-R4_A1g00145	68.8491	63.0948	2.01875	1.78827
MvSl-1064-A1-R4_A1g00146	31	29	0.704237	0.640932
MvSl-1064-A1-R4_A1g00147	0	0	0	0
MvSl-1064-A1-R4_A1g00148	2	2	0.159619	0.147895
MvSl-1064-A1-R4_A1g00149	125.128	176.37	0.433255	0.604223
MvSl-1064-A1-R4_A1g00150	20.9328	20.124	3.13173	2.83619
MvSl-1064-A1-R4_A1g00151	855.158	817.364	4.53243	4.28369
MvSl-1064-A1-R4_A1g00152	999.851	1021.94	4.78423	4.8361
MvSl-1064-A1-R4_A1g00153	4945	4613	9.31861	8.60562
MvSl-1064-A1-R4_A1g00154	739	847	13.3686	14.9951
MvSl-1064-A1-R4_A1g00155	1124.04	1469.68	7.87192	10.1717
MvSl-1064-A1-R4_A1g00156	238.188	237.094	20.1128	18.5942
MvSl-1064-A1-R4_A1g00157	1163.74	1016.25	4.79761	4.14439
MvSl-1064-A1-R4_A1g00158	5675.21	7409.76	43.0991	55.6
MvSl-1064-A1-R4_A1g00159	1188.33	1259.9	23.2869	24.0891
MvSl-1064-A1-R4_A1g00160	169.574	222.358	1.14632	1.48561
MvSl-1064-A1-R4_A1g00161	9.07961	9	1.63061	1.5544
MvSl-1064-A1-R4_A1g00162	7.50775	11.298	0.0902757	0.134031
MvSl-1064-A1-R4_A1g00163	99.1686	96.0819	12.1297	10.9861
MvSl-1064-A1-R4_A1g00164	172.875	141.934	15.594	11.8765
MvSl-1064-A1-R4_A1g00165	4664	4349	13.768	12.7046
