target_id	est_counts	est_counts	mean_oldcounts	tpm	tpm	target_id	est_counts	est_counts	mean_newcounts	tpm	tpm	ratio_a2_oldnew
MvSl-1064-A2-R4_C23g01862	4.92E-07	6.60682	3.303410246	0.0277829	1.92E-09	MvSl-1064-A2-R4_C23g01862	0	0	0	0	0	33034102.46
MvSl-1064-A2-R4_MC01g02455	0	6.25876	3.12938	1.79595	0	MvSl-1064-A2-R4_MC01g02455	0	0	0	0	0	31293800
MvSl-1064-A2-R4_A2g01717	2.54774	2.93349	2.740615	0.690048	0.566024	MvSl-1064-A2-R4_A2g01717	0	0	0	0	0	27406150
MvSl-1064-A2-R4_MC09g09533	2.74166	2.69494	2.7183	0.0741418	0.0701129	MvSl-1064-A2-R4_MC09g09533	0	0	0	0	0	27183000
MvSl-1064-A2-R4_MC04-1g05565	2.41696	2.16839	2.292675	0.892619	0.982262	MvSl-1064-A2-R4_MC04-1g05565	0	0	0	0	0	22926750
MvSl-1064-A2-R4_MC01g03176	2.49154	1.6475	2.06952	0.00977727	0.0137146	MvSl-1064-A2-R4_MC01g03176	0	0	0	0	0	20695200
MvSl-1064-A2-R4_MC04-1g06256	4.10498	0	2.05249	0	0.0128368	MvSl-1064-A2-R4_MC04-1g06256	0	0	0	0	0	20524900
MvSl-1064-A2-R4_A2g00121	1	3	2	1.44936	0.467791	MvSl-1064-A2-R4_A2g00121	0	0	0	0	0	20000000
MvSl-1064-A2-R4_MC11g10496	1.21183	2.76162	1.986725	1.07304	0.459123	MvSl-1064-A2-R4_MC11g10496	0	0	0	0	0	19867250
MvSl-1064-A2-R4_MC11g10479	0	3.91838	1.95919	0.106433	0	MvSl-1064-A2-R4_MC11g10479	0	0	0	0	0	19591900
MvSl-1064-A2-R4_MC01g03179	0	3.84495	1.922475	0.0136934	0	MvSl-1064-A2-R4_MC01g03179	0	0	0	0	0	19224750
MvSl-1064-A2-R4_MC01g03141	0	3.81424	1.90712	1.26796	0	MvSl-1064-A2-R4_MC01g03141	0	0	0	0	0	19071200
MvSl-1064-A2-R4_A2g00752	0	3.69682	1.84841	0.231212	0	MvSl-1064-A2-R4_A2g00752	0	0	0	0	0	18484100
MvSl-1064-A2-R4_MC02g03655	6.72269	2.82967	4.77618	0.12252	0.270405	MvSl-1064-A2-R4_MC02g03655	3.21E-07	0	1.60338E-07	0	1.40E-08	18346108.42
MvSl-1064-A2-R4_A2g01742	1.01375	2.06656	1.540155	0.127968	0.0583166	MvSl-1064-A2-R4_A2g01742	0	0	0	0	0	15401550
MvSl-1064-A2-R4_MC16g12449	2.03055	1.0188	1.524675	0.015276	0.0282531	MvSl-1064-A2-R4_MC16g12449	0	0	0	0	0	15246750
MvSl-1064-A2-R4_MC06-2g07336	1	2	1.5	0.229256	0.105838	MvSl-1064-A2-R4_MC06-2g07336	0	0	0	0	0	15000000
MvSl-1064-A2-R4_MC05g07007	0.655994	2.04727	1.351632	0.80534	0.253839	MvSl-1064-A2-R4_MC05g07007	0	0	0	0	0	13516320
MvSl-1064-A2-R4_A2g01211	1.50566	1.12617	1.315915	0.502612	0.651438	MvSl-1064-A2-R4_A2g01211	0	0	0	0	0	13159150
MvSl-1064-A2-R4_A2g00983	2.61622	0	1.30811	0	0.506612	MvSl-1064-A2-R4_A2g00983	0	0	0	0	0	13081100
MvSl-1064-A2-R4_A2g01354	0	2.31933	1.159665	0.0936928	0	MvSl-1064-A2-R4_A2g01354	0	0	0	0	0	11596650
MvSl-1064-A2-R4_MC01g02112	2.28683	0	1.143415	0	1.35544	MvSl-1064-A2-R4_MC01g02112	0	0	0	0	0	11434150
MvSl-1064-A2-R4_MC14g12256	2.05589	0	1.027945	0	0.0127216	MvSl-1064-A2-R4_MC14g12256	0	0	0	0	0	10279450
MvSl-1064-A2-R4_MC02g03699	0	2.01051	1.005255	0.0125222	0	MvSl-1064-A2-R4_MC02g03699	0	0	0	0	0	10052550
MvSl-1064-A2-R4_A2g00045	2	0	1	0	0.0390957	MvSl-1064-A2-R4_A2g00045	0	0	0	0	0	10000000
