gida1	part8	youngold	genea10k	up5k	upk10	upk15	upk20	down5k	down10k	down15k	down20k	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2	gida2	genea20k	a2up5k	a2upk10	a2upk15	a2upk20	a2down5k	a2down10k	a2down15k	a2down20k	genediff	upk5diff	upk10diff	upk15diff	upk20diff	down5kdiff	down10kdiff	down15kdiff	down20kdiff
MvSl-1064-A1-R4_MC04-1g05683	Auto	Auto	0	0	0	0	0	0	0	0	0	7.627571938	0.777787213	0.777787213	0.005463713	0.072529944	8.364227801	7.409113722	7.13635259	7.235765514	NON	NON	MvSl-1064-A2-R4_MC04-1g05959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g01921	Auto	Auto	0	0	3	0	0	0	0	0	0	8.147829518	0.617855507	0.617855507	0.005810924	0.076192616	8.49225457	8.351767521	7.762350498	7.848529875	NON	NON	MvSl-1064-A2-R4_MC01g02202	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC02g03650	Auto	Auto	0	0	0	2	2	0	0	0	3	7.264774685	0.595326032	0.595326032	0.00580453	0.076192616	7.298207247	7.732389972	6.995022947	6.875722177	NON	NON	MvSl-1064-A2-R4_MC02g03928	0	0	0	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC02g04151	Auto	Auto	0	0	0	0	0	0	0	0	0	6.133868169	-0.556998429	0.556998429	0.00592338	0.077548202	5.786831068	5.871084805	6.530222626	6.225123281	NON	NON	MvSl-1064-A2-R4_MC02g04429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC10-2g10110	Auto	Auto	0	2	0	0	0	0	0	0	1	9.652538784	0.825038696	0.825038696	0.006168837	0.080026386	10.17109018	9.821303778	9.03318463	9.316599115	NON	NON	MvSl-1064-A2-R4_MC10g10374	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC04-1g05309	Auto	Auto	0	0	0	1	0	0	0	0	0	5.194963855	-0.644344821	0.644344821	0.00618415	0.080103477	4.687305057	4.976477671	5.614726618	5.335062899	NON	NON	MvSl-1064-A2-R4_MC04-1g05586	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC05-3g06512	Auto	Auto	0	0	0	0	0	0	0	0	0	1.208764043	-1.141358919	1.141358919	0.006211496	0.080214623	0.410975968	0.727447653	1.718032715	1.616865351	NON	NON	MvSl-1064-A2-R4_MC05g06775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC09-2g09145	Auto	Auto	0	0	0	0	0	0	0	0	0	2.290268932	1.012887304	1.012887304	0.006263754	0.080767469	2.552573137	2.822623047	1.934099233	1.423608167	NON	NON	MvSl-1064-A2-R4_MC09g09420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02346	Auto	Auto	0	0	2	0	0	0	0	0	0	6.270739705	0.512081302	0.512081302	0.006359886	0.081883536	6.515059814	6.491936086	6.049234501	5.932513879	NON	NON	MvSl-1064-A2-R4_MC01g02628	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MvSl-1064-A1-R4_MC01-1g02444	Auto	Auto	0	0	0	0	0	0	0	0	0	6.486765895	-0.558464436	0.558464436	0.006409258	0.082370847	6.022197898	6.324759424	6.865546176	6.600738873	NON	NON	MvSl-1064-A2-R4_MC01g02726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
