genea1	dNa1	dNa1se	dSa1	dSa1se	dNdSa1	chr	chrom	DE	a1expmean	haploid
MvSl-1064-A1-R4_MC01-1g01763	0.00427	0.00151	0.00694	0.00284	0.615265	aAutosome	aAutosome	NON	6.12032	A1
MvSl-1064-A1-R4_MC01-1g01766	0.00327	0.00328	0.00003	0.00003	108.638	aAutosome	aAutosome	NON	6.19495	A1
MvSl-1064-A1-R4_MC01-1g01771	0	0.00003	0.00002	0	0	aAutosome	aAutosome	NON	7.39731	A1
MvSl-1064-A1-R4_MC01-1g01800	0.00362	0.00255	0.00408	0.00402	0.887233	aAutosome	aAutosome	NON	7.73704	A1
MvSl-1064-A1-R4_MC01-1g01805	0.00871	0.0039	0.00853	0.00601	1.02109	aAutosome	aAutosome	NON	5.91327	A1
MvSl-1064-A1-R4_MC01-1g01806	0.00232	0.00134	0.00597	0.00345	0.388603	aAutosome	aAutosome	NON	7.27982	A1
MvSl-1064-A1-R4_MC01-1g01808	0.01033	0.00425	0.01805	0.00913	0.572296	aAutosome	aAutosome	NON	6.57877	A1
MvSl-1064-A1-R4_MC01-1g01811	0.00563	0.00326	0.00949	0.00675	0.59325	aAutosome	aAutosome	NON	4.44038	A1
MvSl-1064-A1-R4_MC01-1g01816	0.00001	0	0.01024	0.00065	0.000976553	aAutosome	aAutosome	NON	6.8728	A1
MvSl-1064-A1-R4_MC01-1g01817	0.00701	0.00406	0.00822	0.00826	0.852788	aAutosome	aAutosome	NON	7.26865	A1
MvSl-1064-A1-R4_MC01-1g01818	0.00973	0.00483	0.00943	0.00653	1.0318	aAutosome	aAutosome	NON	6.06997	A1
MvSl-1064-A1-R4_MC01-1g01820	0.00377	0	0.00004	0	94.015	aAutosome	aAutosome	NON	5.72069	A1
MvSl-1064-A1-R4_MC01-1g01821	0.00796	0.00458	0.02629	0.01518	0.302776	aAutosome	aAutosome	NON	10.2704	A1
MvSl-1064-A1-R4_MC01-1g01823	0.00858	0.0026	0.00532	0.00267	1.61275	aAutosome	aAutosome	NON	6.96952	A1
MvSl-1064-A1-R4_MC01-1g01826	0.00848	0.00381	0.01731	0.00781	0.489887	aAutosome	aAutosome	NON	1.63916	A1
MvSl-1064-A1-R4_MC01-1g01834	0.00374	0.00266	0.01899	0.01108	0.196945	aAutosome	aAutosome	NON	0.821665	A1
MvSl-1064-A1-R4_MC01-1g01843	0.00923	0.00657	0.01021	0.01026	0.904007	aAutosome	aAutosome	NON	0.025355	A1
MvSl-1064-A1-R4_MC01-1g01852	0.00832	0.006	0.03372	0.02469	0.246737	aAutosome	aAutosome	NON	5.89167	A1
MvSl-1064-A1-R4_MC01-1g01853	0.00484	0.00343	0.00554	0.00557	0.87363	aAutosome	aAutosome	NON	6.28042	A1
MvSl-1064-A1-R4_MC01-1g01854	0.00377	0.00172	0.00403	0.00215	0.935461	aAutosome	aAutosome	NON	2.52239	A1
MvSl-1064-A1-R4_MC01-1g01859	0.00269	0.00102	0.00922	0.00309	0.291754	aAutosome	aAutosome	NON	8.35072	A1
MvSl-1064-A1-R4_MC01-1g01861	0.00681	0.00196	0.00956	0.00333	0.712336	aAutosome	aAutosome	NON	8.41234	A1
