gida1	a1prot	a1cds	part8	youngold	intron_nr_a1	intron_nr_byprota1	intron_nr_byprota1_transf	intron_mean_a1	intron_total_a1	intron_total_byprota1	intron_total_byprota1_trans	DE	DE2	haploid
MvSl-1064-A1-R4_A1g00066	184	555	bPAR	bPAR	2	0.010869565	0.104257207	73	146	0.793478261	0.890773967	NON	NON	A1
MvSl-1064-A1-R4_A1g00067	451	1356	bPAR	bPAR	8	0.017738359	0.133185432	105	840	1.862527716	1.364744561	NON	NON	A1
MvSl-1064-A1-R4_A1g00068	397	1194	bPAR	bPAR	3	0.007556675	0.086929138	124.667	374	0.942065491	0.970600583	NON	NON	A1
MvSl-1064-A1-R4_A1g00069	1429	4290	bPAR	bPAR	2	0.00139958	0.037410963	98	196	0.137158852	0.370349635	NON	NON	A1
MvSl-1064-A1-R4_A1g00070	918	2757	bPAR	bPAR	1	0.001089325	0.033004918	84	84	0.091503268	0.302495071	NON	NON	A1
MvSl-1064-A1-R4_A1g00071	495	1488	bPAR	bPAR	4	0.008080808	0.089893315	97.5	390	0.787878788	0.887625365	NON	NON	A1
MvSl-1064-A1-R4_A1g00072	663	1992	bPAR	bPAR	4	0.006033183	0.077673564	110.25	441	0.665158371	0.815572419	NON	NON	A1
MvSl-1064-A1-R4_A1g00073	375	1128	bPAR	bPAR	3	0.008	0.089442719	107.667	323	0.861333333	0.928080456	Up	DE	A1
MvSl-1064-A1-R4_A1g00074	613	1842	bPAR	bPAR	10	0.016313214	0.127723192	124.3	1243	2.027732463	1.423984713	NON	NON	A1
MvSl-1064-A1-R4_A1g00076	859	2580	bPAR	bPAR	1	0.001164144	0.03411956	125	125	0.145518044	0.381468274	NON	NON	A1
MvSl-1064-A1-R4_A1g00077	460	1383	bPAR	bPAR	1	0.002173913	0.04662524	93	93	0.202173913	0.449637535	NON	NON	A1
MvSl-1064-A1-R4_A1g00078	153	462	bPAR	bPAR	1	0.006535948	0.080845208	0	0	0	0	Down	DE	A1
MvSl-1064-A1-R4_A1g00079	1388	4167	bPAR	bPAR	10	0.007204611	0.08487998	83.6	836	0.602305476	0.77608342	Down	DE	A1
MvSl-1064-A1-R4_A1g00080	151	456	bPAR	bPAR	3	0.01986755	0.140952296	92	276	1.82781457	1.351966926	Down	DE	A1
MvSl-1064-A1-R4_A1g00081	363	1092	Black	OldStrata	8	0.022038567	0.148453924	84	672	1.851239669	1.360602686	Down	DE	A1
MvSl-1064-A1-R4_A1g00106	452	1359	Black	OldStrata	3	0.006637168	0.081468817	81	243	0.537610619	0.733219353	Up	DE	A1
MvSl-1064-A1-R4_A1g00108	55	168	Black	OldStrata	1	0.018181818	0.134839972	0	0	0	0	NON	NON	A1
